app,isReIntervention,resolution,timestamp,interventionDuration,timezone,interventionType,timeIntervalUntilReIntervention
instagram,False,openedApp,1748955172.827362,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1748957675.891573,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1748960259.717101,1.5,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1748967000.8870502,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1748976981.130997,1.5,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1748977273.220577,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1748977313.0277271,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1748980367.2361178,1.5,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1748980736.842883,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1748981952.232904,1.5,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1748983493.055152,1.5,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1748983824.499408,1.5,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1748985080.348789,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749019669.778696,1.5,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1749035255.5654721,1.5,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1749035965.189227,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749036322.752265,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749036438.581902,1.5,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1749036573.726808,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749056131.983284,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749058988.904807,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749061096.379805,1.5,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1749061341.043978,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749065734.77146,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749068136.751927,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749077115.789407,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749115212.7465491,1.5,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1749116128.584146,1.5,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1749116134.38967,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749122516.0201402,1.5,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1749123626.84584,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749123658.292253,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749126356.082989,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749146918.842227,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749147194.095664,1.5,Europe/Paris,breathingExercise,60.0
instagram,False,openedApp,1749148300.659229,1.5,Europe/Paris,breathingExercise,60.0
instagram,False,dismissedAppOpening,1749149689.884111,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749154092.0047889,1.5,Europe/Paris,breathingExercise,60.0
instagram,True,dismissedAppOpening,1749154172.802402,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749154182.5565128,1.5,Europe/Paris,breathingExercise,60.0
instagram,False,openedApp,1749157882.2839432,1.5,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1749556271.0828052,1.5,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1749556404.823529,1.5,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1749556989.2104921,1.5,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1749562070.6552339,1.5,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1749565635.18371,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749580469.480793,1.5,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1749580734.653611,1.5,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1749580912.271281,1.5,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1749581307.411077,1.5,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1749582063.551224,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749582332.100237,1.5,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1749583983.9964309,1.5,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1749586648.1049562,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749589235.362592,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749591006.620686,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749622776.235616,1.5,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1749624241.817058,1.5,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1749625122.466178,1.5,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1749625324.06691,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749625364.181432,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749630854.775927,1.5,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1749633074.1508908,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749633083.8202682,1.5,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1749633896.695457,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749634058.136128,1.5,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1749634412.767312,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749635183.413786,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749636768.044033,1.5,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1749641491.55901,1.5,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1749641506.922837,1.5,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1749644538.459348,1.5,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1749644696.9258862,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749645565.329558,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749645845.187684,1.5,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1749647145.975941,1.5,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1749647768.188931,1.5,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1749647771.964719,1.5,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1749652182.833475,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749667487.8524141,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749669981.194869,1.5,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1749670051.6103358,1.5,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1749670055.9789681,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749670962.7489161,1.5,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1749671606.965414,1.5,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1749671723.333597,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749671733.718378,1.5,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1749672669.8788738,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749714167.397166,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749716706.89292,1.5,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1749718519.523999,1.5,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1749720956.185173,1.5,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1749722002.529185,1.5,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1749731763.800323,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749731770.552891,1.5,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1749731894.7024589,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749731909.244475,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749732483.488317,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749732557.8642812,1.5,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1749733812.450511,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749734384.5863771,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749737715.98343,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749739810.6738548,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749741020.9404001,1.5,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1749742582.423873,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749746062.54421,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749751170.955452,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749751475.840702,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749754812.3520389,1.5,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1749755018.973469,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749755038.0167022,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749755184.277247,1.5,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1749755388.613785,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749755502.003172,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749756061.800483,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749756574.3275828,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749758122.362969,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749758436.663264,1.5,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1749761672.700222,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749763429.026813,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749763533.885023,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749795384.2024221,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749796152.372375,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749797051.0732799,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749797490.05473,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749802124.238791,1.5,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1749802825.007865,1.5,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1749804746.004597,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749805593.2325702,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749814596.596844,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749817562.9652572,1.5,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1749819937.294378,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749828014.464645,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749830248.337857,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749834346.682682,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749834685.590108,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749835456.543676,1.5,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1749835547.022575,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749835749.807173,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749836222.611417,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749837259.9223418,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749838207.5768309,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749839708.245288,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749840011.627633,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749841105.103805,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749841825.478447,1.5,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1749842725.612756,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749842738.679591,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749842789.420649,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749844247.453037,1.5,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1749844621.3296251,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749845104.935792,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749845393.724203,1.5,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1749845494.915498,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749847282.3419561,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749847571.876447,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749886197.380697,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749886369.695263,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749888031.6224189,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749895818.759038,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749903298.7814689,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749904589.5391622,1.5,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1749905178.4895039,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749905192.088378,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749905860.151453,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749905890.239229,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749916977.5237799,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749919238.847717,1.5,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1749924843.0027652,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749926580.050154,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749932137.752993,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749932274.346949,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749932517.137848,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749935175.7262979,1.5,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1749935277.625341,1.5,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1749937036.333838,1.5,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1749937038.033698,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749977663.043961,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749978567.7922401,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749983136.379163,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749983551.87321,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749985239.2603722,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749986124.376082,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749987281.45732,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749987327.47584,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749987672.738927,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1749998054.629617,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750003029.692256,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750004302.644373,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750004338.291893,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750005001.308899,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750005580.653229,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750006338.761705,1.5,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1750006796.429335,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750008440.98031,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750008506.1241,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750009257.71811,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750016799.241355,1.5,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1750019586.959906,1.5,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1750019746.789472,1.5,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1750019756.0158582,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750057484.750459,1.5,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1750058262.3383389,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750064488.088155,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750078094.152257,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750083182.0447578,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750091797.0960221,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750101659.305013,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750101791.341113,1.5,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1750101859.96102,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750102526.111819,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750103651.587833,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750103694.056891,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750104625.4538941,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750104744.360246,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750104803.895286,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750105315.251867,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750106477.899308,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750107432.691746,1.5,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1750107456.228544,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750140985.422141,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750143218.2655702,1.5,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1750145289.256795,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750145330.823056,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750145465.2359881,1.5,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1750146034.4967852,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750146039.264296,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750146549.8880239,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750148782.681889,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750148974.083534,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750149440.081707,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750149657.725308,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750151588.945472,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750154913.592092,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750155236.523637,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750155934.1433902,1.5,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750180523.404193,6.0,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1750186674.0679312,6.0,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1750187448.700508,6.0,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750188229.0157561,6.0,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1750188316.993537,6.0,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750191245.9471068,6.0,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750191334.389225,6.0,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1750193475.391371,6.0,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750226920.063932,6.0,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1750227572.458013,6.0,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1750227574.790101,6.0,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750232340.853018,6.0,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1750241229.224368,6.0,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750247259.0377269,6.0,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750247672.185354,6.0,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750256004.101649,6.0,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750256380.8265939,6.0,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1750257090.978393,6.0,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750269594.553266,6.0,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750270292.187145,6.0,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750270874.402549,6.0,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1750271759.847132,6.0,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750271808.72656,6.0,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750273084.646384,6.0,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750277270.8583121,6.0,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750277563.6585898,6.0,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750277709.16253,6.0,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750278473.792698,6.0,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750314479.345086,6.0,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750318855.897544,6.0,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750318920.614276,6.0,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1750322370.360602,6.0,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750322802.8752851,6.0,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750330926.993633,6.0,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750331197.93684,6.0,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1750331913.518601,6.0,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750331929.816558,6.0,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750332412.717041,6.0,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1750333385.728009,6.0,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1750334168.54043,6.0,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750334182.205299,6.0,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750337411.957511,6.0,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750351342.666164,6.0,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750353461.939369,6.0,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750354553.5894198,6.0,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750355324.285802,6.0,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1750357254.5154362,6.0,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750364386.897242,6.0,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750364492.964751,6.0,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750368236.224539,6.0,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750407507.564269,6.0,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750412416.6726298,6.0,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1750413838.2962708,6.0,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1750414118.898814,6.0,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750414313.499323,6.0,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750423970.188696,6.0,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750425219.008693,6.0,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750435422.950248,6.0,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750443022.343081,6.0,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1750453152.318962,6.0,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1750453168.108681,6.0,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750453541.778985,6.0,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750493938.609004,6.0,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750499978.893018,6.0,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750506544.2938619,6.0,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750510378.884595,6.0,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750513617.784895,6.0,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750518381.655838,6.0,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1750519492.0970159,6.0,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1750522380.552264,6.0,Europe/Paris,breathingExercise,
instagram,False,dismissedAppOpening,1750524006.921371,6.0,Europe/Paris,breathingExercise,
instagram,False,openedApp,1750533013.32232,6.0,Europe/Paris,breathingExercise,
