interventionType,resolution,timestamp,purpose,timezone,interventionDuration,isReIntervention,app,timeIntervalUntilReIntervention
breathingExercise,openedApp,1750516758.258854,Besked,Europe/Copenhagen,1.5,False,instagram,
breathingExercise,openedApp,1750520578.662142,Tjek likes,Europe/Copenhagen,1.5,False,tikTok,
breathingExercise,openedApp,1750520687.371494,Lave et opslag,Europe/Copenhagen,1.5,False,tikTok,
breathingExercise,openedApp,1750521576.744049,Find information,Europe/Copenhagen,1.5,False,tikTok,
breathingExercise,openedApp,1750521691.258393,Find information,Europe/Copenhagen,1.5,False,tikTok,
breathingExercise,openedApp,1750522459.524945,Find information,Europe/Copenhagen,1.5,False,tikTok,
breathingExercise,openedApp,1750523928.790975,Find information,Europe/Copenhagen,1.5,False,tikTok,
breathingExercise,openedApp,1750525047.049931,Find information,Europe/Copenhagen,1.5,False,tikTok,
breathingExercise,openedApp,1750525170.987247,Find information,Europe/Copenhagen,1.5,False,tikTok,
breathingExercise,openedApp,1750526629.049752,Hold dig opdateret,Europe/Copenhagen,1.5,False,instagram,
breathingExercise,openedApp,1750528490.613593,Kedsomhed,Europe/Copenhagen,1.5,False,tikTok,
breathingExercise,openedApp,1750529496.537716,Lave et opslag,Europe/Copenhagen,1.5,False,tikTok,
breathingExercise,openedApp,1750531826.564196,Besked,Europe/Copenhagen,1.5,False,facebook,
breathingExercise,openedApp,1750532136.508811,Kedsomhed,Europe/Copenhagen,1.5,False,facebook,
breathingExercise,openedApp,1750577271.4342442,Lave et opslag,Europe/Copenhagen,1.5,False,tikTok,
breathingExercise,openedApp,1750578135.5063891,Toilet,Europe/Copenhagen,1.5,False,tikTok,
breathingExercise,openedApp,1750578775.387953,Kedsomhed,Europe/Copenhagen,1.5,False,tikTok,
breathingExercise,openedApp,1750579145.3597488,Hold dig opdateret,Europe/Copenhagen,1.5,False,tikTok,
breathingExercise,dismissedAppOpening,1750580386.718528,,Europe/Copenhagen,1.5,False,tikTok,
breathingExercise,openedApp,1750580505.5490708,Underholdning,Europe/Copenhagen,1.5,False,tikTok,
breathingExercise,openedApp,1750581191.239047,Undslippe / Undgå,Europe/Copenhagen,1.5,False,tikTok,
breathingExercise,dismissedAppOpening,1750593596.201657,,Europe/Copenhagen,1.5,False,tikTok,
breathingExercise,openedApp,1750595764.3389459,Lave et opslag,Europe/Copenhagen,1.5,False,tikTok,
breathingExercise,openedApp,1750596885.832084,Lave et opslag,Europe/Copenhagen,1.5,False,tikTok,
breathingExercise,dismissedAppOpening,1750599195.6888351,,Europe/Copenhagen,1.5,False,tikTok,
breathingExercise,openedApp,1750599487.505575,Lave et opslag,Europe/Copenhagen,1.5,False,tikTok,
breathingExercise,openedApp,1750605508.102926,Hold dig opdateret,Europe/Copenhagen,1.5,False,tikTok,
breathingExercise,openedApp,1750623489.1128411,Tjek likes,Europe/Copenhagen,1.5,False,facebook,
breathingExercise,dismissedAppOpening,1750623720.790333,,Europe/Copenhagen,1.5,False,tikTok,
breathingExercise,openedApp,1750623816.08805,Lave et opslag,Europe/Copenhagen,1.5,False,tikTok,
breathingExercise,openedApp,1750624028.6709828,Lave et opslag,Europe/Copenhagen,1.5,False,tikTok,
breathingExercise,dismissedAppOpening,1750624210.5379748,,Europe/Copenhagen,1.5,False,tikTok,
breathingExercise,openedApp,1750662772.19226,Tjek likes,Europe/Copenhagen,1.5,False,tikTok,
breathingExercise,openedApp,1750662962.539953,Kedsomhed,Europe/Copenhagen,1.5,False,tikTok,
breathingExercise,openedApp,1750677068.5760942,Find information,Europe/Copenhagen,1.5,False,facebook,
breathingExercise,openedApp,1750677335.229285,Find information,Europe/Copenhagen,1.5,False,facebook,
,closedApp,1750677348.969061,,Europe/Copenhagen,,False,facebook,
,closedApp,1750677443.821697,,Europe/Copenhagen,,False,facebook,
breathingExercise,openedApp,1750677540.971926,Find information,Europe/Copenhagen,1.5,False,instagram,
,closedApp,1750677948.722363,,Europe/Copenhagen,,False,instagram,
breathingExercise,openedApp,1750681585.859227,Kedsomhed,Europe/Copenhagen,1.5,False,tikTok,
,closedApp,1750683413.153432,,Europe/Copenhagen,,False,tikTok,
breathingExercise,openedApp,1750756611.436794,Tjek likes,Europe/Copenhagen,1.5,False,facebook,
,closedApp,1750756811.787627,,Europe/Copenhagen,,False,facebook,
breathingExercise,dismissedAppOpening,1750757133.511969,,Europe/Copenhagen,1.5,False,facebook,
breathingExercise,openedApp,1750757678.4195042,Tjek likes,Europe/Copenhagen,1.5,False,instagram,
,closedApp,1750757860.171762,,Europe/Copenhagen,,False,instagram,
,closedApp,1750760010.7750878,,Europe/Copenhagen,,False,instagram,
breathingExercise,openedApp,1750761437.8461199,Tjek likes,Europe/Copenhagen,1.5,False,facebook,
,closedApp,1750761462.4172158,,Europe/Copenhagen,,False,facebook,
breathingExercise,dismissedAppOpening,1750761465.320301,,Europe/Copenhagen,1.5,False,instagram,
breathingExercise,openedApp,1750761495.325068,Tjek likes,Europe/Copenhagen,1.5,False,tikTok,
,closedApp,1750761510.855118,,Europe/Copenhagen,,False,tikTok,
,closedApp,1750764259.8619819,,Europe/Copenhagen,,False,tikTok,
,closedApp,1750765120.9184399,,Europe/Copenhagen,,False,tikTok,
breathingExercise,openedApp,1750769723.624675,Hold dig opdateret,Europe/Copenhagen,1.5,False,instagram,
,closedApp,1750770064.4820151,,Europe/Copenhagen,,False,instagram,
,closedApp,1750770509.1352038,,Europe/Copenhagen,,False,instagram,
,closedApp,1750770800.139789,,Europe/Copenhagen,,False,instagram,
,closedApp,1750771199.883195,,Europe/Copenhagen,,False,instagram,
,closedApp,1750772968.86829,,Europe/Copenhagen,,False,instagram,
breathingExercise,openedApp,1750773516.924549,Tjek likes,Europe/Copenhagen,1.5,False,tikTok,
,closedApp,1750776556.861767,,Europe/Copenhagen,,False,tikTok,
,closedApp,1750781958.774997,,Europe/Copenhagen,,False,tikTok,
breathingExercise,openedApp,1750782037.7860131,Kedsomhed,Europe/Copenhagen,1.5,False,tikTok,
,closedApp,1750782674.891714,,Europe/Copenhagen,,False,tikTok,
,closedApp,1750783652.1778579,,Europe/Copenhagen,,False,tikTok,
breathingExercise,openedApp,1750783779.892993,Find information,Europe/Copenhagen,1.5,False,tikTok,
,closedApp,1750783821.4030728,,Europe/Copenhagen,,False,tikTok,
,closedApp,1750783962.566391,,Europe/Copenhagen,,False,tikTok,
,closedApp,1750784123.681601,,Europe/Copenhagen,,False,tikTok,
,closedApp,1750784631.390863,,Europe/Copenhagen,,False,tikTok,
,closedApp,1750784634.612407,,Europe/Copenhagen,,False,tikTok,
,closedApp,1750784754.348651,,Europe/Copenhagen,,False,tikTok,
breathingExercise,openedApp,1750787278.492332,Find information,Europe/Copenhagen,1.5,False,tikTok,
breathingExercise,openedApp,1750790204.722344,Find information,Europe/Copenhagen,1.5,False,tikTok,
breathingExercise,openedApp,1750792944.056925,Hold dig opdateret,Europe/Copenhagen,1.5,False,facebook,
,closedApp,1750787927.165734,,Europe/Copenhagen,,False,tikTok,
,closedApp,1750788605.5499659,,Europe/Copenhagen,,False,tikTok,
,closedApp,1750792262.36338,,Europe/Copenhagen,,False,tikTok,
,closedApp,1750793003.018929,,Europe/Copenhagen,,False,facebook,
breathingExercise,dismissedAppOpening,1750794798.6039271,,Europe/Copenhagen,1.5,False,instagram,
breathingExercise,openedApp,1750794821.281005,Hold dig opdateret,Europe/Copenhagen,1.5,False,instagram,300.0
,closedApp,1750795132.2884521,,Europe/Copenhagen,,False,instagram,
breathingExercise,openedApp,1750834107.415015,Besked,Europe/Copenhagen,1.5,False,instagram,180.0
,closedApp,1750834181.918494,,Europe/Copenhagen,,False,instagram,
breathingExercise,openedApp,1750841357.23194,Hold dig opdateret,Europe/Copenhagen,1.5,False,facebook,300.0
