interventionDuration,isReIntervention,interventionType,app,timezone,timestamp,resolution
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753333741.018909,dismissedAppOpening
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753343408.551793,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753345367.173853,dismissedAppOpening
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753345375.974451,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753347596.268636,dismissedAppOpening
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753356222.852457,dismissedAppOpening
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753357557.919569,dismissedAppOpening
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753357563.940319,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753358238.987403,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753358360.226023,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753361725.556532,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753363464.58147,dismissedAppOpening
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753365331.712497,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753365354.600359,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753367188.786611,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753368236.770389,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753369569.217678,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753372122.24583,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753372799.103502,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753375468.099308,dismissedAppOpening
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753375574.196701,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753376327.5980082,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753378952.237616,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753382486.195808,dismissedAppOpening
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753383109.031452,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753386301.656077,dismissedAppOpening
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753416763.631823,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753440252.3258638,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753445447.710196,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753447381.666381,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753448518.374732,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753454128.788653,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753469257.550041,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753470935.54912,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753514792.334694,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753515994.413529,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753518126.0148702,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753525616.333302,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753526143.734456,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753527546.666346,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753533563.9451818,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753537567.25735,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753537971.280167,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753540748.323358,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753545380.511598,openedApp
,False,journaling,tikTok,Europe/Berlin,1753559354.287997,dismissedAppOpening
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753559363.346427,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753602357.04922,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753603795.530648,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753646424.142204,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753650581.350349,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753675697.455889,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753678595.823944,dismissedAppOpening
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753679274.1174068,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753709829.0416799,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753710833.671739,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753720257.4395409,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753735245.384966,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753736770.871767,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753762821.181857,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753766552.8037782,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753768544.725848,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753794285.472587,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753794371.5610662,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753794574.9969769,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753794712.04071,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753798834.397389,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753798909.230407,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753800086.3002748,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753801644.389309,dismissedAppOpening
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753801673.2540588,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753808070.73662,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753809319.318822,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753818689.592472,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753819281.484874,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753822588.197242,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753852354.2044768,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753855348.486829,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753855714.795542,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753856042.857758,dismissedAppOpening
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753856075.5208678,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753856287.510964,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753878199.653939,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753882640.4500341,dismissedAppOpening
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753885607.54579,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753888295.1153898,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753888858.34931,dismissedAppOpening
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753888866.040823,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753889117.354557,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753904465.233509,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753905227.086335,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753909455.607542,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753946249.246296,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753950898.8345032,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753951808.50599,dismissedAppOpening
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753954298.424242,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753955461.884223,dismissedAppOpening
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753962091.895413,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753965384.558363,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753971967.468871,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753979766.338958,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753990798.3429,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1753990844.228446,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1754028023.5691838,dismissedAppOpening
1.5,False,breathingExercise,tikTok,Europe/Berlin,1754034290.1216521,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1754035759.827561,dismissedAppOpening
1.5,False,breathingExercise,tikTok,Europe/Berlin,1754035983.5575352,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1754036300.535201,dismissedAppOpening
1.5,False,breathingExercise,tikTok,Europe/Berlin,1754036306.9284801,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1754038261.817781,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1754064973.3105168,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1754065128.599452,dismissedAppOpening
1.5,False,breathingExercise,tikTok,Europe/Berlin,1754074570.0770779,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1754075038.408749,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1754080996.5225558,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1754081111.549953,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1754084053.786384,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1754121471.378968,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1754121607.303257,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1754123378.500287,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1754128384.825619,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1754130586.475328,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1754131574.917327,dismissedAppOpening
1.5,False,breathingExercise,tikTok,Europe/Berlin,1754140062.604638,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1754142043.423604,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1754158599.376875,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1754158658.2950401,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1754167530.53794,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1754167655.8942819,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1754205379.896515,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1754206062.924335,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1754206207.702281,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1754207035.813212,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1754209586.298801,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1754209996.933292,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1754221888.124624,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1754231530.311763,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1754236475.624479,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1754238844.067466,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1754243753.587905,openedApp
1.5,False,breathingExercise,tikTok,Europe/Berlin,1754256508.2107449,openedApp
