purpose,timestamp,resolution,isReIntervention,interventionDuration,timezone,app,interventionType
Search Info,1750020579.263678,openedApp,False,1.5,Europe/Berlin,youtube,breathingExercise
Search Info,1750107891.076723,openedApp,False,1.5,Europe/Berlin,youtube,breathingExercise
,1750111093.7378712,dismissedAppOpening,False,1.5,Europe/Berlin,youtube,breathingExercise
Entertainment,1750177701.069121,openedApp,False,1.5,Europe/Berlin,youtube,breathingExercise
,1750179141.3203301,dismissedAppOpening,False,1.5,Europe/Berlin,youtube,breathingExercise
Entertainment,1750196618.229381,openedApp,False,1.5,Europe/Berlin,youtube,breathingExercise
Entertainment,1750279463.460476,openedApp,False,1.5,Europe/Berlin,youtube,breathingExercise
Entertainment,1750329928.8113341,openedApp,False,1.5,Europe/Berlin,youtube,breathingExercise
Entertainment,1750330798.759707,openedApp,False,1.5,Europe/Berlin,youtube,breathingExercise
Entertainment,1750490551.122782,openedApp,False,1.5,Europe/Berlin,youtube,breathingExercise
Entertainment,1750493102.9672961,openedApp,False,1.5,Europe/Berlin,youtube,breathingExercise
,1750494274.633414,dismissedAppOpening,False,1.5,Europe/Berlin,youtube,breathingExercise
,1750543192.57635,dismissedAppOpening,False,1.5,Europe/Berlin,youtube,breathingExercise
Search Info,1750545128.19812,openedApp,False,1.5,Europe/Berlin,youtube,breathingExercise
,1750545699.1244168,dismissedAppOpening,False,1.5,Europe/Berlin,youtube,breathingExercise
Search Info,1750545741.9239712,openedApp,False,1.5,Europe/Berlin,youtube,breathingExercise
Entertainment,1750546741.142496,openedApp,False,1.5,Europe/Berlin,youtube,breathingExercise
Can’t sleep,1750548897.321566,openedApp,False,1.5,Europe/Berlin,youtube,breathingExercise
Escape / Avoid,1750549289.1250172,openedApp,False,1.5,Europe/Berlin,youtube,breathingExercise
,1750550081.862479,dismissedAppOpening,False,1.5,Europe/Berlin,youtube,breathingExercise
Entertainment,1750550100.1981978,openedApp,False,1.5,Europe/Berlin,youtube,breathingExercise
Entertainment,1750587122.796506,openedApp,False,1.5,Europe/Berlin,youtube,breathingExercise
Search Info,1750701289.3898392,openedApp,False,1.5,Europe/Berlin,youtube,breathingExercise
Entertainment,1750701710.028024,openedApp,False,1.5,Europe/Berlin,youtube,breathingExercise
