isReIntervention,timezone,app,interventionType,interventionDuration,timestamp,resolution,timeIntervalUntilReIntervention
False,Europe/Madrid,instagram,breathingExercise,1.5,1749484913.571599,dismissedAppOpening,
False,Europe/Madrid,instagram,breathingExercise,1.5,1749484938.750165,openedApp,
False,Europe/Madrid,instagram,breathingExercise,1.5,1749487116.977803,dismissedAppOpening,
False,Europe/Madrid,instagram,breathingExercise,1.5,1749487163.156983,openedApp,300.0
False,Europe/Madrid,instagram,breathingExercise,1.5,1749487475.5862179,openedApp,300.0
False,Europe/Madrid,instagram,breathingExercise,1.5,1749487869.066603,openedApp,300.0
False,Europe/Madrid,instagram,breathingExercise,1.5,1749498909.298777,openedApp,300.0
False,Europe/Madrid,instagram,breathingExercise,1.5,1749502957.455505,openedApp,300.0
False,Europe/Madrid,instagram,breathingExercise,1.5,1749503280.6783252,openedApp,300.0
False,Europe/Madrid,instagram,breathingExercise,1.5,1749503987.602264,openedApp,300.0
False,Europe/Madrid,instagram,breathingExercise,1.5,1749504700.735239,openedApp,300.0
False,Europe/Madrid,instagram,breathingExercise,1.5,1749505012.750906,openedApp,300.0
False,Europe/Madrid,instagram,breathingExercise,1.5,1749505321.005424,openedApp,300.0
False,Europe/Madrid,instagram,breathingExercise,1.5,1749505628.162976,openedApp,300.0
False,Europe/Madrid,instagram,breathingExercise,1.5,1749505936.214545,openedApp,300.0
False,Europe/Madrid,instagram,breathingExercise,1.5,1749506245.454685,openedApp,300.0
False,Europe/Madrid,instagram,breathingExercise,1.5,1749506553.722628,openedApp,300.0
False,Europe/Madrid,instagram,breathingExercise,1.5,1749561509.425034,openedApp,240.0
False,Europe/Madrid,instagram,breathingExercise,1.5,1749567819.593461,openedApp,300.0
False,Europe/Madrid,instagram,breathingExercise,1.5,1749571468.210973,openedApp,300.0
False,Europe/Madrid,instagram,breathingExercise,1.5,1749583039.011746,openedApp,300.0
False,Europe/Madrid,instagram,breathingExercise,1.5,1749583355.937453,openedApp,300.0
False,Europe/Madrid,instagram,breathingExercise,1.5,1749583665.1476998,openedApp,300.0
False,Europe/Madrid,instagram,breathingExercise,1.5,1749583974.2335958,openedApp,300.0
False,Europe/Madrid,instagram,breathingExercise,1.5,1749584285.2935529,openedApp,300.0
False,Europe/Madrid,instagram,breathingExercise,1.5,1749584599.811987,openedApp,300.0
False,Europe/Madrid,instagram,breathingExercise,1.5,1749584935.979048,openedApp,300.0
False,Europe/Madrid,instagram,breathingExercise,1.5,1749585320.0817761,openedApp,300.0
False,Europe/Madrid,instagram,breathingExercise,1.5,1749585540.832633,openedApp,300.0
False,Europe/Madrid,instagram,breathingExercise,1.5,1749585940.83167,openedApp,300.0
False,Europe/Madrid,instagram,breathingExercise,1.5,1749588105.454386,openedApp,300.0
False,Europe/Madrid,instagram,breathingExercise,1.5,1749588414.752914,openedApp,300.0
False,Europe/Madrid,instagram,breathingExercise,1.5,1749588723.960382,openedApp,300.0
False,Europe/Madrid,instagram,breathingExercise,1.5,1749626839.8442202,openedApp,300.0
False,Europe/Madrid,instagram,breathingExercise,1.5,1749627167.788183,openedApp,300.0
False,Europe/Madrid,instagram,breathingExercise,1.5,1749640623.757855,openedApp,300.0
False,Europe/Madrid,instagram,breathingExercise,1.5,1749641062.482318,openedApp,300.0
False,Europe/Madrid,instagram,breathingExercise,1.5,1749641890.216282,dismissedAppOpening,
False,Europe/Madrid,instagram,breathingExercise,1.5,1749641983.452759,openedApp,300.0
False,Europe/Madrid,instagram,breathingExercise,1.5,1749643332.474061,dismissedAppOpening,
False,Europe/Madrid,instagram,breathingExercise,1.5,1749649347.380799,openedApp,300.0
False,Europe/Madrid,instagram,breathingExercise,1.5,1749649671.15477,openedApp,300.0
False,Europe/Madrid,instagram,breathingExercise,1.5,1749649996.109741,openedApp,300.0
False,Europe/Madrid,instagram,breathingExercise,1.5,1749650312.5146232,openedApp,300.0
False,Europe/Madrid,instagram,breathingExercise,1.5,1749654999.3121219,openedApp,300.0
False,Europe/Madrid,instagram,breathingExercise,1.5,1749655312.586853,openedApp,300.0
False,Europe/Madrid,instagram,breathingExercise,1.5,1749667158.253454,openedApp,300.0
False,Europe/Madrid,instagram,breathingExercise,1.5,1749667542.82766,openedApp,300.0
False,Europe/Madrid,instagram,breathingExercise,1.5,1749667972.79139,openedApp,300.0
False,Europe/Madrid,instagram,breathingExercise,1.5,1749671242.236782,openedApp,300.0
False,Europe/Madrid,instagram,breathingExercise,1.5,1749671286.798763,openedApp,300.0
False,Europe/Madrid,instagram,breathingExercise,1.5,1749671772.600651,openedApp,300.0
False,Europe/Madrid,instagram,breathingExercise,1.5,1749713361.656039,openedApp,300.0
False,Europe/Madrid,instagram,breathingExercise,1.5,1749713796.5736709,openedApp,300.0
False,Europe/Madrid,instagram,breathingExercise,1.5,1749714842.325845,dismissedAppOpening,
False,Europe/Madrid,instagram,breathingExercise,1.5,1749714889.376194,openedApp,300.0
False,Europe/Madrid,instagram,breathingExercise,1.5,1749714970.741945,openedApp,300.0
False,Europe/Madrid,instagram,breathingExercise,1.5,1749728990.968707,openedApp,300.0
False,Europe/Madrid,instagram,breathingExercise,1.5,1749740246.4333,dismissedAppOpening,
False,Europe/Madrid,instagram,breathingExercise,1.5,1749740257.3386068,openedApp,300.0
False,Europe/Madrid,instagram,breathingExercise,1.5,1749740379.596791,openedApp,300.0
False,Europe/Madrid,instagram,breathingExercise,1.5,1749740834.109864,openedApp,300.0
False,Europe/Madrid,instagram,breathingExercise,1.5,1749743967.6116219,openedApp,300.0
False,Europe/Madrid,instagram,breathingExercise,1.5,1749744741.249411,openedApp,300.0
False,Europe/Madrid,instagram,breathingExercise,1.5,1749745048.222456,openedApp,300.0
False,Europe/Madrid,instagram,breathingExercise,1.5,1749745357.073484,openedApp,300.0
False,Europe/Madrid,instagram,breathingExercise,1.5,1749745637.4858909,openedApp,300.0
False,Europe/Madrid,instagram,breathingExercise,1.5,1749756963.599227,openedApp,300.0
False,Europe/Madrid,instagram,breathingExercise,1.5,1749761037.89571,openedApp,300.0
False,Europe/Madrid,instagram,breathingExercise,1.5,1749761372.3652658,openedApp,300.0
False,Europe/Madrid,instagram,breathingExercise,1.5,1749761678.72083,openedApp,300.0
False,Europe/Madrid,instagram,breathingExercise,1.5,1749761987.0263429,openedApp,300.0
False,Europe/Madrid,instagram,breathingExercise,1.5,1749814244.1588368,openedApp,300.0
False,Europe/Madrid,instagram,breathingExercise,1.5,1749814904.184649,openedApp,300.0
False,Europe/Madrid,instagram,breathingExercise,1.5,1749815218.3771858,openedApp,300.0
False,Europe/Madrid,instagram,breathingExercise,1.5,1749815526.246733,openedApp,300.0
False,Europe/Madrid,instagram,breathingExercise,1.5,1749815831.672085,openedApp,300.0
False,Europe/Madrid,instagram,breathingExercise,1.5,1749816147.263699,openedApp,300.0
False,Europe/Madrid,instagram,breathingExercise,1.5,1749820423.124182,openedApp,300.0
False,Europe/Madrid,instagram,breathingExercise,1.5,1749820732.7656012,openedApp,300.0
False,Europe/Madrid,instagram,breathingExercise,1.5,1749821043.360333,openedApp,300.0
False,Europe/Madrid,instagram,breathingExercise,1.5,1749821353.468731,openedApp,300.0
False,Europe/Madrid,instagram,breathingExercise,1.5,1749821666.160102,openedApp,300.0
False,Europe/Madrid,instagram,breathingExercise,1.5,1749821979.631772,openedApp,300.0
False,Europe/Madrid,instagram,breathingExercise,1.5,1749824320.969425,openedApp,300.0
False,Europe/Madrid,instagram,breathingExercise,1.5,1749824639.201473,openedApp,300.0
False,Europe/Madrid,instagram,breathingExercise,1.5,1749824948.0982761,openedApp,300.0
False,Europe/Madrid,instagram,breathingExercise,1.5,1749825254.74564,openedApp,300.0
