timestamp,app,interventionType,interventionDuration,isReIntervention,timezone,resolution
1752207043.467361,youtube,breathingExercise,1.5,False,America/New_York,openedApp
1752208054.12052,youtube,breathingExercise,1.5,False,America/New_York,openedApp
1752208423.919313,youtube,breathingExercise,1.5,False,America/New_York,openedApp
1752242537.339643,youtube,breathingExercise,1.5,False,America/New_York,openedApp
1752243137.7038999,youtube,breathingExercise,1.5,False,America/New_York,openedApp
1752243193.930225,youtube,breathingExercise,1.5,False,America/New_York,dismissedAppOpening
1752243893.863169,youtube,breathingExercise,1.5,False,America/New_York,openedApp
1752244077.897886,youtube,,,False,America/New_York,closedApp
1752244106.4714189,youtube,breathingExercise,1.5,False,America/New_York,openedApp
1752244156.25963,youtube,,,False,America/New_York,closedApp
1752244170.516963,youtube,breathingExercise,1.5,False,America/New_York,openedApp
1752245909.169306,youtube,,,False,America/New_York,closedApp
1752420032.220399,youtube,breathingExercise,1.5,False,America/Chicago,openedApp
1752420097.3190389,youtube,,,False,America/Chicago,closedApp
1752500189.581705,youtube,breathingExercise,1.5,False,America/Chicago,openedApp
1752501028.005762,youtube,,,False,America/Chicago,closedApp
1752501216.104768,youtube,breathingExercise,1.5,False,America/Chicago,openedApp
1752501305.642229,youtube,,,False,America/Chicago,closedApp
1752501318.899016,youtube,breathingExercise,1.5,False,America/Chicago,openedApp
1752503118.045343,youtube,,,False,America/Chicago,closedApp
1752508522.58773,youtube,breathingExercise,1.5,False,America/Chicago,openedApp
1752509331.077137,youtube,,,False,America/Chicago,closedApp
1752509468.5042381,youtube,breathingExercise,1.5,False,America/Chicago,openedApp
1752510120.083988,youtube,,,False,America/Chicago,closedApp
1752510176.6084409,youtube,breathingExercise,1.5,False,America/Chicago,openedApp
1752510376.122809,youtube,,,False,America/Chicago,closedApp
1752589865.123322,youtube,breathingExercise,1.5,False,America/Chicago,openedApp
1752693738.985954,youtube,breathingExercise,1.5,False,America/Chicago,dismissedAppOpening
1752761913.7743568,youtube,breathingExercise,1.5,False,America/Chicago,openedApp
1752763066.0492811,youtube,,,False,America/Chicago,closedApp
1752763557.7248,youtube,breathingExercise,1.5,False,America/Chicago,openedApp
1752764426.616424,youtube,,,False,America/Chicago,closedApp
1752764551.581209,youtube,breathingExercise,1.5,False,America/Chicago,openedApp
1752765239.674107,youtube,,,False,America/Chicago,closedApp
1752765288.530312,youtube,breathingExercise,1.5,False,America/Chicago,openedApp
1752767630.011493,youtube,,,False,America/Chicago,closedApp
1752767654.296208,youtube,breathingExercise,1.5,False,America/Chicago,openedApp
1752767768.3520498,youtube,,,False,America/Chicago,closedApp
1752767787.1964312,youtube,breathingExercise,1.5,False,America/Chicago,openedApp
1752768328.5023031,youtube,,,False,America/Chicago,closedApp
1752769163.0093951,youtube,,,False,America/Chicago,closedApp
1752773176.207484,youtube,breathingExercise,1.5,False,America/Chicago,openedApp
1752773532.169317,youtube,,,False,America/Chicago,closedApp
1752773568.328249,youtube,breathingExercise,1.5,False,America/Chicago,openedApp
1752773661.287678,youtube,,,False,America/Chicago,closedApp
1752773663.13841,youtube,,,False,America/Chicago,closedApp
1752773745.749497,youtube,breathingExercise,1.5,False,America/Chicago,openedApp
1752775681.56301,youtube,,,False,America/Chicago,closedApp
1752775831.9986649,youtube,breathingExercise,1.5,False,America/Chicago,openedApp
1752776618.245673,youtube,,,False,America/Chicago,closedApp
1752785920.912743,youtube,breathingExercise,1.5,False,America/Chicago,openedApp
1752788368.697834,youtube,,,False,America/Chicago,closedApp
1752788505.687189,youtube,breathingExercise,1.5,False,America/Chicago,openedApp
1752788620.167077,youtube,,,False,America/Chicago,closedApp
1752803618.733526,youtube,breathingExercise,1.5,False,America/Chicago,openedApp
1752803939.2154,youtube,,,False,America/Chicago,closedApp
1752849906.886328,youtube,breathingExercise,1.5,False,America/Chicago,openedApp
1752850234.442498,youtube,,,False,America/Chicago,closedApp
1752850299.4579458,youtube,breathingExercise,1.5,False,America/Chicago,openedApp
1752850499.218498,youtube,,,False,America/Chicago,closedApp
1752850573.632602,youtube,breathingExercise,1.5,False,America/Chicago,openedApp
1752850766.644298,youtube,,,False,America/Chicago,closedApp
1752850858.9802132,youtube,breathingExercise,1.5,False,America/Chicago,openedApp
1752851305.2207189,youtube,,,False,America/Chicago,closedApp
1752852388.6891952,youtube,breathingExercise,1.5,False,America/Chicago,openedApp
1752852902.6724138,youtube,,,False,America/Chicago,closedApp
1752852960.041717,youtube,breathingExercise,1.5,False,America/Chicago,openedApp
1752854047.0425138,youtube,,,False,America/Chicago,closedApp
1752854656.5352988,youtube,breathingExercise,1.5,False,America/Chicago,openedApp
1752855486.736047,youtube,,,False,America/Chicago,closedApp
1752855548.807325,youtube,breathingExercise,1.5,False,America/Chicago,openedApp
1752856545.643608,youtube,,,False,America/Chicago,closedApp
1752856608.239276,youtube,breathingExercise,1.5,False,America/Chicago,openedApp
1752856665.0559669,youtube,,,False,America/Chicago,closedApp
1752856723.072922,youtube,breathingExercise,1.5,False,America/Chicago,dismissedAppOpening
1752856745.146994,youtube,breathingExercise,1.5,False,America/Chicago,openedApp
1752858530.870527,youtube,,,False,America/Chicago,closedApp
1752858585.6536632,youtube,breathingExercise,1.5,False,America/Chicago,openedApp
1752859926.43267,youtube,,,False,America/Chicago,closedApp
1752860147.2177172,youtube,breathingExercise,1.5,False,America/Chicago,openedApp
1752861603.2769241,youtube,,,False,America/Chicago,closedApp
1752862220.521432,youtube,breathingExercise,1.5,False,America/Chicago,openedApp
1752862251.670772,youtube,,,False,America/Chicago,closedApp
1752862440.965894,youtube,breathingExercise,1.5,False,America/Chicago,openedApp
1752862557.26125,youtube,,,False,America/Chicago,closedApp
1752863394.39837,youtube,breathingExercise,1.5,False,America/Chicago,openedApp
1752864028.739417,youtube,,,False,America/Chicago,closedApp
1752864098.278894,youtube,breathingExercise,1.5,False,America/Chicago,openedApp
1752866803.165643,youtube,,,False,America/Chicago,closedApp
1752873364.156939,youtube,breathingExercise,1.5,False,America/Chicago,openedApp
1752874146.620322,youtube,,,False,America/Chicago,closedApp
1753104767.510309,youtube,breathingExercise,1.5,False,America/Chicago,openedApp
1753106621.8854651,youtube,,,False,America/Chicago,closedApp
1753106852.0281081,youtube,breathingExercise,1.5,False,America/Chicago,openedApp
1753106960.9162621,youtube,,,False,America/Chicago,closedApp
1753107004.233108,youtube,breathingExercise,1.5,False,America/Chicago,openedApp
1753107419.166716,youtube,,,False,America/Chicago,closedApp
1753107575.698779,youtube,breathingExercise,1.5,False,America/Chicago,openedApp
1753109306.0639582,youtube,,,False,America/Chicago,closedApp
1753109418.527048,youtube,breathingExercise,1.5,False,America/Chicago,openedApp
1753112703.4445472,youtube,,,False,America/Chicago,closedApp
1753112796.649487,youtube,breathingExercise,1.5,False,America/Chicago,openedApp
1753112814.079937,youtube,breathingExercise,1.5,False,America/Chicago,openedApp
1753112958.3275142,youtube,,,False,America/Chicago,closedApp
1753112977.47055,youtube,breathingExercise,1.5,False,America/Chicago,openedApp
