resolution,timestamp,isReIntervention,timezone,interventionDuration,app,interventionType,timeIntervalUntilReIntervention
dismissedAppOpening,1750567977.270736,False,Asia/Baku,1.5,youtube,askForTimeLimit,
openedApp,1750568143.090485,False,Asia/Baku,1.5,youtube,breathingExercise,
openedApp,1750568065.552113,False,Asia/Baku,,youtube,,
closedApp,1750568125.552113,False,Asia/Baku,,youtube,,
dismissedAppOpening,1750568125.552113,False,Asia/Baku,,youtube,,
openedApp,1750568440.5671349,False,Asia/Baku,,youtube,,
closedApp,1750568500.567136,False,Asia/Baku,,youtube,,
dismissedAppOpening,1750568500.567136,False,Asia/Baku,,youtube,,
openedApp,1750568789.803154,False,Asia/Baku,,youtube,,
closedApp,1750568849.803155,False,Asia/Baku,,youtube,,
dismissedAppOpening,1750568849.803155,False,Asia/Baku,,youtube,,
openedApp,1750589664.9205499,False,Asia/Baku,1.5,youtube,breathingExercise,
openedApp,1750590368.334162,False,Asia/Baku,1.5,youtube,breathingExercise,
openedApp,1750666188.4583569,False,Asia/Baku,1.5,youtube,breathingExercise,
dismissedAppOpening,1750855872.7228498,False,Asia/Baku,1.5,youtube,breathingExercise,
openedApp,1750855887.098054,False,Asia/Baku,1.5,youtube,breathingExercise,
openedApp,1750864725.993781,False,Asia/Baku,1.5,youtube,breathingExercise,
openedApp,1750870706.2515988,False,Asia/Baku,1.5,youtube,breathingExercise,
openedApp,1750871584.66432,False,Asia/Baku,1.5,youtube,breathingExercise,
openedApp,1750874745.2177138,False,Asia/Baku,1.5,youtube,breathingExercise,
openedApp,1750878350.751703,False,Asia/Baku,1.5,youtube,breathingExercise,
openedApp,1750922764.358233,False,Asia/Baku,1.5,youtube,breathingExercise,
openedApp,1750955917.167465,False,Asia/Baku,,youtube,,
closedApp,1750955977.167465,False,Asia/Baku,,youtube,,
dismissedAppOpening,1750955977.167465,False,Asia/Baku,,youtube,,
openedApp,1750955986.96459,False,Asia/Baku,1.5,youtube,breathingExercise,
openedApp,1750957541.5126228,False,Asia/Baku,1.5,youtube,breathingExercise,
dismissedAppOpening,1750958810.116991,False,Asia/Baku,1.5,youtube,breathingExercise,
openedApp,1750995807.659212,False,Asia/Baku,1.5,youtube,breathingExercise,
openedApp,1751012968.224115,False,Asia/Baku,1.5,youtube,breathingExercise,
openedApp,1751014000.337925,False,Asia/Baku,1.5,youtube,breathingExercise,
openedApp,1751015111.514849,False,Asia/Baku,1.5,youtube,breathingExercise,
openedApp,1751018348.664526,False,Asia/Baku,1.5,youtube,breathingExercise,
openedApp,1751018712.246986,False,Asia/Baku,1.5,youtube,breathingExercise,
openedApp,1751098038.1990252,False,Asia/Baku,1.5,youtube,breathingExercise,
openedApp,1751100632.096314,False,Asia/Baku,1.5,youtube,breathingExercise,
openedApp,1751100561.756288,False,Asia/Baku,,youtube,,
closedApp,1751100621.756289,False,Asia/Baku,,youtube,,
dismissedAppOpening,1751100621.756289,False,Asia/Baku,,youtube,,
openedApp,1751112311.4371,False,Asia/Baku,1.5,youtube,breathingExercise,
openedApp,1751115023.908709,False,Asia/Baku,1.5,youtube,breathingExercise,
openedApp,1751115912.439229,False,Asia/Baku,1.5,youtube,breathingExercise,
openedApp,1751188620.2069612,False,Asia/Baku,1.5,youtube,breathingExercise,
dismissedAppOpening,1751191961.869388,False,Asia/Baku,1.5,youtube,breathingExercise,
openedApp,1751191972.669872,False,Asia/Baku,1.5,youtube,breathingExercise,
openedApp,1751212538.132122,False,Asia/Baku,1.5,youtube,breathingExercise,
openedApp,1751260129.460875,False,Asia/Baku,1.5,youtube,breathingExercise,
openedApp,1751262426.9127321,False,Asia/Baku,1.5,youtube,breathingExercise,
openedApp,1751355256.6555572,False,Asia/Baku,1.5,youtube,breathingExercise,
openedApp,1751359573.056282,False,Asia/Baku,1.5,youtube,breathingExercise,
openedApp,1751430870.641254,False,Asia/Baku,1.5,youtube,breathingExercise,
dismissedAppOpening,1751431538.3660889,False,Asia/Baku,1.5,youtube,breathingExercise,
openedApp,1751444783.851873,False,Asia/Baku,1.5,youtube,breathingExercise,
openedApp,1751452284.215423,False,Asia/Baku,1.5,youtube,breathingExercise,
openedApp,1751458710.8178968,False,Asia/Baku,1.5,youtube,breathingExercise,
openedApp,1751464801.761448,False,Asia/Baku,1.5,youtube,breathingExercise,
openedApp,1751612327.024561,False,Asia/Baku,1.5,youtube,breathingExercise,
openedApp,1751612727.23517,False,Asia/Baku,1.5,youtube,breathingExercise,
dismissedAppOpening,1751612727.884561,False,Asia/Baku,1.5,youtube,breathingExercise,
openedApp,1751616441.904437,False,Asia/Baku,1.5,youtube,breathingExercise,
openedApp,1751647376.722575,False,Asia/Baku,1.5,youtube,breathingExercise,
openedApp,1751647988.9181619,False,Asia/Baku,1.5,youtube,breathingExercise,
openedApp,1751648711.489973,False,Asia/Baku,1.5,youtube,breathingExercise,
openedApp,1751710601.078034,False,Asia/Baku,,youtube,,
