resolution,app,timestamp,isReIntervention,interventionDuration,interventionType,timezone
openedApp,tikTok,1752972388.332838,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1752974514.8212109,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1752974646.193378,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1752974819.0159621,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1752975102.174521,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1752975171.939141,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1752975245.591075,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1752983460.678069,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1752983654.2179751,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1752987943.575417,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1752988517.226707,False,1.5,breathingExercise,Europe/Zurich
dismissedAppOpening,tikTok,1752988704.815415,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1752988869.366385,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1752993019.089839,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1752993269.677253,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1752993834.507998,False,1.5,breathingExercise,Europe/Zurich
dismissedAppOpening,tikTok,1752994458.8960118,False,1.5,breathingExercise,Europe/Zurich
dismissedAppOpening,tikTok,1752994473.736425,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1752994486.373606,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1752996579.154889,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753027355.78158,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753032924.038105,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753040818.4440079,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753041516.227826,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753048873.526672,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753051412.324844,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753052499.515676,False,1.5,breathingExercise,Europe/Zurich
dismissedAppOpening,tikTok,1753054882.5413651,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753058858.593339,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753066197.516399,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753066806.355737,False,,,Europe/Zurich
closedApp,tikTok,1753066866.3557382,False,,,Europe/Zurich
dismissedAppOpening,tikTok,1753066866.3557382,False,,,Europe/Zurich
openedApp,tikTok,1753067855.4967031,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753102824.2237148,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753102902.620084,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753103539.975107,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753104162.298664,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753104969.137321,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753106294.6924229,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753109019.155175,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753109992.814176,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753110008.687542,False,,,Europe/Zurich
closedApp,tikTok,1753110068.687542,False,,,Europe/Zurich
dismissedAppOpening,tikTok,1753110068.687542,False,,,Europe/Zurich
openedApp,tikTok,1753110078.473192,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753111480.556814,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753111927.581676,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753112263.0973659,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753112458.8012419,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753113204.561849,False,1.5,breathingExercise,Europe/Zurich
dismissedAppOpening,tikTok,1753113204.841387,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753125821.0687551,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753127484.7176619,False,,,Europe/Zurich
closedApp,tikTok,1753127544.717663,False,,,Europe/Zurich
dismissedAppOpening,tikTok,1753127544.717663,False,,,Europe/Zurich
openedApp,tikTok,1753127553.228559,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753127877.613428,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753128073.6863918,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753128430.9631128,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753129123.29036,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753129570.5941582,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753130125.1535149,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753130432.905484,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753133430.411977,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753137374.7666059,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753138280.58735,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753138881.199761,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753139238.484088,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753140438.998503,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753150944.513157,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753154199.151938,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753178299.104072,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753178476.355664,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753179092.855942,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753179712.902349,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753180742.151089,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753195792.9629521,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753196550.003571,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753197082.237426,False,1.5,breathingExercise,Europe/Zurich
dismissedAppOpening,tikTok,1753197624.935699,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753197638.51999,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753198709.702886,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753199326.225021,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753200288.070066,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753200635.678941,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753201110.756768,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753201728.389165,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753207079.632598,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753207275.737115,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753207583.434435,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753207881.664504,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753208187.632492,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753208488.295836,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753209088.126131,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753210193.325008,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753210704.8819351,False,1.5,breathingExercise,Europe/Zurich
dismissedAppOpening,tikTok,1753210705.11338,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753215404.419327,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753226526.219954,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753227163.467664,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753227410.609081,False,,,Europe/Zurich
closedApp,tikTok,1753227470.609081,False,,,Europe/Zurich
dismissedAppOpening,tikTok,1753227470.609081,False,,,Europe/Zurich
openedApp,tikTok,1753227695.0457602,False,1.5,breathingExercise,Europe/Zurich
dismissedAppOpening,tikTok,1753228606.996717,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753228620.172261,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753229243.450501,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753256518.518722,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753257128.03306,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753257677.465936,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753258159.8863769,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753258479.43497,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753259720.480705,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753260176.923271,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753261097.23821,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753293122.592489,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753295631.880323,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753306708.895122,False,,,Europe/Zurich
closedApp,tikTok,1753306768.895122,False,,,Europe/Zurich
dismissedAppOpening,tikTok,1753306768.895122,False,,,Europe/Zurich
openedApp,tikTok,1753306782.099725,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753313916.068717,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753316892.23074,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753318892.2113981,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753323594.5327702,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753323660.017754,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753325793.4038758,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753368047.2224588,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753368531.984247,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753368846.6406841,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753373396.4050941,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753374042.2176862,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753374750.537641,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753379230.547909,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753379937.300319,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753380341.889957,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753381198.890924,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753382384.896117,False,1.5,breathingExercise,Europe/Zurich
dismissedAppOpening,tikTok,1753383001.0461931,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753383029.003155,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753387174.142507,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753387277.703821,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753387926.545164,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753388681.659456,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753389264.3523479,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753389869.5848532,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753391384.956122,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753391768.854665,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753399429.32883,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753400564.731703,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753401954.961844,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753402266.546581,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753408714.9047,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753408873.430609,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753409491.457168,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753416139.586721,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753430569.64308,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753432817.21673,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753433322.917873,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753437811.3905149,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753438555.8333712,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753441327.2673922,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753443847.0625858,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753444967.1945,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753456257.4098039,False,1.5,breathingExercise,Europe/Zurich
dismissedAppOpening,tikTok,1753464003.887738,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753464152.54672,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753470554.532922,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753478182.091315,False,1.5,breathingExercise,Europe/Zurich
openedApp,tikTok,1753484067.621342,False,1.5,breathingExercise,Europe/Zurich
