resolution,timestamp,app,timezone,interventionType,isReIntervention,interventionDuration
openedApp,1748930847.554307,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1748937077.900044,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1748944274.107434,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1748949099.328522,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1748951488.3980951,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1748958880.497978,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1748962237.254047,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
dismissedAppOpening,1748962824.995189,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1748966914.9075742,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749017144.298674,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749018622.090183,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749020063.787319,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749020665.409244,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749029019.0331059,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749037315.668871,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749043124.16032,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749054163.814537,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
dismissedAppOpening,1749054921.608813,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749062179.8288121,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749072027.0583959,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749105916.176121,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749108760.00122,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749113096.529292,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749113314.332413,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749118620.0392752,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749127990.797858,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749130288.131784,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749130980.882862,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749133544.6523042,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
dismissedAppOpening,1749137071.064002,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749138112.398903,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749140131.509845,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749142707.784809,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749153372.0467649,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749153847.904584,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749160143.791216,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749160514.2178779,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749187889.5877,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749188444.315479,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749190663.2008839,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749192738.072945,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749198915.046574,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
dismissedAppOpening,1749201113.951521,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
dismissedAppOpening,1749201123.527694,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749201398.2426019,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749203748.900505,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749205771.0724711,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749220165.8143458,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749244629.744967,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
dismissedAppOpening,1749245146.589546,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749245281.762686,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
dismissedAppOpening,1749245497.9620562,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749274649.9577088,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
dismissedAppOpening,1749275101.755821,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
dismissedAppOpening,1749275111.5350251,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
dismissedAppOpening,1749275117.806868,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749275721.046133,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749293893.438472,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749300519.537857,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749303657.517431,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749328991.615024,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749362038.467947,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749371984.014667,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749373645.582201,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749377033.4757938,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749390869.534812,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749422268.681542,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749449243.209251,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749450139.260171,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749458144.433039,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749471174.219215,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749478424.869574,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749539119.618626,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749542666.721082,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749545733.291171,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749554597.3717608,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749564325.9477549,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749567883.5442371,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749568490.2180471,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749573637.232116,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749581369.22559,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749626241.895431,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749632593.847686,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749634328.383137,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749637458.246517,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749643031.232407,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749645729.031924,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
dismissedAppOpening,1749651009.01758,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
dismissedAppOpening,1749651018.964556,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
dismissedAppOpening,1749651025.0903811,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
dismissedAppOpening,1749651083.58653,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749651091.118422,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749660472.704629,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749661252.853856,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749663264.669167,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749710594.632337,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749715425.6083121,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749718898.290261,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749723079.134799,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749732708.4694262,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749736905.216754,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749744837.7145061,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
dismissedAppOpening,1749752377.8614101,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749752383.6657128,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
dismissedAppOpening,1749800778.5094109,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749802581.293037,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749829649.9066792,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749830600.023428,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749885569.385161,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749900846.596949,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749909307.6894112,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749929369.368421,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749972608.039748,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749975436.8051271,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1749980861.5258842,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
dismissedAppOpening,1750001785.5911288,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1750014790.2333941,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1750017127.586128,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1750058770.72745,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1750064059.437931,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1750082514.571045,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1750084862.255933,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1750091460.5034142,clashRoyale,Europe/Brussels,breathingExercise,False,1.5
openedApp,1750147135.380399,clashRoyale,Europe/Brussels,breathingExercise,False,6.0
openedApp,1750189725.241785,clashRoyale,Europe/Brussels,breathingExercise,False,6.0
openedApp,1750230612.030283,clashRoyale,Europe/Brussels,breathingExercise,False,6.0
openedApp,1750244890.551764,clashRoyale,Europe/Brussels,breathingExercise,False,6.0
openedApp,1750247661.733212,clashRoyale,Europe/Brussels,breathingExercise,False,6.0
openedApp,1750247733.9675179,clashRoyale,Europe/Brussels,breathingExercise,False,6.0
openedApp,1750249597.475904,clashRoyale,Europe/Brussels,breathingExercise,False,6.0
openedApp,1750258714.401174,clashRoyale,Europe/Brussels,breathingExercise,False,6.0
openedApp,1750313774.157697,clashRoyale,Europe/Brussels,breathingExercise,False,6.0
openedApp,1750319593.324677,clashRoyale,Europe/Brussels,breathingExercise,False,6.0
openedApp,1750323594.999907,clashRoyale,Europe/Brussels,breathingExercise,False,6.0
