interventionDuration,timestamp,app,timezone,interventionType,isReIntervention,resolution
1.5,1752511493.115313,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1752511627.236006,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1752515301.157422,instagram,Europe/London,breathingExercise,False,dismissedAppOpening
1.5,1752521320.668192,instagram,Europe/London,breathingExercise,False,dismissedAppOpening
1.5,1752521383.1161141,instagram,Europe/London,breathingExercise,False,dismissedAppOpening
1.5,1752521386.507855,instagram,Europe/London,breathingExercise,False,dismissedAppOpening
1.5,1752523936.306016,instagram,Europe/London,breathingExercise,False,dismissedAppOpening
1.5,1752532550.719404,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1752532636.696274,instagram,Europe/London,breathingExercise,False,dismissedAppOpening
1.5,1752532638.311209,instagram,Europe/London,breathingExercise,False,dismissedAppOpening
1.5,1752532654.1108088,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1752560174.730764,instagram,Europe/London,breathingExercise,False,dismissedAppOpening
1.5,1752560182.570502,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1752601490.176065,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1752606097.71279,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1752607929.6901,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1752608070.477147,instagram,Europe/London,breathingExercise,False,dismissedAppOpening
1.5,1752609914.1650639,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1752610153.210928,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1752612474.886053,instagram,Europe/London,breathingExercise,False,dismissedAppOpening
1.5,1752619787.2546191,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1752620628.693538,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1752620762.8081222,instagram,Europe/London,breathingExercise,False,dismissedAppOpening
1.5,1752651461.242198,instagram,Europe/London,breathingExercise,False,dismissedAppOpening
1.5,1752651464.137631,instagram,Europe/London,breathingExercise,False,dismissedAppOpening
1.5,1752651472.612277,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1752651582.223896,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1752654964.2290468,instagram,Europe/London,breathingExercise,False,dismissedAppOpening
1.5,1752663222.264473,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1752663616.406347,instagram,Europe/London,breathingExercise,False,dismissedAppOpening
1.5,1752666234.918748,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1752666468.506546,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1752675143.602052,instagram,Europe/London,breathingExercise,False,dismissedAppOpening
1.5,1752677776.537766,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1752682811.072857,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1752682946.150897,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1752691089.491109,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1752691664.355274,instagram,Europe/London,breathingExercise,False,dismissedAppOpening
1.5,1752693070.737601,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1752694713.657675,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1752695077.4155521,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1752695461.1858191,instagram,Europe/London,breathingExercise,False,dismissedAppOpening
1.5,1752696599.3117452,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1752738561.411443,instagram,Europe/London,breathingExercise,False,dismissedAppOpening
1.5,1752741449.9563541,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1752774299.746747,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1752781926.419783,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1752782054.741971,instagram,Europe/London,breathingExercise,False,dismissedAppOpening
1.5,1752784291.08666,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1752785165.3100271,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1752835265.2267718,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1752843015.7023869,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1752843338.102802,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1752849413.631465,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1752853617.686244,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1752860658.477834,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1752869292.518445,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1752912112.09524,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1752927318.503798,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1752927552.769373,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1752942808.881733,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1752950945.3007278,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1752953016.996346,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1752953111.997357,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1752956391.474279,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1752959133.206192,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1752994402.4536262,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1752995666.8259149,instagram,Europe/London,breathingExercise,False,dismissedAppOpening
1.5,1753007478.175683,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1753010263.549197,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1753010816.603396,instagram,Europe/London,breathingExercise,False,dismissedAppOpening
1.5,1753013302.440757,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1753013925.370819,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1753018186.354639,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1753022830.7760081,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1753022912.447931,instagram,Europe/London,breathingExercise,False,dismissedAppOpening
1.5,1753024110.727957,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1753024276.308675,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1753025047.363534,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1753026477.532915,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1753026967.6823668,instagram,Europe/London,breathingExercise,False,dismissedAppOpening
1.5,1753026974.216721,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1753027558.7910051,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1753027945.204684,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1753028264.826189,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1753028283.6732578,instagram,Europe/London,breathingExercise,False,dismissedAppOpening
1.5,1753036822.1858659,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1753037250.776545,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1753039423.377164,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1753039965.873146,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1753041930.44644,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1753042568.9992971,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1753042721.569376,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1753042761.559006,instagram,Europe/London,breathingExercise,False,dismissedAppOpening
1.5,1753043628.700845,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1753048442.586409,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1753048650.869608,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1753083564.1393108,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1753091336.624552,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1753091454.558228,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1753096628.4741712,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1753101533.703555,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1753105873.9132872,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1753117630.0400429,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1753123287.1501641,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1753128167.383728,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1753131054.985888,instagram,Europe/London,breathingExercise,False,dismissedAppOpening
1.5,1753131067.02998,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1753136110.939954,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1753161064.063823,instagram,Europe/London,breathingExercise,False,dismissedAppOpening
1.5,1753161071.213575,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1753197837.139853,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1753197983.917619,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1753203179.289165,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1753203734.782069,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1753206393.511112,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1753206461.59958,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1753211388.078701,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1753213779.80779,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1753219295.467506,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1753219511.321426,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1753220041.882193,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1753221125.257062,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1753222771.991498,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1753222927.983293,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1753260307.485373,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1753271711.568635,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1753275491.446014,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1753280624.444738,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1753282248.811557,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1753285227.959513,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1753285316.590153,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1753287984.3637881,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1753288502.989019,instagram,Europe/London,breathingExercise,False,dismissedAppOpening
1.5,1753288507.626306,instagram,Europe/London,breathingExercise,False,openedApp
1.5,1753291387.571322,instagram,Europe/London,breathingExercise,False,openedApp
