purpose,isReIntervention,timestamp,resolution,app,interventionDuration,timezone,interventionType,timeIntervalUntilReIntervention
Ontsnappen / Vermijden,False,1749073801.7949672,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,
,False,1749073826.8976688,dismissedAppOpening,facebook,1.5,Europe/Amsterdam,breathingExercise,
Bericht,False,1749104019.018724,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,
Blijf in de lus,False,1749105894.221276,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,
Bericht,False,1749105971.626934,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,
,False,1749106901.983666,dismissedAppOpening,facebook,1.5,Europe/Amsterdam,breathingExercise,
,False,1749107426.4242191,dismissedAppOpening,facebook,1.5,Europe/Amsterdam,breathingExercise,
Bericht,False,1749107591.984415,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,
Zoek informatie,False,1749108345.935741,openedApp,NOS,1.5,Europe/Amsterdam,breathingExercise,
,False,1749108366.894374,closedApp,NOS,,Europe/Amsterdam,,
,False,1749108395.602562,closedApp,NOS,,Europe/Amsterdam,,
,False,1749108816.884009,closedApp,NOS,,Europe/Amsterdam,,
Bericht,False,1749108832.069016,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,
Bericht,False,1749110099.189014,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,
Bericht,False,1749113527.082203,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,
Entertainment,False,1749113583.7519732,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,
,False,1749114708.0971909,dismissedAppOpening,facebook,1.5,Europe/Amsterdam,breathingExercise,
Bericht,False,1749114718.395982,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,
,False,1749114805.597735,dismissedAppOpening,facebook,1.5,Europe/Amsterdam,breathingExercise,
Bericht,False,1749116397.931845,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,
Blijf in de lus,False,1749116428.83259,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,
Bericht,False,1749116714.857863,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,
,False,1749117615.310834,dismissedAppOpening,instagram,1.5,Europe/Amsterdam,breathingExercise,
Zoek informatie,False,1749119622.1638741,openedApp,NOS,1.5,Europe/Amsterdam,breathingExercise,
,False,1749119623.985383,closedApp,NOS,,Europe/Amsterdam,,
,False,1749119678.004694,closedApp,NOS,,Europe/Amsterdam,,
Bericht,False,1749119685.6432,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,
,False,1749119876.615457,dismissedAppOpening,facebook,1.5,Europe/Amsterdam,breathingExercise,
Ontsnappen / Vermijden,False,1749120672.93734,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,
,False,1749120924.2303429,dismissedAppOpening,facebook,1.5,Europe/Amsterdam,breathingExercise,
,False,1749121241.383621,dismissedAppOpening,instagram,1.5,Europe/Amsterdam,breathingExercise,
Zoek informatie,False,1749121392.33079,openedApp,NOS,1.5,Europe/Amsterdam,breathingExercise,
,False,1749121801.646902,closedApp,NOS,,Europe/Amsterdam,,
Ontsnappen / Vermijden,False,1749124961.774214,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,
,False,1749125133.6136909,dismissedAppOpening,instagram,1.5,Europe/Amsterdam,breathingExercise,
,False,1749125270.775085,dismissedAppOpening,facebook,1.5,Europe/Amsterdam,breathingExercise,
,False,1749126429.459992,dismissedAppOpening,facebook,1.5,Europe/Amsterdam,breathingExercise,
Zoek informatie,False,1749130159.949911,openedApp,NOS,1.5,Europe/Amsterdam,breathingExercise,
,False,1749130179.291894,closedApp,NOS,,Europe/Amsterdam,,
Bericht,False,1749131638.988843,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,
Blijf in de lus,False,1749131754.901628,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,
,False,1749133031.388998,dismissedAppOpening,facebook,1.5,Europe/Amsterdam,breathingExercise,
,False,1749133195.963705,dismissedAppOpening,instagram,1.5,Europe/Amsterdam,breathingExercise,
,False,1749133835.5685182,dismissedAppOpening,facebook,1.5,Europe/Amsterdam,breathingExercise,
Bericht,False,1749137185.52128,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
,False,1749137562.027823,dismissedAppOpening,instagram,1.5,Europe/Amsterdam,breathingExercise,
Verveeld,False,1749139641.155802,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,60.0
Bericht,False,1749143260.472709,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Blijf in de lus,True,1749143344.182281,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,120.0
Bericht,False,1749144015.194149,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Bericht,False,1749145328.471426,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,60.0
Bericht,False,1749145393.2402449,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Ontsnappen / Vermijden,False,1749150170.679359,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Entertainment,False,1749152986.447325,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,120.0
Ontspan je,False,1749155398.829907,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,120.0
Entertainment,False,1749155505.164007,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,120.0
Zoek informatie,False,1749156659.1553478,openedApp,NOS,1.5,Europe/Amsterdam,breathingExercise,
,False,1749156874.474142,closedApp,NOS,,Europe/Amsterdam,,
Entertainment,False,1749157693.0948129,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,120.0
,False,1749158137.600916,dismissedAppOpening,instagram,1.5,Europe/Amsterdam,breathingExercise,
,False,1749158469.438385,dismissedAppOpening,instagram,1.5,Europe/Amsterdam,breathingExercise,
Bericht,False,1749190599.294266,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,120.0
Entertainment,True,1749190738.013214,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,120.0
Entertainment,False,1749190871.121227,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,120.0
,False,1749191474.827661,dismissedAppOpening,instagram,1.5,Europe/Amsterdam,breathingExercise,
,False,1749191664.396054,dismissedAppOpening,facebook,1.5,Europe/Amsterdam,breathingExercise,
Bericht,False,1749200677.63481,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,120.0
Bericht,False,1749207151.1277199,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,120.0
Zoek informatie,False,1749207381.96263,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,180.0
Zoek informatie,False,1749207426.749874,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,180.0
Entertainment,False,1749209053.28421,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,120.0
Zoek informatie,False,1749209935.7043,openedApp,NOS,1.5,Europe/Amsterdam,breathingExercise,
,False,1749210020.913783,closedApp,NOS,,Europe/Amsterdam,,
Bericht,False,1749210189.5740871,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Entertainment,True,1749210366.623465,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,180.0
,False,1749210522.651454,dismissedAppOpening,instagram,1.5,Europe/Amsterdam,breathingExercise,
Bericht,False,1749212245.753502,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Bericht,False,1749213512.4750319,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Bericht,False,1749215156.211833,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
,False,1749215571.2585511,dismissedAppOpening,facebook,1.5,Europe/Amsterdam,breathingExercise,
Entertainment,False,1749216165.713386,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,120.0
Bericht,False,1749217268.436283,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Entertainment,False,1749220401.172687,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,180.0
Entertainment,False,1749220540.76268,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,180.0
Entertainment,True,1749220736.936325,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,180.0
Bericht,False,1749221618.378563,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Bericht,False,1749223758.3152208,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Bericht,False,1749225231.346074,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Ontspan je,False,1749226079.2068238,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,60.0
Entertainment,True,1749226167.699319,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,60.0
Entertainment,False,1749226395.35625,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
,False,1749226505.504039,dismissedAppOpening,facebook,1.5,Europe/Amsterdam,breathingExercise,
,False,1749226787.559325,dismissedAppOpening,facebook,1.5,Europe/Amsterdam,breathingExercise,
,False,1749227139.099708,dismissedAppOpening,instagram,1.5,Europe/Amsterdam,breathingExercise,
,False,1749227691.502559,dismissedAppOpening,facebook,1.5,Europe/Amsterdam,breathingExercise,
,False,1749228844.325451,dismissedAppOpening,facebook,1.5,Europe/Amsterdam,breathingExercise,
,False,1749228849.5297031,dismissedAppOpening,facebook,1.5,Europe/Amsterdam,breathingExercise,
Ontsnappen / Vermijden,False,1749230266.747247,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,60.0
Bericht,False,1749231579.957601,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Blijf in de lus,False,1749231619.931484,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,60.0
,False,1749232011.8713322,dismissedAppOpening,facebook,1.5,Europe/Amsterdam,breathingExercise,
,False,1749232897.706589,dismissedAppOpening,instagram,1.5,Europe/Amsterdam,breathingExercise,
