interventionType,resolution,timestamp,isReIntervention,interventionDuration,timezone,app
breathingExercise,openedApp,1752616736.992306,False,1.5,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752616934.556627,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752616934.559176,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
breathingExercise,openedApp,1752617010.644233,False,1.5,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752617102.549809,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752617102.553718,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
breathingExercise,openedApp,1752617175.526794,False,1.5,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752619471.097077,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752619471.0998979,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
breathingExercise,openedApp,1752619528.768604,False,1.5,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752619549.284855,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752619549.2924418,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
breathingExercise,openedApp,1752619563.054481,False,1.5,Europe/Vienna,B44CB0EC-C2B8-4214-B5FE-F874B5B73D84
,closedApp,1752619574.616407,False,,Europe/Vienna,B44CB0EC-C2B8-4214-B5FE-F874B5B73D84
,closedApp,1752619574.620817,False,,Europe/Vienna,B44CB0EC-C2B8-4214-B5FE-F874B5B73D84
,closedApp,1752619736.88747,False,,Europe/Vienna,B44CB0EC-C2B8-4214-B5FE-F874B5B73D84
,closedApp,1752619736.893869,False,,Europe/Vienna,B44CB0EC-C2B8-4214-B5FE-F874B5B73D84
breathingExercise,openedApp,1752644311.934709,False,1.5,Europe/Vienna,B44CB0EC-C2B8-4214-B5FE-F874B5B73D84
,closedApp,1752644561.409625,False,,Europe/Vienna,B44CB0EC-C2B8-4214-B5FE-F874B5B73D84
breathingExercise,openedApp,1752655917.55178,False,1.5,Europe/Vienna,B44CB0EC-C2B8-4214-B5FE-F874B5B73D84
,closedApp,1752656027.576494,False,,Europe/Vienna,B44CB0EC-C2B8-4214-B5FE-F874B5B73D84
