interventionType,timestamp,resolution,interventionDuration,isReIntervention,timezone,app
breathingExercise,1748650428.167795,openedApp,1.5,False,America/New_York,instagram
breathingExercise,1748650748.32263,dismissedAppOpening,1.5,False,America/New_York,instagram
breathingExercise,1748651732.412173,dismissedAppOpening,1.5,False,America/New_York,instagram
breathingExercise,1748653694.642136,dismissedAppOpening,1.5,False,America/New_York,instagram
breathingExercise,1748653698.331046,dismissedAppOpening,1.5,False,America/New_York,instagram
breathingExercise,1748656421.417647,dismissedAppOpening,1.5,False,America/New_York,instagram
breathingExercise,1748657017.723768,openedApp,1.5,False,America/New_York,instagram
breathingExercise,1748658150.5930471,dismissedAppOpening,1.5,False,America/New_York,instagram
breathingExercise,1748658155.2966352,dismissedAppOpening,1.5,False,America/New_York,instagram
breathingExercise,1748658327.73403,openedApp,1.5,False,America/New_York,instagram
breathingExercise,1748660737.982061,openedApp,1.5,False,America/New_York,instagram
breathingExercise,1748661074.352738,dismissedAppOpening,1.5,False,America/New_York,instagram
breathingExercise,1748661179.547604,dismissedAppOpening,1.5,False,America/New_York,instagram
breathingExercise,1748661239.711179,dismissedAppOpening,1.5,False,America/New_York,instagram
breathingExercise,1748661570.483663,dismissedAppOpening,1.5,False,America/New_York,instagram
breathingExercise,1748668398.6743932,openedApp,1.5,False,America/New_York,instagram
breathingExercise,1748691084.084594,openedApp,1.5,False,America/New_York,instagram
breathingExercise,1748694626.7786899,dismissedAppOpening,1.5,False,America/New_York,instagram
breathingExercise,1748695074.323945,dismissedAppOpening,1.5,False,America/New_York,instagram
breathingExercise,1748698632.168192,dismissedAppOpening,1.5,False,America/New_York,instagram
breathingExercise,1748703188.544199,openedApp,1.5,False,America/New_York,instagram
breathingExercise,1748703492.1053262,dismissedAppOpening,1.5,False,America/New_York,instagram
breathingExercise,1748703495.856379,dismissedAppOpening,1.5,False,America/New_York,instagram
breathingExercise,1748703557.522974,openedApp,1.5,False,America/New_York,instagram
breathingExercise,1748704796.164832,dismissedAppOpening,1.5,False,America/New_York,instagram
breathingExercise,1748705996.3518782,dismissedAppOpening,1.5,False,America/New_York,instagram
breathingExercise,1748706041.346301,openedApp,1.5,False,America/New_York,instagram
breathingExercise,1748709579.399904,dismissedAppOpening,1.5,False,America/New_York,instagram
breathingExercise,1748710545.622524,dismissedAppOpening,1.5,False,America/New_York,instagram
breathingExercise,1748712045.6674252,dismissedAppOpening,1.5,False,America/New_York,instagram
breathingExercise,1748712524.862001,openedApp,1.5,False,America/New_York,instagram
breathingExercise,1748714190.051353,dismissedAppOpening,1.5,False,America/New_York,instagram
