interventionDuration,isReIntervention,app,resolution,timestamp,interventionType,timezone,purpose
1.5,False,instagram,openedApp,1749304730.5826979,breathingExercise,Europe/Prague,
1.5,False,instagram,openedApp,1749329234.145843,breathingExercise,Europe/Prague,Escape / Avoid
1.5,False,facebook,openedApp,1749329298.830765,breathingExercise,Europe/Prague,Escape / Avoid
1.5,False,linkedin,openedApp,1749329342.0423799,breathingExercise,Europe/Prague,Escape / Avoid
1.5,False,facebook,openedApp,1749333195.2644758,breathingExercise,Europe/Prague,Stay In the Loop
1.5,False,facebook,dismissedAppOpening,1749335305.748358,breathingExercise,Europe/Prague,
1.5,False,twitter,openedApp,1749336722.5408258,breathingExercise,Europe/Prague,Entertainment
1.5,False,twitter,dismissedAppOpening,1749357397.089267,breathingExercise,Europe/Prague,
1.5,False,twitter,openedApp,1749357415.865758,breathingExercise,Europe/Prague,News
1.5,False,facebook,dismissedAppOpening,1749368468.485026,breathingExercise,Europe/Prague,
1.5,False,facebook,openedApp,1749373051.1027,breathingExercise,Europe/Prague,Relax
1.5,False,facebook,dismissedAppOpening,1749387356.166826,breathingExercise,Europe/Prague,
1.5,False,facebook,dismissedAppOpening,1749395606.646523,breathingExercise,Europe/Prague,
1.5,False,instagram,dismissedAppOpening,1749395670.9054542,breathingExercise,Europe/Prague,
1.5,False,linkedin,openedApp,1749399871.211419,breathingExercise,Europe/Prague,Search Info
1.5,False,facebook,openedApp,1749399888.566473,breathingExercise,Europe/Prague,Entertainment
1.5,False,facebook,dismissedAppOpening,1749410369.4942322,breathingExercise,Europe/Prague,
1.5,False,facebook,dismissedAppOpening,1749416340.047948,breathingExercise,Europe/Prague,
1.5,False,facebook,dismissedAppOpening,1749453214.189767,breathingExercise,Europe/Prague,
1.5,False,linkedin,openedApp,1749453225.866252,breathingExercise,Europe/Prague,Relax
1.5,False,facebook,dismissedAppOpening,1749453564.81284,breathingExercise,Europe/Prague,
1.5,False,instagram,dismissedAppOpening,1749453585.162125,breathingExercise,Europe/Prague,
1.5,False,facebook,dismissedAppOpening,1749462036.017058,breathingExercise,Europe/Prague,
1.5,False,linkedin,dismissedAppOpening,1749462042.258559,breathingExercise,Europe/Prague,
1.5,False,facebook,dismissedAppOpening,1749462067.842828,breathingExercise,Europe/Prague,
1.5,False,instagram,dismissedAppOpening,1749462081.4630609,breathingExercise,Europe/Prague,
1.5,False,facebook,openedApp,1749470313.989036,breathingExercise,Europe/Prague,Relax
1.5,False,linkedin,dismissedAppOpening,1749470330.612608,breathingExercise,Europe/Prague,
