timezone,resolution,interventionDuration,interventionType,timestamp,timeIntervalUntilReIntervention,isReIntervention,purpose,app
Europe/Berlin,openedApp,1.5,breathingExercise,1751656888.7515202,60.0,False,Unterhaltung,tikTok
Europe/Berlin,openedApp,1.5,breathingExercise,1751656966.524447,60.0,True,Langeweile,tikTok
Europe/Berlin,openedApp,1.5,breathingExercise,1751657038.629946,480.0,True,Unterhaltung,tikTok
Europe/Berlin,openedApp,1.5,askForTimeLimit,1751658080.429079,180.0,False,,jodel
Europe/Berlin,dismissedAppOpening,1.5,breathingExercise,1751658197.386773,,False,,facebook
Europe/Berlin,openedApp,1.5,breathingExercise,1751658209.139283,,False,Unterhaltung,facebook
Europe/Berlin,dismissedAppOpening,1.5,askForTimeLimit,1751660931.210256,,False,,jodel
Europe/Berlin,dismissedAppOpening,1.5,askForTimeLimit,1751697227.199791,,False,,jodel
Europe/Berlin,dismissedAppOpening,1.5,askForTimeLimit,1751698294.5809798,,False,,jodel
Europe/Berlin,dismissedAppOpening,1.5,breathingExercise,1751698604.016626,,False,,facebook
Europe/Berlin,openedApp,1.5,breathingExercise,1751698697.996834,,False,Infos suchen,facebook
Europe/Berlin,openedApp,1.5,breathingExercise,1751699538.8782601,420.0,False,Unterhaltung,tikTok
Europe/Berlin,openedApp,1.5,askForTimeLimit,1751702218.5768619,420.0,False,,jodel
Europe/Berlin,dismissedAppOpening,1.5,breathingExercise,1751702556.307245,,False,,tikTok
Europe/Berlin,dismissedAppOpening,1.5,breathingExercise,1751713660.4460711,,False,,tikTok
Europe/Berlin,openedApp,1.5,breathingExercise,1751713948.0987,480.0,False,Unterhaltung,tikTok
Europe/Berlin,openedApp,1.5,breathingExercise,1751714588.753171,600.0,False,Unterhaltung,tikTok
Europe/Berlin,openedApp,1.5,breathingExercise,1751715818.638205,480.0,False,Unterhaltung,tikTok
Europe/Berlin,openedApp,1.5,breathingExercise,1751716170.5735168,480.0,False,Unterhaltung,tikTok
Europe/Berlin,openedApp,1.5,askForTimeLimit,1751717220.366191,420.0,False,,jodel
Europe/Berlin,dismissedAppOpening,1.5,askForTimeLimit,1751717347.9938111,,False,,jodel
Europe/Berlin,openedApp,1.5,askForTimeLimit,1751717387.33742,480.0,False,,jodel
Europe/Berlin,dismissedAppOpening,1.5,breathingExercise,1751718113.716747,,False,,tikTok
Europe/Berlin,openedApp,1.5,askForTimeLimit,1751718504.9316568,420.0,False,,jodel
Europe/Berlin,dismissedAppOpening,1.5,breathingExercise,1751719168.339744,,True,,jodel
Europe/Berlin,dismissedAppOpening,1.5,askForTimeLimit,1751720750.527863,,False,,jodel
Europe/Berlin,openedApp,1.5,askForTimeLimit,1751724200.386385,480.0,False,,jodel
Europe/Berlin,openedApp,1.5,askForTimeLimit,1751724298.470494,480.0,False,,jodel
Europe/Berlin,dismissedAppOpening,1.5,askForTimeLimit,1751725024.059618,,False,,jodel
Europe/Berlin,dismissedAppOpening,1.5,askForTimeLimit,1751725536.935127,,False,,jodel
Europe/Berlin,dismissedAppOpening,1.5,breathingExercise,1751725556.387817,,False,,facebook
Europe/Berlin,dismissedAppOpening,1.5,askForTimeLimit,1751725804.0853848,,False,,jodel
Europe/Berlin,dismissedAppOpening,1.5,askForTimeLimit,1751725864.700947,,False,,jodel
Europe/Berlin,openedApp,1.5,askForTimeLimit,1751725869.106951,60.0,False,,jodel
Europe/Berlin,openedApp,1.5,breathingExercise,1751725954.3079,420.0,True,Unterhaltung,jodel
Europe/Berlin,openedApp,1.5,askForTimeLimit,1751727103.610046,60.0,False,,jodel
Europe/Berlin,dismissedAppOpening,1.5,askForTimeLimit,1751727693.200376,,False,,jodel
Europe/Berlin,openedApp,1.5,askForTimeLimit,1751727695.228067,60.0,False,,jodel
