isReIntervention,interventionDuration,interventionType,timezone,timestamp,resolution,app,timeIntervalUntilReIntervention
False,1.5,breathingExercise,America/Phoenix,1750299233.119664,openedApp,instagram,300.0
False,,journaling,America/Phoenix,1750299555.866734,dismissedAppOpening,instagram,
False,1.5,breathingExercise,America/Phoenix,1750299562.8889298,openedApp,instagram,480.0
False,,journaling,America/Phoenix,1750299618.292357,dismissedAppOpening,instagram,
False,1.5,breathingExercise,America/Phoenix,1750299638.8119879,openedApp,instagram,600.0
False,1.5,breathingExercise,America/Phoenix,1750299769.77261,openedApp,instagram,300.0
False,1.5,breathingExercise,America/Phoenix,1750300122.832768,openedApp,instagram,180.0
False,1.5,breathingExercise,America/Phoenix,1750301307.023731,openedApp,instagram,180.0
False,1.5,breathingExercise,America/Phoenix,1750301397.5798678,openedApp,instagram,60.0
False,1.5,breathingExercise,America/Phoenix,1750373485.136208,openedApp,instagram,480.0
False,1.5,breathingExercise,America/Phoenix,1750374171.499738,openedApp,instagram,420.0
False,1.5,breathingExercise,America/Phoenix,1750438533.940824,openedApp,instagram,480.0
False,1.5,breathingExercise,America/Phoenix,1750622538.9597778,openedApp,instagram,660.0
False,1.5,breathingExercise,America/Phoenix,1750623222.642488,openedApp,instagram,540.0
False,1.5,breathingExercise,America/Phoenix,1750808759.6615648,openedApp,instagram,420.0
False,1.5,breathingExercise,America/Phoenix,1750808975.4240541,openedApp,instagram,360.0
False,1.5,breathingExercise,America/Phoenix,1750809356.027493,dismissedAppOpening,instagram,
False,1.5,breathingExercise,America/Phoenix,1750809368.492059,openedApp,instagram,240.0
False,1.5,breathingExercise,America/Phoenix,1750893293.9326339,openedApp,instagram,420.0
False,1.5,breathingExercise,America/Phoenix,1750981731.05847,openedApp,instagram,600.0
False,1.5,breathingExercise,America/Phoenix,1750990565.258246,openedApp,instagram,360.0
False,1.5,breathingExercise,America/Phoenix,1751048869.448401,openedApp,instagram,480.0
False,1.5,breathingExercise,America/Phoenix,1751049636.5158129,openedApp,instagram,540.0
False,1.5,breathingExercise,America/Phoenix,1751050243.7775211,openedApp,instagram,480.0
False,1.5,breathingExercise,America/Phoenix,1751050736.20047,openedApp,instagram,420.0
False,1.5,breathingExercise,America/Phoenix,1751057673.460062,openedApp,instagram,480.0
False,1.5,breathingExercise,America/Phoenix,1751305216.6038852,openedApp,instagram,360.0
False,1.5,breathingExercise,America/Phoenix,1751305384.9808621,openedApp,instagram,480.0
False,1.5,breathingExercise,America/Phoenix,1751338094.3584862,openedApp,instagram,420.0
False,1.5,breathingExercise,America/Phoenix,1751338539.190707,openedApp,instagram,420.0
False,1.5,breathingExercise,America/Phoenix,1751414955.791349,openedApp,instagram,480.0
False,1.5,breathingExercise,America/Phoenix,1751415006.55941,openedApp,instagram,600.0
False,1.5,breathingExercise,America/Phoenix,1751421324.1181111,openedApp,instagram,480.0
False,1.5,breathingExercise,America/Phoenix,1751421835.41676,openedApp,instagram,420.0
False,6.0,breathingExercise,America/Phoenix,1751510545.313884,dismissedAppOpening,instagram,
False,6.0,breathingExercise,America/Phoenix,1751510570.15627,openedApp,instagram,360.0
False,6.0,breathingExercise,America/Phoenix,1751759988.5883641,openedApp,instagram,540.0
False,6.0,breathingExercise,America/Phoenix,1751768012.729504,openedApp,instagram,540.0
False,6.0,breathingExercise,America/Phoenix,1751768579.994814,openedApp,instagram,780.0
False,6.0,breathingExercise,America/Phoenix,1751769049.680752,openedApp,instagram,600.0
False,6.0,breathingExercise,America/Phoenix,1751769673.7854152,openedApp,instagram,480.0
False,6.0,breathingExercise,America/Phoenix,1752012653.6183882,openedApp,instagram,600.0
False,6.0,breathingExercise,America/Phoenix,1752013277.668137,openedApp,instagram,420.0
False,6.0,breathingExercise,America/Phoenix,1752013766.309186,openedApp,instagram,600.0
False,6.0,breathingExercise,America/Phoenix,1752014399.842517,openedApp,instagram,1140.0
False,6.0,breathingExercise,America/Phoenix,1752015581.400387,openedApp,instagram,660.0
False,6.0,breathingExercise,America/Phoenix,1752015871.5637898,dismissedAppOpening,instagram,
False,6.0,breathingExercise,America/Phoenix,1752015891.910104,openedApp,instagram,1020.0
False,6.0,breathingExercise,America/Phoenix,1752016934.610913,openedApp,instagram,660.0
False,6.0,breathingExercise,America/Phoenix,1752017596.875009,openedApp,instagram,720.0
False,6.0,breathingExercise,America/Phoenix,1752169343.444927,openedApp,instagram,240.0
False,6.0,breathingExercise,America/Phoenix,1752193501.179455,openedApp,instagram,360.0
False,6.0,breathingExercise,America/Phoenix,1752193890.013659,openedApp,instagram,720.0
False,6.0,breathingExercise,America/Phoenix,1752208379.13497,openedApp,instagram,420.0
False,6.0,breathingExercise,America/Phoenix,1752359133.394332,openedApp,instagram,420.0
False,6.0,breathingExercise,America/Phoenix,1752362673.5754309,openedApp,instagram,360.0
False,6.0,breathingExercise,America/Phoenix,1752514817.474125,openedApp,instagram,360.0
False,6.0,breathingExercise,America/Phoenix,1752515201.591486,openedApp,instagram,600.0
False,6.0,breathingExercise,America/Phoenix,1752709681.919388,openedApp,instagram,300.0
False,6.0,breathingExercise,America/Phoenix,1752710005.6942558,openedApp,instagram,660.0
False,6.0,breathingExercise,America/Phoenix,1752874002.9618912,openedApp,instagram,600.0
False,6.0,breathingExercise,America/Phoenix,1752874627.1166592,openedApp,instagram,420.0
False,6.0,breathingExercise,America/Phoenix,1752893485.720335,openedApp,instagram,540.0
False,6.0,breathingExercise,America/Phoenix,1752894083.2646508,openedApp,instagram,420.0
False,6.0,breathingExercise,America/Phoenix,1752960101.59318,openedApp,instagram,480.0
False,6.0,breathingExercise,America/Phoenix,1752960101.640822,dismissedAppOpening,instagram,
False,6.0,breathingExercise,America/Phoenix,1752968792.598209,openedApp,instagram,360.0
False,6.0,breathingExercise,America/Phoenix,1752968836.4344459,openedApp,instagram,360.0
False,6.0,breathingExercise,America/Phoenix,1752969218.822101,openedApp,instagram,720.0
False,6.0,breathingExercise,America/Phoenix,1752987671.1306748,openedApp,instagram,420.0
False,6.0,breathingExercise,America/Phoenix,1752987734.397794,openedApp,instagram,420.0
False,6.0,breathingExercise,America/Phoenix,1753043494.21096,openedApp,instagram,480.0
False,6.0,breathingExercise,America/Phoenix,1753043997.814461,openedApp,instagram,540.0
False,6.0,breathingExercise,America/Phoenix,1753134473.067785,openedApp,instagram,480.0
False,6.0,breathingExercise,America/Phoenix,1753159408.690253,openedApp,instagram,660.0
False,6.0,breathingExercise,America/Phoenix,1753204662.328413,openedApp,instagram,600.0
False,6.0,breathingExercise,America/Phoenix,1753264750.63516,openedApp,instagram,540.0
False,6.0,breathingExercise,America/Phoenix,1753398904.403109,openedApp,instagram,600.0
