isReIntervention,timezone,app,timestamp,resolution,interventionType,interventionDuration,timeIntervalUntilReIntervention
False,America/New_York,instagram,1752356604.206696,dismissedAppOpening,breathingExercise,1.5,
False,America/New_York,instagram,1752356608.543758,dismissedAppOpening,breathingExercise,1.5,
False,America/New_York,instagram,1752359425.3851209,dismissedAppOpening,breathingExercise,1.5,
False,America/New_York,instagram,1752361137.408977,openedApp,breathingExercise,1.5,
False,America/New_York,tikTok,1752361871.018856,dismissedAppOpening,breathingExercise,1.5,
False,America/New_York,tikTok,1752361883.158386,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1752374020.768404,dismissedAppOpening,breathingExercise,1.5,
False,America/New_York,instagram,1752408593.9637551,dismissedAppOpening,breathingExercise,1.5,
False,America/New_York,tikTok,1752412179.2216601,dismissedAppOpening,breathingExercise,1.5,
False,America/New_York,instagram,1752422836.444919,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1752422928.005167,dismissedAppOpening,breathingExercise,1.5,
False,America/New_York,instagram,1752422950.7300858,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1752423339.554702,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1752423520.252332,dismissedAppOpening,breathingExercise,1.5,
False,America/New_York,instagram,1752423528.197959,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1752423566.6675348,dismissedAppOpening,breathingExercise,1.5,
False,America/New_York,instagram,1752423636.7857928,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1752423750.723133,openedApp,breathingExercise,1.5,240.0
False,America/New_York,instagram,1752423752.2388291,dismissedAppOpening,breathingExercise,1.5,
False,America/New_York,instagram,1752427121.4648361,openedApp,breathingExercise,1.5,600.0
False,America/New_York,instagram,1752427227.5012689,openedApp,breathingExercise,1.5,540.0
False,America/New_York,instagram,1752427228.8186312,dismissedAppOpening,breathingExercise,1.5,
False,America/New_York,instagram,1752429786.816673,openedApp,breathingExercise,1.5,600.0
False,America/New_York,instagram,1752436863.68965,dismissedAppOpening,breathingExercise,1.5,
False,America/New_York,instagram,1752437779.6079822,dismissedAppOpening,breathingExercise,1.5,
False,America/New_York,instagram,1752437850.204493,openedApp,breathingExercise,1.5,300.0
False,America/New_York,instagram,1752437850.819931,dismissedAppOpening,breathingExercise,1.5,
