interventionType,interventionDuration,timestamp,resolution,isReIntervention,timezone,purpose,app,timeIntervalUntilReIntervention
breathingExercise,1.5,1751383050.967165,openedApp,False,Europe/Berlin,Langeweile,instagram,
breathingExercise,1.5,1751383352.9559278,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1751383977.299082,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1751383992.109052,openedApp,False,Europe/Berlin,Langeweile,instagram,
breathingExercise,1.5,1751384342.456471,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1751384345.340205,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1751384350.8499799,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1751386281.207631,openedApp,False,Europe/Berlin,Auf dem Laufenden bleiben,instagram,
breathingExercise,1.5,1751387690.635237,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1751387693.9508018,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1751387864.579706,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1751393672.900041,openedApp,False,Europe/Berlin,Unterhaltung,instagram,
breathingExercise,1.5,1751394770.1881452,openedApp,False,Europe/Berlin,Entspannung,instagram,
breathingExercise,1.5,1751397789.239818,openedApp,False,Europe/Berlin,Entspannung,instagram,
breathingExercise,1.5,1751398486.148553,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1751401578.504549,openedApp,False,Europe/Berlin,Klo,instagram,
breathingExercise,1.5,1751402464.451468,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1751402540.157915,openedApp,False,Europe/Berlin,Entspannung,instagram,
breathingExercise,1.5,1751403369.937739,openedApp,False,Europe/Berlin,Entspannung,instagram,
breathingExercise,1.5,1751434875.720955,openedApp,False,Europe/Berlin,Auf dem Laufenden bleiben,instagram,
breathingExercise,1.5,1751435115.222095,openedApp,False,Europe/Berlin,Entspannung,instagram,
breathingExercise,1.5,1751435265.285033,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1751435301.385556,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1751435454.079836,openedApp,False,Europe/Berlin,Klo,instagram,
breathingExercise,1.5,1751439757.0510511,openedApp,False,Europe/Berlin,Nachricht / Schreiben,instagram,
breathingExercise,1.5,1751441351.310148,openedApp,False,Europe/Berlin,Klo,instagram,
breathingExercise,1.5,1751453160.994217,openedApp,False,Europe/Berlin,Entspannung,instagram,
breathingExercise,1.5,1751455416.97107,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1751455428.993078,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1751456501.3018131,openedApp,False,Europe/Berlin,Entspannung,instagram,
breathingExercise,1.5,1751456704.701033,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1751465096.292635,openedApp,False,Europe/Berlin,Unterhaltung,instagram,
breathingExercise,1.5,1751486439.2092252,openedApp,False,Europe/Berlin,Unterhaltung,instagram,
breathingExercise,1.5,1751486689.664463,openedApp,False,Europe/Berlin,Auf dem Laufenden bleiben,instagram,
breathingExercise,1.5,1751520627.782413,openedApp,False,Europe/Berlin,Entspannung,instagram,
breathingExercise,1.5,1751522397.596565,openedApp,False,Europe/Berlin,Ablenkung,instagram,
breathingExercise,1.5,1751525337.3192182,openedApp,False,Europe/Berlin,Langeweile,instagram,
breathingExercise,1.5,1751525422.609064,openedApp,False,Europe/Berlin,Langeweile,instagram,
