resolution,timezone,timestamp,interventionDuration,app,isReIntervention,interventionType,timeIntervalUntilReIntervention,purpose
dismissedAppOpening,America/Sao_Paulo,1748699584.379445,1.5,instagram,False,breathingExercise,,
dismissedAppOpening,America/Sao_Paulo,1748699809.010394,1.5,instagram,False,breathingExercise,,
dismissedAppOpening,America/Sao_Paulo,1748725560.593132,1.5,instagram,False,breathingExercise,,
dismissedAppOpening,America/Sao_Paulo,1748725863.580679,1.5,whatsAppBusiness,False,breathingExercise,,
openedApp,America/Sao_Paulo,1748727038.015991,1.5,whatsAppBusiness,False,breathingExercise,120.0,Pesquisar informações
openedApp,America/Sao_Paulo,1748727459.6000729,1.5,whatsAppBusiness,False,breathingExercise,60.0,Pesquisar informações
openedApp,America/Sao_Paulo,1748728952.19806,1.5,whatsAppBusiness,False,breathingExercise,60.0,Pesquisar informações
openedApp,America/Sao_Paulo,1748729021.220298,1.5,safari,False,breathingExercise,,Pesquisar informações
openedApp,America/Sao_Paulo,1748729103.013482,1.5,whatsAppBusiness,False,breathingExercise,60.0,Pesquisar informações
openedApp,America/Sao_Paulo,1748729119.069947,1.5,safari,False,breathingExercise,,Pesquisar informações
dismissedAppOpening,America/Sao_Paulo,1748729540.301347,1.5,safari,False,breathingExercise,,
openedApp,America/Sao_Paulo,1748729635.837327,1.5,whatsAppBusiness,False,breathingExercise,600.0,Mensagem
openedApp,America/Sao_Paulo,1748729719.0662851,1.5,whatsAppBusiness,False,breathingExercise,600.0,Mensagem
openedApp,America/Sao_Paulo,1748729788.236722,1.5,whatsAppBusiness,False,breathingExercise,600.0,Mensagem
openedApp,America/Sao_Paulo,1748729915.807565,1.5,whatsAppBusiness,False,breathingExercise,600.0,Mensagem
openedApp,America/Sao_Paulo,1748730000.943069,1.5,whatsAppBusiness,False,breathingExercise,420.0,Mensagem
dismissedAppOpening,America/Sao_Paulo,1748730155.878511,1.5,whatsAppBusiness,False,breathingExercise,,
dismissedAppOpening,America/Sao_Paulo,1748730194.3712358,1.5,whatsAppBusiness,False,breathingExercise,,
dismissedAppOpening,America/Sao_Paulo,1748736316.1911259,1.5,whatsAppBusiness,False,breathingExercise,,
openedApp,America/Sao_Paulo,1748736328.680132,1.5,whatsAppBusiness,False,breathingExercise,540.0,Pesquisar informações
dismissedAppOpening,America/Sao_Paulo,1748736356.2077742,1.5,whatsAppBusiness,False,breathingExercise,,
openedApp,America/Sao_Paulo,1748736365.4908938,1.5,whatsAppBusiness,False,breathingExercise,600.0,Pesquisar informações
dismissedAppOpening,America/Sao_Paulo,1748740075.3200998,1.5,safari,False,breathingExercise,,
openedApp,America/Sao_Paulo,1748742223.473733,1.5,whatsAppBusiness,False,breathingExercise,600.0,Pesquisar informações
openedApp,America/Sao_Paulo,1748743423.44115,1.5,whatsAppBusiness,False,breathingExercise,480.0,Pesquisar informações
openedApp,America/Sao_Paulo,1748743952.9087,1.5,whatsAppBusiness,True,breathingExercise,60.0,Ficar por dentro
openedApp,America/Sao_Paulo,1748744031.201498,1.5,whatsAppBusiness,False,breathingExercise,120.0,Pesquisar informações
dismissedAppOpening,America/Sao_Paulo,1748744130.489417,1.5,safari,False,breathingExercise,,
dismissedAppOpening,America/Sao_Paulo,1748744137.824986,1.5,safari,False,breathingExercise,,
dismissedAppOpening,America/Sao_Paulo,1748744169.953695,1.5,safari,False,breathingExercise,,
dismissedAppOpening,America/Sao_Paulo,1748747952.669971,1.5,whatsAppBusiness,False,breathingExercise,,
openedApp,America/Sao_Paulo,1748771939.318797,1.5,whatsAppBusiness,False,breathingExercise,540.0,Ficar por dentro
openedApp,America/Sao_Paulo,1748774649.216992,1.5,whatsAppBusiness,False,breathingExercise,180.0,Mensagem
dismissedAppOpening,America/Sao_Paulo,1748775830.953724,1.5,whatsAppBusiness,False,breathingExercise,,
dismissedAppOpening,America/Sao_Paulo,1748777250.60396,1.5,safari,False,breathingExercise,,
dismissedAppOpening,America/Sao_Paulo,1748779032.652595,1.5,whatsAppBusiness,False,breathingExercise,,
openedApp,America/Sao_Paulo,1748779056.343118,1.5,whatsAppBusiness,False,breathingExercise,180.0,Mensagem
openedApp,America/Sao_Paulo,1748779295.7202082,1.5,whatsAppBusiness,True,breathingExercise,300.0,Mensagem
