timestamp,isReIntervention,app,resolution,timezone,interventionType,interventionDuration
1749510292.510906,False,instagram,dismissedAppOpening,America/Toronto,breathingExercise,1.5
1749514344.8843021,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1749514621.4434009,False,pinterest,openedApp,America/Toronto,breathingExercise,1.5
1749518787.890131,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1749519373.267023,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1749520740.242495,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1749553352.95098,False,pinterest,dismissedAppOpening,America/Toronto,breathingExercise,1.5
1749554001.1703038,False,pinterest,openedApp,America/Toronto,breathingExercise,1.5
1749555472.5334911,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1749556850.8124719,False,pinterest,dismissedAppOpening,America/Toronto,breathingExercise,1.5
1749556991.171241,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1749557192.364917,False,instagram,dismissedAppOpening,America/Toronto,breathingExercise,1.5
1749557210.353828,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1749558575.942943,False,pinterest,dismissedAppOpening,America/Toronto,breathingExercise,1.5
1749558738.599872,False,instagram,dismissedAppOpening,America/Toronto,breathingExercise,1.5
1749559295.811661,False,pinterest,dismissedAppOpening,America/Toronto,breathingExercise,1.5
1749561621.4033751,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1749563207.2463222,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1749570088.437887,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1749570212.327903,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1749570544.2121658,False,instagram,dismissedAppOpening,America/Toronto,breathingExercise,1.5
1749578457.914278,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1749581570.348712,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1749595992.7630029,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1749596380.843359,False,pinterest,dismissedAppOpening,America/Toronto,breathingExercise,1.5
1749606045.585387,False,instagram,dismissedAppOpening,America/Toronto,breathingExercise,1.5
1749606100.518341,False,pinterest,openedApp,America/Toronto,breathingExercise,1.5
1749606673.547982,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1749606762.460427,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1749607471.656921,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1749613696.1938639,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1749616312.488978,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1749646645.431721,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1749647376.240991,False,pinterest,openedApp,America/Toronto,breathingExercise,1.5
1749647625.199871,False,pinterest,dismissedAppOpening,America/Toronto,breathingExercise,1.5
1749647855.076343,False,pinterest,openedApp,America/Toronto,breathingExercise,1.5
1749649805.062644,False,pinterest,openedApp,America/Toronto,breathingExercise,1.5
1749650527.2841702,False,pinterest,dismissedAppOpening,America/Toronto,breathingExercise,1.5
1749650650.931418,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1749650805.356045,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1749657317.190753,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1749657514.179168,False,pinterest,openedApp,America/Toronto,breathingExercise,1.5
1749666510.830206,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1749683756.703063,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1749684358.335917,False,instagram,dismissedAppOpening,America/Toronto,breathingExercise,1.5
1749689944.402133,False,instagram,dismissedAppOpening,America/Toronto,breathingExercise,1.5
1749691926.585803,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1749692493.326612,False,pinterest,openedApp,America/Toronto,breathingExercise,1.5
1749699761.750644,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1749729800.283729,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1749730175.947547,False,pinterest,openedApp,America/Toronto,breathingExercise,1.5
1749737950.649928,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1749738393.5235991,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1749738951.585236,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1749746427.769387,False,instagram,dismissedAppOpening,America/Toronto,breathingExercise,1.5
1749747250.046144,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1749749425.627131,False,instagram,dismissedAppOpening,America/Toronto,breathingExercise,1.5
1749757655.438132,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1749758698.879422,False,pinterest,dismissedAppOpening,America/Toronto,breathingExercise,1.5
1749758706.502049,False,pinterest,openedApp,America/Toronto,breathingExercise,1.5
1749762280.642016,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1749770236.703844,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1749771441.6412668,False,pinterest,openedApp,America/Toronto,breathingExercise,1.5
1749777026.734787,False,instagram,dismissedAppOpening,America/Toronto,breathingExercise,1.5
1749777071.79567,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1749777381.119987,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1749782099.6780539,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1749782334.415998,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1749784177.965019,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1749784519.037981,False,pinterest,dismissedAppOpening,America/Toronto,breathingExercise,1.5
1749784558.922474,False,instagram,dismissedAppOpening,America/Toronto,breathingExercise,1.5
1749784562.412938,False,pinterest,dismissedAppOpening,America/Toronto,breathingExercise,1.5
1749784568.877876,False,pinterest,openedApp,America/Toronto,breathingExercise,1.5
1749786327.053403,False,instagram,dismissedAppOpening,America/Toronto,breathingExercise,1.5
1749786340.5813231,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1749789573.296229,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1749823767.858731,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1749824053.693322,False,pinterest,openedApp,America/Toronto,breathingExercise,1.5
1749838893.578134,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1749839042.350873,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1749839244.581015,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1749839291.145575,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1749839470.120409,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1749840141.847779,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1749840648.4864259,False,instagram,dismissedAppOpening,America/Toronto,breathingExercise,1.5
1749847075.808032,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1749847122.8473759,False,pinterest,openedApp,America/Toronto,breathingExercise,1.5
1749848069.540492,False,pinterest,openedApp,America/Toronto,breathingExercise,1.5
1749849742.876896,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1749855058.439097,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1749856485.2425752,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1749857294.743754,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1749857512.2913451,False,pinterest,openedApp,America/Toronto,breathingExercise,1.5
1749858490.4231849,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1749863265.3409681,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1749863729.389538,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1749867238.1391292,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1749867416.9088578,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1749868482.747896,False,instagram,dismissedAppOpening,America/Toronto,breathingExercise,1.5
1749868504.01058,False,instagram,dismissedAppOpening,America/Toronto,breathingExercise,1.5
1749868511.814358,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1749869647.112214,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1749875488.649994,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1749876484.519141,False,pinterest,openedApp,America/Toronto,breathingExercise,1.5
1749878892.23213,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1749909857.369349,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1749910075.641687,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1749910129.547205,False,instagram,openedApp,America/Toronto,breathingExercise,1.5
1749912240.35285,False,pinterest,openedApp,America/Toronto,breathingExercise,1.5
