timestamp,isReIntervention,interventionDuration,app,resolution,interventionType,purpose,timezone
1750010666.928612,False,1.5,gmail,openedApp,breathingExercise,Message,America/Chicago
1750010702.4811459,False,1.5,outlook,openedApp,breathingExercise,Message,America/Chicago
1750014076.238071,False,1.5,gmail,dismissedAppOpening,breathingExercise,,America/Chicago
1750014145.284535,False,1.5,gmail,openedApp,breathingExercise,Message,America/Chicago
1750014161.2175,False,1.5,outlook,openedApp,breathingExercise,Message,America/Chicago
1750016666.7167358,False,1.5,gmail,dismissedAppOpening,breathingExercise,,America/Chicago
1750016669.14916,False,1.5,outlook,dismissedAppOpening,breathingExercise,,America/Chicago
1750020567.051649,False,1.5,outlook,openedApp,breathingExercise,Message,America/Chicago
1750021074.118717,False,1.5,gmail,openedApp,breathingExercise,Message,America/Chicago
1750021352.486442,False,1.5,gmail,dismissedAppOpening,breathingExercise,,America/Chicago
1750023296.226857,False,1.5,gmail,dismissedAppOpening,breathingExercise,,America/Chicago
1750024213.732059,False,1.5,gmail,dismissedAppOpening,breathingExercise,,America/Chicago
1750024215.708278,False,1.5,outlook,dismissedAppOpening,breathingExercise,,America/Chicago
1750026433.090586,False,1.5,outlook,dismissedAppOpening,breathingExercise,,America/Chicago
1750026819.256528,False,1.5,outlook,openedApp,breathingExercise,Stay In the Loop,America/Chicago
1750026916.033451,False,1.5,outlook,dismissedAppOpening,breathingExercise,,America/Chicago
1750027345.117598,False,1.5,outlook,dismissedAppOpening,breathingExercise,,America/Chicago
1750027675.343647,False,1.5,outlook,dismissedAppOpening,breathingExercise,,America/Chicago
1750035958.4907742,False,1.5,gmail,openedApp,breathingExercise,Message,America/Chicago
1750035976.738576,False,1.5,outlook,openedApp,breathingExercise,Message,America/Chicago
1750036006.644476,False,1.5,outlook,dismissedAppOpening,breathingExercise,,America/Chicago
1750036039.473212,False,1.5,outlook,openedApp,breathingExercise,Stay In the Loop,America/Chicago
1750036115.2452068,False,1.5,gmail,dismissedAppOpening,breathingExercise,,America/Chicago
1750036181.960472,False,1.5,outlook,dismissedAppOpening,breathingExercise,,America/Chicago
1750037588.2399669,False,1.5,gmail,dismissedAppOpening,breathingExercise,,America/Chicago
1750037590.209159,False,1.5,outlook,dismissedAppOpening,breathingExercise,,America/Chicago
1750038253.424604,False,1.5,gmail,dismissedAppOpening,breathingExercise,,America/Chicago
1750039160.811401,False,1.5,gmail,dismissedAppOpening,breathingExercise,,America/Chicago
1750039290.386225,False,1.5,outlook,dismissedAppOpening,breathingExercise,,America/Chicago
1750039986.30858,False,1.5,gmail,dismissedAppOpening,breathingExercise,,America/Chicago
1750059911.816428,False,1.5,gmail,openedApp,breathingExercise,Stay In the Loop,America/Chicago
1750059922.393188,False,1.5,outlook,openedApp,breathingExercise,Stay In the Loop,America/Chicago
1750060244.828693,False,1.5,outlook,dismissedAppOpening,breathingExercise,,America/Chicago
1750079439.390001,False,1.5,outlook,openedApp,breathingExercise,Message,America/Chicago
1750079544.2338328,False,,outlook,closedApp,,,America/Chicago
1750079550.696779,False,1.5,gmail,openedApp,breathingExercise,Message,America/Chicago
1750079841.008202,False,1.5,gmail,openedApp,breathingExercise,Message,America/Chicago
1750080745.252959,False,1.5,outlook,dismissedAppOpening,breathingExercise,,America/Chicago
1750081912.9354281,False,1.5,outlook,dismissedAppOpening,breathingExercise,,America/Chicago
1750082149.742809,False,1.5,gmail,openedApp,breathingExercise,Stay In the Loop,America/Chicago
1750083119.720751,False,1.5,gmail,dismissedAppOpening,breathingExercise,,America/Chicago
1750089394.5149012,False,1.5,outlook,openedApp,breathingExercise,Stay In the Loop,America/Chicago
1750089660.381376,False,1.5,outlook,openedApp,breathingExercise,Message,America/Chicago
1750089867.8553848,False,1.5,outlook,dismissedAppOpening,breathingExercise,,America/Chicago
1750099189.318675,False,1.5,gmail,openedApp,breathingExercise,Message,America/Chicago
1750101224.4309602,False,1.5,gmail,dismissedAppOpening,breathingExercise,,America/Chicago
1750104273.751127,False,1.5,gmail,openedApp,breathingExercise,Message,America/Chicago
1750104282.196733,False,1.5,outlook,openedApp,breathingExercise,Message,America/Chicago
1750105814.188456,False,1.5,gmail,openedApp,breathingExercise,Message,America/Chicago
