timestamp,interventionType,timezone,resolution,interventionDuration,app,isReIntervention
1752416078.537493,breathingExercise,Europe/Vienna,openedApp,1.5,instagram,False
1752417030.623749,breathingExercise,Europe/Vienna,dismissedAppOpening,1.5,instagram,False
1752421319.433031,breathingExercise,Europe/Vienna,openedApp,1.5,instagram,False
1752421079.520472,,Europe/Vienna,openedApp,,instagram,False
1752421379.520472,,Europe/Vienna,closedApp,,instagram,False
1752421379.520472,,Europe/Vienna,dismissedAppOpening,,instagram,False
1752421524.027069,breathingExercise,Europe/Vienna,openedApp,1.5,instagram,False
1752434639.707649,breathingExercise,Europe/Vienna,openedApp,1.5,instagram,False
1752435419.245767,breathingExercise,Europe/Vienna,dismissedAppOpening,1.5,instagram,False
1752435433.7024531,breathingExercise,Europe/Vienna,openedApp,1.5,instagram,False
1752476196.5543752,breathingExercise,Europe/Vienna,openedApp,1.5,instagram,False
1752495357.477079,breathingExercise,Europe/Vienna,openedApp,1.5,instagram,False
1752495978.1811562,breathingExercise,Europe/Vienna,dismissedAppOpening,1.5,instagram,False
1752562808.602442,,Europe/Vienna,openedApp,,instagram,False
1752563708.602442,,Europe/Vienna,closedApp,,instagram,False
1752563708.602442,,Europe/Vienna,dismissedAppOpening,,instagram,False
1752579516.6087089,breathingExercise,Europe/Vienna,openedApp,1.5,instagram,False
1752590544.8110142,,Europe/Vienna,openedApp,,instagram,False
1752591444.8110142,,Europe/Vienna,closedApp,,instagram,False
1752591444.8110142,,Europe/Vienna,dismissedAppOpening,,instagram,False
1752591458.6306849,breathingExercise,Europe/Vienna,openedApp,1.5,instagram,False
1752606915.14544,breathingExercise,Europe/Vienna,openedApp,1.5,instagram,False
1752607695.772646,breathingExercise,Europe/Vienna,openedApp,1.5,instagram,False
1752607869.66848,,Europe/Vienna,openedApp,,instagram,False
1752608769.6684809,,Europe/Vienna,closedApp,,instagram,False
1752608769.6684809,,Europe/Vienna,dismissedAppOpening,,instagram,False
1752608780.114367,breathingExercise,Europe/Vienna,openedApp,1.5,instagram,False
1752664567.625692,breathingExercise,Europe/Vienna,openedApp,1.5,instagram,False
1752665854.052709,breathingExercise,Europe/Vienna,openedApp,1.5,instagram,False
1752744285.335644,breathingExercise,Europe/Vienna,openedApp,1.5,instagram,False
1752745458.5722098,breathingExercise,Europe/Vienna,openedApp,1.5,instagram,False
1752746169.163859,breathingExercise,Europe/Vienna,openedApp,1.5,instagram,False
1752751372.632926,breathingExercise,Europe/Vienna,openedApp,1.5,instagram,False
1752773174.515696,breathingExercise,Europe/Vienna,openedApp,1.5,instagram,False
1752839617.593317,breathingExercise,Europe/Vienna,openedApp,1.5,instagram,False
1752840913.543175,breathingExercise,Europe/Vienna,openedApp,1.5,instagram,False
1752840913.808218,breathingExercise,Europe/Vienna,dismissedAppOpening,1.5,instagram,False
1752873842.293966,breathingExercise,Europe/Vienna,openedApp,1.5,instagram,False
