timezone,interventionDuration,timestamp,app,resolution,interventionType,isReIntervention
Europe/London,1.5,1751907096.554348,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1751907318.909083,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1751913949.493538,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1751914373.794075,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1751914636.412741,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1751914657.469234,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1751914678.127983,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1751914681.371447,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1751914838.056272,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1751914976.9199982,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1751915086.8667002,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1751915125.012876,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1751915160.4882622,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1751915192.1617088,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1751915244.2211041,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1751915271.416287,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1751915332.120973,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1751915454.96939,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1751915513.3509932,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1751915520.448087,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1751915706.204087,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1751917097.2459068,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1751917184.915285,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1751918611.365068,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1751919089.437866,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1751919224.668236,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1751920433.3681831,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1751920541.911981,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1751920682.978178,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1.5,1751920788.754469,instagram,openedApp,breathingExercise,False
Europe/London,1.5,1751921171.125911,instagram,dismissedAppOpening,breathingExercise,False
