timezone,interventionType,timestamp,isReIntervention,interventionDuration,resolution,app,purpose,timeIntervalUntilReIntervention
Europe/Prague,breathingExercise,1748622941.610126,False,1.5,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1748622944.27707,False,1.5,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1748622964.512145,False,1.5,openedApp,tikTok,Search Info,
Europe/Prague,breathingExercise,1748623163.3933492,False,1.5,openedApp,tikTok,Search Info,
Europe/Prague,breathingExercise,1748623269.678173,False,1.5,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1748623305.207522,False,1.5,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1748626359.152283,False,1.5,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1748626927.694188,False,1.5,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1748626941.068919,False,1.5,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1748627039.814321,False,1.5,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1748627405.94152,False,1.5,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1748627542.423172,False,1.5,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1748629257.986967,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1748629934.543452,False,1.5,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1748629949.768924,False,1.5,openedApp,tikTok,Entertainment,
Europe/Prague,breathingExercise,1748631597.5666971,False,1.5,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1748683420.728632,False,1.5,openedApp,tikTok,Search Info,
Europe/Prague,breathingExercise,1748683792.649811,False,1.5,openedApp,tikTok,Search Info,
Europe/Prague,breathingExercise,1748684385.6660252,False,1.5,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1748684396.148779,False,1.5,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1748688157.242697,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1748689972.848438,False,1.5,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1748691906.455275,False,1.5,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1748691961.529371,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1748693137.2923431,False,1.5,openedApp,tikTok,Search Info,
Europe/Prague,breathingExercise,1748704114.336409,False,1.5,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1748706109.0236511,False,1.5,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1748706128.611209,False,1.5,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1748706135.589803,False,1.5,openedApp,tikTok,Escape / Avoid,
Europe/Prague,breathingExercise,1748716760.2212582,False,1.5,openedApp,tikTok,Stay In the Loop,
Europe/Prague,breathingExercise,1748717165.3811522,False,1.5,openedApp,tikTok,Post something,
Europe/Prague,breathingExercise,1748718038.995817,False,1.5,openedApp,tikTok,Escape / Avoid,
Europe/Prague,breathingExercise,1748781582.313293,False,1.5,dismissedAppOpening,tikTok,,
Europe/Prague,askForTimeLimit,1748781591.183913,False,1.5,openedApp,youtube,,60.0
Europe/Prague,breathingExercise,1748790998.674088,False,1.5,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1748857588.272849,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1748868893.1264238,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1748884950.924447,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1748886793.823688,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1748886915.268367,False,1.5,openedApp,tikTok,Stay In the Loop,
Europe/Prague,breathingExercise,1748886984.994399,False,1.5,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1748939958.710812,False,1.5,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1748941564.404543,False,1.5,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1748941566.863375,False,1.5,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1748941595.598494,False,1.5,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1748941692.846168,False,1.5,openedApp,tikTok,Search Info,
Europe/Prague,askForTimeLimit,1748941814.09969,False,1.5,openedApp,youtube,,540.0
Europe/Prague,breathingExercise,1748942043.228081,False,1.5,openedApp,tikTok,Search Info,
Europe/Prague,breathingExercise,1748942908.719635,False,1.5,dismissedAppOpening,tikTok,,
Europe/Prague,askForTimeLimit,1748943507.9477382,False,1.5,dismissedAppOpening,youtube,,
Europe/Prague,breathingExercise,1748943890.955937,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1748966187.9765348,False,1.5,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1748966189.1993198,False,1.5,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1748966194.00067,False,1.5,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1748966196.597583,False,1.5,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1748966206.939983,False,1.5,dismissedAppOpening,tikTok,,
Europe/Prague,journaling,1748968169.2680001,False,,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1748969459.601253,False,1.5,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1748972070.341076,False,1.5,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1748972138.6139898,False,1.5,dismissedAppOpening,tikTok,,
Europe/Prague,journaling,1749025901.137686,False,,dismissedAppOpening,youtube,,
Europe/Prague,breathingExercise,1749025915.831531,False,1.5,openedApp,youtube,Znuděný,420.0
Europe/Prague,breathingExercise,1749029402.248256,False,1.5,openedApp,tikTok,Znuděný,
