interventionType,app,resolution,isReIntervention,interventionDuration,timezone,timestamp,purpose
breathingExercise,tikTok,dismissedAppOpening,False,1.5,Asia/Jakarta,1750752229.502481,
breathingExercise,tikTok,openedApp,False,1.5,Asia/Jakarta,1750756376.361761,Search Info
breathingExercise,tikTok,dismissedAppOpening,False,1.5,Asia/Jakarta,1750762445.968638,
breathingExercise,tikTok,dismissedAppOpening,False,1.5,Asia/Jakarta,1750780963.515101,
breathingExercise,tikTok,dismissedAppOpening,False,1.5,Asia/Jakarta,1750816210.610378,
breathingExercise,tikTok,dismissedAppOpening,False,1.5,Asia/Jakarta,1750824833.7105,
breathingExercise,tikTok,dismissedAppOpening,False,1.5,Asia/Jakarta,1750843504.261489,
breathingExercise,tikTok,dismissedAppOpening,False,1.5,Asia/Jakarta,1750850724.990283,
breathingExercise,tikTok,openedApp,False,1.5,Asia/Jakarta,1750851532.24243,Search Info
breathingExercise,tikTok,openedApp,False,1.5,Asia/Jakarta,1750851775.619316,Search Info
breathingExercise,tikTok,dismissedAppOpening,False,1.5,Asia/Jakarta,1750863584.158617,
breathingExercise,tikTok,openedApp,False,1.5,Asia/Jakarta,1750934125.509187,Search Info
breathingExercise,tikTok,openedApp,False,1.5,Asia/Jakarta,1750934203.031052,Search Info
breathingExercise,tikTok,openedApp,False,1.5,Asia/Jakarta,1750947467.8789291,Message
breathingExercise,tikTok,dismissedAppOpening,False,1.5,Asia/Jakarta,1750948896.724335,
breathingExercise,tikTok,openedApp,False,1.5,Asia/Jakarta,1750998604.162287,Search Info
breathingExercise,tikTok,openedApp,False,1.5,Asia/Jakarta,1751001768.464639,Search Info
breathingExercise,tikTok,dismissedAppOpening,False,1.5,Asia/Jakarta,1751004062.1736379,
breathingExercise,tikTok,openedApp,False,1.5,Asia/Jakarta,1751004074.367505,Search Info
breathingExercise,tikTok,dismissedAppOpening,False,1.5,Asia/Jakarta,1751004357.8505201,
breathingExercise,tikTok,openedApp,False,1.5,Asia/Jakarta,1751004365.167016,Search Info
breathingExercise,tikTok,dismissedAppOpening,False,1.5,Asia/Jakarta,1751004416.56995,
