timezone,interventionType,interventionDuration,app,timestamp,isReIntervention,resolution,purpose
America/Chicago,breathingExercise,3,pinterest,1749790478.478236,False,dismissedAppOpening,
America/Chicago,breathingExercise,3,pinterest,1750130707.458986,False,dismissedAppOpening,
America/Chicago,breathingExercise,3,pinterest,1750185907.0029979,False,openedApp,Rechercher des informations
America/Chicago,breathingExercise,3,pinterest,1750186162.5286021,False,dismissedAppOpening,
America/Chicago,breathingExercise,3,pinterest,1750186225.213306,False,dismissedAppOpening,
America/Chicago,breathingExercise,3,pinterest,1750197972.404093,False,openedApp,Rechercher des informations
America/Chicago,breathingExercise,3,pinterest,1750198018.470684,False,dismissedAppOpening,
America/Chicago,breathingExercise,3,pinterest,1750198022.636842,False,dismissedAppOpening,
America/Chicago,breathingExercise,3,pinterest,1750198818.867845,False,dismissedAppOpening,
America/Chicago,breathingExercise,3,pinterest,1750198832.930274,False,dismissedAppOpening,
America/Chicago,breathingExercise,3,pinterest,1750198866.215352,False,dismissedAppOpening,
America/Chicago,breathingExercise,3,pinterest,1750276882.251019,False,dismissedAppOpening,
America/Chicago,breathingExercise,3,pinterest,1750278910.222187,False,dismissedAppOpening,
America/Chicago,breathingExercise,3,pinterest,1750279124.87039,False,openedApp,Rechercher des informations
America/Chicago,breathingExercise,3,pinterest,1750349859.640355,False,openedApp,Ennuyé
America/Chicago,breathingExercise,3,pinterest,1750349935.942133,False,openedApp,Se détendre
America/Chicago,breathingExercise,3,pinterest,1750355283.952221,False,dismissedAppOpening,
America/Chicago,breathingExercise,3,pinterest,1750397449.5135422,False,openedApp,Ennuyé
America/Chicago,breathingExercise,3,pinterest,1750477884.610199,False,openedApp,Rechercher des informations
America/Chicago,breathingExercise,3,pinterest,1750512815.541779,False,openedApp,Rechercher des informations
America/Chicago,breathingExercise,3,pinterest,1750525977.1382189,False,dismissedAppOpening,
America/Chicago,breathingExercise,3,pinterest,1750526363.802628,False,dismissedAppOpening,
America/Chicago,breathingExercise,3,pinterest,1750526378.109459,False,openedApp,Rechercher des informations
America/Chicago,breathingExercise,3,pinterest,1750526654.5488691,False,dismissedAppOpening,
America/Chicago,breathingExercise,3,pinterest,1750537353.3148189,False,openedApp,Rechercher des informations
America/Chicago,breathingExercise,3,pinterest,1750557050.137856,False,openedApp,Rechercher des informations
America/Chicago,breathingExercise,3,pinterest,1750557114.271586,False,openedApp,Rechercher des informations
America/Chicago,breathingExercise,3,pinterest,1750557252.903209,False,dismissedAppOpening,
America/Chicago,breathingExercise,3,pinterest,1750557271.906151,False,openedApp,Rechercher des informations
America/Chicago,breathingExercise,3,pinterest,1750563646.691465,False,openedApp,Rechercher des informations
America/Chicago,breathingExercise,3,pinterest,1750563727.2925858,False,openedApp,Rechercher des informations
America/Chicago,breathingExercise,3,pinterest,1750563927.837759,False,dismissedAppOpening,
America/Chicago,breathingExercise,3,pinterest,1750602521.305033,False,openedApp,Rechercher des informations
America/Chicago,breathingExercise,3,pinterest,1750602835.114555,False,openedApp,Rechercher des informations
America/Chicago,breathingExercise,3,pinterest,1750719136.117498,False,openedApp,Rechercher des informations
America/Chicago,breathingExercise,3,pinterest,1750719652.735018,False,openedApp,Rechercher des informations
America/Chicago,breathingExercise,3,pinterest,1750720299.893256,False,openedApp,Rechercher des informations
America/Chicago,breathingExercise,3,pinterest,1750812852.272958,False,openedApp,Rester au courant
America/Chicago,breathingExercise,3,pinterest,1750910807.603946,False,openedApp,Rechercher des informations
America/Chicago,breathingExercise,3,pinterest,1750981445.6146069,False,openedApp,Rechercher des informations
America/Chicago,breathingExercise,3,pinterest,1750981555.696926,False,dismissedAppOpening,
America/Chicago,breathingExercise,6,pinterest,1751056701.104608,False,openedApp,Ennuyé
America/Chicago,breathingExercise,6,pinterest,1751059945.2117019,False,openedApp,Divertissement
America/Chicago,breathingExercise,6,pinterest,1751063476.228238,False,dismissedAppOpening,
America/Chicago,breathingExercise,6,pinterest,1751063499.056428,False,openedApp,Rechercher des informations
America/Chicago,breathingExercise,6,pinterest,1751064085.875423,False,dismissedAppOpening,
America/Chicago,breathingExercise,6,pinterest,1751149495.9973521,False,openedApp,Rechercher des informations
America/Chicago,breathingExercise,6,pinterest,1751149641.577148,False,dismissedAppOpening,
America/Chicago,breathingExercise,6,pinterest,1751166112.639235,False,openedApp,Rechercher des informations
America/Chicago,breathingExercise,6,pinterest,1751166196.74549,False,openedApp,Rechercher des informations
America/Chicago,breathingExercise,6,pinterest,1751166708.4537191,False,dismissedAppOpening,
America/Chicago,breathingExercise,6,pinterest,1751167694.343611,False,dismissedAppOpening,
America/Chicago,breathingExercise,6,pinterest,1751207903.206749,False,dismissedAppOpening,
America/Chicago,breathingExercise,6,pinterest,1751231882.6425629,False,openedApp,Rechercher des informations
America/Chicago,breathingExercise,6,pinterest,1751248074.3370152,False,dismissedAppOpening,
America/Chicago,breathingExercise,6,pinterest,1751252749.81161,False,dismissedAppOpening,
America/Chicago,breathingExercise,6,pinterest,1751253703.520643,False,dismissedAppOpening,
America/Chicago,breathingExercise,6,pinterest,1751386533.3840199,False,openedApp,Rechercher des informations
America/Chicago,breathingExercise,6,pinterest,1751386533.9658952,False,openedApp,Rechercher des informations
America/Chicago,breathingExercise,6,pinterest,1751386625.393847,False,dismissedAppOpening,
America/Chicago,breathingExercise,6,pinterest,1751386666.432909,False,openedApp,Rechercher des informations
America/Chicago,breathingExercise,6,pinterest,1751386765.070962,False,openedApp,Rechercher des informations
America/Chicago,breathingExercise,6,pinterest,1751387923.8514972,False,openedApp,Rechercher des informations
America/Chicago,breathingExercise,6,pinterest,1751388664.640038,False,openedApp,Rechercher des informations
America/Chicago,breathingExercise,6,pinterest,1751388691.148401,False,dismissedAppOpening,
America/Chicago,breathingExercise,6,pinterest,1751389042.9577188,False,openedApp,Rechercher des informations
America/Chicago,breathingExercise,6,pinterest,1751396676.866492,False,dismissedAppOpening,
America/Chicago,breathingExercise,6,pinterest,1751408182.071058,False,openedApp,Rechercher des informations
America/Chicago,breathingExercise,6,pinterest,1751408733.908249,False,openedApp,Rechercher des informations
America/Chicago,breathingExercise,6,pinterest,1751408882.509876,False,openedApp,Rechercher des informations
America/Chicago,breathingExercise,6,pinterest,1751410901.753943,False,openedApp,Rechercher des informations
America/Chicago,breathingExercise,6,pinterest,1751410921.216924,False,dismissedAppOpening,
America/Chicago,breathingExercise,6,pinterest,1751410947.804041,False,openedApp,Rechercher des informations
America/Chicago,breathingExercise,6,pinterest,1751411000.237562,False,dismissedAppOpening,
America/Chicago,breathingExercise,6,pinterest,1751580024.589723,False,dismissedAppOpening,
America/Chicago,breathingExercise,6,pinterest,1751586067.408914,False,openedApp,Rechercher des informations
America/Chicago,breathingExercise,6,pinterest,1751689845.291102,False,openedApp,Rechercher des informations
America/Chicago,breathingExercise,6,pinterest,1751717729.352929,False,dismissedAppOpening,
America/Chicago,breathingExercise,6,pinterest,1752090771.775547,False,openedApp,Rechercher des informations
America/Chicago,breathingExercise,6,pinterest,1752092780.6400971,False,openedApp,Rechercher des informations
America/Chicago,breathingExercise,6,pinterest,1752092883.822472,False,dismissedAppOpening,
America/Chicago,breathingExercise,6,pinterest,1752094186.399939,False,dismissedAppOpening,
America/Chicago,breathingExercise,6,pinterest,1752100730.589275,False,openedApp,Rechercher des informations
America/Chicago,breathingExercise,6,pinterest,1752101206.7866879,False,dismissedAppOpening,
America/Chicago,breathingExercise,6,pinterest,1752165921.625669,False,dismissedAppOpening,
America/Chicago,breathingExercise,6,pinterest,1752198577.9237561,False,openedApp,Rechercher des informations
America/Chicago,breathingExercise,6,pinterest,1752203626.210896,False,dismissedAppOpening,
America/Chicago,breathingExercise,6,pinterest,1752203659.605742,False,openedApp,Se détendre
America/Chicago,breathingExercise,6,pinterest,1752285654.859921,False,openedApp,Rester au courant
America/Chicago,breathingExercise,6,pinterest,1752463896.36604,False,openedApp,Rechercher des informations
America/Chicago,breathingExercise,6,pinterest,1752464036.207411,False,dismissedAppOpening,
America/Chicago,breathingExercise,6,pinterest,1752529872.605468,False,dismissedAppOpening,
America/Chicago,breathingExercise,6,pinterest,1752641231.772725,False,openedApp,Rechercher des informations
America/Chicago,breathingExercise,6,pinterest,1752679120.365088,False,openedApp,Rechercher des informations
America/Chicago,breathingExercise,6,pinterest,1752679795.8728728,False,openedApp,Rester au courant
America/Chicago,breathingExercise,6,pinterest,1752681017.72806,False,openedApp,Rechercher des informations
America/Chicago,breathingExercise,6,pinterest,1752717963.968802,False,dismissedAppOpening,
