interventionDuration,resolution,isReIntervention,timezone,timeIntervalUntilReIntervention,interventionType,app,timestamp
3,openedApp,False,Europe/Berlin,60.0,askForTimeLimit,instagram,1750008010.156404
3,dismissedAppOpening,False,Europe/Berlin,,breathingExercise,instagram,1750008086.639642
3,dismissedAppOpening,False,Europe/Berlin,,breathingExercise,instagram,1750008100.467187
3,dismissedAppOpening,False,Europe/Berlin,,askForTimeLimit,instagram,1750009393.800441
3,openedApp,False,Europe/Berlin,60.0,askForTimeLimit,instagram,1750009570.758456
3,dismissedAppOpening,False,Europe/Berlin,,breathingExercise,instagram,1750009669.057446
3,dismissedAppOpening,False,Europe/Berlin,,askForTimeLimit,instagram,1750012893.544801
3,dismissedAppOpening,False,Europe/Berlin,,askForTimeLimit,instagram,1750012895.506431
3,openedApp,False,Europe/Berlin,480.0,askForTimeLimit,instagram,1750012902.235847
3,dismissedAppOpening,False,Europe/Berlin,,askForTimeLimit,instagram,1750014672.36232
3,dismissedAppOpening,False,Europe/Berlin,,askForTimeLimit,instagram,1750015829.040488
3,dismissedAppOpening,False,Europe/Berlin,,askForTimeLimit,instagram,1750019701.118
3,dismissedAppOpening,False,Europe/Berlin,,askForTimeLimit,instagram,1750024857.412723
3,dismissedAppOpening,False,Europe/Berlin,,askForTimeLimit,instagram,1750024860.566766
3,dismissedAppOpening,False,Europe/Berlin,,askForTimeLimit,instagram,1750024863.030334
3,dismissedAppOpening,False,Europe/Berlin,,askForTimeLimit,instagram,1750028363.875447
3,openedApp,False,Europe/Berlin,600.0,askForTimeLimit,instagram,1750029031.617909
3,openedApp,False,Europe/Berlin,180.0,askForTimeLimit,instagram,1750053218.666377
3,dismissedAppOpening,False,Europe/Berlin,,breathingExercise,instagram,1750053439.221422
3,dismissedAppOpening,False,Europe/Berlin,,askForTimeLimit,instagram,1750056420.2822351
3,dismissedAppOpening,False,Europe/Berlin,,askForTimeLimit,instagram,1750056909.9382648
3,dismissedAppOpening,False,Europe/Berlin,,askForTimeLimit,instagram,1750058690.6326199
3,openedApp,False,Europe/Berlin,240.0,askForTimeLimit,instagram,1750066422.375793
3,dismissedAppOpening,False,Europe/Berlin,,breathingExercise,instagram,1750066685.4398642
3,dismissedAppOpening,False,Europe/Berlin,,askForTimeLimit,instagram,1750080408.496516
3,dismissedAppOpening,False,Europe/Berlin,,askForTimeLimit,instagram,1750080411.978557
3,openedApp,False,Europe/Berlin,60.0,askForTimeLimit,instagram,1750080414.870253
3,openedApp,False,Europe/Berlin,60.0,askForTimeLimit,instagram,1750080566.2827811
3,openedApp,False,Europe/Berlin,300.0,breathingExercise,instagram,1750080644.8577151
3,openedApp,False,Europe/Berlin,180.0,askForTimeLimit,instagram,1750090091.1105971
3,openedApp,False,Europe/Berlin,60.0,askForTimeLimit,instagram,1750097347.943997
3,openedApp,False,Europe/Berlin,60.0,askForTimeLimit,instagram,1750097390.476649
3,dismissedAppOpening,False,Europe/Berlin,,askForTimeLimit,instagram,1750097667.2401671
3,openedApp,False,Europe/Berlin,300.0,askForTimeLimit,instagram,1750097672.391433
3,dismissedAppOpening,False,Europe/Berlin,,askForTimeLimit,instagram,1750097958.450598
3,dismissedAppOpening,False,Europe/Berlin,,askForTimeLimit,instagram,1750098426.1006541
3,dismissedAppOpening,False,Europe/Berlin,,askForTimeLimit,instagram,1750098512.06431
3,openedApp,False,Europe/Berlin,420.0,askForTimeLimit,instagram,1750105407.407475
3,dismissedAppOpening,False,Europe/Berlin,,askForTimeLimit,instagram,1750142090.867435
3,dismissedAppOpening,False,Europe/Berlin,,askForTimeLimit,instagram,1750146830.2583818
3,openedApp,False,Europe/Berlin,300.0,askForTimeLimit,instagram,1750149410.0932689
3,dismissedAppOpening,False,Europe/Berlin,,breathingExercise,instagram,1750149958.853926
3,dismissedAppOpening,False,Europe/Berlin,,breathingExercise,instagram,1750149972.572311
3,dismissedAppOpening,False,Europe/Berlin,,askForTimeLimit,instagram,1750153549.561723
3,dismissedAppOpening,False,Europe/Berlin,,askForTimeLimit,instagram,1750163663.468254
3,dismissedAppOpening,False,Europe/Berlin,,askForTimeLimit,instagram,1750163667.292303
3,dismissedAppOpening,False,Europe/Berlin,,askForTimeLimit,instagram,1750163834.052311
3,dismissedAppOpening,False,Europe/Berlin,,askForTimeLimit,instagram,1750163836.319429
3,dismissedAppOpening,False,Europe/Berlin,,askForTimeLimit,instagram,1750163838.767539
3,dismissedAppOpening,False,Europe/Berlin,,askForTimeLimit,instagram,1750163840.9317899
3,dismissedAppOpening,False,Europe/Berlin,,askForTimeLimit,instagram,1750163842.729504
3,dismissedAppOpening,False,Europe/Berlin,,askForTimeLimit,instagram,1750164445.3219728
3,dismissedAppOpening,False,Europe/Berlin,,askForTimeLimit,instagram,1750164828.511074
3,openedApp,False,Europe/Berlin,300.0,askForTimeLimit,instagram,1750166932.0401258
3,dismissedAppOpening,False,Europe/Berlin,,askForTimeLimit,instagram,1750166990.20758
3,dismissedAppOpening,False,Europe/Berlin,,askForTimeLimit,instagram,1750168463.160543
3,openedApp,False,Europe/Berlin,240.0,askForTimeLimit,instagram,1750168648.079937
3,dismissedAppOpening,False,Europe/Berlin,,askForTimeLimit,instagram,1750171250.285291
3,dismissedAppOpening,False,Europe/Berlin,,askForTimeLimit,instagram,1750171264.5656052
3,dismissedAppOpening,False,Europe/Berlin,,askForTimeLimit,instagram,1750171267.10885
3,openedApp,False,Europe/Berlin,360.0,askForTimeLimit,instagram,1750174347.187185
3,openedApp,False,Europe/Berlin,240.0,askForTimeLimit,instagram,1750174447.573547
3,openedApp,False,Europe/Berlin,180.0,askForTimeLimit,instagram,1750174864.011512
3,dismissedAppOpening,False,Europe/Berlin,,askForTimeLimit,instagram,1750175001.0846272
3,dismissedAppOpening,False,Europe/Berlin,,askForTimeLimit,instagram,1750187266.862716
3,openedApp,False,Europe/Berlin,300.0,askForTimeLimit,instagram,1750187819.694438
3,openedApp,False,Europe/Berlin,300.0,breathingExercise,instagram,1750188136.427692
3,openedApp,False,Europe/Berlin,300.0,askForTimeLimit,instagram,1750240676.549571
3,openedApp,False,Europe/Berlin,360.0,askForTimeLimit,instagram,1750244892.310382
3,openedApp,False,Europe/Berlin,240.0,askForTimeLimit,instagram,1750245153.656217
3,openedApp,False,Europe/Berlin,360.0,breathingExercise,instagram,1750245415.229764
3,dismissedAppOpening,False,Europe/Berlin,,askForTimeLimit,instagram,1750246681.10293
3,dismissedAppOpening,False,Europe/Berlin,,askForTimeLimit,instagram,1750251972.591593
3,dismissedAppOpening,False,Europe/Berlin,,askForTimeLimit,instagram,1750254889.0050402
3,dismissedAppOpening,False,Europe/Berlin,,askForTimeLimit,instagram,1750256867.423462
3,openedApp,False,Europe/Berlin,480.0,askForTimeLimit,instagram,1750258751.036686
3,openedApp,False,Europe/Berlin,240.0,askForTimeLimit,instagram,1750258966.769462
3,dismissedAppOpening,False,Europe/Berlin,,askForTimeLimit,instagram,1750259126.635953
3,dismissedAppOpening,False,Europe/Berlin,,askForTimeLimit,instagram,1750259162.826343
3,dismissedAppOpening,False,Europe/Berlin,,askForTimeLimit,instagram,1750259860.577829
3,dismissedAppOpening,False,Europe/Berlin,,askForTimeLimit,instagram,1750259922.680491
3,openedApp,False,Europe/Berlin,420.0,askForTimeLimit,instagram,1750260449.07073
3,openedApp,False,Europe/Berlin,300.0,askForTimeLimit,instagram,1750265592.35216
3,dismissedAppOpening,False,Europe/Berlin,,breathingExercise,instagram,1750265920.651237
3,openedApp,False,Europe/Berlin,300.0,askForTimeLimit,instagram,1750281109.2748199
3,openedApp,False,Europe/Berlin,360.0,askForTimeLimit,instagram,1750281531.110538
3,dismissedAppOpening,False,Europe/Berlin,,askForTimeLimit,instagram,1750288606.2419739
3,openedApp,False,Europe/Berlin,300.0,askForTimeLimit,instagram,1750343543.254158
3,openedApp,False,Europe/Berlin,360.0,askForTimeLimit,instagram,1750343934.7992759
3,openedApp,False,Europe/Berlin,600.0,askForTimeLimit,instagram,1750344359.863093
3,openedApp,False,Europe/Berlin,540.0,breathingExercise,instagram,1750345065.72908
3,openedApp,False,Europe/Berlin,600.0,askForTimeLimit,instagram,1750345153.349352
3,openedApp,False,Europe/Berlin,300.0,askForTimeLimit,instagram,1750345701.917469
3,dismissedAppOpening,False,Europe/Berlin,,askForTimeLimit,instagram,1750358823.346106
3,openedApp,False,Europe/Berlin,420.0,askForTimeLimit,instagram,1750358961.141779
3,dismissedAppOpening,False,Europe/Berlin,,askForTimeLimit,instagram,1750363568.264293
3,dismissedAppOpening,False,Europe/Berlin,,askForTimeLimit,instagram,1750364486.973847
3,dismissedAppOpening,False,Europe/Berlin,,askForTimeLimit,instagram,1750364765.769092
3,openedApp,False,Europe/Berlin,420.0,askForTimeLimit,instagram,1750365880.926522
3,dismissedAppOpening,False,Europe/Berlin,,askForTimeLimit,instagram,1750367042.551358
3,openedApp,False,Europe/Berlin,600.0,askForTimeLimit,instagram,1750405552.7611241
3,openedApp,False,Europe/Berlin,300.0,askForTimeLimit,instagram,1750406008.055482
3,openedApp,False,Europe/Berlin,360.0,askForTimeLimit,instagram,1750406195.782106
3,openedApp,False,Europe/Berlin,540.0,askForTimeLimit,instagram,1750408943.5360389
3,dismissedAppOpening,False,Europe/Berlin,,askForTimeLimit,instagram,1750419591.251935
3,dismissedAppOpening,False,Europe/Berlin,,askForTimeLimit,instagram,1750419816.7578468
3,dismissedAppOpening,False,Europe/Berlin,,askForTimeLimit,instagram,1750423225.92692
3,openedApp,False,Europe/Berlin,300.0,askForTimeLimit,instagram,1750423338.528205
3,openedApp,False,Europe/Berlin,360.0,askForTimeLimit,instagram,1750423410.980633
3,dismissedAppOpening,False,Europe/Berlin,,askForTimeLimit,instagram,1750433335.863873
3,openedApp,False,Europe/Berlin,60.0,askForTimeLimit,instagram,1750433863.388139
3,dismissedAppOpening,False,Europe/Berlin,,askForTimeLimit,instagram,1750436898.624226
3,openedApp,False,Europe/Berlin,360.0,askForTimeLimit,instagram,1750447781.54508
3,dismissedAppOpening,False,Europe/Berlin,,askForTimeLimit,instagram,1750447909.6754088
3,openedApp,False,Europe/Berlin,420.0,askForTimeLimit,instagram,1750508908.1113029
3,openedApp,False,Europe/Berlin,480.0,askForTimeLimit,instagram,1750509100.247312
3,openedApp,False,Europe/Berlin,480.0,askForTimeLimit,instagram,1750512853.8699741
3,dismissedAppOpening,False,Europe/Berlin,,askForTimeLimit,instagram,1750520140.565295
3,openedApp,False,Europe/Berlin,480.0,askForTimeLimit,instagram,1750520143.632293
3,dismissedAppOpening,False,Europe/Berlin,,breathingExercise,instagram,1750520882.694819
3,openedApp,False,Europe/Berlin,60.0,askForTimeLimit,instagram,1750521259.589277
3,dismissedAppOpening,False,Europe/Berlin,,askForTimeLimit,instagram,1750521937.415942
3,dismissedAppOpening,False,Europe/Berlin,,askForTimeLimit,instagram,1750522461.332973
3,dismissedAppOpening,False,Europe/Berlin,,askForTimeLimit,instagram,1750524256.02105
3,openedApp,False,Europe/Berlin,480.0,askForTimeLimit,instagram,1750524474.74072
3,dismissedAppOpening,False,Europe/Berlin,,askForTimeLimit,instagram,1750524497.33898
3,openedApp,False,Europe/Berlin,420.0,askForTimeLimit,instagram,1750524636.8888168
3,openedApp,False,Europe/Berlin,420.0,askForTimeLimit,instagram,1750531541.187972
3,openedApp,False,Europe/Berlin,420.0,askForTimeLimit,instagram,1750531863.512888
3,dismissedAppOpening,False,Europe/Berlin,,askForTimeLimit,instagram,1750532122.236016
3,openedApp,False,Europe/Berlin,60.0,askForTimeLimit,instagram,1750532125.586396
3,openedApp,False,Europe/Berlin,480.0,askForTimeLimit,instagram,1750544480.9404411
3,openedApp,False,Europe/Berlin,420.0,askForTimeLimit,instagram,1750548782.5221472
3,openedApp,False,Europe/Berlin,360.0,askForTimeLimit,instagram,1750553408.031887
3,openedApp,False,Europe/Berlin,360.0,askForTimeLimit,instagram,1750553694.8424249
3,openedApp,False,Europe/Berlin,360.0,askForTimeLimit,instagram,1750597361.3434858
3,openedApp,False,Europe/Berlin,600.0,askForTimeLimit,instagram,1750597666.240934
3,dismissedAppOpening,False,Europe/Berlin,,askForTimeLimit,instagram,1750597775.0162401
3,openedApp,False,Europe/Berlin,480.0,askForTimeLimit,instagram,1750597976.3151379
3,openedApp,False,Europe/Berlin,660.0,askForTimeLimit,instagram,1750598481.196327
3,openedApp,False,Europe/Berlin,480.0,askForTimeLimit,instagram,1750624295.8289618
3,openedApp,False,Europe/Berlin,480.0,askForTimeLimit,instagram,1750628717.4542708
3,openedApp,False,Europe/Berlin,420.0,askForTimeLimit,instagram,1750633662.472616
3,openedApp,False,Europe/Berlin,360.0,askForTimeLimit,instagram,1750666158.766372
3,openedApp,False,Europe/Berlin,420.0,askForTimeLimit,instagram,1750666658.117156
3,openedApp,False,Europe/Berlin,480.0,breathingExercise,instagram,1750667112.533397
3,openedApp,False,Europe/Berlin,420.0,askForTimeLimit,instagram,1750670514.0779948
3,openedApp,False,Europe/Berlin,540.0,askForTimeLimit,instagram,1750675679.1486611
3,openedApp,False,Europe/Berlin,360.0,askForTimeLimit,instagram,1750679024.984774
3,openedApp,False,Europe/Berlin,360.0,breathingExercise,instagram,1750679405.8467321
3,openedApp,False,Europe/Berlin,420.0,askForTimeLimit,instagram,1750684510.148525
3,openedApp,False,Europe/Berlin,540.0,askForTimeLimit,instagram,1750684818.413979
3,openedApp,False,Europe/Berlin,600.0,askForTimeLimit,instagram,1750690565.7552361
3,openedApp,False,Europe/Berlin,600.0,askForTimeLimit,instagram,1750691635.4937491
3,openedApp,False,Europe/Berlin,360.0,askForTimeLimit,instagram,1750691768.642951
3,openedApp,False,Europe/Berlin,480.0,breathingExercise,instagram,1750692143.276649
3,openedApp,False,Europe/Berlin,660.0,askForTimeLimit,instagram,1750700332.041167
3,dismissedAppOpening,False,Europe/Berlin,,breathingExercise,instagram,1750701589.5867171
3,openedApp,False,Europe/Berlin,480.0,askForTimeLimit,instagram,1750716463.487741
3,openedApp,False,Europe/Berlin,420.0,askForTimeLimit,instagram,1750717193.282858
3,dismissedAppOpening,False,Europe/Berlin,,breathingExercise,instagram,1750717638.9324121
3,openedApp,False,Europe/Berlin,540.0,askForTimeLimit,instagram,1750759359.137677
3,openedApp,False,Europe/Berlin,540.0,askForTimeLimit,instagram,1750762469.2037091
3,openedApp,False,Europe/Berlin,780.0,breathingExercise,instagram,1750763037.852078
3,openedApp,False,Europe/Berlin,480.0,askForTimeLimit,instagram,1750763316.784286
3,openedApp,False,Europe/Berlin,480.0,askForTimeLimit,instagram,1750769949.514554
3,openedApp,False,Europe/Berlin,420.0,askForTimeLimit,instagram,1750770118.459485
3,openedApp,False,Europe/Berlin,840.0,askForTimeLimit,instagram,1750777780.5404181
3,openedApp,False,Europe/Berlin,540.0,askForTimeLimit,instagram,1750778169.30738
