app,timestamp,resolution,isReIntervention,timezone,interventionDuration,interventionType
instagram,1752830869.276394,openedApp,False,Asia/Ho_Chi_Minh,,
instagram,1752831049.2763948,closedApp,False,Asia/Ho_Chi_Minh,,
instagram,1752831049.2763948,dismissedAppOpening,False,Asia/Ho_Chi_Minh,,
instagram,1752832203.129257,openedApp,False,Asia/Ho_Chi_Minh,3.0,breathingExercise
instagram,1752834705.844411,openedApp,False,Asia/Ho_Chi_Minh,3.0,breathingExercise
instagram,1752838925.0585299,openedApp,False,Asia/Ho_Chi_Minh,3.0,breathingExercise
instagram,1752839553.871457,openedApp,False,Asia/Ho_Chi_Minh,,
instagram,1752839733.871458,closedApp,False,Asia/Ho_Chi_Minh,,
instagram,1752839733.871458,dismissedAppOpening,False,Asia/Ho_Chi_Minh,,
instagram,1752839751.467288,openedApp,False,Asia/Ho_Chi_Minh,3.0,breathingExercise
instagram,1752848484.883429,openedApp,False,Asia/Ho_Chi_Minh,3.0,breathingExercise
instagram,1752851868.499919,openedApp,False,Asia/Ho_Chi_Minh,3.0,breathingExercise
instagram,1752852253.9774098,openedApp,False,Asia/Ho_Chi_Minh,3.0,breathingExercise
instagram,1752854652.130682,openedApp,False,Asia/Ho_Chi_Minh,3.0,breathingExercise
instagram,1752893353.69227,openedApp,False,Asia/Ho_Chi_Minh,3.0,breathingExercise
instagram,1752900553.015234,openedApp,False,Asia/Ho_Chi_Minh,3.0,breathingExercise
instagram,1752906790.180717,openedApp,False,Asia/Ho_Chi_Minh,3.0,breathingExercise
instagram,1752909371.739289,openedApp,False,Asia/Ho_Chi_Minh,3.0,breathingExercise
instagram,1752915601.891214,openedApp,False,Asia/Ho_Chi_Minh,3.0,breathingExercise
instagram,1752915949.909801,openedApp,False,Asia/Ho_Chi_Minh,3.0,breathingExercise
instagram,1752917902.354897,openedApp,False,Asia/Ho_Chi_Minh,3.0,breathingExercise
instagram,1752918692.906357,openedApp,False,Asia/Ho_Chi_Minh,3.0,breathingExercise
instagram,1752919191.3150182,openedApp,False,Asia/Ho_Chi_Minh,3.0,breathingExercise
instagram,1752919260.613823,openedApp,False,Asia/Ho_Chi_Minh,,
instagram,1752919440.613824,closedApp,False,Asia/Ho_Chi_Minh,,
instagram,1752919440.6138248,dismissedAppOpening,False,Asia/Ho_Chi_Minh,,
instagram,1752919474.000335,openedApp,False,Asia/Ho_Chi_Minh,3.0,breathingExercise
instagram,1752921755.7793288,openedApp,False,Asia/Ho_Chi_Minh,3.0,breathingExercise
instagram,1752934614.761602,openedApp,False,Asia/Ho_Chi_Minh,3.0,breathingExercise
instagram,1752935662.060545,openedApp,False,Asia/Ho_Chi_Minh,3.0,breathingExercise
instagram,1752936085.438253,openedApp,False,Asia/Ho_Chi_Minh,3.0,breathingExercise
instagram,1752937398.356154,openedApp,False,Asia/Ho_Chi_Minh,3.0,breathingExercise
instagram,1752940104.314621,openedApp,False,Asia/Ho_Chi_Minh,3.0,breathingExercise
instagram,1752941095.1019711,openedApp,False,Asia/Ho_Chi_Minh,3.0,breathingExercise
instagram,1752941729.272176,openedApp,False,Asia/Ho_Chi_Minh,3.0,breathingExercise
instagram,1752942671.026441,openedApp,False,Asia/Ho_Chi_Minh,3.0,breathingExercise
instagram,1752965294.600247,openedApp,False,Asia/Ho_Chi_Minh,3.0,breathingExercise
instagram,1752969799.256587,openedApp,False,Asia/Ho_Chi_Minh,3.0,breathingExercise
instagram,1752970598.119468,openedApp,False,Asia/Ho_Chi_Minh,3.0,breathingExercise
instagram,1752983269.2078052,openedApp,False,Asia/Ho_Chi_Minh,3.0,breathingExercise
instagram,1752986734.5010738,openedApp,False,Asia/Ho_Chi_Minh,3.0,breathingExercise
instagram,1752990176.74465,openedApp,False,Asia/Ho_Chi_Minh,3.0,breathingExercise
instagram,1752991553.358607,openedApp,False,Asia/Ho_Chi_Minh,3.0,breathingExercise
instagram,1752993450.9139419,openedApp,False,Asia/Ho_Chi_Minh,3.0,breathingExercise
instagram,1752995411.8085089,openedApp,False,Asia/Ho_Chi_Minh,3.0,breathingExercise
instagram,1752996446.0367231,openedApp,False,Asia/Ho_Chi_Minh,,
instagram,1752996626.0367231,closedApp,False,Asia/Ho_Chi_Minh,,
instagram,1752996626.0367231,dismissedAppOpening,False,Asia/Ho_Chi_Minh,,
instagram,1752996640.399435,openedApp,False,Asia/Ho_Chi_Minh,3.0,breathingExercise
instagram,1752998142.763103,openedApp,False,Asia/Ho_Chi_Minh,3.0,breathingExercise
instagram,1752998727.61098,openedApp,False,Asia/Ho_Chi_Minh,3.0,breathingExercise
instagram,1753001303.782129,openedApp,False,Asia/Ho_Chi_Minh,3.0,breathingExercise
instagram,1753006830.25238,openedApp,False,Asia/Ho_Chi_Minh,3.0,breathingExercise
instagram,1753009894.8955789,openedApp,False,Asia/Ho_Chi_Minh,3.0,breathingExercise
instagram,1753013031.673526,openedApp,False,Asia/Ho_Chi_Minh,3.0,breathingExercise
instagram,1753014668.6254048,openedApp,False,Asia/Ho_Chi_Minh,3.0,breathingExercise
instagram,1753017871.1793551,openedApp,False,Asia/Ho_Chi_Minh,3.0,breathingExercise
instagram,1753019763.070846,openedApp,False,Asia/Ho_Chi_Minh,3.0,breathingExercise
instagram,1753020194.106461,openedApp,False,Asia/Ho_Chi_Minh,3.0,breathingExercise
instagram,1753020856.697476,openedApp,False,Asia/Ho_Chi_Minh,3.0,breathingExercise
instagram,1753051908.054667,openedApp,False,Asia/Ho_Chi_Minh,3.0,breathingExercise
instagram,1753056666.6586452,openedApp,False,Asia/Ho_Chi_Minh,3.0,breathingExercise
instagram,1753059798.116369,openedApp,False,Asia/Ho_Chi_Minh,3.0,breathingExercise
instagram,1753065053.919214,openedApp,False,Asia/Ho_Chi_Minh,3.0,breathingExercise
instagram,1753066690.5012789,openedApp,False,Asia/Ho_Chi_Minh,3.0,breathingExercise
instagram,1753070618.009262,openedApp,False,Asia/Ho_Chi_Minh,3.0,breathingExercise
instagram,1753076672.4017692,openedApp,False,Asia/Ho_Chi_Minh,3.0,breathingExercise
