interventionDuration,timestamp,isReIntervention,timezone,resolution,app,interventionType
3,1752224434.9035969,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752225773.244767,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752226147.4702802,False,Europe/Madrid,openedApp,instagram,breathingExercise
3,1752226268.5380092,False,Europe/Madrid,openedApp,instagram,breathingExercise
3,1752226349.237447,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752226353.102448,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752226366.920829,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752227506.581983,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752227763.893779,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752227769.2200608,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752228502.35458,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752230966.51374,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752231270.727306,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752234145.885016,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752234153.471369,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752234167.033524,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752234171.0595999,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752235217.031055,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752235220.234606,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752235227.9963489,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752236309.3367,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752236469.649523,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752237365.389843,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752238122.152879,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752238992.8472052,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752239817.149891,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752239824.0348501,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752243776.884331,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752251284.0964541,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752251294.98276,False,Europe/Madrid,openedApp,instagram,breathingExercise
3,1752252482.0903401,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752252489.298599,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752253676.065479,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752271861.573504,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752271865.960019,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752272142.8067322,False,Europe/Madrid,openedApp,instagram,breathingExercise
3,1752272699.6553888,False,Europe/Madrid,openedApp,instagram,breathingExercise
3,1752272814.443893,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752272830.4217958,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752272873.493516,False,Europe/Madrid,openedApp,instagram,breathingExercise
3,1752273429.1120338,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752276107.075851,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752300939.429357,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752300955.631124,False,Europe/Madrid,openedApp,instagram,breathingExercise
3,1752301312.625784,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752301904.37127,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752302676.175537,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752313801.289659,False,Europe/Madrid,openedApp,instagram,breathingExercise
3,1752314915.9134722,False,Europe/Madrid,openedApp,instagram,breathingExercise
3,1752316528.858745,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752323896.412293,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752327093.020148,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752327418.649234,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752331076.259311,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752332329.033843,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752332344.4721642,False,Europe/Madrid,openedApp,instagram,breathingExercise
3,1752333207.868089,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752335557.792335,False,Europe/Madrid,openedApp,instagram,breathingExercise
3,1752338665.744297,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752341083.193088,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752341086.409003,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752341089.011034,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752341091.497997,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752341094.138758,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752341098.566111,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752341119.286178,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752341384.258188,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752341388.2855902,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752344905.180222,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752344946.844964,False,Europe/Madrid,openedApp,instagram,breathingExercise
3,1752345766.6880732,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752353921.911633,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752353925.50723,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752353927.613826,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752353929.823175,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752353934.33704,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752353936.677549,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752353938.608325,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752353943.102409,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752357793.428061,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752357795.6274939,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752357797.620339,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752357803.91588,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752357807.901828,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752357810.46767,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752357814.66365,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752358437.0494199,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752358439.626814,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752358441.969664,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752358444.903373,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752358451.941351,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752360452.658208,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752361464.050894,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752361466.650488,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752361469.144088,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752362558.791981,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752362562.95851,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752362563.869807,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752362566.6266088,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752362570.393729,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752362573.078483,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752362578.907535,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752368587.073659,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752368800.7245932,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752368803.6953878,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752368807.591677,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752368811.792138,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752368814.710777,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752368817.143859,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752369571.3181849,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752369574.5331268,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752369576.6454391,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752369589.2172508,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752369596.924325,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752395320.2023668,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752395705.31915,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752395709.625787,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752395712.572813,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752395715.4191232,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752395724.247581,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752395794.531835,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752397329.072428,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752397330.7585092,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752397335.209398,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752397338.8410568,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752397341.238236,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752397344.503813,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752397346.943167,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752397351.119118,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752397352.052733,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752397358.1268759,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752397365.107819,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752397374.2337089,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752397376.535511,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752397379.086392,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752397417.974132,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752397540.7693272,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752398748.095957,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752398757.319481,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752398761.1723828,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752398763.873952,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752398767.076648,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752398769.559575,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752398771.960841,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752398774.028197,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752398776.228284,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752398778.945057,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752398783.143817,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752401899.468638,False,Europe/Madrid,openedApp,instagram,breathingExercise
3,1752402050.111271,False,Europe/Madrid,openedApp,instagram,breathingExercise
3,1752402880.878841,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752402883.1305299,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752402885.311112,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752402889.580563,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752402892.3926458,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752406205.4775329,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752406211.4060779,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752406342.247124,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752406421.429587,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752406425.702179,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752406753.17578,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752406759.858214,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752406764.644923,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752406766.66079,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752408109.8239279,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752408112.075687,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752408114.570612,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752408117.158829,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752408149.6227179,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752408154.558418,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752408156.3606791,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
3,1752408158.2394938,False,Europe/Madrid,dismissedAppOpening,instagram,breathingExercise
