isReIntervention,interventionType,timezone,timestamp,resolution,interventionDuration,app
False,breathingExercise,Europe/Berlin,1751470943.425875,openedApp,3,instagram
False,breathingExercise,Europe/Berlin,1751471903.605448,openedApp,3,instagram
False,breathingExercise,Europe/Berlin,1751476445.68861,openedApp,3,instagram
False,breathingExercise,Europe/Berlin,1751478517.808097,dismissedAppOpening,3,instagram
False,breathingExercise,Europe/Berlin,1751478551.036831,dismissedAppOpening,3,instagram
False,breathingExercise,Europe/Berlin,1751482010.9043589,openedApp,3,instagram
False,breathingExercise,Europe/Berlin,1751485073.3508492,openedApp,3,instagram
False,breathingExercise,Europe/Berlin,1751485146.340198,openedApp,3,instagram
False,breathingExercise,Europe/Berlin,1751485388.7123818,openedApp,3,instagram
False,breathingExercise,Europe/Berlin,1751487012.690155,dismissedAppOpening,3,instagram
False,breathingExercise,Europe/Berlin,1751487418.18828,openedApp,3,instagram
False,breathingExercise,Europe/Berlin,1751487653.948107,dismissedAppOpening,3,instagram
False,breathingExercise,Europe/Berlin,1751487709.256012,openedApp,3,instagram
False,breathingExercise,Europe/Berlin,1751487733.760929,openedApp,3,instagram
False,breathingExercise,Europe/Berlin,1751488821.341574,openedApp,3,instagram
False,breathingExercise,Europe/Berlin,1751489238.7943668,dismissedAppOpening,3,instagram
False,breathingExercise,Europe/Berlin,1751493465.872292,openedApp,3,instagram
False,breathingExercise,Europe/Berlin,1751525290.5853472,openedApp,3,instagram
False,breathingExercise,Europe/Berlin,1751526483.64399,openedApp,3,instagram
False,breathingExercise,Europe/Berlin,1751526672.889598,openedApp,3,instagram
False,breathingExercise,Europe/Berlin,1751527644.4690762,dismissedAppOpening,3,instagram
False,breathingExercise,Europe/Berlin,1751527655.276835,dismissedAppOpening,3,instagram
False,breathingExercise,Europe/Berlin,1751528551.499723,dismissedAppOpening,3,instagram
False,breathingExercise,Europe/Berlin,1751528565.145214,dismissedAppOpening,3,instagram
False,breathingExercise,Europe/Berlin,1751528595.761509,dismissedAppOpening,3,instagram
False,breathingExercise,Europe/Berlin,1751532811.832286,dismissedAppOpening,3,instagram
False,breathingExercise,Europe/Berlin,1751534031.851101,dismissedAppOpening,3,instagram
False,breathingExercise,Europe/Berlin,1751534045.237073,dismissedAppOpening,3,instagram
False,breathingExercise,Europe/Berlin,1751534180.535976,dismissedAppOpening,3,instagram
False,breathingExercise,Europe/Berlin,1751535294.6566,dismissedAppOpening,3,instagram
False,breathingExercise,Europe/Berlin,1751538469.7733269,dismissedAppOpening,3,instagram
False,breathingExercise,Europe/Berlin,1751538479.3085918,openedApp,3,instagram
False,breathingExercise,Europe/Berlin,1751543217.624229,openedApp,3,instagram
False,breathingExercise,Europe/Berlin,1751544022.879043,openedApp,3,instagram
False,breathingExercise,Europe/Berlin,1751544252.9432201,dismissedAppOpening,3,instagram
False,breathingExercise,Europe/Berlin,1751544261.724133,openedApp,3,instagram
False,breathingExercise,Europe/Berlin,1751547000.777663,openedApp,3,instagram
False,breathingExercise,Europe/Berlin,1751547496.2546039,dismissedAppOpening,3,instagram
False,breathingExercise,Europe/Berlin,1751547571.837632,dismissedAppOpening,3,instagram
False,breathingExercise,Europe/Berlin,1751547608.364783,dismissedAppOpening,3,instagram
False,breathingExercise,Europe/Berlin,1751547690.455041,dismissedAppOpening,3,instagram
False,breathingExercise,Europe/Berlin,1751548089.427706,openedApp,3,instagram
False,breathingExercise,Europe/Berlin,1751549227.638654,openedApp,3,instagram
False,breathingExercise,Europe/Berlin,1751552626.221807,dismissedAppOpening,3,instagram
False,breathingExercise,Europe/Berlin,1751552637.954,openedApp,3,instagram
False,breathingExercise,Europe/Berlin,1751552686.8895679,openedApp,3,instagram
False,breathingExercise,Europe/Berlin,1751553761.1006489,openedApp,3,instagram
False,breathingExercise,Europe/Berlin,1751557240.0633578,dismissedAppOpening,3,instagram
False,breathingExercise,Europe/Berlin,1751557345.372185,openedApp,3,instagram
False,breathingExercise,Europe/Berlin,1751557437.0119948,dismissedAppOpening,3,instagram
False,breathingExercise,Europe/Berlin,1751557744.622531,dismissedAppOpening,3,instagram
False,breathingExercise,Europe/Berlin,1751558056.383224,openedApp,3,instagram
False,breathingExercise,Europe/Berlin,1751558746.982405,openedApp,3,instagram
False,breathingExercise,Europe/Berlin,1751559948.33236,openedApp,3,instagram
False,breathingExercise,Europe/Berlin,1751560482.113591,openedApp,3,instagram
False,breathingExercise,Europe/Berlin,1751561443.6087642,openedApp,3,instagram
