isReIntervention,timezone,timestamp,interventionType,interventionDuration,resolution,app
False,America/New_York,1749699344.56832,breathingExercise,3.0,openedApp,instagram
False,America/New_York,1749703997.716892,breathingExercise,3.0,dismissedAppOpening,instagram
False,America/New_York,1749704006.955498,breathingExercise,3.0,openedApp,instagram
False,America/New_York,1749722140.146301,breathingExercise,3.0,openedApp,instagram
False,America/New_York,1749733261.912586,breathingExercise,3.0,dismissedAppOpening,instagram
False,America/New_York,1749734373.3367682,breathingExercise,3.0,dismissedAppOpening,instagram
False,America/New_York,1749734684.501707,breathingExercise,3.0,dismissedAppOpening,instagram
False,America/New_York,1749749019.4505281,breathingExercise,3.0,openedApp,instagram
False,America/New_York,1749749133.112709,breathingExercise,3.0,openedApp,instagram
False,America/New_York,1749749274.938793,breathingExercise,3.0,openedApp,instagram
False,America/New_York,1749749565.3754768,breathingExercise,3.0,dismissedAppOpening,instagram
False,America/New_York,1749749575.643642,breathingExercise,3.0,openedApp,instagram
False,America/New_York,1749760123.782971,breathingExercise,3.0,openedApp,instagram
False,America/New_York,1749760263.483134,breathingExercise,3.0,openedApp,instagram
False,America/New_York,1749763534.047118,breathingExercise,3.0,dismissedAppOpening,instagram
False,America/New_York,1749768367.162518,breathingExercise,3.0,dismissedAppOpening,instagram
False,America/New_York,1749774325.7089329,breathingExercise,3.0,dismissedAppOpening,instagram
False,America/New_York,1749780472.327079,breathingExercise,3.0,openedApp,instagram
False,America/New_York,1749780526.472169,breathingExercise,3.0,dismissedAppOpening,instagram
False,America/New_York,1749819389.810116,breathingExercise,3.0,dismissedAppOpening,instagram
False,America/New_York,1749819524.9578362,breathingExercise,3.0,openedApp,instagram
False,America/New_York,1749819883.384074,breathingExercise,3.0,openedApp,instagram
False,America/New_York,1749820537.9706368,breathingExercise,3.0,openedApp,tikTok
False,America/New_York,1749827056.6763701,breathingExercise,3.0,openedApp,instagram
False,America/New_York,1749838470.4595141,breathingExercise,3.0,openedApp,instagram
False,America/New_York,1749849423.667268,breathingExercise,3.0,openedApp,instagram
False,America/New_York,1749855970.80549,breathingExercise,3.0,dismissedAppOpening,instagram
False,America/New_York,1749856658.7973552,breathingExercise,3.0,openedApp,instagram
False,America/New_York,1749857080.747966,breathingExercise,3.0,dismissedAppOpening,instagram
False,America/New_York,1749857115.022321,breathingExercise,3.0,openedApp,instagram
False,America/New_York,1749858166.0351682,breathingExercise,3.0,dismissedAppOpening,instagram
False,America/New_York,1749858207.880825,breathingExercise,3.0,openedApp,instagram
False,America/New_York,1749861785.263826,breathingExercise,3.0,dismissedAppOpening,instagram
False,America/New_York,1749863898.9987578,breathingExercise,3.0,dismissedAppOpening,instagram
False,America/New_York,1749869009.727765,breathingExercise,3.0,openedApp,instagram
False,America/New_York,1749874304.859374,breathingExercise,3.0,openedApp,instagram
False,America/New_York,1749875731.5213661,breathingExercise,3.0,openedApp,instagram
False,America/New_York,1749905843.547213,breathingExercise,3.0,openedApp,instagram
False,America/New_York,1749906053.8842,breathingExercise,3.0,openedApp,instagram
False,America/New_York,1749915127.2057981,breathingExercise,3.0,dismissedAppOpening,instagram
False,America/New_York,1749915533.424335,breathingExercise,3.0,openedApp,instagram
False,America/New_York,1749919710.4598641,breathingExercise,3.0,openedApp,instagram
False,America/New_York,1749920160.771799,breathingExercise,3.0,openedApp,instagram
False,America/New_York,1749922016.314636,breathingExercise,3.0,dismissedAppOpening,instagram
False,America/New_York,1749922531.8054981,breathingExercise,3.0,openedApp,instagram
False,America/New_York,1749922819.5356221,breathingExercise,3.0,openedApp,instagram
False,America/New_York,1749927536.204915,breathingExercise,3.0,dismissedAppOpening,instagram
False,America/New_York,1749928602.389708,breathingExercise,3.0,openedApp,instagram
False,America/New_York,1749948175.450848,breathingExercise,3.0,openedApp,instagram
False,America/New_York,1749951380.37273,breathingExercise,3.0,openedApp,instagram
False,America/New_York,1749956360.4165769,breathingExercise,3.0,dismissedAppOpening,instagram
False,America/New_York,1749956368.8272948,breathingExercise,3.0,openedApp,instagram
False,America/New_York,1749957286.8949971,breathingExercise,3.0,dismissedAppOpening,instagram
False,America/New_York,1749991157.112224,breathingExercise,3.0,openedApp,instagram
False,America/New_York,1749991486.6237102,breathingExercise,3.0,dismissedAppOpening,instagram
False,America/New_York,1749996543.55878,breathingExercise,3.0,openedApp,instagram
False,America/New_York,1749998261.691925,breathingExercise,3.0,dismissedAppOpening,instagram
False,America/New_York,1749998566.277492,breathingExercise,3.0,dismissedAppOpening,instagram
False,America/New_York,1750002537.980015,breathingExercise,3.0,openedApp,instagram
False,America/New_York,1750006597.422556,breathingExercise,3.0,dismissedAppOpening,instagram
False,America/New_York,1750007269.988697,breathingExercise,3.0,dismissedAppOpening,instagram
False,America/New_York,1750007282.635443,breathingExercise,3.0,dismissedAppOpening,instagram
False,America/New_York,1750007348.9534612,breathingExercise,3.0,openedApp,instagram
False,America/New_York,1750007856.694036,breathingExercise,3.0,openedApp,instagram
False,America/New_York,1750007929.760256,breathingExercise,3.0,openedApp,instagram
False,America/New_York,1750008009.4887052,breathingExercise,3.0,openedApp,instagram
False,America/New_York,1750008307.000053,breathingExercise,3.0,openedApp,instagram
False,America/New_York,1750008614.446783,breathingExercise,3.0,openedApp,instagram
False,America/New_York,1750008984.527412,breathingExercise,3.0,openedApp,instagram
False,America/New_York,1750009090.341888,breathingExercise,3.0,dismissedAppOpening,instagram
False,America/New_York,1750009101.759731,breathingExercise,3.0,openedApp,instagram
False,America/New_York,1750009288.560721,breathingExercise,3.0,openedApp,instagram
False,America/New_York,1750009332.279455,breathingExercise,3.0,openedApp,instagram
False,America/New_York,1750009380.408802,breathingExercise,3.0,dismissedAppOpening,instagram
False,America/New_York,1750009471.726104,breathingExercise,3.0,dismissedAppOpening,instagram
False,America/New_York,1750009502.541082,breathingExercise,3.0,openedApp,instagram
False,America/New_York,1750010706.986522,breathingExercise,3.0,openedApp,instagram
False,America/New_York,1750011155.8576589,breathingExercise,3.0,openedApp,instagram
False,America/New_York,1750011191.596002,breathingExercise,3.0,dismissedAppOpening,instagram
False,America/New_York,1750011205.251432,breathingExercise,3.0,openedApp,instagram
False,America/New_York,1750011652.044322,breathingExercise,3.0,openedApp,instagram
False,America/New_York,1750011859.0365329,,,closedApp,instagram
False,America/New_York,1750011935.822146,breathingExercise,3.0,dismissedAppOpening,instagram
False,America/New_York,1750011954.9920092,breathingExercise,3.0,openedApp,instagram
False,America/New_York,1750012001.478477,,,closedApp,instagram
False,America/New_York,1750014751.434424,breathingExercise,3.0,dismissedAppOpening,instagram
False,America/New_York,1750014762.592445,breathingExercise,3.0,openedApp,instagram
False,America/New_York,1750014794.458411,,,closedApp,instagram
False,America/New_York,1750015284.1930819,breathingExercise,3.0,openedApp,instagram
False,America/New_York,1750015307.461035,,,closedApp,instagram
False,America/New_York,1750015591.163937,breathingExercise,3.0,openedApp,instagram
False,America/New_York,1750016160.89565,breathingExercise,3.0,openedApp,instagram
False,America/New_York,1750018592.939303,breathingExercise,3.0,dismissedAppOpening,instagram
