interventionType,timestamp,interventionDuration,isReIntervention,resolution,app,timezone
breathingExercise,1751281686.3193932,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751281855.186183,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751282485.698578,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751282891.522493,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751284756.594905,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751285026.091186,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751285307.486964,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751285603.616853,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751290618.537251,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751294964.1133518,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751295358.884855,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1751295571.590956,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751295782.604466,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751296279.900856,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751296915.583383,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751303795.8352242,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1751304273.246883,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751304641.896333,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751304710.578294,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751305080.38363,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751305774.324791,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751309505.311912,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1751311561.1729422,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1751311741.44628,3.0,False,dismissedAppOpening,instagram,Europe/Rome
journaling,1751311843.672885,,False,dismissedAppOpening,instagram,Europe/Rome
journaling,1751311859.20421,,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751311921.1318212,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751346075.076834,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1751346252.667251,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751348252.017066,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751351051.6978478,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751355044.116105,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1751355102.517414,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751355105.989903,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751355256.823573,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751355299.4034672,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1751355562.5602531,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751356686.975916,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751357299.31106,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751357639.744011,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751359598.0333061,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751363464.84882,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751375290.361815,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751376434.319046,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1751383468.161279,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1751383552.659492,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751384085.870554,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1751384158.970294,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751384469.77847,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751385415.0302582,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1751385757.6760612,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1751386378.325702,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751389296.244945,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751391495.916967,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751391518.795299,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1751395988.817006,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751396381.484138,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751396407.075145,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751396977.510416,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751398202.600599,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751398350.330214,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751400652.4642181,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751436078.861238,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751441533.503438,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751449302.4526,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1751456639.459567,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1751456895.855551,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751456989.6290112,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751457192.012547,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751463093.873749,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751464700.165163,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751464976.95477,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751465095.242873,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751466216.355505,3.0,False,dismissedAppOpening,instagram,Europe/Rome
