timestamp,interventionType,app,purpose,timezone,isReIntervention,interventionDuration,resolution
1749242153.299234,breathingExercise,youtube,Escape / Avoid,Europe/Rome,False,3,openedApp
1749242318.86551,breathingExercise,youtube,Stay In the Loop,Europe/Rome,False,3,openedApp
1749269953.551708,breathingExercise,youtube,,Europe/Rome,False,3,dismissedAppOpening
1749285514.472056,breathingExercise,instagram,,Europe/Rome,False,3,dismissedAppOpening
1749285566.778074,breathingExercise,instagram,,Europe/Rome,False,3,dismissedAppOpening
1749286424.12578,breathingExercise,instagram,,Europe/Podgorica,False,3,dismissedAppOpening
1749288164.56849,breathingExercise,instagram,,Europe/Sofia,False,3,dismissedAppOpening
1749288186.479395,breathingExercise,youtube,Bored,Europe/Sofia,False,3,openedApp
1749288255.842994,breathingExercise,instagram,,Europe/Sofia,False,3,dismissedAppOpening
1749288280.202383,breathingExercise,youtube,Bored,Europe/Sofia,False,3,openedApp
1749288624.342327,breathingExercise,youtube,Stay In the Loop,Europe/Bucharest,False,3,openedApp
1749288965.884653,breathingExercise,youtube,Bored,Europe/Bucharest,False,3,openedApp
1749289325.956654,breathingExercise,youtube,,Europe/Bucharest,False,3,dismissedAppOpening
1749289689.1729178,breathingExercise,instagram,,Europe/Bucharest,False,3,dismissedAppOpening
1749291020.868114,breathingExercise,instagram,,Europe/Bucharest,False,3,dismissedAppOpening
1749295077.78683,breathingExercise,youtube,,Europe/Bucharest,False,3,dismissedAppOpening
1749295313.806484,breathingExercise,youtube,,Europe/Bucharest,False,3,dismissedAppOpening
1749295906.461688,breathingExercise,youtube,,Europe/Bucharest,False,3,dismissedAppOpening
1749296026.801893,breathingExercise,youtube,Escape / Avoid,Europe/Bucharest,False,3,openedApp
1749296988.3482409,breathingExercise,youtube,,Europe/Bucharest,False,3,dismissedAppOpening
1749297000.141221,breathingExercise,youtube,Stay In the Loop,Europe/Bucharest,False,3,openedApp
1749297126.370733,breathingExercise,youtube,Stay In the Loop,Europe/Bucharest,False,3,openedApp
1749297249.624191,breathingExercise,youtube,,Europe/Bucharest,False,3,dismissedAppOpening
1749297300.5762749,breathingExercise,youtube,Stay In the Loop,Europe/Bucharest,False,3,openedApp
