timestamp,timezone,interventionType,interventionDuration,resolution,isReIntervention,app
1749271614.257886,America/Bogota,breathingExercise,3,dismissedAppOpening,False,tikTok
1749271624.7126942,America/Bogota,breathingExercise,3,dismissedAppOpening,False,instagram
1749272167.390518,America/Bogota,breathingExercise,3,dismissedAppOpening,False,instagram
1749291702.792058,America/Bogota,breathingExercise,3,dismissedAppOpening,False,instagram
1749298686.85644,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749300316.216226,America/Bogota,breathingExercise,3,dismissedAppOpening,False,instagram
1749303841.612854,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749306385.1674771,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749306559.299794,America/Bogota,breathingExercise,3,dismissedAppOpening,False,instagram
1749307205.833404,America/Bogota,breathingExercise,3,dismissedAppOpening,False,instagram
1749311212.055746,America/Bogota,breathingExercise,3,dismissedAppOpening,False,instagram
1749311442.015351,America/Bogota,breathingExercise,3,dismissedAppOpening,False,instagram
1749316066.027462,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749316822.257154,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749316998.2421288,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749317893.7221599,America/Bogota,breathingExercise,3,dismissedAppOpening,False,instagram
1749317920.298255,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749319064.690475,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749319200.257338,America/Bogota,breathingExercise,3,dismissedAppOpening,False,instagram
1749320122.1567888,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749320556.70753,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749320882.3855271,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749321849.318718,America/Bogota,breathingExercise,3,dismissedAppOpening,False,instagram
1749322124.5993562,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749326487.0342932,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749327942.780488,America/Bogota,breathingExercise,3,dismissedAppOpening,False,instagram
1749327953.248142,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749328360.714715,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749328428.344681,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749328551.8992949,America/Bogota,breathingExercise,3,dismissedAppOpening,False,instagram
1749328560.702035,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749328642.311796,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749328728.3890018,America/Bogota,breathingExercise,3,dismissedAppOpening,False,instagram
1749329549.87818,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749330971.817165,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749331082.2036982,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749331111.470562,America/Bogota,breathingExercise,3,dismissedAppOpening,False,instagram
1749331124.3663058,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749331548.1591802,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749331691.537817,America/Bogota,breathingExercise,3,dismissedAppOpening,False,instagram
1749331703.814192,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749331792.441036,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749332117.5796561,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749333724.57731,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749334270.83665,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749338621.5502381,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749340601.276185,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749342165.8338041,America/Bogota,breathingExercise,3,openedApp,False,tikTok
1749344050.032762,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749345454.742163,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749345763.74699,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749346593.62846,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749347198.670593,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749347261.001244,America/Bogota,breathingExercise,3,dismissedAppOpening,False,instagram
1749347683.0683851,America/Bogota,breathingExercise,3,openedApp,False,tikTok
1749347828.722842,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749350099.884975,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749357686.859048,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749357873.443156,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749361427.53174,America/Bogota,breathingExercise,3,dismissedAppOpening,False,instagram
1749361430.7411342,America/Bogota,breathingExercise,3,dismissedAppOpening,False,instagram
1749361443.8437471,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749378669.017278,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749388284.3831758,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749388844.7951689,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749391005.789137,America/Bogota,breathingExercise,3,openedApp,False,instagram
1749393525.783493,America/Bogota,breathingExercise,3,openedApp,False,tikTok
