isReIntervention,resolution,timestamp,interventionType,interventionDuration,app,timezone,timeIntervalUntilReIntervention
False,dismissedAppOpening,1753340136.3210568,breathingExercise,3.0,instagram,Australia/Sydney,
False,openedApp,1753346498.8733659,breathingExercise,3.0,tikTok,Australia/Sydney,
False,dismissedAppOpening,1753350264.464493,breathingExercise,3.0,tikTok,Australia/Sydney,
False,dismissedAppOpening,1753351500.623105,breathingExercise,3.0,tikTok,Australia/Sydney,
False,dismissedAppOpening,1753351547.022022,breathingExercise,3.0,tikTok,Australia/Sydney,
False,openedApp,1753397536.120959,breathingExercise,3.0,tikTok,Australia/Sydney,
False,dismissedAppOpening,1753397814.1888142,breathingExercise,3.0,tikTok,Australia/Sydney,
False,openedApp,1753397826.569947,breathingExercise,3.0,tikTok,Australia/Sydney,
False,openedApp,1753402199.374908,breathingExercise,3.0,tikTok,Australia/Sydney,
False,openedApp,1753402571.714519,breathingExercise,3.0,tikTok,Australia/Sydney,
False,dismissedAppOpening,1753403664.1033669,breathingExercise,3.0,tikTok,Australia/Sydney,
False,openedApp,1753432572.641007,breathingExercise,3.0,youtube,Australia/Sydney,
False,openedApp,1753433217.757966,breathingExercise,3.0,youtube,Australia/Sydney,
False,dismissedAppOpening,1753433518.060025,breathingExercise,3.0,youtube,Australia/Sydney,
False,openedApp,1753433528.1063108,breathingExercise,3.0,youtube,Australia/Sydney,
False,dismissedAppOpening,1753436948.4037151,breathingExercise,3.0,instagram,Australia/Sydney,
False,dismissedAppOpening,1753437191.8100529,breathingExercise,3.0,instagram,Australia/Sydney,
False,openedApp,1753437257.049828,breathingExercise,3.0,instagram,Australia/Sydney,900.0
False,openedApp,1753437385.404059,breathingExercise,3.0,instagram,Australia/Sydney,900.0
False,openedApp,1753441474.151937,breathingExercise,3.0,instagram,Australia/Sydney,300.0
False,dismissedAppOpening,1753444414.836323,breathingExercise,3.0,youtube,Australia/Sydney,
False,openedApp,1753444425.563251,breathingExercise,3.0,netflix,Australia/Sydney,
False,openedApp,1753444589.692967,breathingExercise,3.0,youtube,Australia/Sydney,
False,dismissedAppOpening,1753485222.9435549,breathingExercise,3.0,tikTok,Australia/Sydney,
False,openedApp,1753485983.090617,breathingExercise,3.0,youtube,Australia/Sydney,
False,openedApp,1753487244.396093,breathingExercise,3.0,youtube,Australia/Sydney,
False,openedApp,1753489568.2276669,breathingExercise,3.0,youtube,Australia/Sydney,
False,openedApp,1753491754.263185,breathingExercise,3.0,youtube,Australia/Sydney,
False,openedApp,1753495036.3198318,breathingExercise,3.0,youtube,Australia/Sydney,
False,dismissedAppOpening,1753509511.664503,breathingExercise,3.0,instagram,Australia/Sydney,
False,openedApp,1753509531.73102,breathingExercise,3.0,youtube,Australia/Sydney,
False,openedApp,1753511567.763087,breathingExercise,3.0,youtube,Australia/Sydney,
False,openedApp,1753512507.277748,breathingExercise,3.0,youtube,Australia/Sydney,
False,dismissedAppOpening,1753512636.837881,breathingExercise,3.0,youtube,Australia/Sydney,
False,openedApp,1753512886.291775,breathingExercise,3.0,youtube,Australia/Sydney,
False,closedApp,1753515456.490582,,,youtube,Australia/Sydney,
False,openedApp,1753515488.981935,breathingExercise,3.0,youtube,Australia/Sydney,
False,closedApp,1753515514.165354,,,youtube,Australia/Sydney,
False,dismissedAppOpening,1753521833.2496228,breathingExercise,3.0,instagram,Australia/Sydney,
False,openedApp,1753521994.625731,breathingExercise,3.0,tikTok,Australia/Sydney,
False,dismissedAppOpening,1753522385.878821,breathingExercise,3.0,tikTok,Australia/Sydney,
False,closedApp,1753522138.057035,,,tikTok,Australia/Sydney,
False,openedApp,1753522401.0781689,breathingExercise,3.0,tikTok,Australia/Sydney,
False,closedApp,1753522883.97301,,,tikTok,Australia/Sydney,
False,dismissedAppOpening,1753522939.872333,breathingExercise,3.0,tikTok,Australia/Sydney,
False,openedApp,1753522947.554574,breathingExercise,3.0,tikTok,Australia/Sydney,
False,closedApp,1753525071.229711,,,tikTok,Australia/Sydney,
False,openedApp,1753525751.5743442,breathingExercise,3.0,tikTok,Australia/Sydney,
False,closedApp,1753525765.3167129,,,tikTok,Australia/Sydney,
False,dismissedAppOpening,1753525803.62192,breathingExercise,3.0,youtube,Australia/Sydney,
False,openedApp,1753525837.650371,breathingExercise,3.0,youtube,Australia/Sydney,
False,closedApp,1753526155.6779451,,,youtube,Australia/Sydney,
False,dismissedAppOpening,1753526179.948318,breathingExercise,3.0,youtube,Australia/Sydney,
False,dismissedAppOpening,1753526196.7514272,breathingExercise,3.0,youtube,Australia/Sydney,
False,openedApp,1753526206.517345,breathingExercise,3.0,youtube,Australia/Sydney,
False,closedApp,1753526427.515202,,,youtube,Australia/Sydney,
False,dismissedAppOpening,1753526435.7042952,breathingExercise,3.0,youtube,Australia/Sydney,
False,openedApp,1753526496.212566,breathingExercise,3.0,youtube,Australia/Sydney,
False,closedApp,1753526720.694001,,,youtube,Australia/Sydney,
False,openedApp,1753526766.575907,breathingExercise,3.0,youtube,Australia/Sydney,
False,closedApp,1753526890.384369,,,youtube,Australia/Sydney,
False,openedApp,1753526937.962074,breathingExercise,3.0,youtube,Australia/Sydney,
False,closedApp,1753527876.6549358,,,youtube,Australia/Sydney,
False,openedApp,1753528657.180017,breathingExercise,3.0,tikTok,Australia/Sydney,
False,closedApp,1753529082.276808,,,tikTok,Australia/Sydney,
False,openedApp,1753529155.200397,breathingExercise,3.0,tikTok,Australia/Sydney,
False,closedApp,1753531348.2048569,,,tikTok,Australia/Sydney,
False,closedApp,1753531735.0733418,,,tikTok,Australia/Sydney,
False,openedApp,1753531755.8439589,breathingExercise,3.0,tikTok,Australia/Sydney,
False,closedApp,1753532258.455982,,,tikTok,Australia/Sydney,
False,openedApp,1753561117.9774199,breathingExercise,3.0,tikTok,Australia/Sydney,
False,dismissedAppOpening,1753600729.0155501,breathingExercise,3.0,tikTok,Australia/Sydney,
False,closedApp,1753562153.158382,,,tikTok,Australia/Sydney,
False,closedApp,1753564701.929425,,,tikTok,Australia/Sydney,
False,closedApp,1753568084.867094,,,tikTok,Australia/Sydney,
False,openedApp,1753600754.865346,breathingExercise,3.0,tikTok,Australia/Sydney,
False,openedApp,1753647650.988216,breathingExercise,3.0,tikTok,Australia/Sydney,
False,closedApp,1753647694.666723,,,tikTok,Australia/Sydney,
False,closedApp,1753647966.766429,,,tikTok,Australia/Sydney,
False,closedApp,1753648048.0509691,,,tikTok,Australia/Sydney,
False,closedApp,1753648966.602437,,,tikTok,Australia/Sydney,
False,openedApp,1753649135.4520621,breathingExercise,3.0,tikTok,Australia/Sydney,
False,closedApp,1753649346.80553,,,tikTok,Australia/Sydney,
False,closedApp,1753649825.3157969,,,tikTok,Australia/Sydney,
False,closedApp,1753650413.475841,,,tikTok,Australia/Sydney,
False,dismissedAppOpening,1753651017.323285,breathingExercise,3.0,instagram,Australia/Sydney,
False,openedApp,1753651031.563587,breathingExercise,3.0,instagram,Australia/Sydney,600.0
False,openedApp,1753651143.304929,breathingExercise,3.0,instagram,Australia/Sydney,420.0
False,dismissedAppOpening,1753651974.315444,breathingExercise,3.0,instagram,Australia/Sydney,
False,openedApp,1753652508.57892,breathingExercise,3.0,instagram,Australia/Sydney,60.0
False,openedApp,1753653418.21012,breathingExercise,3.0,tikTok,Australia/Sydney,
False,closedApp,1753655734.784604,,,tikTok,Australia/Sydney,
False,dismissedAppOpening,1753657327.2251902,breathingExercise,3.0,tikTok,Australia/Sydney,
False,openedApp,1753666490.286859,breathingExercise,3.0,tikTok,Australia/Sydney,
False,openedApp,1753666508.661475,breathingExercise,3.0,tikTok,Australia/Sydney,
False,closedApp,1753666671.922281,,,tikTok,Australia/Sydney,
False,closedApp,1753666714.7992,,,tikTok,Australia/Sydney,
False,openedApp,1753675671.0398269,breathingExercise,3.0,youtube,Australia/Sydney,
False,openedApp,1753682742.2789102,breathingExercise,3.0,tikTok,Australia/Sydney,
False,closedApp,1753682879.145618,,,tikTok,Australia/Sydney,
False,closedApp,1753679841.326469,,,youtube,Australia/Sydney,
False,dismissedAppOpening,1753696178.275533,breathingExercise,3.0,instagram,Australia/Sydney,
False,openedApp,1753697161.8632379,breathingExercise,3.0,tikTok,Australia/Sydney,
False,closedApp,1753697314.161824,,,tikTok,Australia/Sydney,
False,closedApp,1753697830.145869,,,tikTok,Australia/Sydney,
False,closedApp,1753704455.7698321,,,tikTok,Australia/Sydney,
False,openedApp,1753733728.8908072,breathingExercise,3.0,tikTok,Australia/Sydney,
False,openedApp,1753733747.4217029,breathingExercise,3.0,tikTok,Australia/Sydney,
False,dismissedAppOpening,1753736190.3486118,breathingExercise,3.0,tikTok,Australia/Sydney,
False,closedApp,1753734414.4007912,,,tikTok,Australia/Sydney,
False,closedApp,1753735785.368279,,,tikTok,Australia/Sydney,
False,closedApp,1753735816.536488,,,tikTok,Australia/Sydney,
False,openedApp,1753736284.804627,breathingExercise,3.0,netflix,Australia/Sydney,
False,closedApp,1753737633.353931,,,youtube,Australia/Sydney,
False,openedApp,1753737642.862889,breathingExercise,3.0,netflix,Australia/Sydney,
False,openedApp,1753739491.8611479,breathingExercise,3.0,tikTok,Australia/Sydney,
False,closedApp,1753739530.154917,,,tikTok,Australia/Sydney,
False,openedApp,1753739545.5054622,breathingExercise,3.0,tikTok,Australia/Sydney,
False,closedApp,1753739681.2889972,,,tikTok,Australia/Sydney,
False,openedApp,1753739712.234365,breathingExercise,3.0,tikTok,Australia/Sydney,
False,dismissedAppOpening,1753739804.020304,breathingExercise,3.0,tikTok,Australia/Sydney,
False,closedApp,1753739730.466807,,,tikTok,Australia/Sydney,
False,dismissedAppOpening,1753744561.152182,breathingExercise,3.0,instagram,Australia/Sydney,
False,openedApp,1753750874.215414,breathingExercise,3.0,instagram,Australia/Sydney,900.0
False,openedApp,1753752726.85388,breathingExercise,3.0,netflix,Australia/Sydney,
False,dismissedAppOpening,1753753442.665711,breathingExercise,3.0,netflix,Australia/Sydney,
False,openedApp,1753753451.86588,breathingExercise,3.0,netflix,Australia/Sydney,
False,openedApp,1753753486.2967339,breathingExercise,3.0,netflix,Australia/Sydney,
False,openedApp,1753753624.559445,breathingExercise,3.0,netflix,Australia/Sydney,
False,openedApp,1753766324.0580559,breathingExercise,3.0,instagram,Australia/Sydney,600.0
False,openedApp,1753781317.807657,breathingExercise,3.0,netflix,Australia/Sydney,
False,dismissedAppOpening,1753781669.8809218,breathingExercise,3.0,netflix,Australia/Sydney,
False,openedApp,1753782853.2374969,breathingExercise,3.0,instagram,Australia/Sydney,900.0
False,openedApp,1753783315.867662,breathingExercise,3.0,netflix,Australia/Sydney,
False,openedApp,1753783414.327698,breathingExercise,3.0,netflix,Australia/Sydney,
False,dismissedAppOpening,1753783768.33623,breathingExercise,3.0,netflix,Australia/Sydney,
False,openedApp,1753783832.261716,breathingExercise,3.0,netflix,Australia/Sydney,
False,openedApp,1753784423.8546329,breathingExercise,3.0,netflix,Australia/Sydney,
False,dismissedAppOpening,1753784713.066565,breathingExercise,3.0,netflix,Australia/Sydney,
False,dismissedAppOpening,1753816091.465534,breathingExercise,3.0,netflix,Australia/Sydney,
False,dismissedAppOpening,1753824619.9731379,breathingExercise,3.0,tikTok,Australia/Sydney,
False,openedApp,1753824637.705834,breathingExercise,3.0,instagram,Australia/Sydney,600.0
False,openedApp,1753824808.269683,breathingExercise,3.0,instagram,Australia/Sydney,540.0
False,openedApp,1753852837.8797522,breathingExercise,3.0,instagram,Australia/Sydney,900.0
False,openedApp,1753853231.5226002,breathingExercise,3.0,instagram,Australia/Sydney,480.0
False,dismissedAppOpening,1753853278.1070151,breathingExercise,3.0,instagram,Australia/Sydney,
False,openedApp,1753867600.498022,breathingExercise,3.0,instagram,Australia/Sydney,420.0
False,dismissedAppOpening,1753913025.38223,breathingExercise,3.0,tikTok,Australia/Sydney,
False,openedApp,1753913543.285327,breathingExercise,3.0,tikTok,Australia/Sydney,
False,dismissedAppOpening,1753926914.21966,breathingExercise,3.0,instagram,Australia/Sydney,
False,closedApp,1753914738.1487432,,,tikTok,Australia/Sydney,
False,openedApp,1753926955.1565828,breathingExercise,3.0,instagram,Australia/Sydney,480.0
False,dismissedAppOpening,1753928910.6049728,breathingExercise,3.0,instagram,Australia/Sydney,
False,openedApp,1753940240.2491899,breathingExercise,3.0,instagram,Australia/Sydney,900.0
False,dismissedAppOpening,1753944808.04944,breathingExercise,3.0,youtube,Australia/Sydney,
False,openedApp,1753944818.728355,breathingExercise,3.0,youtube,Australia/Sydney,
False,closedApp,1753944844.555152,,,youtube,Australia/Sydney,
False,openedApp,1753945080.8479671,breathingExercise,3.0,youtube,Australia/Sydney,
False,closedApp,1753945300.9344668,,,youtube,Australia/Sydney,
False,openedApp,1753947982.997329,breathingExercise,3.0,tikTok,Australia/Sydney,
False,openedApp,1753948015.412231,breathingExercise,3.0,tikTok,Australia/Sydney,
False,openedApp,1753992601.621156,breathingExercise,3.0,instagram,Australia/Sydney,600.0
False,closedApp,1754041879.030124,,,tikTok,Australia/Sydney,
False,openedApp,1754084425.760754,breathingExercise,3.0,tikTok,Australia/Sydney,
False,closedApp,1754084672.2524362,,,tikTok,Australia/Sydney,
False,closedApp,1754084961.495583,,,tikTok,Australia/Sydney,
False,openedApp,1754098710.783057,breathingExercise,3.0,instagram,Australia/Sydney,900.0
False,openedApp,1754112053.799283,breathingExercise,3.0,instagram,Australia/Sydney,900.0
False,openedApp,1754112203.2007852,breathingExercise,3.0,instagram,Australia/Sydney,600.0
False,openedApp,1754112312.150928,breathingExercise,3.0,instagram,Australia/Sydney,900.0
False,dismissedAppOpening,1754112370.3975492,breathingExercise,3.0,instagram,Australia/Sydney,
False,openedApp,1754112383.909606,breathingExercise,3.0,instagram,Australia/Sydney,420.0
False,openedApp,1754157052.181818,breathingExercise,3.0,tikTok,Australia/Sydney,
False,openedApp,1754157078.678859,breathingExercise,3.0,tikTok,Australia/Sydney,
False,closedApp,1754157677.6126919,,,tikTok,Australia/Sydney,
False,openedApp,1754175311.667315,breathingExercise,3.0,tikTok,Australia/Sydney,
False,closedApp,1754175944.217654,,,tikTok,Australia/Sydney,
False,openedApp,1754178996.899901,breathingExercise,3.0,tikTok,Australia/Sydney,
False,closedApp,1754179095.679461,,,tikTok,Australia/Sydney,
False,openedApp,1754179199.8952909,breathingExercise,3.0,tikTok,Australia/Sydney,
False,closedApp,1754180171.423201,,,tikTok,Australia/Sydney,
False,closedApp,1754180793.899928,,,tikTok,Australia/Sydney,
False,closedApp,1754181695.365737,,,tikTok,Australia/Sydney,
False,openedApp,1754182377.093645,breathingExercise,3.0,tikTok,Australia/Sydney,
False,closedApp,1754182960.420933,,,tikTok,Australia/Sydney,
False,openedApp,1754183350.913207,breathingExercise,3.0,tikTok,Australia/Sydney,
False,closedApp,1754183583.1971312,,,tikTok,Australia/Sydney,
False,closedApp,1754183798.683464,,,tikTok,Australia/Sydney,
False,dismissedAppOpening,1754183881.757402,breathingExercise,3.0,tikTok,Australia/Sydney,
False,openedApp,1754183915.5437799,breathingExercise,3.0,tikTok,Australia/Sydney,
False,closedApp,1754183980.134491,,,tikTok,Australia/Sydney,
False,closedApp,1754184350.6759238,,,tikTok,Australia/Sydney,
False,openedApp,1754190386.91219,breathingExercise,3.0,instagram,Australia/Sydney,480.0
False,openedApp,1754190422.7248511,breathingExercise,3.0,instagram,Australia/Sydney,540.0
False,openedApp,1754190716.7740688,breathingExercise,3.0,instagram,Australia/Sydney,900.0
False,dismissedAppOpening,1754192572.9894938,breathingExercise,3.0,instagram,Australia/Sydney,
False,dismissedAppOpening,1754192575.541944,breathingExercise,3.0,instagram,Australia/Sydney,
False,dismissedAppOpening,1754195736.930367,breathingExercise,3.0,tikTok,Australia/Sydney,
False,dismissedAppOpening,1754195745.024282,breathingExercise,3.0,tikTok,Australia/Sydney,
False,dismissedAppOpening,1754195748.607275,breathingExercise,3.0,tikTok,Australia/Sydney,
False,openedApp,1754195757.7332149,breathingExercise,3.0,tikTok,Australia/Sydney,
False,closedApp,1754195874.6949282,,,tikTok,Australia/Sydney,
False,closedApp,1754195949.26824,,,tikTok,Australia/Sydney,
False,openedApp,1754196856.537586,breathingExercise,3.0,tikTok,Australia/Sydney,
False,closedApp,1754196907.939659,,,tikTok,Australia/Sydney,
False,closedApp,1754198330.207288,,,tikTok,Australia/Sydney,
False,closedApp,1754206029.8843331,,,tikTok,Australia/Sydney,
False,openedApp,1754207306.736812,breathingExercise,3.0,tikTok,Australia/Sydney,
False,closedApp,1754208470.4266372,,,tikTok,Australia/Sydney,
False,closedApp,1754209740.968998,,,tikTok,Australia/Sydney,
False,closedApp,1754211139.159905,,,tikTok,Australia/Sydney,
False,openedApp,1754211316.2510262,breathingExercise,3.0,tikTok,Australia/Sydney,
False,closedApp,1754211389.592309,,,tikTok,Australia/Sydney,
False,closedApp,1754211540.1553478,,,tikTok,Australia/Sydney,
False,closedApp,1754212266.1176019,,,tikTok,Australia/Sydney,
False,closedApp,1754212702.129006,,,tikTok,Australia/Sydney,
False,openedApp,1754212795.0117788,breathingExercise,3.0,tikTok,Australia/Sydney,
False,closedApp,1754214041.09271,,,tikTok,Australia/Sydney,
False,closedApp,1754215426.0627398,,,tikTok,Australia/Sydney,
False,openedApp,1754255911.300528,breathingExercise,3.0,tikTok,Australia/Sydney,
False,closedApp,1754259125.9970322,,,tikTok,Australia/Sydney,
False,closedApp,1754262253.0919151,,,tikTok,Australia/Sydney,
False,openedApp,1754265021.725514,breathingExercise,3.0,tikTok,Australia/Sydney,
False,closedApp,1754266022.871694,,,tikTok,Australia/Sydney,
False,openedApp,1754276921.4970732,breathingExercise,3.0,tikTok,Australia/Sydney,
False,openedApp,1754302859.570394,breathingExercise,3.0,tikTok,Australia/Sydney,
False,openedApp,1754305607.863605,breathingExercise,3.0,tikTok,Australia/Sydney,
False,closedApp,1754277241.110503,,,tikTok,Australia/Sydney,
False,closedApp,1754303707.5064511,,,tikTok,Australia/Sydney,
False,closedApp,1754305587.671276,,,tikTok,Australia/Sydney,
False,closedApp,1754306370.1033301,,,tikTok,Australia/Sydney,
False,closedApp,1754302848.407397,,,youtube,Australia/Sydney,
False,dismissedAppOpening,1754306382.769754,breathingExercise,3.0,tikTok,Australia/Sydney,
False,openedApp,1754308949.241627,breathingExercise,3.0,tikTok,Australia/Sydney,
False,openedApp,1754339042.7005692,breathingExercise,3.0,tikTok,Australia/Sydney,
False,closedApp,1754309976.50111,,,tikTok,Australia/Sydney,
False,closedApp,1754338930.255049,,,tikTok,Australia/Sydney,
False,closedApp,1754340326.269432,,,tikTok,Australia/Sydney,
False,closedApp,1754340510.3337212,,,tikTok,Australia/Sydney,
False,dismissedAppOpening,1754342005.837539,breathingExercise,3.0,tikTok,Australia/Sydney,
False,openedApp,1754342053.156486,breathingExercise,3.0,tikTok,Australia/Sydney,
False,closedApp,1754342574.260271,,,tikTok,Australia/Sydney,
False,closedApp,1754343536.758852,,,tikTok,Australia/Sydney,
False,dismissedAppOpening,1754358662.993586,breathingExercise,3.0,instagram,Australia/Sydney,
False,openedApp,1754358769.0167742,breathingExercise,3.0,instagram,Australia/Sydney,480.0
False,openedApp,1754390747.012305,breathingExercise,3.0,tikTok,Australia/Sydney,
False,closedApp,1754390969.6452851,,,tikTok,Australia/Sydney,
False,closedApp,1754391102.5772572,,,tikTok,Australia/Sydney,
False,openedApp,1754391155.954464,breathingExercise,3.0,tikTok,Australia/Sydney,
False,closedApp,1754391301.974263,,,tikTok,Australia/Sydney,
False,closedApp,1754391899.2384791,,,tikTok,Australia/Sydney,
False,openedApp,1754392368.199182,breathingExercise,3.0,tikTok,Australia/Sydney,
False,openedApp,1754393195.5070891,breathingExercise,3.0,tikTok,Australia/Sydney,
False,openedApp,1754393872.952035,breathingExercise,3.0,instagram,Australia/Sydney,900.0
False,closedApp,1754392548.2253919,,,tikTok,Australia/Sydney,
False,closedApp,1754393090.353551,,,tikTok,Australia/Sydney,
False,closedApp,1754393488.441132,,,tikTok,Australia/Sydney,
False,closedApp,1754393857.645525,,,tikTok,Australia/Sydney,
False,closedApp,1754393982.201772,,,tikTok,Australia/Sydney,
False,openedApp,1754393994.422289,breathingExercise,3.0,instagram,Australia/Sydney,900.0
False,dismissedAppOpening,1754394169.193336,breathingExercise,3.0,tikTok,Australia/Sydney,
False,openedApp,1754394186.2792969,breathingExercise,3.0,instagram,Australia/Sydney,900.0
False,openedApp,1754394544.732249,breathingExercise,3.0,tikTok,Australia/Sydney,
False,closedApp,1754394816.167429,,,tikTok,Australia/Sydney,
False,closedApp,1754395011.394783,,,tikTok,Australia/Sydney,
False,openedApp,1754424199.064717,breathingExercise,3.0,tikTok,Australia/Sydney,
False,openedApp,1754424225.347457,breathingExercise,3.0,tikTok,Australia/Sydney,
False,openedApp,1754424912.694489,breathingExercise,3.0,tikTok,Australia/Sydney,
False,closedApp,1754424626.076482,,,tikTok,Australia/Sydney,
False,closedApp,1754426621.957933,,,tikTok,Australia/Sydney,
False,openedApp,1754426944.7821012,breathingExercise,3.0,tikTok,Australia/Sydney,
