interventionType,timezone,isReIntervention,timestamp,app,resolution,interventionDuration,timeIntervalUntilReIntervention,purpose
breathingExercise,America/Merida,False,1752093647.583775,instagram,dismissedAppOpening,3.0,,
breathingExercise,America/Merida,False,1752093862.462143,youtube,dismissedAppOpening,3.0,,
,America/Merida,False,1752094167.513883,xvideos,closedApp,,,
,America/Merida,False,1752094188.1216822,xvideos,closedApp,,,
breathingExercise,America/Merida,False,1752094265.9374309,xvideos,dismissedAppOpening,3.0,,
,America/Merida,False,1752094327.881588,pornhub,closedApp,,,
breathingExercise,America/Merida,False,1752094596.214838,safari,dismissedAppOpening,3.0,,
breathingExercise,America/Merida,False,1752094678.0520658,facebook,dismissedAppOpening,3.0,,
breathingExercise,America/Merida,False,1752094705.557054,safari,dismissedAppOpening,3.0,,
breathingExercise,America/Merida,False,1752097791.370915,facebook,dismissedAppOpening,3.0,,
breathingExercise,America/Merida,False,1752101620.948914,safari,dismissedAppOpening,3.0,,
breathingExercise,America/Merida,False,1752102698.263328,safari,dismissedAppOpening,3.0,,
breathingExercise,America/Merida,False,1752104846.800225,facebook,dismissedAppOpening,3.0,,
breathingExercise,America/Merida,False,1752104885.192002,safari,dismissedAppOpening,3.0,,
askForTimeLimit,America/Merida,False,1752105043.415156,clashRoyale,openedApp,3.0,360.0,
breathingExercise,America/Merida,False,1752105324.735748,facebook,dismissedAppOpening,3.0,,
breathingExercise,America/Merida,False,1752106022.390897,instagram,openedApp,3.0,,Publicar algo
breathingExercise,America/Merida,False,1752106097.400439,instagram,openedApp,3.0,,Publicar algo
breathingExercise,America/Merida,False,1752106426.273709,facebook,dismissedAppOpening,3.0,,
breathingExercise,America/Merida,False,1752106922.0032039,youtube,dismissedAppOpening,3.0,,
breathingExercise,America/Merida,False,1752109918.3798928,facebook,dismissedAppOpening,3.0,,
breathingExercise,America/Merida,False,1752110423.851902,facebook,dismissedAppOpening,3.0,,
breathingExercise,America/Merida,False,1752110560.084008,facebook,dismissedAppOpening,3.0,,
breathingExercise,America/Merida,False,1752110771.480511,facebook,dismissedAppOpening,3.0,,
breathingExercise,America/Merida,False,1752111342.575469,facebook,dismissedAppOpening,3.0,,
askForTimeLimit,America/Merida,False,1752111355.791019,clashRoyale,openedApp,3.0,300.0,
askForTimeLimit,America/Merida,False,1752111399.867972,clashRoyale,dismissedAppOpening,3.0,,
askForTimeLimit,America/Merida,False,1752111405.394422,clashRoyale,openedApp,3.0,360.0,
breathingExercise,America/Merida,False,1752112529.056436,facebook,dismissedAppOpening,3.0,,
breathingExercise,America/Merida,False,1752112914.163907,safari,openedApp,3.0,,Escapar / Evitar
breathingExercise,America/Merida,False,1752113734.560875,facebook,dismissedAppOpening,3.0,,
breathingExercise,America/Merida,False,1752113892.512343,facebook,dismissedAppOpening,3.0,,
breathingExercise,America/Merida,False,1752114252.529642,facebook,dismissedAppOpening,3.0,,
breathingExercise,America/Merida,False,1752114771.640195,facebook,dismissedAppOpening,3.0,,
breathingExercise,America/Merida,False,1752114781.2863312,youtube,dismissedAppOpening,3.0,,
breathingExercise,America/Merida,False,1752115928.6165938,instagram,openedApp,3.0,,Publicar algo
breathingExercise,America/Merida,False,1752116240.5889978,facebook,dismissedAppOpening,3.0,,
breathingExercise,America/Merida,False,1752116676.786771,safari,dismissedAppOpening,3.0,,
breathingExercise,America/Merida,False,1752116688.54709,safari,openedApp,3.0,,Buscar info
breathingExercise,America/Merida,False,1752120653.4277601,instagram,dismissedAppOpening,3.0,,
breathingExercise,America/Merida,False,1752120914.453411,safari,openedApp,3.0,,Buscar info
breathingExercise,America/Merida,False,1752121958.56621,facebook,dismissedAppOpening,3.0,,
breathingExercise,America/Merida,False,1752122302.558022,facebook,dismissedAppOpening,3.0,,
breathingExercise,America/Merida,False,1752140620.656073,instagram,openedApp,3.0,,Obsesionarse con un crush
breathingExercise,America/Merida,False,1752141050.873244,facebook,dismissedAppOpening,3.0,,
breathingExercise,America/Merida,False,1752148456.0488129,instagram,openedApp,3.0,,Mensaje
breathingExercise,America/Merida,False,1752151784.9037042,facebook,dismissedAppOpening,3.0,,
breathingExercise,America/Merida,False,1752152865.9493241,facebook,dismissedAppOpening,3.0,,
breathingExercise,America/Merida,False,1752152998.422827,facebook,dismissedAppOpening,3.0,,
breathingExercise,America/Merida,False,1752153505.0206819,facebook,dismissedAppOpening,3.0,,
breathingExercise,America/Merida,False,1752153583.9841409,facebook,dismissedAppOpening,3.0,,
