timestamp,resolution,interventionType,isReIntervention,timezone,interventionDuration,app,purpose
1751289330.8077002,dismissedAppOpening,breathingExercise,False,Europe/Madrid,3.0,instagram,
1751291462.081327,dismissedAppOpening,breathingExercise,False,Europe/Madrid,3.0,instagram,
1751291724.135326,dismissedAppOpening,breathingExercise,False,Europe/Madrid,3.0,instagram,
1751292742.860382,dismissedAppOpening,breathingExercise,False,Europe/Madrid,3.0,instagram,
1751292799.152282,dismissedAppOpening,breathingExercise,False,Europe/Madrid,3.0,instagram,
1751293494.557934,dismissedAppOpening,breathingExercise,False,Europe/Madrid,3.0,instagram,
1751293580.478049,openedApp,breathingExercise,False,Europe/Madrid,3.0,instagram,Entretenimiento
1751295232.6975741,dismissedAppOpening,breathingExercise,False,Europe/Madrid,3.0,instagram,
1751294774.45559,closedApp,,False,Europe/Madrid,,instagram,
1751296092.191834,dismissedAppOpening,breathingExercise,False,Europe/Madrid,3.0,instagram,
1751296244.919551,dismissedAppOpening,breathingExercise,False,Europe/Madrid,3.0,instagram,
1751296871.885783,openedApp,breathingExercise,False,Europe/Madrid,3.0,instagram,Entretenimiento
1751297430.9437509,closedApp,,False,Europe/Madrid,,instagram,
1751298830.700677,dismissedAppOpening,breathingExercise,False,Europe/Madrid,3.0,instagram,
1751299202.048126,dismissedAppOpening,breathingExercise,False,Europe/Madrid,3.0,instagram,
1751299601.920312,dismissedAppOpening,breathingExercise,False,Europe/Madrid,3.0,instagram,
1751300376.9852772,openedApp,breathingExercise,False,Europe/Madrid,3.0,instagram,Entretenimiento
1751300446.8553638,closedApp,,False,Europe/Madrid,,instagram,
1751300518.405342,openedApp,breathingExercise,False,Europe/Madrid,3.0,youtube,Entretenimiento
1751301383.433716,closedApp,,False,Europe/Madrid,,youtube,
1751302018.459567,dismissedAppOpening,breathingExercise,False,Europe/Madrid,3.0,youtube,
1751303391.41747,openedApp,breathingExercise,False,Europe/Madrid,3.0,instagram,Mensaje
1751303814.849268,closedApp,,False,Europe/Madrid,,instagram,
1751304057.3888788,closedApp,,False,Europe/Madrid,,instagram,
1751304132.111275,closedApp,,False,Europe/Madrid,,instagram,
1751304640.59897,closedApp,,False,Europe/Madrid,,instagram,
1751305467.927886,dismissedAppOpening,breathingExercise,False,Europe/Madrid,3.0,instagram,
1751305546.3539891,openedApp,breathingExercise,False,Europe/Madrid,3.0,instagram,Entretenimiento
1751305859.029273,closedApp,,False,Europe/Madrid,,instagram,
1751310400.738111,openedApp,breathingExercise,False,Europe/Madrid,3.0,instagram,Entretenimiento
1751311360.906167,closedApp,,False,Europe/Madrid,,instagram,
1751312642.4191089,closedApp,,False,Europe/Madrid,,instagram,
1751312774.759457,openedApp,breathingExercise,False,Europe/Madrid,3.0,youtube,Entretenimiento
1751312978.203958,closedApp,,False,Europe/Madrid,,youtube,
1751313426.5339189,closedApp,,False,Europe/Madrid,,youtube,
1751313635.479766,closedApp,,False,Europe/Madrid,,youtube,
1751314101.685734,closedApp,,False,Europe/Madrid,,youtube,
1751314969.0544848,closedApp,,False,Europe/Madrid,,youtube,
1751314983.687768,closedApp,,False,Europe/Madrid,,youtube,
1751315786.667047,openedApp,breathingExercise,False,Europe/Madrid,3.0,instagram,Entretenimiento
1751315994.185832,closedApp,,False,Europe/Madrid,,instagram,
1751316540.403401,openedApp,breathingExercise,False,Europe/Madrid,3.0,instagram,Entretenimiento
1751317685.078634,closedApp,,False,Europe/Madrid,,instagram,
1751317764.676491,closedApp,,False,Europe/Madrid,,instagram,
1751318016.594351,closedApp,,False,Europe/Madrid,,instagram,
1751318618.1825771,closedApp,,False,Europe/Madrid,,instagram,
1751319204.555156,openedApp,breathingExercise,False,Europe/Madrid,3.0,instagram,Entretenimiento
1751319260.017818,closedApp,,False,Europe/Madrid,,instagram,
1751319343.8569741,closedApp,,False,Europe/Madrid,,instagram,
1751319388.5123858,closedApp,,False,Europe/Madrid,,instagram,
1751319390.9392729,dismissedAppOpening,breathingExercise,False,Europe/Madrid,3.0,youtube,
1751319423.127497,openedApp,breathingExercise,False,Europe/Madrid,3.0,youtube,Entretenimiento
1751321778.0045772,closedApp,,False,Europe/Madrid,,youtube,
1751321838.841773,dismissedAppOpening,breathingExercise,False,Europe/Madrid,3.0,instagram,
1751322951.915559,closedApp,,False,Europe/Madrid,,youtube,
1751329560.241261,closedApp,,False,Europe/Madrid,,youtube,
1751345910.829385,dismissedAppOpening,breathingExercise,False,Europe/Madrid,3.0,instagram,
1751347616.63712,openedApp,breathingExercise,False,Europe/Madrid,3.0,instagram,Aburrido
1751347878.181579,closedApp,,False,Europe/Madrid,,instagram,
1751349774.063216,openedApp,breathingExercise,False,Europe/Madrid,3.0,instagram,Aburrido
1751349831.2704458,closedApp,,False,Europe/Madrid,,instagram,
1751351201.355956,dismissedAppOpening,breathingExercise,False,Europe/Madrid,3.0,instagram,
1751351329.7296538,dismissedAppOpening,breathingExercise,False,Europe/Madrid,3.0,youtube,
1751353514.363338,openedApp,breathingExercise,False,Europe/Madrid,3.0,instagram,Entretenimiento
1751353742.7987928,closedApp,,False,Europe/Madrid,,instagram,
1751355545.774777,openedApp,breathingExercise,False,Europe/Madrid,3.0,instagram,Entretenimiento
1751355914.222481,closedApp,,False,Europe/Madrid,,instagram,
1751361815.483607,openedApp,breathingExercise,False,Europe/Madrid,3.0,instagram,Inodoro
1751361996.3512812,closedApp,,False,Europe/Madrid,,instagram,
1751362471.344129,closedApp,,False,Europe/Madrid,,instagram,
1751364519.515357,dismissedAppOpening,breathingExercise,False,Europe/Madrid,3.0,instagram,
1751367878.283582,openedApp,breathingExercise,False,Europe/Madrid,3.0,instagram,Mantente Informado
1751367992.898273,closedApp,,False,Europe/Madrid,,instagram,
1751368309.259412,closedApp,,False,Europe/Madrid,,instagram,
1751369026.8017511,closedApp,,False,Europe/Madrid,,instagram,
1751369421.343787,openedApp,breathingExercise,False,Europe/Madrid,3.0,instagram,Mensaje
1751369541.164526,closedApp,,False,Europe/Madrid,,instagram,
1751370890.750562,openedApp,breathingExercise,False,Europe/Madrid,3.0,instagram,Aburrido
1751371349.83747,closedApp,,False,Europe/Madrid,,instagram,
1751373777.432207,openedApp,breathingExercise,False,Europe/Madrid,3.0,instagram,Mensaje
1751373867.617799,closedApp,,False,Europe/Madrid,,instagram,
1751374832.231283,dismissedAppOpening,breathingExercise,False,Europe/Madrid,3.0,instagram,
1751376968.17819,openedApp,breathingExercise,False,Europe/Madrid,3.0,instagram,Mensaje
1751376989.974547,closedApp,,False,Europe/Madrid,,instagram,
1751378353.448341,dismissedAppOpening,breathingExercise,False,Europe/Madrid,3.0,instagram,
1751382853.252853,openedApp,breathingExercise,False,Europe/Madrid,3.0,instagram,Escapar / Evitar
1751384801.627894,dismissedAppOpening,breathingExercise,False,Europe/Madrid,3.0,instagram,
1751385150.802732,dismissedAppOpening,breathingExercise,False,Europe/Madrid,3.0,instagram,
1751385701.296877,dismissedAppOpening,breathingExercise,False,Europe/Madrid,3.0,instagram,
1751391721.726516,openedApp,breathingExercise,False,Europe/Madrid,3.0,instagram,Relajarse
