timestamp,timezone,resolution,interventionType,isReIntervention,app,interventionDuration
1751759280.196004,America/Chicago,dismissedAppOpening,breathingExercise,False,instagram,3
1751759741.889701,America/Chicago,dismissedAppOpening,breathingExercise,False,instagram,3
1751761179.526602,America/Chicago,openedApp,breathingExercise,False,instagram,3
1751761246.218761,America/Chicago,dismissedAppOpening,breathingExercise,False,instagram,3
1751763424.319147,America/Chicago,openedApp,breathingExercise,False,instagram,3
1751763554.8756862,America/Chicago,openedApp,breathingExercise,False,instagram,3
1751763649.4396439,America/Chicago,openedApp,breathingExercise,False,instagram,3
1751764688.211082,America/Chicago,dismissedAppOpening,breathingExercise,False,instagram,3
1751766473.076891,America/Chicago,openedApp,breathingExercise,False,instagram,3
1751776423.925978,America/Chicago,openedApp,breathingExercise,False,instagram,3
1751776462.668437,America/Chicago,openedApp,breathingExercise,False,instagram,3
1751776554.1481252,America/Chicago,openedApp,breathingExercise,False,instagram,3
1751777124.9892359,America/Chicago,openedApp,breathingExercise,False,instagram,3
1751777438.523439,America/Chicago,openedApp,breathingExercise,False,instagram,3
1751777697.166678,America/Chicago,openedApp,breathingExercise,False,instagram,3
1751777734.867495,America/Chicago,dismissedAppOpening,breathingExercise,False,instagram,3
1751777744.99643,America/Chicago,openedApp,breathingExercise,False,instagram,3
1751778095.1118279,America/Chicago,openedApp,breathingExercise,False,instagram,3
1751778468.621903,America/Chicago,openedApp,breathingExercise,False,instagram,3
1751778526.636554,America/Chicago,openedApp,breathingExercise,False,instagram,3
1751779472.8916621,America/Chicago,openedApp,breathingExercise,False,instagram,3
1751781418.483618,America/Chicago,openedApp,breathingExercise,False,instagram,3
1751781692.715962,America/Chicago,openedApp,breathingExercise,False,instagram,3
1751783122.543091,America/Chicago,openedApp,breathingExercise,False,instagram,3
1751809657.9749231,America/Chicago,openedApp,breathingExercise,False,instagram,3
1751813066.694413,America/Chicago,openedApp,breathingExercise,False,instagram,3
1751816041.9747791,America/Chicago,dismissedAppOpening,breathingExercise,False,instagram,3
1751816056.627362,America/Chicago,openedApp,breathingExercise,False,instagram,3
1751816270.008868,America/Chicago,openedApp,breathingExercise,False,instagram,3
1751818473.0650392,America/Chicago,openedApp,breathingExercise,False,instagram,3
1751826300.626235,America/Chicago,openedApp,breathingExercise,False,instagram,3
1751828792.1979442,America/Chicago,dismissedAppOpening,breathingExercise,False,instagram,3
1751828843.963491,America/Chicago,openedApp,breathingExercise,False,instagram,3
1751830582.71578,America/Chicago,openedApp,breathingExercise,False,instagram,3
1751830881.3449879,America/Chicago,openedApp,breathingExercise,False,instagram,3
1751831474.061108,America/Chicago,dismissedAppOpening,breathingExercise,False,instagram,3
1751831484.508407,America/Chicago,dismissedAppOpening,breathingExercise,False,instagram,3
1751833916.426282,America/Chicago,openedApp,breathingExercise,False,instagram,3
1751834462.7355351,America/Chicago,openedApp,breathingExercise,False,instagram,3
1751835464.698298,America/Chicago,openedApp,breathingExercise,False,instagram,3
1751835676.604157,America/Chicago,openedApp,breathingExercise,False,instagram,3
1751835784.2622008,America/Chicago,openedApp,breathingExercise,False,instagram,3
1751895354.637384,America/Chicago,openedApp,breathingExercise,False,instagram,3
1751899866.360502,America/Chicago,openedApp,breathingExercise,False,instagram,3
1751907077.063655,America/Chicago,openedApp,breathingExercise,False,instagram,3
1751909438.343528,America/Chicago,openedApp,breathingExercise,False,instagram,3
1751909480.826315,America/Chicago,openedApp,breathingExercise,False,instagram,3
1751911521.418643,America/Chicago,openedApp,breathingExercise,False,instagram,3
1751912162.559423,America/Chicago,openedApp,breathingExercise,False,instagram,3
1751918676.300719,America/Chicago,openedApp,breathingExercise,False,instagram,3
1751919422.397366,America/Chicago,openedApp,breathingExercise,False,instagram,3
1751919796.779968,America/Chicago,openedApp,breathingExercise,False,instagram,3
1751920122.739759,America/Chicago,openedApp,breathingExercise,False,instagram,3
1751932080.485599,America/Chicago,openedApp,breathingExercise,False,instagram,3
1751938277.7862701,America/Chicago,openedApp,breathingExercise,False,instagram,3
1751938327.449973,America/Chicago,dismissedAppOpening,breathingExercise,False,instagram,3
1751939216.0082479,America/Chicago,openedApp,breathingExercise,False,instagram,3
1751939554.4819841,America/Chicago,openedApp,breathingExercise,False,instagram,3
1751940186.459018,America/Chicago,openedApp,breathingExercise,False,instagram,3
1751940412.798243,America/Chicago,openedApp,breathingExercise,False,instagram,3
1751940765.078202,America/Chicago,openedApp,breathingExercise,False,instagram,3
1751941143.403113,America/Chicago,openedApp,breathingExercise,False,instagram,3
1751942047.496273,America/Chicago,openedApp,breathingExercise,False,instagram,3
1751942439.040566,America/Chicago,openedApp,breathingExercise,False,instagram,3
1751943429.0516891,America/Chicago,openedApp,breathingExercise,False,instagram,3
1751946654.303277,America/Chicago,dismissedAppOpening,breathingExercise,False,instagram,3
1751946671.180815,America/Chicago,openedApp,breathingExercise,False,instagram,3
1751946785.260271,America/Chicago,openedApp,breathingExercise,False,instagram,3
1751948084.7125502,America/Chicago,openedApp,breathingExercise,False,instagram,3
1751949443.24315,America/Chicago,dismissedAppOpening,breathingExercise,False,instagram,3
1751949456.416665,America/Chicago,openedApp,breathingExercise,False,instagram,3
1751977963.7280679,America/Chicago,openedApp,breathingExercise,False,instagram,3
1751982540.71666,America/Chicago,openedApp,breathingExercise,False,instagram,3
