resolution,app,isReIntervention,timezone,interventionDuration,timestamp,interventionType,purpose,timeIntervalUntilReIntervention
openedApp,linkedin,False,America/Detroit,3.0,1748360917.591326,breathingExercise,Message,
openedApp,instagram,False,America/Detroit,3.0,1748383844.089668,breathingExercise,,
closedApp,instagram,False,America/Detroit,,1748384860.109846,,,
openedApp,facebook,False,America/Detroit,3.0,1748384974.737798,breathingExercise,,
closedApp,facebook,False,America/Detroit,,1748385737.46099,,,
openedApp,instagram,False,America/Detroit,3.0,1748474568.529263,breathingExercise,,360.0
closedApp,instagram,False,America/Detroit,,1748474759.448518,,,
openedApp,youtube,False,America/Detroit,3.0,1748475628.3951159,breathingExercise,,900.0
closedApp,youtube,False,America/Detroit,,1748476358.334172,,,
openedApp,instagram,False,America/Detroit,3.0,1748556174.179745,breathingExercise,,960.0
closedApp,instagram,False,America/Detroit,,1748556251.081697,,,
openedApp,facebook,False,America/Detroit,3.0,1748556321.9986281,breathingExercise,,420.0
openedApp,linkedin,False,America/Detroit,3.0,1748556385.350963,breathingExercise,,420.0
