interventionType,timezone,timeIntervalUntilReIntervention,timestamp,interventionDuration,isReIntervention,app,resolution
breathingExercise,Australia/Sydney,360.0,1751608544.461337,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,180.0,1751610377.31299,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,180.0,1751611164.839151,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,480.0,1751622771.22118,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,480.0,1751622814.429539,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,600.0,1751625158.9919848,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,600.0,1751626428.3645082,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,,1751628513.650275,3,False,instagram,dismissedAppOpening
breathingExercise,Australia/Sydney,60.0,1751629000.704516,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,60.0,1751665087.094658,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,600.0,1751665749.557204,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,360.0,1751670079.4287539,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,240.0,1751673288.832015,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,240.0,1751673447.307966,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,360.0,1751678113.643678,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,180.0,1751687881.03724,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,240.0,1751695620.621484,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,300.0,1751698460.043092,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,,1751699290.6145148,3,False,instagram,dismissedAppOpening
breathingExercise,Australia/Sydney,,1751699294.784857,3,False,instagram,dismissedAppOpening
breathingExercise,Australia/Sydney,480.0,1751701164.059161,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,360.0,1751707663.074593,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,360.0,1751715128.182561,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,540.0,1751716093.56165,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,1140.0,1751716658.134455,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,,1751719788.254212,3,False,instagram,dismissedAppOpening
breathingExercise,Australia/Sydney,600.0,1751760812.299175,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,,1751764968.824244,3,False,instagram,dismissedAppOpening
breathingExercise,Australia/Sydney,660.0,1751788071.323185,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,960.0,1751791727.280582,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,480.0,1751792748.501807,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,,1751792900.0720181,3,False,instagram,dismissedAppOpening
breathingExercise,Australia/Sydney,840.0,1751797200.691648,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,540.0,1751799162.2581859,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,540.0,1751839744.926961,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,540.0,1751848061.913636,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,,1751850526.312296,3,False,instagram,dismissedAppOpening
breathingExercise,Australia/Sydney,540.0,1751850540.892318,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,540.0,1751850615.8451,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,480.0,1751851903.210675,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,840.0,1751852528.710661,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,,1751854623.995678,3,False,instagram,dismissedAppOpening
breathingExercise,Australia/Sydney,,1751861410.624784,3,False,instagram,dismissedAppOpening
breathingExercise,Australia/Sydney,240.0,1751861423.461948,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,180.0,1751864591.308497,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,,1751864861.398113,3,False,instagram,dismissedAppOpening
breathingExercise,Australia/Sydney,420.0,1751874490.979064,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,480.0,1751882185.413198,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,,1751882948.302911,3,False,instagram,dismissedAppOpening
breathingExercise,Australia/Sydney,480.0,1751884410.5838652,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,,1751884494.740912,3,False,instagram,dismissedAppOpening
breathingExercise,Australia/Sydney,540.0,1751922886.135951,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,360.0,1751935529.154957,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,720.0,1751942520.273704,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,60.0,1751942579.854869,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,,1751947363.737052,3,False,instagram,dismissedAppOpening
breathingExercise,Australia/Sydney,480.0,1751947375.5502172,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,,1751947618.012611,3,False,instagram,dismissedAppOpening
breathingExercise,Australia/Sydney,480.0,1751950140.148336,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,600.0,1751952818.956842,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,480.0,1751953724.155696,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,,1751954600.208167,3,False,instagram,dismissedAppOpening
breathingExercise,Australia/Sydney,,1751955444.408657,3,False,instagram,dismissedAppOpening
breathingExercise,Australia/Sydney,720.0,1751961068.602436,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,,1751961751.012817,3,False,instagram,dismissedAppOpening
breathingExercise,Australia/Sydney,120.0,1751962197.026999,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,240.0,1751962725.43767,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,1140.0,1751963191.6241999,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,,1751964304.861135,3,False,instagram,dismissedAppOpening
breathingExercise,Australia/Sydney,420.0,1751972489.97745,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,420.0,1751974841.373966,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,540.0,1751975349.958328,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,,1752008284.111913,3,False,instagram,dismissedAppOpening
breathingExercise,Australia/Sydney,60.0,1752009734.75881,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,540.0,1752022127.97509,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,840.0,1752027270.979443,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,,1752027385.644618,3,False,instagram,dismissedAppOpening
breathingExercise,Australia/Sydney,600.0,1752040302.753346,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,780.0,1752045482.5022678,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,840.0,1752046993.970648,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,1080.0,1752047423.238543,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,1080.0,1752047607.424436,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,1200.0,1752047735.631074,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,600.0,1752048353.5827699,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,660.0,1752048973.4807591,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,1140.0,1752049315.599648,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,1500.0,1752049639.35092,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,1080.0,1752051126.436959,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,840.0,1752051487.324934,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,,1752051530.977216,3,False,instagram,dismissedAppOpening
breathingExercise,Australia/Sydney,840.0,1752052881.707961,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,,1752053436.768934,3,False,instagram,dismissedAppOpening
breathingExercise,Australia/Sydney,600.0,1752055007.1753569,3,False,instagram,openedApp
