interventionType,isReIntervention,resolution,timestamp,app,timezone,interventionDuration
breathingExercise,False,dismissedAppOpening,1750692796.496841,instagram,Europe/Rome,3.0
breathingExercise,False,openedApp,1750710818.384221,instagram,Europe/Rome,3.0
breathingExercise,False,openedApp,1750711170.476121,instagram,Europe/Rome,3.0
breathingExercise,False,openedApp,1750711624.616549,instagram,Europe/Rome,3.0
,False,closedApp,1750711765.472642,instagram,Europe/Rome,
breathingExercise,False,openedApp,1750711921.381469,instagram,Europe/Rome,3.0
,False,closedApp,1750712845.663494,instagram,Europe/Rome,
breathingExercise,False,dismissedAppOpening,1750712878.3181062,instagram,Europe/Rome,3.0
breathingExercise,False,openedApp,1750712886.883678,instagram,Europe/Rome,3.0
,False,closedApp,1750712920.0901132,instagram,Europe/Rome,
breathingExercise,False,openedApp,1750756505.6697478,instagram,Europe/Rome,3.0
,False,closedApp,1750757338.406647,instagram,Europe/Rome,
breathingExercise,False,openedApp,1750757400.528336,instagram,Europe/Rome,3.0
,False,closedApp,1750758328.447597,instagram,Europe/Rome,
,False,closedApp,1750759708.4436011,instagram,Europe/Rome,
breathingExercise,False,dismissedAppOpening,1750759814.746498,instagram,Europe/Rome,3.0
breathingExercise,False,openedApp,1750759840.4167562,instagram,Europe/Rome,3.0
,False,closedApp,1750761831.9229832,instagram,Europe/Rome,
,False,closedApp,1750762100.400344,instagram,Europe/Rome,
breathingExercise,False,openedApp,1750762148.322402,instagram,Europe/Rome,3.0
,False,closedApp,1750762183.975463,instagram,Europe/Rome,
breathingExercise,False,openedApp,1750762211.4306622,instagram,Europe/Rome,3.0
,False,closedApp,1750762958.429778,instagram,Europe/Rome,
breathingExercise,False,openedApp,1750768558.519573,instagram,Europe/Rome,3.0
,False,closedApp,1750769776.173867,instagram,Europe/Rome,
breathingExercise,False,openedApp,1750770134.8695068,instagram,Europe/Rome,3.0
breathingExercise,False,dismissedAppOpening,1750770496.249145,instagram,Europe/Rome,3.0
,False,closedApp,1750770486.542347,instagram,Europe/Rome,
breathingExercise,False,openedApp,1750770657.922791,instagram,Europe/Rome,3.0
,False,closedApp,1750772242.678493,instagram,Europe/Rome,
breathingExercise,False,openedApp,1750847544.598237,instagram,Europe/Rome,3.0
,False,closedApp,1750847572.785332,instagram,Europe/Rome,
breathingExercise,False,openedApp,1750848808.063089,instagram,Europe/Rome,3.0
,False,closedApp,1750849101.3367271,instagram,Europe/Rome,
breathingExercise,False,openedApp,1750849131.75345,instagram,Europe/Rome,3.0
breathingExercise,False,openedApp,1750849150.872818,instagram,Europe/Rome,3.0
,False,closedApp,1750849166.481183,instagram,Europe/Rome,
breathingExercise,False,openedApp,1750849226.991442,instagram,Europe/Rome,3.0
,False,closedApp,1750849362.781756,instagram,Europe/Rome,
breathingExercise,False,openedApp,1750849379.2732592,instagram,Europe/Rome,3.0
breathingExercise,False,openedApp,1750849659.653101,instagram,Europe/Rome,3.0
,False,closedApp,1750849871.6255841,instagram,Europe/Rome,
breathingExercise,False,openedApp,1750851754.6925921,instagram,Europe/Rome,3.0
,False,closedApp,1750851770.62535,instagram,Europe/Rome,
breathingExercise,False,openedApp,1750855020.821231,instagram,Europe/Rome,3.0
,False,closedApp,1750855144.7484422,instagram,Europe/Rome,
,False,closedApp,1750855161.8401089,instagram,Europe/Rome,
breathingExercise,False,openedApp,1750857586.562922,instagram,Europe/Rome,3.0
,False,closedApp,1750857764.376216,instagram,Europe/Rome,
breathingExercise,False,openedApp,1750857796.3769321,instagram,Europe/Rome,3.0
,False,closedApp,1750858431.609503,instagram,Europe/Rome,
breathingExercise,False,openedApp,1750858443.427654,instagram,Europe/Rome,3.0
,False,closedApp,1750858486.2866921,instagram,Europe/Rome,
breathingExercise,False,openedApp,1750858536.222094,instagram,Europe/Rome,3.0
