timestamp,isReIntervention,resolution,interventionDuration,timezone,app,interventionType
1752504045.638979,False,openedApp,3,Asia/Hebron,instagram,breathingExercise
1752504234.674426,False,dismissedAppOpening,3,Asia/Hebron,instagram,breathingExercise
1752557257.806192,False,openedApp,3,Asia/Hebron,instagram,breathingExercise
1752560793.264874,False,openedApp,3,Asia/Hebron,instagram,breathingExercise
1752561104.131748,False,openedApp,3,Asia/Hebron,instagram,breathingExercise
1752565935.973969,False,dismissedAppOpening,3,Asia/Jerusalem,instagram,breathingExercise
1752565982.490417,False,dismissedAppOpening,3,Asia/Jerusalem,instagram,breathingExercise
1752566290.0707278,False,openedApp,3,Asia/Jerusalem,instagram,breathingExercise
1752572246.69834,False,openedApp,3,Asia/Amman,instagram,breathingExercise
1752586493.098681,False,openedApp,3,Asia/Amman,instagram,breathingExercise
1752593492.7758899,False,openedApp,3,Asia/Amman,instagram,breathingExercise
1752597922.403852,False,openedApp,3,Asia/Amman,instagram,breathingExercise
1752598727.1803632,False,dismissedAppOpening,3,Asia/Amman,instagram,breathingExercise
1752606954.5142698,False,openedApp,3,Asia/Jerusalem,instagram,breathingExercise
1752607045.503878,False,openedApp,3,Asia/Hebron,instagram,breathingExercise
1752638821.715613,False,openedApp,3,Asia/Hebron,instagram,breathingExercise
1752662381.917995,False,openedApp,3,Asia/Jerusalem,instagram,breathingExercise
1752688645.584468,False,openedApp,3,Asia/Hebron,instagram,breathingExercise
1752701023.643138,False,openedApp,3,Asia/Hebron,instagram,breathingExercise
1752728434.740094,False,openedApp,3,Asia/Hebron,instagram,breathingExercise
1752729875.294024,False,openedApp,3,Asia/Hebron,instagram,breathingExercise
1752753736.463729,False,openedApp,3,Asia/Jerusalem,instagram,breathingExercise
1752757467.771065,False,openedApp,3,Asia/Hebron,instagram,breathingExercise
1752784053.573334,False,openedApp,3,Asia/Hebron,instagram,breathingExercise
1752822297.1039891,False,openedApp,3,Asia/Hebron,instagram,breathingExercise
1752907064.91166,False,openedApp,3,Asia/Hebron,instagram,breathingExercise
1752907475.0930529,False,openedApp,3,Asia/Hebron,instagram,breathingExercise
1752908039.5971851,False,openedApp,3,Asia/Hebron,instagram,breathingExercise
1752940476.538336,False,openedApp,3,Asia/Hebron,instagram,breathingExercise
1752959499.479104,False,openedApp,3,Asia/Hebron,instagram,breathingExercise
1752993159.185425,False,openedApp,3,Asia/Hebron,instagram,breathingExercise
1752993822.813308,False,openedApp,3,Asia/Hebron,instagram,breathingExercise
1753015839.583067,False,openedApp,3,Asia/Hebron,instagram,breathingExercise
1753075383.916432,False,dismissedAppOpening,3,Asia/Hebron,instagram,breathingExercise
1753075394.6748161,False,openedApp,3,Asia/Hebron,instagram,breathingExercise
1753119369.1638808,False,openedApp,3,Asia/Jerusalem,instagram,breathingExercise
1753119514.616631,False,openedApp,3,Asia/Jerusalem,instagram,breathingExercise
1753119925.142915,False,openedApp,3,Asia/Jerusalem,instagram,breathingExercise
1753131371.854704,False,openedApp,3,Asia/Hebron,instagram,breathingExercise
1753167415.6790972,False,openedApp,3,Asia/Hebron,instagram,breathingExercise
1753167806.962579,False,openedApp,3,Asia/Hebron,instagram,breathingExercise
1753217267.0766768,False,openedApp,3,Asia/Hebron,instagram,breathingExercise
1753245415.90809,False,openedApp,3,Asia/Hebron,instagram,breathingExercise
1753261935.729641,False,dismissedAppOpening,3,Asia/Jerusalem,instagram,breathingExercise
1753262648.067586,False,openedApp,3,Asia/Jerusalem,instagram,breathingExercise
1753294491.713016,False,openedApp,3,Asia/Jerusalem,instagram,breathingExercise
1753298982.060217,False,openedApp,3,Asia/Jerusalem,instagram,breathingExercise
1753350248.7058558,False,openedApp,3,Asia/Jerusalem,instagram,breathingExercise
1753357430.743238,False,openedApp,3,Asia/Jerusalem,instagram,breathingExercise
1753386172.220809,False,openedApp,3,Asia/Hebron,instagram,breathingExercise
1753422004.720789,False,openedApp,3,Asia/Hebron,instagram,breathingExercise
1753510258.1567822,False,openedApp,3,Asia/Hebron,instagram,breathingExercise
1753542954.557324,False,openedApp,3,Asia/Hebron,instagram,breathingExercise
1753562791.270372,False,openedApp,3,Asia/Hebron,instagram,breathingExercise
1753563306.2808452,False,dismissedAppOpening,3,Asia/Hebron,instagram,breathingExercise
1753563316.3246179,False,openedApp,3,Asia/Hebron,instagram,breathingExercise
