app,timestamp,interventionDuration,timezone,resolution,isReIntervention,interventionType
instagram,1750263224.4119182,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750263574.516021,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750263979.1973882,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750264346.583071,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750264679.827015,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750267930.422329,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750268093.348856,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750268247.385052,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750268262.163409,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750270314.066104,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750270919.027899,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750272508.06887,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750273777.4657989,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750273939.481869,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750274666.302178,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750278611.675277,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750282628.186898,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750284341.822098,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750285539.06498,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750285866.835918,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750285900.5398679,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750286715.136591,3,Europe/Berlin,openedApp,False,breathingExercise
instagram,1750287643.3528829,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750288089.302905,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750289831.364223,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750289935.950619,3,Europe/Berlin,openedApp,False,breathingExercise
instagram,1750290072.800472,3,Europe/Berlin,openedApp,False,breathingExercise
instagram,1750290211.517552,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750290214.285071,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750290881.9570909,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750290995.8902001,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750291370.295408,3,Europe/Berlin,openedApp,False,breathingExercise
instagram,1750291666.6297622,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750291700.9413571,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750291886.9981499,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750292861.82722,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750293550.6340141,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750296312.603314,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750296346.875925,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750296567.2631412,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750297283.7993212,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750332980.7658958,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750335138.177225,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750335206.5834599,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750335320.0652862,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750335371.9217072,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750336055.2064629,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750336392.271511,3,Europe/Berlin,openedApp,False,breathingExercise
instagram,1750346911.512381,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750350781.2483702,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750350873.977721,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750352512.199736,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750355003.571271,3,Europe/Berlin,openedApp,False,breathingExercise
instagram,1750355723.741055,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750355997.836032,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750357649.047169,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750357755.337913,3,Europe/Berlin,openedApp,False,breathingExercise
instagram,1750357933.511389,3,Europe/Berlin,openedApp,False,breathingExercise
instagram,1750358188.433229,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750358499.264546,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750361229.3803592,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750361254.118556,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750362607.846875,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750362770.712184,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750363259.2143378,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750364136.670632,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750364619.8956199,3,Europe/Berlin,openedApp,False,breathingExercise
instagram,1750364998.924625,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750369352.953964,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750370899.622081,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750370923.2876592,3,Europe/Berlin,openedApp,False,breathingExercise
instagram,1750377500.197568,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750377574.022382,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750377792.888474,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750377806.4736938,3,Europe/Berlin,openedApp,False,breathingExercise
instagram,1750421038.187434,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750421212.312549,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750421244.542407,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750421471.362205,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750421659.940578,3,Europe/Berlin,openedApp,False,breathingExercise
instagram,1750433790.731176,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750436920.673285,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750445840.8373852,3,Europe/Berlin,openedApp,False,breathingExercise
instagram,1750446012.639052,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750446036.1676369,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750446046.132687,3,Europe/Berlin,openedApp,False,breathingExercise
instagram,1750449868.2184892,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750449877.041963,3,Europe/Berlin,openedApp,False,breathingExercise
instagram,1750450308.446701,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750450369.288646,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750455244.7308102,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750455308.456579,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750455340.292052,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750456524.121825,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750456622.874357,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750457189.658489,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750457309.104399,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750457534.149569,3,Europe/Berlin,openedApp,False,breathingExercise
instagram,1750458750.015098,3,Europe/Berlin,openedApp,False,breathingExercise
instagram,1750458849.6267362,3,Europe/Berlin,openedApp,False,breathingExercise
instagram,1750459131.516488,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750459886.945699,3,Europe/Berlin,openedApp,False,breathingExercise
instagram,1750499235.469142,3,Europe/Berlin,openedApp,False,breathingExercise
instagram,1750499302.610595,3,Europe/Berlin,openedApp,False,breathingExercise
instagram,1750500073.397588,3,Europe/Berlin,openedApp,False,breathingExercise
instagram,1750500347.656674,3,Europe/Berlin,openedApp,False,breathingExercise
instagram,1750502191.284677,3,Europe/Berlin,openedApp,False,breathingExercise
instagram,1750502614.242303,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750504828.525193,3,Europe/Berlin,openedApp,False,breathingExercise
instagram,1750506741.286941,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750515243.3245568,3,Europe/Berlin,openedApp,False,breathingExercise
instagram,1750525293.823454,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750525324.99348,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750530943.602435,3,Europe/Berlin,openedApp,False,breathingExercise
instagram,1750531002.1962,3,Europe/Berlin,openedApp,False,breathingExercise
instagram,1750531087.4258409,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750532645.986557,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750534309.7063432,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750536171.868451,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750536183.828939,3,Europe/Berlin,openedApp,False,breathingExercise
instagram,1750536474.6799212,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750536902.595736,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750536908.738739,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750536910.957605,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750537176.669382,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750538855.2686892,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750539014.0238318,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750539020.461354,3,Europe/Berlin,openedApp,False,breathingExercise
instagram,1750542245.674777,3,Europe/Berlin,openedApp,False,breathingExercise
instagram,1750542915.039094,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750543131.033104,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750543903.779934,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750545612.089539,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750545640.144517,3,Europe/Berlin,openedApp,False,breathingExercise
instagram,1750545745.6178231,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750545747.910048,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750588460.042711,3,Europe/Berlin,dismissedAppOpening,False,breathingExercise
instagram,1750590593.720665,3,Europe/Berlin,openedApp,False,breathingExercise
instagram,1750590627.606849,3,Europe/Berlin,openedApp,False,breathingExercise
instagram,1750590733.2579432,3,Europe/Berlin,openedApp,False,breathingExercise
