interventionType,timezone,app,resolution,interventionDuration,isReIntervention,timestamp
breathingExercise,Europe/Madrid,youtube,openedApp,3,False,1748445319.285049
breathingExercise,Europe/Madrid,instagram,dismissedAppOpening,3,False,1748445486.468497
breathingExercise,Europe/Madrid,instagram,openedApp,3,False,1748445669.4184232
breathingExercise,Europe/Madrid,youtube,openedApp,3,False,1748446038.377918
breathingExercise,Europe/Madrid,instagram,openedApp,3,False,1748446486.569501
breathingExercise,Europe/Madrid,youtube,openedApp,3,False,1748446778.118583
breathingExercise,Europe/Madrid,youtube,openedApp,3,False,1748447629.626371
breathingExercise,Europe/Madrid,instagram,openedApp,3,False,1748448119.599215
breathingExercise,Europe/Madrid,youtube,dismissedAppOpening,3,False,1748448255.926746
breathingExercise,Europe/Madrid,youtube,openedApp,3,False,1748448264.113277
breathingExercise,Europe/Madrid,youtube,openedApp,3,False,1748449427.787657
breathingExercise,Europe/Madrid,youtube,dismissedAppOpening,3,False,1748450698.339227
breathingExercise,Europe/Madrid,youtube,dismissedAppOpening,3,False,1748450708.707755
breathingExercise,Europe/Madrid,youtube,openedApp,3,False,1748450722.73227
breathingExercise,Europe/Madrid,instagram,openedApp,3,False,1748451990.503563
breathingExercise,Europe/Madrid,instagram,openedApp,3,False,1748452804.693692
breathingExercise,Europe/Madrid,youtube,openedApp,3,False,1748453025.0706701
breathingExercise,Europe/Madrid,instagram,openedApp,3,False,1748453790.7798262
breathingExercise,Europe/Madrid,youtube,openedApp,3,False,1748453852.505863
breathingExercise,Europe/Madrid,instagram,openedApp,3,False,1748454472.8918529
breathingExercise,Europe/Madrid,instagram,openedApp,3,False,1748455297.301681
breathingExercise,Europe/Madrid,youtube,openedApp,3,False,1748455623.9520202
breathingExercise,Europe/Madrid,youtube,openedApp,3,False,1748456354.257348
breathingExercise,Europe/Madrid,instagram,dismissedAppOpening,3,False,1748457509.858336
breathingExercise,Europe/Madrid,twitter,openedApp,3,False,1748457519.208571
breathingExercise,Europe/Madrid,youtube,openedApp,3,False,1748457574.7347732
breathingExercise,Europe/Madrid,instagram,openedApp,3,False,1748458954.289465
breathingExercise,Europe/Madrid,youtube,openedApp,3,False,1748459086.582687
breathingExercise,Europe/Madrid,youtube,openedApp,3,False,1748459773.2177591
breathingExercise,Europe/Madrid,instagram,openedApp,3,False,1748461235.819213
breathingExercise,Europe/Madrid,youtube,openedApp,3,False,1748461296.7839642
breathingExercise,Europe/Madrid,youtube,openedApp,3,False,1748462252.9331908
breathingExercise,Europe/Madrid,instagram,openedApp,3,False,1748462719.302567
breathingExercise,Europe/Madrid,instagram,openedApp,3,False,1748465420.747505
breathingExercise,Europe/Madrid,instagram,openedApp,3,False,1748503759.0076709
breathingExercise,Europe/Madrid,youtube,openedApp,3,False,1748503841.137748
breathingExercise,Europe/Madrid,youtube,openedApp,3,False,1748504461.11379
breathingExercise,Europe/Madrid,youtube,openedApp,3,False,1748505288.889914
breathingExercise,Europe/Madrid,instagram,openedApp,3,False,1748505631.978641
breathingExercise,Europe/Madrid,instagram,openedApp,3,False,1748506512.54721
breathingExercise,Europe/Madrid,youtube,openedApp,3,False,1748506577.849745
breathingExercise,Europe/Madrid,instagram,dismissedAppOpening,3,False,1748507457.2487478
breathingExercise,Europe/Madrid,instagram,dismissedAppOpening,3,False,1748507459.411721
breathingExercise,Europe/Madrid,instagram,dismissedAppOpening,3,False,1748507493.5400271
breathingExercise,Europe/Madrid,youtube,openedApp,3,False,1748507501.3037229
breathingExercise,Europe/Madrid,instagram,openedApp,3,False,1748508064.933064
breathingExercise,Europe/Madrid,youtube,openedApp,3,False,1748509584.357475
breathingExercise,Europe/Madrid,instagram,openedApp,3,False,1748510440.585881
breathingExercise,Europe/Madrid,youtube,dismissedAppOpening,3,False,1748510742.874446
breathingExercise,Europe/Madrid,instagram,openedApp,3,False,1748511148.2615108
breathingExercise,Europe/Madrid,youtube,openedApp,3,False,1748511871.279515
breathingExercise,Europe/Madrid,instagram,openedApp,3,False,1748512949.0180712
breathingExercise,Europe/Madrid,youtube,openedApp,3,False,1748513018.30181
breathingExercise,Europe/Madrid,instagram,dismissedAppOpening,3,False,1748513876.4121032
breathingExercise,Europe/Madrid,youtube,dismissedAppOpening,3,False,1748513879.440466
breathingExercise,Europe/Madrid,youtube,openedApp,3,False,1748513887.149584
breathingExercise,Europe/Madrid,instagram,dismissedAppOpening,3,False,1748514124.821793
breathingExercise,Europe/Madrid,instagram,openedApp,3,False,1748514433.964102
breathingExercise,Europe/Madrid,youtube,openedApp,3,False,1748514688.6437058
breathingExercise,Europe/Madrid,youtube,openedApp,3,False,1748515548.4645538
breathingExercise,Europe/Madrid,instagram,openedApp,3,False,1748515648.7596111
breathingExercise,Europe/Madrid,twitter,openedApp,3,False,1748515720.5916162
breathingExercise,Europe/Madrid,youtube,openedApp,3,False,1748516168.6098862
breathingExercise,Europe/Madrid,instagram,dismissedAppOpening,3,False,1748516985.608423
breathingExercise,Europe/Madrid,twitter,openedApp,3,False,1748516999.295326
breathingExercise,Europe/Madrid,youtube,dismissedAppOpening,3,False,1748517009.631254
breathingExercise,Europe/Madrid,youtube,dismissedAppOpening,3,False,1748517365.6723208
breathingExercise,Europe/Madrid,youtube,openedApp,3,False,1748517373.4342952
breathingExercise,Europe/Madrid,instagram,openedApp,3,False,1748518138.7040381
breathingExercise,Europe/Madrid,youtube,openedApp,3,False,1748518229.5435572
breathingExercise,Europe/Madrid,youtube,openedApp,3,False,1748519119.736845
breathingExercise,Europe/Madrid,instagram,dismissedAppOpening,3,False,1748519209.282923
breathingExercise,Europe/Madrid,instagram,dismissedAppOpening,3,False,1748519211.288409
breathingExercise,Europe/Madrid,youtube,openedApp,3,False,1748523289.8494859
breathingExercise,Europe/Madrid,instagram,openedApp,3,False,1748523686.235821
breathingExercise,Europe/Madrid,youtube,openedApp,3,False,1748524737.27935
breathingExercise,Europe/Madrid,youtube,openedApp,3,False,1748525463.2386642
breathingExercise,Europe/Madrid,instagram,openedApp,3,False,1748525746.74227
breathingExercise,Europe/Madrid,youtube,openedApp,3,False,1748526181.650944
breathingExercise,Europe/Madrid,instagram,openedApp,3,False,1748527075.25931
breathingExercise,Europe/Madrid,twitter,openedApp,3,False,1748527198.522038
