resolution,interventionDuration,app,timestamp,timezone,isReIntervention,interventionType
openedApp,3,instagram,1750794040.9493341,Europe/Berlin,False,breathingExercise
dismissedAppOpening,3,instagram,1750836613.54544,Europe/Berlin,False,breathingExercise
dismissedAppOpening,3,instagram,1750837480.106765,Europe/Berlin,False,breathingExercise
dismissedAppOpening,3,instagram,1750851264.883966,Europe/Berlin,False,breathingExercise
dismissedAppOpening,3,instagram,1750851728.701647,Europe/Berlin,False,breathingExercise
openedApp,3,instagram,1750851745.9600801,Europe/Berlin,False,breathingExercise
dismissedAppOpening,3,instagram,1750851941.812372,Europe/Berlin,False,breathingExercise
dismissedAppOpening,3,instagram,1750932874.202598,Europe/Berlin,False,breathingExercise
openedApp,3,instagram,1750932962.864656,Europe/Berlin,False,breathingExercise
openedApp,3,instagram,1750944911.030623,Europe/Berlin,False,breathingExercise
dismissedAppOpening,3,instagram,1750961637.1584458,Europe/Berlin,False,breathingExercise
openedApp,3,instagram,1750961651.876607,Europe/Berlin,False,breathingExercise
dismissedAppOpening,3,instagram,1751001636.311026,Europe/Berlin,False,breathingExercise
dismissedAppOpening,3,instagram,1751034953.1363602,Europe/Berlin,False,breathingExercise
openedApp,3,instagram,1751095274.343703,Europe/Berlin,False,breathingExercise
openedApp,3,instagram,1751095752.4687428,Europe/Berlin,False,breathingExercise
dismissedAppOpening,3,instagram,1751096554.659188,Europe/Berlin,False,breathingExercise
openedApp,3,instagram,1751096563.793761,Europe/Berlin,False,breathingExercise
dismissedAppOpening,3,instagram,1751116143.516409,Europe/Berlin,False,breathingExercise
dismissedAppOpening,3,instagram,1751138093.842301,Europe/Berlin,False,breathingExercise
openedApp,3,instagram,1751141040.773191,Europe/Berlin,False,breathingExercise
dismissedAppOpening,3,instagram,1751141568.3936892,Europe/Berlin,False,breathingExercise
openedApp,3,instagram,1751193099.517215,Europe/Berlin,False,breathingExercise
dismissedAppOpening,3,instagram,1751196027.9705791,Europe/Berlin,False,breathingExercise
dismissedAppOpening,3,instagram,1751200591.366554,Europe/Berlin,False,breathingExercise
openedApp,3,instagram,1751261103.176718,Europe/Berlin,False,breathingExercise
dismissedAppOpening,3,instagram,1751276333.981645,Europe/Berlin,False,breathingExercise
openedApp,3,instagram,1751378304.752836,Europe/Berlin,False,breathingExercise
dismissedAppOpening,3,instagram,1751378909.743182,Europe/Berlin,False,breathingExercise
openedApp,3,instagram,1751401990.930533,Europe/Berlin,False,breathingExercise
openedApp,3,instagram,1751437966.6662579,Europe/Berlin,False,breathingExercise
dismissedAppOpening,3,instagram,1751440653.0590181,Europe/Berlin,False,breathingExercise
openedApp,3,instagram,1751459152.8625212,Europe/Berlin,False,breathingExercise
openedApp,3,instagram,1751459881.034264,Europe/Berlin,False,breathingExercise
dismissedAppOpening,3,instagram,1751460391.706915,Europe/Berlin,False,breathingExercise
openedApp,3,instagram,1751460399.090054,Europe/Berlin,False,breathingExercise
openedApp,3,instagram,1751574208.004595,Europe/Berlin,False,breathingExercise
openedApp,3,instagram,1751634227.293943,Europe/Berlin,False,breathingExercise
openedApp,3,instagram,1751635471.913786,Europe/Berlin,False,breathingExercise
dismissedAppOpening,3,instagram,1751637174.527523,Europe/Berlin,False,breathingExercise
openedApp,3,instagram,1751638446.145536,Europe/Berlin,False,breathingExercise
dismissedAppOpening,3,instagram,1751638662.794936,Europe/Berlin,False,breathingExercise
openedApp,3,instagram,1751638761.891211,Europe/Berlin,False,breathingExercise
openedApp,3,instagram,1751640033.275837,Europe/Berlin,False,breathingExercise
openedApp,3,instagram,1751640285.884018,Europe/Berlin,False,breathingExercise
openedApp,3,instagram,1751640582.18956,Europe/Berlin,False,breathingExercise
openedApp,3,instagram,1751641296.649404,Europe/Berlin,False,breathingExercise
openedApp,3,instagram,1751655662.680334,Europe/Berlin,False,breathingExercise
openedApp,3,instagram,1751670038.85541,Europe/Berlin,False,breathingExercise
openedApp,3,instagram,1751670315.415909,Europe/Berlin,False,breathingExercise
openedApp,3,instagram,1751672511.47959,Europe/Berlin,False,breathingExercise
openedApp,3,instagram,1751711339.311425,Europe/Berlin,False,breathingExercise
openedApp,3,instagram,1751768566.6194072,Europe/Berlin,False,breathingExercise
openedApp,3,instagram,1751803046.204043,Europe/Berlin,False,breathingExercise
dismissedAppOpening,3,instagram,1751803901.059542,Europe/Berlin,False,breathingExercise
dismissedAppOpening,3,instagram,1751804258.586467,Europe/Berlin,False,breathingExercise
dismissedAppOpening,3,instagram,1751805297.1920462,Europe/Berlin,False,breathingExercise
dismissedAppOpening,3,instagram,1751819012.6861792,Europe/Berlin,False,breathingExercise
openedApp,3,instagram,1751821372.123255,Europe/Berlin,False,breathingExercise
openedApp,3,instagram,1751825567.421355,Europe/Berlin,False,breathingExercise
openedApp,3,instagram,1751825864.180509,Europe/Berlin,False,breathingExercise
openedApp,3,instagram,1751826028.265141,Europe/Berlin,False,breathingExercise
dismissedAppOpening,3,instagram,1751826645.975913,Europe/Berlin,False,breathingExercise
openedApp,3,instagram,1751826654.268667,Europe/Berlin,False,breathingExercise
openedApp,3,instagram,1751826739.5184078,Europe/Berlin,False,breathingExercise
openedApp,3,instagram,1751827294.751687,Europe/Berlin,False,breathingExercise
dismissedAppOpening,3,instagram,1751833093.845385,Europe/Berlin,False,breathingExercise
openedApp,3,instagram,1751833104.013799,Europe/Berlin,False,breathingExercise
openedApp,3,instagram,1751833497.7701921,Europe/Berlin,False,breathingExercise
openedApp,3,instagram,1751834245.868462,Europe/Berlin,False,breathingExercise
openedApp,3,instagram,1751834303.421414,Europe/Berlin,False,breathingExercise
openedApp,3,instagram,1751893591.3017778,Europe/Berlin,False,breathingExercise
openedApp,3,instagram,1751895155.6807919,Europe/Berlin,False,breathingExercise
