timestamp,timezone,interventionType,interventionDuration,isReIntervention,resolution,app,timeIntervalUntilReIntervention
1750179671.650842,Europe/Zurich,breathingExercise,3,False,openedApp,youtube,
1750179734.901958,Europe/Zurich,breathingExercise,3,False,dismissedAppOpening,youtube,
1750183898.382289,Europe/Zurich,breathingExercise,3,False,openedApp,youtube,
1750184030.363133,Europe/Zurich,breathingExercise,3,False,openedApp,youtube,
1750194900.8370972,Europe/Zurich,breathingExercise,3,False,openedApp,youtube,
1750322835.997824,Europe/Zurich,breathingExercise,3,False,openedApp,youtube,
1750324505.52733,Europe/Zurich,breathingExercise,3,False,openedApp,youtube,
1750333311.940207,Europe/Zurich,breathingExercise,3,False,dismissedAppOpening,youtube,
1750341622.767137,Europe/Zurich,breathingExercise,3,False,openedApp,youtube,
1750372318.8209229,Europe/Zurich,breathingExercise,3,False,openedApp,youtube,
1750586228.111129,Europe/Zurich,breathingExercise,3,False,openedApp,youtube,
1751269762.577335,Europe/Zurich,breathingExercise,3,False,dismissedAppOpening,youtube,
1751269775.4670491,Europe/Zurich,breathingExercise,3,False,openedApp,youtube,
1751469782.471353,Europe/Zurich,breathingExercise,6,False,openedApp,youtube,
1751652814.3729758,Europe/Zurich,breathingExercise,6,False,openedApp,youtube,
1752081643.207361,Europe/Zurich,breathingExercise,6,False,openedApp,youtube,
1752084497.33447,Europe/Zurich,breathingExercise,6,False,openedApp,youtube,
1752090570.217562,Europe/Zurich,breathingExercise,6,False,openedApp,youtube,
1752091489.3748698,Europe/Zurich,breathingExercise,6,False,openedApp,youtube,
1752095438.631922,Europe/Zurich,breathingExercise,6,False,openedApp,youtube,
1752165035.165065,Europe/Zurich,breathingExercise,6,False,openedApp,youtube,
1752261337.950819,Europe/Zurich,breathingExercise,6,False,dismissedAppOpening,youtube,
1752261353.118391,Europe/Zurich,breathingExercise,6,False,openedApp,youtube,
1752265019.504838,Europe/Zurich,breathingExercise,6,False,openedApp,youtube,
1752265993.235505,Europe/Zurich,breathingExercise,6,False,dismissedAppOpening,youtube,
1752268770.4974399,Europe/Zurich,breathingExercise,6,False,openedApp,youtube,
1752268852.849536,Europe/Zurich,breathingExercise,6,False,dismissedAppOpening,youtube,
1752268940.390784,Europe/Zurich,breathingExercise,6,False,openedApp,youtube,300.0
1752269279.451488,Europe/Zurich,breathingExercise,6,True,dismissedAppOpening,youtube,
1752269315.398175,Europe/Zurich,breathingExercise,6,False,openedApp,youtube,
1752592878.627032,Europe/Zurich,breathingExercise,6,False,openedApp,youtube,
1752680879.130661,Europe/Zurich,breathingExercise,6,False,openedApp,youtube,1800.0
1752686857.102789,Europe/Zurich,breathingExercise,6,False,dismissedAppOpening,youtube,
1752775166.8120918,Europe/Zurich,breathingExercise,6,False,dismissedAppOpening,youtube,
1752775169.4253302,Europe/Zurich,breathingExercise,6,False,dismissedAppOpening,youtube,
1752775187.065009,Europe/Zurich,breathingExercise,6,False,openedApp,youtube,1260.0
1752910864.436343,Europe/Zurich,breathingExercise,6,False,openedApp,youtube,1260.0
1752921543.2061481,Europe/Zurich,breathingExercise,6,False,openedApp,youtube,1200.0
1752922765.732012,Europe/Zurich,breathingExercise,6,False,openedApp,youtube,1860.0
1752937998.2932801,Europe/Zurich,breathingExercise,6,False,openedApp,youtube,1260.0
