resolution,isReIntervention,timezone,interventionType,interventionDuration,timestamp,app
dismissedAppOpening,False,America/New_York,breathingExercise,3,1748573467.530641,instagram
openedApp,False,America/New_York,breathingExercise,3,1748575242.109264,instagram
dismissedAppOpening,False,America/New_York,breathingExercise,3,1748613045.580761,instagram
dismissedAppOpening,False,America/New_York,breathingExercise,3,1748613059.324228,instagram
dismissedAppOpening,False,America/New_York,breathingExercise,3,1748613121.581006,instagram
openedApp,False,America/New_York,breathingExercise,3,1748629008.885407,instagram
dismissedAppOpening,False,America/New_York,breathingExercise,3,1748629233.4122372,instagram
openedApp,False,America/New_York,breathingExercise,3,1748629247.216206,instagram
dismissedAppOpening,False,America/New_York,breathingExercise,3,1748629446.8479428,instagram
dismissedAppOpening,False,America/New_York,breathingExercise,3,1748633023.8363671,instagram
openedApp,False,America/New_York,breathingExercise,3,1748637028.6539989,instagram
openedApp,False,America/New_York,breathingExercise,3,1748641514.2292418,instagram
openedApp,False,America/New_York,breathingExercise,3,1748642214.715217,instagram
dismissedAppOpening,False,America/New_York,breathingExercise,3,1748652176.985602,instagram
openedApp,False,America/New_York,breathingExercise,3,1748665379.465456,instagram
dismissedAppOpening,False,America/New_York,breathingExercise,3,1748674442.796375,instagram
openedApp,False,America/New_York,breathingExercise,3,1748707246.588585,instagram
openedApp,False,America/New_York,breathingExercise,3,1748711693.333609,instagram
openedApp,False,America/New_York,breathingExercise,3,1748714258.838913,instagram
openedApp,False,America/New_York,breathingExercise,3,1748723846.903065,instagram
dismissedAppOpening,False,America/New_York,breathingExercise,3,1748755404.090435,instagram
openedApp,False,America/New_York,breathingExercise,3,1748758318.4339662,instagram
dismissedAppOpening,False,America/New_York,breathingExercise,3,1748758546.88696,instagram
dismissedAppOpening,False,America/New_York,breathingExercise,3,1748785173.78859,instagram
openedApp,False,America/New_York,breathingExercise,3,1748800421.6829119,instagram
dismissedAppOpening,False,America/New_York,breathingExercise,3,1748801182.506624,instagram
openedApp,False,America/New_York,breathingExercise,3,1748816081.465004,instagram
openedApp,False,America/New_York,breathingExercise,3,1748818744.349683,instagram
openedApp,False,America/New_York,breathingExercise,3,1748822398.2407808,instagram
dismissedAppOpening,False,America/New_York,breathingExercise,3,1748822870.37248,instagram
openedApp,False,America/New_York,breathingExercise,3,1748823842.34531,instagram
openedApp,False,America/New_York,breathingExercise,3,1748823946.69717,instagram
openedApp,False,America/New_York,breathingExercise,3,1748826848.249052,instagram
openedApp,False,America/New_York,breathingExercise,3,1748828293.346469,instagram
dismissedAppOpening,False,America/New_York,breathingExercise,3,1748828505.278085,instagram
openedApp,False,America/New_York,breathingExercise,3,1748828515.804936,instagram
openedApp,False,America/New_York,breathingExercise,3,1748831606.867996,instagram
openedApp,False,America/New_York,breathingExercise,3,1748832224.4074469,instagram
openedApp,False,America/New_York,breathingExercise,3,1748832325.155295,instagram
dismissedAppOpening,False,America/New_York,breathingExercise,3,1748881442.163588,instagram
openedApp,False,America/New_York,breathingExercise,3,1748885058.82507,instagram
openedApp,False,America/New_York,breathingExercise,3,1748887753.144032,instagram
