app,interventionType,resolution,interventionDuration,timestamp,isReIntervention,timezone
instagram,breathingExercise,dismissedAppOpening,3,1749247788.061285,False,Europe/Stockholm
instagram,breathingExercise,openedApp,3,1749248915.1925,False,Europe/Stockholm
instagram,breathingExercise,openedApp,3,1749249415.903877,False,Europe/Stockholm
instagram,breathingExercise,openedApp,3,1749280838.464966,False,Europe/Stockholm
instagram,breathingExercise,dismissedAppOpening,3,1749281129.701102,False,Europe/Stockholm
instagram,breathingExercise,dismissedAppOpening,3,1749281557.734497,False,Europe/Stockholm
instagram,breathingExercise,dismissedAppOpening,3,1749281572.4423862,False,Europe/Stockholm
instagram,breathingExercise,dismissedAppOpening,3,1749282168.430826,False,Europe/Stockholm
instagram,breathingExercise,openedApp,3,1749286437.937042,False,Europe/Stockholm
instagram,breathingExercise,openedApp,3,1749287081.77458,False,Europe/Stockholm
instagram,breathingExercise,dismissedAppOpening,3,1749288635.540374,False,Europe/Stockholm
instagram,breathingExercise,dismissedAppOpening,3,1749288859.793826,False,Europe/Stockholm
instagram,breathingExercise,openedApp,3,1749288870.0267448,False,Europe/Stockholm
instagram,breathingExercise,openedApp,3,1749294827.1539779,False,Europe/Stockholm
instagram,breathingExercise,dismissedAppOpening,3,1749294960.912576,False,Europe/Stockholm
instagram,breathingExercise,dismissedAppOpening,3,1749295320.277518,False,Europe/Stockholm
instagram,breathingExercise,openedApp,3,1749295459.069876,False,Europe/Stockholm
instagram,breathingExercise,dismissedAppOpening,3,1749296477.870562,False,Europe/Stockholm
instagram,breathingExercise,dismissedAppOpening,3,1749296488.018032,False,Europe/Stockholm
instagram,breathingExercise,dismissedAppOpening,3,1749296660.575356,False,Europe/Stockholm
instagram,breathingExercise,openedApp,3,1749306927.773765,False,Europe/Stockholm
instagram,breathingExercise,openedApp,3,1749307261.9520512,False,Europe/Stockholm
instagram,breathingExercise,openedApp,3,1749307284.035688,False,Europe/Stockholm
instagram,breathingExercise,openedApp,3,1749307764.011313,False,Europe/Stockholm
instagram,breathingExercise,openedApp,3,1749310589.352345,False,Europe/Stockholm
instagram,breathingExercise,dismissedAppOpening,3,1749312450.159927,False,Europe/Stockholm
instagram,breathingExercise,dismissedAppOpening,3,1749312880.912185,False,Europe/Stockholm
instagram,breathingExercise,dismissedAppOpening,3,1749312897.1519709,False,Europe/Stockholm
instagram,breathingExercise,dismissedAppOpening,3,1749312950.647375,False,Europe/Stockholm
instagram,breathingExercise,openedApp,3,1749313435.60796,False,Europe/Stockholm
instagram,breathingExercise,openedApp,3,1749315870.26611,False,Europe/Stockholm
instagram,breathingExercise,dismissedAppOpening,3,1749316217.131463,False,Europe/Stockholm
instagram,breathingExercise,openedApp,3,1749316453.871017,False,Europe/Stockholm
instagram,breathingExercise,openedApp,3,1749316683.797576,False,Europe/Stockholm
instagram,breathingExercise,dismissedAppOpening,3,1749317606.83398,False,Europe/Stockholm
instagram,breathingExercise,openedApp,3,1749317866.915935,False,Europe/Stockholm
instagram,breathingExercise,openedApp,3,1749317930.4595551,False,Europe/Stockholm
instagram,breathingExercise,openedApp,3,1749318110.551899,False,Europe/Stockholm
instagram,breathingExercise,openedApp,3,1749319088.092955,False,Europe/Stockholm
instagram,breathingExercise,openedApp,3,1749319374.209104,False,Europe/Stockholm
instagram,breathingExercise,dismissedAppOpening,3,1749319432.927609,False,Europe/Stockholm
instagram,breathingExercise,openedApp,3,1749319456.655801,False,Europe/Stockholm
instagram,breathingExercise,openedApp,3,1749325956.562972,False,Europe/Stockholm
instagram,breathingExercise,dismissedAppOpening,3,1749327079.660496,False,Europe/Stockholm
instagram,breathingExercise,dismissedAppOpening,3,1749327216.177058,False,Europe/Stockholm
instagram,breathingExercise,openedApp,3,1749327308.5674171,False,Europe/Stockholm
instagram,breathingExercise,openedApp,3,1749328112.863511,False,Europe/Stockholm
instagram,breathingExercise,openedApp,3,1749328374.087916,False,Europe/Stockholm
instagram,breathingExercise,openedApp,3,1749328579.196048,False,Europe/Stockholm
instagram,breathingExercise,openedApp,3,1749329366.4851332,False,Europe/Stockholm
instagram,breathingExercise,openedApp,3,1749329391.88399,False,Europe/Stockholm
instagram,breathingExercise,openedApp,3,1749329968.5295038,False,Europe/Stockholm
instagram,breathingExercise,openedApp,3,1749331753.138829,False,Europe/Stockholm
instagram,breathingExercise,dismissedAppOpening,3,1749331927.742665,False,Europe/Stockholm
instagram,breathingExercise,dismissedAppOpening,3,1749332339.525156,False,Europe/Stockholm
instagram,breathingExercise,openedApp,3,1749332377.000198,False,Europe/Stockholm
instagram,breathingExercise,dismissedAppOpening,3,1749333160.053345,False,Europe/Stockholm
instagram,breathingExercise,openedApp,3,1749333426.1564,False,Europe/Stockholm
instagram,breathingExercise,openedApp,3,1749333490.717227,False,Europe/Stockholm
instagram,breathingExercise,dismissedAppOpening,3,1749334959.239718,False,Europe/Stockholm
instagram,breathingExercise,dismissedAppOpening,3,1749335697.217807,False,Europe/Stockholm
instagram,breathingExercise,openedApp,3,1749336166.733552,False,Europe/Stockholm
instagram,breathingExercise,openedApp,3,1749337215.721981,False,Europe/Stockholm
