app,interventionDuration,timestamp,resolution,isReIntervention,timezone,interventionType,timeIntervalUntilReIntervention
instagram,3.0,1748988859.816358,dismissedAppOpening,False,America/Chicago,breathingExercise,
instagram,3.0,1748988869.9296842,dismissedAppOpening,False,America/Chicago,breathingExercise,
facebook,3.0,1748990396.94559,dismissedAppOpening,False,America/Chicago,breathingExercise,
instagram,3.0,1748991214.915546,openedApp,False,America/Chicago,breathingExercise,
instagram,3.0,1748991270.39857,dismissedAppOpening,False,America/Chicago,breathingExercise,
instagram,3.0,1749005252.774719,dismissedAppOpening,False,America/Chicago,breathingExercise,
instagram,3.0,1749006066.9954739,dismissedAppOpening,False,America/Chicago,breathingExercise,
instagram,3.0,1749046649.60201,dismissedAppOpening,False,America/Chicago,breathingExercise,
instagram,3.0,1749054995.186033,dismissedAppOpening,False,America/Chicago,breathingExercise,
instagram,3.0,1749061604.0496259,dismissedAppOpening,False,America/Chicago,breathingExercise,
instagram,3.0,1749063774.306025,dismissedAppOpening,False,America/Chicago,breathingExercise,
instagram,3.0,1749066651.44319,openedApp,False,America/Chicago,breathingExercise,
instagram,3.0,1749068373.829643,dismissedAppOpening,False,America/Chicago,breathingExercise,
instagram,3.0,1749078370.845881,dismissedAppOpening,False,America/Chicago,breathingExercise,
instagram,3.0,1749085208.8921971,openedApp,False,America/Chicago,breathingExercise,
instagram,3.0,1749103294.272049,dismissedAppOpening,False,America/Chicago,breathingExercise,
instagram,3.0,1749177723.145922,dismissedAppOpening,False,America/Chicago,breathingExercise,
instagram,3.0,1749211893.307852,dismissedAppOpening,False,America/Chicago,breathingExercise,
instagram,3.0,1749258965.209206,dismissedAppOpening,False,America/Chicago,breathingExercise,
instagram,3.0,1749264548.593406,openedApp,False,America/Chicago,breathingExercise,300.0
instagram,,1749264859.332998,closedApp,False,America/Chicago,,
instagram,3.0,1749265330.096964,dismissedAppOpening,False,America/Chicago,breathingExercise,
instagram,3.0,1749308959.529601,dismissedAppOpening,False,America/Chicago,breathingExercise,
instagram,3.0,1749308977.0219731,openedApp,False,America/Chicago,breathingExercise,300.0
instagram,,1749309288.332612,closedApp,False,America/Chicago,,
instagram,3.0,1749309299.774373,openedApp,True,America/Chicago,breathingExercise,300.0
instagram,,1749309596.866946,closedApp,False,America/Chicago,,
instagram,3.0,1749341923.969882,openedApp,False,America/Chicago,breathingExercise,300.0
instagram,,1749342146.791086,closedApp,False,America/Chicago,,
instagram,,1749342459.0224519,closedApp,False,America/Chicago,,
instagram,3.0,1749413310.250391,openedApp,False,America/Chicago,breathingExercise,300.0
instagram,,1749413378.856713,closedApp,False,America/Chicago,,
instagram,3.0,1749419335.6935802,openedApp,False,America/Chicago,breathingExercise,300.0
instagram,,1749419386.2059,closedApp,False,America/Chicago,,
instagram,,1749419556.099747,closedApp,False,America/Chicago,,
instagram,,1749419582.596195,closedApp,False,America/Chicago,,
instagram,3.0,1749422974.636464,openedApp,False,America/Chicago,breathingExercise,60.0
instagram,,1749423011.119999,closedApp,False,America/Chicago,,
instagram,,1749423761.528212,closedApp,False,America/Chicago,,
instagram,3.0,1749434054.6469731,openedApp,False,America/Chicago,breathingExercise,300.0
instagram,,1749434269.371268,closedApp,False,America/Chicago,,
instagram,3.0,1749434290.042949,dismissedAppOpening,False,America/Chicago,breathingExercise,
instagram,3.0,1749470115.62591,openedApp,False,America/Chicago,breathingExercise,300.0
instagram,,1749470446.350741,closedApp,False,America/Chicago,,
instagram,3.0,1749513384.412997,openedApp,False,America/Chicago,breathingExercise,300.0
instagram,,1749513689.328004,closedApp,False,America/Chicago,,
instagram,3.0,1749524530.5024061,openedApp,False,America/Chicago,breathingExercise,300.0
instagram,,1749524837.000608,closedApp,False,America/Chicago,,
instagram,3.0,1749582928.961955,dismissedAppOpening,False,America/Chicago,breathingExercise,
instagram,3.0,1749639541.93017,openedApp,False,America/Chicago,breathingExercise,300.0
instagram,,1749639846.3820481,closedApp,False,America/Chicago,,
instagram,3.0,1749659716.2388968,dismissedAppOpening,False,America/Chicago,breathingExercise,
instagram,3.0,1749659731.3424559,openedApp,False,America/Chicago,breathingExercise,300.0
instagram,,1749659772.349879,closedApp,False,America/Chicago,,
instagram,,1749663035.669745,closedApp,False,America/Chicago,,
instagram,3.0,1749694021.593627,openedApp,False,America/Chicago,breathingExercise,420.0
instagram,,1749694448.736835,closedApp,False,America/Chicago,,
instagram,3.0,1749694458.452901,openedApp,True,America/Chicago,breathingExercise,300.0
instagram,,1749694760.098264,closedApp,False,America/Chicago,,
instagram,3.0,1749738260.3759918,openedApp,False,America/Chicago,breathingExercise,300.0
instagram,,1749738566.6658978,closedApp,False,America/Chicago,,
instagram,3.0,1749753376.719184,openedApp,False,America/Chicago,breathingExercise,300.0
instagram,,1749753669.619741,closedApp,False,America/Chicago,,
instagram,3.0,1749753910.6575909,dismissedAppOpening,False,America/Chicago,breathingExercise,
instagram,3.0,1749774357.992759,openedApp,False,America/Chicago,breathingExercise,300.0
instagram,,1749774470.860694,closedApp,False,America/Chicago,,
instagram,3.0,1749774485.9640589,dismissedAppOpening,False,America/Chicago,breathingExercise,
instagram,3.0,1749774492.4866261,dismissedAppOpening,False,America/Chicago,breathingExercise,
instagram,3.0,1749787656.5584059,dismissedAppOpening,False,America/Chicago,breathingExercise,
instagram,3.0,1749839810.111727,openedApp,False,America/Chicago,breathingExercise,300.0
instagram,,1749839977.0383692,closedApp,False,America/Chicago,,
instagram,,1749840124.824408,closedApp,False,America/Chicago,,
instagram,3.0,1749860597.994494,openedApp,False,America/Chicago,breathingExercise,300.0
instagram,,1749860904.075212,closedApp,False,America/Chicago,,
instagram,3.0,1749878687.466594,dismissedAppOpening,False,America/Chicago,breathingExercise,
instagram,3.0,1749878701.2747688,openedApp,False,America/Chicago,breathingExercise,300.0
instagram,,1749879005.729289,closedApp,False,America/Chicago,,
instagram,3.0,1749938003.613481,openedApp,False,America/Chicago,breathingExercise,300.0
instagram,,1749938310.062975,closedApp,False,America/Chicago,,
instagram,3.0,1749960035.522612,openedApp,False,America/Chicago,breathingExercise,300.0
instagram,,1749960097.029886,closedApp,False,America/Chicago,,
instagram,,1749967405.587759,closedApp,False,America/Chicago,,
instagram,3.0,1749991717.709361,openedApp,False,America/Chicago,breathingExercise,420.0
instagram,,1749992143.842186,closedApp,False,America/Chicago,,
instagram,3.0,1750017919.612483,openedApp,False,America/Chicago,breathingExercise,300.0
instagram,,1750018020.217595,closedApp,False,America/Chicago,,
instagram,,1750019661.140067,closedApp,False,America/Chicago,,
instagram,3.0,1750036770.505425,openedApp,False,America/Chicago,breathingExercise,300.0
instagram,,1750037073.756217,closedApp,False,America/Chicago,,
instagram,3.0,1750040595.510796,dismissedAppOpening,False,America/Chicago,breathingExercise,
instagram,3.0,1750073929.8222718,dismissedAppOpening,False,America/Chicago,breathingExercise,
instagram,3.0,1750098458.367224,openedApp,False,America/Chicago,breathingExercise,360.0
instagram,,1750098679.376365,closedApp,False,America/Chicago,,
instagram,3.0,1750098726.219681,dismissedAppOpening,False,America/Chicago,breathingExercise,
instagram,3.0,1750138539.751014,openedApp,False,America/Chicago,breathingExercise,300.0
instagram,,1750138848.877414,closedApp,False,America/Chicago,,
instagram,,1750141076.1832361,closedApp,False,America/Chicago,,
instagram,3.0,1750160845.1051888,openedApp,False,America/Chicago,breathingExercise,360.0
instagram,,1750161027.563715,closedApp,False,America/Chicago,,
instagram,3.0,1750169199.76861,openedApp,False,America/Chicago,breathingExercise,300.0
instagram,,1750169264.345202,closedApp,False,America/Chicago,,
instagram,3.0,1750189662.944691,openedApp,False,America/Chicago,breathingExercise,300.0
instagram,,1750189912.841244,closedApp,False,America/Chicago,,
instagram,3.0,1750190029.597557,openedApp,False,America/Chicago,breathingExercise,300.0
instagram,,1750190335.8076348,closedApp,False,America/Chicago,,
instagram,6.0,1750210084.353551,openedApp,False,America/Chicago,breathingExercise,240.0
instagram,,1750210172.584083,closedApp,False,America/Chicago,,
instagram,6.0,1750211561.38,openedApp,False,America/Chicago,breathingExercise,180.0
instagram,,1750211747.906472,closedApp,False,America/Chicago,,
instagram,6.0,1750284752.505722,openedApp,False,America/Chicago,breathingExercise,300.0
instagram,,1750285059.040689,closedApp,False,America/Chicago,,
instagram,6.0,1750292364.131077,dismissedAppOpening,False,America/Chicago,breathingExercise,
instagram,6.0,1750296934.5830889,dismissedAppOpening,False,America/Chicago,breathingExercise,
instagram,6.0,1750367968.213331,openedApp,False,America/Chicago,breathingExercise,300.0
instagram,,1750368274.978651,closedApp,False,America/Chicago,,
instagram,6.0,1750368307.197658,dismissedAppOpening,False,America/Chicago,breathingExercise,
instagram,6.0,1750374253.626246,openedApp,False,America/Chicago,breathingExercise,240.0
instagram,,1750374351.007041,closedApp,False,America/Chicago,,
instagram,6.0,1750374364.880547,dismissedAppOpening,False,America/Chicago,breathingExercise,
instagram,6.0,1750374714.553313,openedApp,False,America/Chicago,breathingExercise,240.0
instagram,,1750374910.364254,closedApp,False,America/Chicago,,
instagram,6.0,1750374957.780401,dismissedAppOpening,False,America/Chicago,breathingExercise,
instagram,6.0,1750477694.733001,dismissedAppOpening,False,America/Chicago,breathingExercise,
instagram,6.0,1750477747.5360398,openedApp,False,America/Chicago,breathingExercise,300.0
instagram,,1750478054.0234818,closedApp,False,America/Chicago,,
instagram,6.0,1750519422.537348,openedApp,False,America/Chicago,breathingExercise,300.0
instagram,,1750519498.795752,closedApp,False,America/Chicago,,
instagram,,1750519558.526092,closedApp,False,America/Chicago,,
instagram,,1750519640.724945,closedApp,False,America/Chicago,,
instagram,,1750519722.0993881,closedApp,False,America/Chicago,,
instagram,6.0,1750538699.985362,openedApp,False,America/Chicago,breathingExercise,300.0
instagram,,1750539006.839898,closedApp,False,America/Chicago,,
instagram,6.0,1750549389.914495,openedApp,False,America/Chicago,breathingExercise,360.0
instagram,,1750549502.075151,closedApp,False,America/Chicago,,
instagram,6.0,1750549530.1872191,openedApp,False,America/Chicago,breathingExercise,360.0
instagram,,1750549661.341099,closedApp,False,America/Chicago,,
instagram,6.0,1750549709.705474,dismissedAppOpening,False,America/Chicago,breathingExercise,
instagram,6.0,1750559449.348835,openedApp,False,America/Chicago,breathingExercise,300.0
instagram,,1750559519.0115461,closedApp,False,America/Chicago,,
instagram,,1750559854.506011,closedApp,False,America/Chicago,,
instagram,6.0,1750597334.121461,openedApp,False,America/Chicago,breathingExercise,600.0
instagram,,1750597940.311013,closedApp,False,America/Chicago,,
instagram,6.0,1750597946.658893,dismissedAppOpening,False,America/Chicago,breathingExercise,
instagram,6.0,1750633888.3236032,openedApp,False,America/Chicago,breathingExercise,600.0
instagram,,1750634129.123498,closedApp,False,America/Chicago,,
instagram,6.0,1750635924.937624,openedApp,False,America/Chicago,breathingExercise,540.0
instagram,,1750636152.253217,closedApp,False,America/Chicago,,
instagram,,1750636795.810391,closedApp,False,America/Chicago,,
instagram,,1750637051.387454,closedApp,False,America/Chicago,,
instagram,6.0,1750638564.287499,openedApp,False,America/Chicago,breathingExercise,360.0
instagram,,1750638650.679234,closedApp,False,America/Chicago,,
instagram,6.0,1750640247.6146069,openedApp,False,America/Chicago,breathingExercise,540.0
instagram,,1750640353.716742,closedApp,False,America/Chicago,,
instagram,,1750640392.6506472,closedApp,False,America/Chicago,,
instagram,,1750640456.67947,closedApp,False,America/Chicago,,
instagram,6.0,1750641384.559978,openedApp,False,America/Chicago,breathingExercise,360.0
instagram,,1750641750.578676,closedApp,False,America/Chicago,,
instagram,6.0,1750641764.988328,openedApp,False,America/Chicago,breathingExercise,360.0
instagram,,1750641825.450158,closedApp,False,America/Chicago,,
instagram,6.0,1750642564.0684881,dismissedAppOpening,False,America/Chicago,breathingExercise,
instagram,6.0,1750645536.468404,openedApp,False,America/Chicago,breathingExercise,420.0
instagram,,1750645962.237596,closedApp,False,America/Chicago,,
instagram,6.0,1750646116.0949512,dismissedAppOpening,False,America/Chicago,breathingExercise,
instagram,6.0,1750678261.388185,dismissedAppOpening,False,America/Chicago,breathingExercise,
instagram,6.0,1750681823.569269,openedApp,False,America/Chicago,breathingExercise,420.0
instagram,,1750682249.882261,closedApp,False,America/Chicago,,
instagram,6.0,1750682645.58144,dismissedAppOpening,False,America/Chicago,breathingExercise,
instagram,6.0,1750683814.54585,openedApp,False,America/Chicago,breathingExercise,300.0
instagram,,1750683906.5422502,closedApp,False,America/Chicago,,
instagram,6.0,1750683949.928036,dismissedAppOpening,False,America/Chicago,breathingExercise,
instagram,6.0,1750690539.20789,openedApp,False,America/Chicago,breathingExercise,300.0
instagram,,1750690622.4509501,closedApp,False,America/Chicago,,
instagram,,1750690641.1640348,closedApp,False,America/Chicago,,
instagram,6.0,1750723235.436674,openedApp,False,America/Chicago,breathingExercise,600.0
instagram,,1750723840.975778,closedApp,False,America/Chicago,,
instagram,6.0,1750723870.98097,dismissedAppOpening,False,America/Chicago,breathingExercise,
instagram,6.0,1751080771.0378819,openedApp,False,America/Chicago,breathingExercise,240.0
instagram,,1751080880.724094,closedApp,False,America/Chicago,,
instagram,6.0,1751081067.0786018,dismissedAppOpening,False,America/Chicago,breathingExercise,
instagram,6.0,1751115703.026725,dismissedAppOpening,False,America/Chicago,breathingExercise,
instagram,6.0,1751115971.64294,dismissedAppOpening,False,America/Chicago,breathingExercise,
instagram,6.0,1751224093.886878,openedApp,False,America/Chicago,breathingExercise,240.0
instagram,,1751224340.204083,closedApp,False,America/Chicago,,
instagram,6.0,1751228040.222039,openedApp,False,America/Chicago,breathingExercise,240.0
instagram,,1751228285.919539,closedApp,False,America/Chicago,,
instagram,6.0,1751241166.31454,openedApp,False,America/Chicago,breathingExercise,240.0
instagram,,1751241413.553564,closedApp,False,America/Chicago,,
instagram,6.0,1751259444.6747909,openedApp,False,America/Chicago,breathingExercise,240.0
instagram,,1751259696.90975,closedApp,False,America/Chicago,,
instagram,6.0,1751263444.547323,openedApp,False,America/Chicago,breathingExercise,300.0
instagram,6.0,1751371693.956907,openedApp,False,America/Chicago,breathingExercise,180.0
instagram,6.0,1751381487.325863,openedApp,False,America/Chicago,breathingExercise,180.0
instagram,,1751263632.5357451,closedApp,False,America/Chicago,,
instagram,,1751369862.340256,closedApp,False,America/Chicago,,
instagram,,1751371738.816633,closedApp,False,America/Chicago,,
instagram,,1751381500.006444,closedApp,False,America/Chicago,,
instagram,,1751386454.5012841,closedApp,False,America/Chicago,,
instagram,,1751386596.328749,closedApp,False,America/Chicago,,
instagram,6.0,1751399601.251645,openedApp,False,America/Chicago,breathingExercise,180.0
instagram,,1751399704.307617,closedApp,False,America/Chicago,,
instagram,6.0,1751415901.317482,openedApp,False,America/Chicago,breathingExercise,300.0
instagram,,1751416206.610855,closedApp,False,America/Chicago,,
instagram,6.0,1751416743.723098,openedApp,False,America/Chicago,breathingExercise,300.0
instagram,,1751417050.060783,closedApp,False,America/Chicago,,
instagram,6.0,1751417064.157762,openedApp,True,America/Chicago,breathingExercise,240.0
instagram,,1751417305.83151,closedApp,False,America/Chicago,,
instagram,6.0,1751417934.660887,dismissedAppOpening,False,America/Chicago,breathingExercise,
instagram,6.0,1751424989.61568,dismissedAppOpening,False,America/Chicago,breathingExercise,
instagram,6.0,1751458394.450728,openedApp,False,America/Chicago,breathingExercise,300.0
instagram,,1751458613.893746,closedApp,False,America/Chicago,,
instagram,6.0,1751480822.94873,openedApp,False,America/Chicago,breathingExercise,240.0
instagram,,1751480900.360211,closedApp,False,America/Chicago,,
instagram,,1751481090.737577,closedApp,False,America/Chicago,,
instagram,6.0,1751481167.162436,openedApp,False,America/Chicago,breathingExercise,240.0
instagram,,1751481412.052223,closedApp,False,America/Chicago,,
instagram,6.0,1751485870.607573,openedApp,False,America/Chicago,breathingExercise,240.0
instagram,,1751486115.219075,closedApp,False,America/Chicago,,
instagram,6.0,1751496851.182291,openedApp,False,America/Chicago,breathingExercise,240.0
instagram,,1751497097.284157,closedApp,False,America/Chicago,,
instagram,6.0,1751540989.7248468,openedApp,False,America/Chicago,breathingExercise,240.0
instagram,,1751541235.455563,closedApp,False,America/Chicago,,
instagram,6.0,1751551611.564431,openedApp,False,America/Chicago,breathingExercise,240.0
instagram,,1751551858.229316,closedApp,False,America/Chicago,,
instagram,6.0,1751551901.6646008,dismissedAppOpening,True,America/Chicago,breathingExercise,
instagram,6.0,1751551925.982154,openedApp,False,America/Chicago,breathingExercise,540.0
instagram,,1751552306.539016,closedApp,False,America/Chicago,,
instagram,,1751552627.053841,closedApp,False,America/Chicago,,
instagram,6.0,1751585806.9670382,openedApp,False,America/Chicago,breathingExercise,300.0
instagram,6.0,1751598427.607949,openedApp,False,America/Chicago,breathingExercise,300.0
instagram,,1751585920.198357,closedApp,False,America/Chicago,,
instagram,,1751586057.730578,closedApp,False,America/Chicago,,
instagram,,1751586103.247138,closedApp,False,America/Chicago,,
instagram,,1751598450.873383,closedApp,False,America/Chicago,,
instagram,,1751598744.338176,closedApp,False,America/Chicago,,
instagram,6.0,1751633671.6356158,openedApp,False,America/Chicago,breathingExercise,300.0
instagram,6.0,1751649049.057616,openedApp,False,America/Chicago,breathingExercise,300.0
instagram,,1751633785.708463,closedApp,False,America/Chicago,,
instagram,,1751633996.979399,closedApp,False,America/Chicago,,
instagram,,1751649129.138241,closedApp,False,America/Chicago,,
instagram,,1751649476.3038092,closedApp,False,America/Chicago,,
instagram,6.0,1751660899.7761002,openedApp,False,America/Chicago,breathingExercise,360.0
instagram,,1751660914.8977818,closedApp,False,America/Chicago,,
instagram,,1751661199.424325,closedApp,False,America/Chicago,,
instagram,,1751661372.1166859,closedApp,False,America/Chicago,,
instagram,6.0,1751674111.8640199,openedApp,False,America/Chicago,breathingExercise,360.0
instagram,,1751674233.14953,closedApp,False,America/Chicago,,
instagram,6.0,1751678960.438272,openedApp,False,America/Chicago,breathingExercise,420.0
instagram,,1751679013.461128,closedApp,False,America/Chicago,,
instagram,,1751679277.471529,closedApp,False,America/Chicago,,
instagram,,1751679305.038929,closedApp,False,America/Chicago,,
instagram,,1751679622.982544,closedApp,False,America/Chicago,,
instagram,,1751679685.924236,closedApp,False,America/Chicago,,
instagram,,1751679834.725852,closedApp,False,America/Chicago,,
instagram,6.0,1751686087.02781,openedApp,False,America/Chicago,breathingExercise,300.0
instagram,,1751686394.924296,closedApp,False,America/Chicago,,
instagram,6.0,1751686414.995479,openedApp,True,America/Chicago,breathingExercise,300.0
instagram,,1751686716.803447,closedApp,False,America/Chicago,,
instagram,6.0,1751686734.5173678,openedApp,True,America/Chicago,breathingExercise,420.0
instagram,,1751687183.847707,closedApp,False,America/Chicago,,
instagram,,1751706132.6063619,closedApp,False,America/Chicago,,
instagram,6.0,1751715245.358527,openedApp,False,America/Chicago,breathingExercise,240.0
instagram,,1751715301.851678,closedApp,False,America/Chicago,,
instagram,,1751716068.609953,closedApp,False,America/Chicago,,
instagram,6.0,1751721940.7866,dismissedAppOpening,False,America/Chicago,breathingExercise,
instagram,6.0,1751737814.1456242,openedApp,False,America/Chicago,breathingExercise,300.0
instagram,,1751738119.875658,closedApp,False,America/Chicago,,
instagram,6.0,1751738157.778102,dismissedAppOpening,False,America/Chicago,breathingExercise,
instagram,6.0,1751752910.924983,openedApp,False,America/Chicago,breathingExercise,480.0
instagram,,1751753144.972724,closedApp,False,America/Chicago,,
instagram,6.0,1751771127.297729,openedApp,False,America/Chicago,breathingExercise,300.0
instagram,,1751771354.180842,closedApp,False,America/Chicago,,
instagram,,1751771507.809186,closedApp,False,America/Chicago,,
instagram,6.0,1751774650.091583,dismissedAppOpening,False,America/Chicago,breathingExercise,
instagram,6.0,1751809544.937947,openedApp,False,America/Chicago,breathingExercise,420.0
instagram,,1751809578.792598,closedApp,False,America/Chicago,,
instagram,,1751809666.1268768,closedApp,False,America/Chicago,,
instagram,,1751809711.67628,closedApp,False,America/Chicago,,
instagram,6.0,1751809746.2008982,openedApp,False,America/Chicago,breathingExercise,480.0
instagram,,1751809872.118279,closedApp,False,America/Chicago,,
instagram,,1751810019.93862,closedApp,False,America/Chicago,,
instagram,,1751810210.971777,closedApp,False,America/Chicago,,
instagram,6.0,1751810332.4347758,openedApp,False,America/Chicago,breathingExercise,360.0
instagram,,1751810454.161267,closedApp,False,America/Chicago,,
instagram,,1751810546.7090468,closedApp,False,America/Chicago,,
instagram,,1751810626.021021,closedApp,False,America/Chicago,,
instagram,,1751811167.426218,closedApp,False,America/Chicago,,
instagram,,1751811387.472501,closedApp,False,America/Chicago,,
instagram,6.0,1751817547.365144,openedApp,False,America/Chicago,breathingExercise,300.0
instagram,,1751817604.368072,closedApp,False,America/Chicago,,
instagram,6.0,1751819330.62118,openedApp,False,America/Chicago,breathingExercise,360.0
instagram,,1751819366.4982119,closedApp,False,America/Chicago,,
instagram,,1751819482.936666,closedApp,False,America/Chicago,,
instagram,,1751819622.328783,closedApp,False,America/Chicago,,
instagram,,1751819824.025248,closedApp,False,America/Chicago,,
instagram,6.0,1751820059.160355,dismissedAppOpening,False,America/Chicago,breathingExercise,
instagram,6.0,1751823417.967488,openedApp,False,America/Chicago,breathingExercise,300.0
instagram,,1751823523.00602,closedApp,False,America/Chicago,,
instagram,,1751823845.0508819,closedApp,False,America/Chicago,,
instagram,6.0,1751842021.3625,dismissedAppOpening,False,America/Chicago,breathingExercise,
instagram,6.0,1751847822.247731,openedApp,False,America/Chicago,breathingExercise,300.0
instagram,,1751848128.196082,closedApp,False,America/Chicago,,
instagram,6.0,1751858356.234026,openedApp,False,America/Chicago,breathingExercise,420.0
instagram,,1751858782.569483,closedApp,False,America/Chicago,,
instagram,6.0,1751884054.792743,openedApp,False,America/Chicago,breathingExercise,360.0
instagram,,1751884962.650343,closedApp,False,America/Chicago,,
instagram,,1751888470.54881,closedApp,False,America/Chicago,,
instagram,6.0,1751889342.0949268,openedApp,False,America/Chicago,breathingExercise,300.0
instagram,,1751889457.101577,closedApp,False,America/Chicago,,
instagram,,1751889667.734999,closedApp,False,America/Chicago,,
instagram,6.0,1751890600.805892,openedApp,False,America/Chicago,breathingExercise,360.0
instagram,,1751890964.714778,closedApp,False,America/Chicago,,
instagram,6.0,1751892661.549621,dismissedAppOpening,False,America/Chicago,breathingExercise,
instagram,6.0,1751893204.570879,dismissedAppOpening,False,America/Chicago,breathingExercise,
instagram,6.0,1751893225.968346,openedApp,False,America/Chicago,breathingExercise,420.0
instagram,,1751893626.347454,closedApp,False,America/Chicago,,
instagram,6.0,1751919084.450203,openedApp,False,America/Chicago,breathingExercise,300.0
instagram,,1751919392.3733668,closedApp,False,America/Chicago,,
instagram,6.0,1751919406.68279,openedApp,True,America/Chicago,breathingExercise,300.0
instagram,,1751919708.814662,closedApp,False,America/Chicago,,
instagram,6.0,1751934068.110714,openedApp,False,America/Chicago,breathingExercise,360.0
instagram,,1751934261.353086,closedApp,False,America/Chicago,,
instagram,6.0,1751948842.365642,openedApp,False,America/Chicago,breathingExercise,300.0
instagram,,1751949148.2144961,closedApp,False,America/Chicago,,
instagram,6.0,1751952290.036759,dismissedAppOpening,False,America/Chicago,breathingExercise,
instagram,6.0,1751977133.940442,openedApp,False,America/Chicago,breathingExercise,300.0
instagram,,1751977436.6926432,closedApp,False,America/Chicago,,
instagram,6.0,1751992221.3649712,openedApp,False,America/Chicago,breathingExercise,300.0
instagram,,1751992363.343608,closedApp,False,America/Chicago,,
instagram,6.0,1751992631.024983,dismissedAppOpening,False,America/Chicago,breathingExercise,
instagram,6.0,1752011613.0432029,openedApp,False,America/Chicago,breathingExercise,360.0
instagram,,1752011980.723923,closedApp,False,America/Chicago,,
instagram,6.0,1752012491.0331511,openedApp,False,America/Chicago,breathingExercise,300.0
instagram,,1752012796.7758489,closedApp,False,America/Chicago,,
instagram,6.0,1752015920.053436,openedApp,False,America/Chicago,breathingExercise,300.0
instagram,,1752016225.979049,closedApp,False,America/Chicago,,
instagram,6.0,1752018826.773303,openedApp,False,America/Chicago,breathingExercise,300.0
instagram,,1752018926.019072,closedApp,False,America/Chicago,,
instagram,6.0,1752019355.149271,dismissedAppOpening,False,America/Chicago,breathingExercise,
instagram,6.0,1752020487.883985,openedApp,False,America/Chicago,breathingExercise,300.0
instagram,,1752020532.150763,closedApp,False,America/Chicago,,
instagram,,1752020673.000848,closedApp,False,America/Chicago,,
instagram,6.0,1752066579.12895,openedApp,False,America/Chicago,breathingExercise,300.0
instagram,,1752066885.228028,closedApp,False,America/Chicago,,
instagram,6.0,1752078790.9079099,openedApp,False,America/Chicago,breathingExercise,360.0
instagram,,1752078845.0700688,closedApp,False,America/Chicago,,
instagram,6.0,1752088718.86885,openedApp,False,America/Chicago,breathingExercise,300.0
instagram,,1752089024.105356,closedApp,False,America/Chicago,,
