resolution,isReIntervention,timestamp,timezone,interventionType,app,interventionDuration
dismissedAppOpening,False,1748698358.8780851,Asia/Seoul,breathingExercise,instagram,3.0
dismissedAppOpening,False,1748699785.1788812,Asia/Seoul,breathingExercise,instagram,3.0
openedApp,False,1748699798.238563,Asia/Seoul,breathingExercise,instagram,3.0
dismissedAppOpening,False,1748699880.272218,Asia/Seoul,breathingExercise,instagram,3.0
openedApp,False,1748699891.11111,Asia/Seoul,breathingExercise,instagram,3.0
openedApp,False,1748704746.415646,Asia/Seoul,breathingExercise,instagram,3.0
openedApp,False,1748709249.571373,Asia/Seoul,breathingExercise,instagram,3.0
openedApp,False,1748735455.3689609,Asia/Seoul,breathingExercise,instagram,3.0
dismissedAppOpening,False,1748736332.4415941,Asia/Seoul,breathingExercise,instagram,3.0
dismissedAppOpening,False,1748737656.079113,Asia/Seoul,breathingExercise,instagram,3.0
openedApp,False,1748743198.787527,Asia/Seoul,breathingExercise,instagram,3.0
dismissedAppOpening,False,1748743247.040742,Asia/Seoul,breathingExercise,instagram,3.0
openedApp,False,1748743256.998558,Asia/Seoul,breathingExercise,instagram,3.0
openedApp,False,1748755063.3487248,Asia/Seoul,breathingExercise,instagram,3.0
openedApp,False,1748755232.904982,Asia/Seoul,breathingExercise,instagram,3.0
dismissedAppOpening,False,1748756418.41099,Asia/Seoul,breathingExercise,instagram,3.0
openedApp,False,1748762305.629201,Asia/Seoul,breathingExercise,instagram,3.0
dismissedAppOpening,False,1748762697.248999,Asia/Seoul,breathingExercise,instagram,3.0
dismissedAppOpening,False,1748763542.988389,Asia/Seoul,breathingExercise,instagram,3.0
dismissedAppOpening,False,1748763549.553194,Asia/Seoul,breathingExercise,instagram,3.0
dismissedAppOpening,False,1748767638.7963572,Asia/Seoul,breathingExercise,instagram,3.0
openedApp,False,1748767651.5297232,Asia/Seoul,breathingExercise,instagram,3.0
openedApp,False,1748776203.903047,Asia/Seoul,breathingExercise,instagram,3.0
dismissedAppOpening,False,1748779891.251632,Asia/Seoul,breathingExercise,instagram,3.0
dismissedAppOpening,False,1748780286.710566,Asia/Seoul,breathingExercise,instagram,3.0
dismissedAppOpening,False,1748781306.108418,Asia/Seoul,breathingExercise,instagram,3.0
dismissedAppOpening,False,1748781927.082288,Asia/Seoul,breathingExercise,instagram,3.0
dismissedAppOpening,False,1748782840.6467462,Asia/Seoul,breathingExercise,instagram,3.0
openedApp,False,1748782851.380515,Asia/Seoul,breathingExercise,instagram,3.0
dismissedAppOpening,False,1748783306.6778011,Asia/Seoul,breathingExercise,instagram,3.0
dismissedAppOpening,False,1748827907.489044,Asia/Seoul,breathingExercise,instagram,3.0
openedApp,False,1748834795.721576,Asia/Seoul,breathingExercise,instagram,3.0
dismissedAppOpening,False,1748834960.662816,Asia/Seoul,breathingExercise,instagram,3.0
openedApp,False,1748834973.7395601,Asia/Seoul,breathingExercise,instagram,3.0
openedApp,False,1748837745.879467,Asia/Seoul,breathingExercise,instagram,3.0
dismissedAppOpening,False,1748838341.458082,Asia/Seoul,breathingExercise,instagram,3.0
openedApp,False,1748838354.4703078,Asia/Seoul,breathingExercise,instagram,3.0
openedApp,False,1748839066.0870662,Asia/Seoul,breathingExercise,instagram,3.0
openedApp,False,1748839611.152391,Asia/Seoul,breathingExercise,instagram,3.0
openedApp,False,1748846981.511887,Asia/Seoul,breathingExercise,instagram,3.0
openedApp,False,1748847277.01024,Asia/Seoul,breathingExercise,instagram,3.0
openedApp,False,1748849657.489337,Asia/Seoul,breathingExercise,instagram,3.0
dismissedAppOpening,False,1748856724.5541182,Asia/Seoul,breathingExercise,instagram,3.0
dismissedAppOpening,False,1748859168.290784,Asia/Seoul,breathingExercise,instagram,3.0
openedApp,False,1748860571.16638,Asia/Seoul,breathingExercise,instagram,3.0
dismissedAppOpening,False,1748865742.4441562,Asia/Seoul,breathingExercise,instagram,3.0
dismissedAppOpening,False,1748865777.511481,Asia/Seoul,breathingExercise,instagram,3.0
dismissedAppOpening,False,1748905433.379798,Asia/Seoul,breathingExercise,instagram,3.0
openedApp,False,1748905445.444821,Asia/Seoul,breathingExercise,instagram,3.0
dismissedAppOpening,False,1748915810.533149,Asia/Seoul,breathingExercise,instagram,3.0
dismissedAppOpening,False,1748923392.735949,Asia/Seoul,breathingExercise,instagram,3.0
openedApp,False,1748923402.82599,Asia/Seoul,breathingExercise,instagram,3.0
dismissedAppOpening,False,1748931035.9128609,Asia/Seoul,breathingExercise,instagram,3.0
openedApp,False,1748947185.9133291,Asia/Seoul,breathingExercise,instagram,3.0
openedApp,False,1748947429.568643,Asia/Seoul,breathingExercise,instagram,3.0
openedApp,False,1748952190.1293979,Asia/Seoul,breathingExercise,instagram,3.0
openedApp,False,1748958136.454541,Asia/Seoul,breathingExercise,instagram,3.0
openedApp,False,1748961244.705988,Asia/Seoul,breathingExercise,instagram,3.0
dismissedAppOpening,False,1748961515.990007,Asia/Seoul,breathingExercise,instagram,3.0
dismissedAppOpening,False,1748967428.759273,Asia/Seoul,breathingExercise,instagram,3.0
dismissedAppOpening,False,1748967742.92364,Asia/Seoul,breathingExercise,instagram,3.0
openedApp,False,1749003264.910314,Asia/Seoul,breathingExercise,instagram,3.0
dismissedAppOpening,False,1749003405.9553041,Asia/Seoul,breathingExercise,instagram,3.0
dismissedAppOpening,False,1749003408.091577,Asia/Seoul,breathingExercise,instagram,3.0
dismissedAppOpening,False,1749003411.8944201,Asia/Seoul,breathingExercise,instagram,3.0
openedApp,False,1749012769.451303,Asia/Seoul,breathingExercise,instagram,3.0
openedApp,False,1749019969.282192,Asia/Seoul,breathingExercise,instagram,3.0
dismissedAppOpening,False,1749029560.6317291,Asia/Seoul,breathingExercise,instagram,3.0
openedApp,False,1749029570.623538,Asia/Seoul,breathingExercise,instagram,3.0
dismissedAppOpening,False,1749030094.000499,Asia/Seoul,breathingExercise,instagram,3.0
dismissedAppOpening,False,1749039436.013589,Asia/Seoul,breathingExercise,instagram,3.0
openedApp,False,1749046271.766278,Asia/Seoul,breathingExercise,instagram,3.0
dismissedAppOpening,False,1749046636.892051,Asia/Seoul,breathingExercise,instagram,3.0
openedApp,False,1749047701.016814,Asia/Seoul,breathingExercise,instagram,3.0
dismissedAppOpening,False,1749048403.853427,Asia/Seoul,breathingExercise,instagram,3.0
dismissedAppOpening,False,1749049658.9901729,Asia/Seoul,breathingExercise,instagram,3.0
openedApp,False,1749049671.316502,Asia/Seoul,breathingExercise,instagram,3.0
openedApp,False,1749050039.715821,Asia/Seoul,breathingExercise,instagram,3.0
dismissedAppOpening,False,1749083701.863611,Asia/Seoul,breathingExercise,instagram,3.0
openedApp,False,1749083713.622061,Asia/Seoul,breathingExercise,instagram,3.0
dismissedAppOpening,False,1749087695.4563599,Asia/Seoul,breathingExercise,instagram,3.0
openedApp,False,1749093503.812142,Asia/Seoul,breathingExercise,instagram,3.0
openedApp,False,1749103307.689261,Asia/Seoul,breathingExercise,instagram,3.0
openedApp,False,1749103350.8371658,Asia/Seoul,breathingExercise,instagram,3.0
openedApp,False,1749103564.300637,Asia/Seoul,breathingExercise,instagram,3.0
openedApp,False,1749103969.2358599,Asia/Seoul,breathingExercise,instagram,3.0
openedApp,False,1749105012.2293658,Asia/Seoul,breathingExercise,instagram,3.0
openedApp,False,1749106074.77647,Asia/Seoul,breathingExercise,instagram,3.0
openedApp,False,1749106172.285193,Asia/Seoul,breathingExercise,instagram,3.0
openedApp,False,1749107627.3264241,Asia/Seoul,breathingExercise,instagram,3.0
openedApp,False,1749107997.2660298,Asia/Seoul,breathingExercise,instagram,3.0
dismissedAppOpening,False,1749108047.67447,Asia/Seoul,breathingExercise,instagram,3.0
openedApp,False,1749110734.272121,Asia/Seoul,breathingExercise,instagram,3.0
dismissedAppOpening,False,1749111166.717492,Asia/Seoul,breathingExercise,instagram,3.0
dismissedAppOpening,False,1749114236.320384,Asia/Seoul,breathingExercise,5445E4B6-C74D-4851-90B8-F75D928541C8,3.0
openedApp,False,1749114248.865171,Asia/Seoul,breathingExercise,5445E4B6-C74D-4851-90B8-F75D928541C8,3.0
closedApp,False,1749114250.8094912,Asia/Seoul,,5445E4B6-C74D-4851-90B8-F75D928541C8,
openedApp,False,1749115825.971877,Asia/Seoul,breathingExercise,5445E4B6-C74D-4851-90B8-F75D928541C8,3.0
closedApp,False,1749115836.981909,Asia/Seoul,,5445E4B6-C74D-4851-90B8-F75D928541C8,
closedApp,False,1749115836.983386,Asia/Seoul,,5445E4B6-C74D-4851-90B8-F75D928541C8,
openedApp,False,1749115889.891549,Asia/Seoul,breathingExercise,5445E4B6-C74D-4851-90B8-F75D928541C8,3.0
closedApp,False,1749115986.4730802,Asia/Seoul,,5445E4B6-C74D-4851-90B8-F75D928541C8,
closedApp,False,1749115986.4753408,Asia/Seoul,,5445E4B6-C74D-4851-90B8-F75D928541C8,
openedApp,False,1749116085.887402,Asia/Seoul,breathingExercise,5445E4B6-C74D-4851-90B8-F75D928541C8,3.0
closedApp,False,1749116161.60941,Asia/Seoul,,5445E4B6-C74D-4851-90B8-F75D928541C8,
closedApp,False,1749116161.611041,Asia/Seoul,,5445E4B6-C74D-4851-90B8-F75D928541C8,
closedApp,False,1749116359.132127,Asia/Seoul,,5445E4B6-C74D-4851-90B8-F75D928541C8,
closedApp,False,1749116359.134171,Asia/Seoul,,5445E4B6-C74D-4851-90B8-F75D928541C8,
closedApp,False,1749116413.5719218,Asia/Seoul,,5445E4B6-C74D-4851-90B8-F75D928541C8,
closedApp,False,1749116413.5734801,Asia/Seoul,,5445E4B6-C74D-4851-90B8-F75D928541C8,
openedApp,False,1749116444.0937529,Asia/Seoul,breathingExercise,5445E4B6-C74D-4851-90B8-F75D928541C8,3.0
closedApp,False,1749116483.646607,Asia/Seoul,,5445E4B6-C74D-4851-90B8-F75D928541C8,
closedApp,False,1749116483.656014,Asia/Seoul,,5445E4B6-C74D-4851-90B8-F75D928541C8,
openedApp,False,1749116518.094342,Asia/Seoul,breathingExercise,5445E4B6-C74D-4851-90B8-F75D928541C8,3.0
closedApp,False,1749116667.722498,Asia/Seoul,,5445E4B6-C74D-4851-90B8-F75D928541C8,
closedApp,False,1749116667.723783,Asia/Seoul,,5445E4B6-C74D-4851-90B8-F75D928541C8,
openedApp,False,1749116697.222097,Asia/Seoul,breathingExercise,5445E4B6-C74D-4851-90B8-F75D928541C8,3.0
closedApp,False,1749116941.603956,Asia/Seoul,,5445E4B6-C74D-4851-90B8-F75D928541C8,
closedApp,False,1749116941.609761,Asia/Seoul,,5445E4B6-C74D-4851-90B8-F75D928541C8,
openedApp,False,1749117011.717815,Asia/Seoul,breathingExercise,5445E4B6-C74D-4851-90B8-F75D928541C8,3.0
closedApp,False,1749117611.8704681,Asia/Seoul,,5445E4B6-C74D-4851-90B8-F75D928541C8,
closedApp,False,1749117611.872081,Asia/Seoul,,5445E4B6-C74D-4851-90B8-F75D928541C8,
closedApp,False,1749117994.280196,Asia/Seoul,,5445E4B6-C74D-4851-90B8-F75D928541C8,
closedApp,False,1749117994.2814078,Asia/Seoul,,5445E4B6-C74D-4851-90B8-F75D928541C8,
openedApp,False,1749119576.810564,Asia/Seoul,breathingExercise,instagram,3.0
openedApp,False,1749120200.6479259,Asia/Seoul,breathingExercise,instagram,3.0
openedApp,False,1749120284.420364,Asia/Seoul,breathingExercise,instagram,3.0
dismissedAppOpening,False,1749120456.974813,Asia/Seoul,breathingExercise,instagram,3.0
openedApp,False,1749123002.7988029,Asia/Seoul,breathingExercise,instagram,3.0
openedApp,False,1749127010.200943,Asia/Seoul,breathingExercise,instagram,3.0
openedApp,False,1749127118.465242,Asia/Seoul,breathingExercise,instagram,3.0
openedApp,False,1749127240.602666,Asia/Seoul,breathingExercise,instagram,3.0
openedApp,False,1749127342.818934,Asia/Seoul,breathingExercise,instagram,3.0
openedApp,False,1749127362.506154,Asia/Seoul,breathingExercise,instagram,3.0
openedApp,False,1749127521.129489,Asia/Seoul,breathingExercise,instagram,3.0
openedApp,False,1749127648.860651,Asia/Seoul,breathingExercise,instagram,3.0
openedApp,False,1749127753.262371,Asia/Seoul,breathingExercise,5445E4B6-C74D-4851-90B8-F75D928541C8,3.0
closedApp,False,1749127777.70332,Asia/Seoul,,5445E4B6-C74D-4851-90B8-F75D928541C8,
openedApp,False,1749128005.866061,Asia/Seoul,breathingExercise,instagram,3.0
openedApp,False,1749128293.694046,Asia/Seoul,breathingExercise,instagram,3.0
dismissedAppOpening,False,1749129493.566961,Asia/Seoul,breathingExercise,instagram,3.0
dismissedAppOpening,False,1749166412.983702,Asia/Seoul,breathingExercise,instagram,3.0
openedApp,False,1749166423.792406,Asia/Seoul,breathingExercise,instagram,3.0
openedApp,False,1749167357.284116,Asia/Seoul,breathingExercise,5445E4B6-C74D-4851-90B8-F75D928541C8,3.0
closedApp,False,1749167445.308044,Asia/Seoul,,5445E4B6-C74D-4851-90B8-F75D928541C8,
closedApp,False,1749167458.025985,Asia/Seoul,,5445E4B6-C74D-4851-90B8-F75D928541C8,
openedApp,False,1749167490.9361749,Asia/Seoul,breathingExercise,5445E4B6-C74D-4851-90B8-F75D928541C8,3.0
closedApp,False,1749167594.24137,Asia/Seoul,,5445E4B6-C74D-4851-90B8-F75D928541C8,
dismissedAppOpening,False,1749171946.969977,Asia/Seoul,breathingExercise,instagram,3.0
openedApp,False,1749171958.1678429,Asia/Seoul,breathingExercise,instagram,3.0
dismissedAppOpening,False,1749172651.9908528,Asia/Seoul,breathingExercise,instagram,3.0
openedApp,False,1749173337.030048,Asia/Seoul,breathingExercise,instagram,3.0
openedApp,False,1749180273.9484181,Asia/Seoul,breathingExercise,instagram,3.0
openedApp,False,1749180679.818095,Asia/Seoul,breathingExercise,instagram,3.0
dismissedAppOpening,False,1749180741.672993,Asia/Seoul,breathingExercise,instagram,3.0
openedApp,False,1749183540.8251839,Asia/Seoul,breathingExercise,5445E4B6-C74D-4851-90B8-F75D928541C8,3.0
closedApp,False,1749183606.445005,Asia/Seoul,,5445E4B6-C74D-4851-90B8-F75D928541C8,
openedApp,False,1749183654.2242,Asia/Seoul,breathingExercise,5445E4B6-C74D-4851-90B8-F75D928541C8,3.0
closedApp,False,1749183786.4282331,Asia/Seoul,,5445E4B6-C74D-4851-90B8-F75D928541C8,
openedApp,False,1749183848.4277039,Asia/Seoul,breathingExercise,5445E4B6-C74D-4851-90B8-F75D928541C8,3.0
closedApp,False,1749183949.901689,Asia/Seoul,,5445E4B6-C74D-4851-90B8-F75D928541C8,
dismissedAppOpening,False,1749184026.8387861,Asia/Seoul,breathingExercise,5445E4B6-C74D-4851-90B8-F75D928541C8,3.0
openedApp,False,1749184042.185997,Asia/Seoul,breathingExercise,5445E4B6-C74D-4851-90B8-F75D928541C8,3.0
closedApp,False,1749184090.268797,Asia/Seoul,,5445E4B6-C74D-4851-90B8-F75D928541C8,
openedApp,False,1749184962.3728828,Asia/Seoul,breathingExercise,instagram,3.0
openedApp,False,1749185715.997188,Asia/Seoul,breathingExercise,5445E4B6-C74D-4851-90B8-F75D928541C8,3.0
closedApp,False,1749185781.140489,Asia/Seoul,,5445E4B6-C74D-4851-90B8-F75D928541C8,
openedApp,False,1749185880.873518,Asia/Seoul,breathingExercise,5445E4B6-C74D-4851-90B8-F75D928541C8,3.0
closedApp,False,1749185978.406765,Asia/Seoul,,5445E4B6-C74D-4851-90B8-F75D928541C8,
closedApp,False,1749186662.7562819,Asia/Seoul,,5445E4B6-C74D-4851-90B8-F75D928541C8,
closedApp,False,1749186939.820856,Asia/Seoul,,5445E4B6-C74D-4851-90B8-F75D928541C8,
closedApp,False,1749187085.951175,Asia/Seoul,,5445E4B6-C74D-4851-90B8-F75D928541C8,
closedApp,False,1749187133.730993,Asia/Seoul,,5445E4B6-C74D-4851-90B8-F75D928541C8,
closedApp,False,1749187137.217866,Asia/Seoul,,5445E4B6-C74D-4851-90B8-F75D928541C8,
closedApp,False,1749187165.599211,Asia/Seoul,,5445E4B6-C74D-4851-90B8-F75D928541C8,
closedApp,False,1749187337.457617,Asia/Seoul,,5445E4B6-C74D-4851-90B8-F75D928541C8,
closedApp,False,1749187423.784997,Asia/Seoul,,5445E4B6-C74D-4851-90B8-F75D928541C8,
closedApp,False,1749187795.462346,Asia/Seoul,,5445E4B6-C74D-4851-90B8-F75D928541C8,
openedApp,False,1749187803.102831,Asia/Seoul,breathingExercise,instagram,3.0
openedApp,False,1749188575.03726,Asia/Seoul,breathingExercise,5445E4B6-C74D-4851-90B8-F75D928541C8,3.0
closedApp,False,1749188898.638881,Asia/Seoul,,5445E4B6-C74D-4851-90B8-F75D928541C8,
openedApp,False,1749188929.377197,Asia/Seoul,breathingExercise,5445E4B6-C74D-4851-90B8-F75D928541C8,3.0
closedApp,False,1749189433.3029752,Asia/Seoul,,5445E4B6-C74D-4851-90B8-F75D928541C8,
closedApp,False,1749189433.3041692,Asia/Seoul,,5445E4B6-C74D-4851-90B8-F75D928541C8,
closedApp,False,1749189460.150675,Asia/Seoul,,5445E4B6-C74D-4851-90B8-F75D928541C8,
closedApp,False,1749189460.153429,Asia/Seoul,,5445E4B6-C74D-4851-90B8-F75D928541C8,
closedApp,False,1749189525.1942282,Asia/Seoul,,5445E4B6-C74D-4851-90B8-F75D928541C8,
closedApp,False,1749189641.66998,Asia/Seoul,,5445E4B6-C74D-4851-90B8-F75D928541C8,
closedApp,False,1749189656.011636,Asia/Seoul,,5445E4B6-C74D-4851-90B8-F75D928541C8,
openedApp,False,1749200819.882458,Asia/Seoul,breathingExercise,instagram,3.0
openedApp,False,1749205287.01561,Asia/Seoul,breathingExercise,instagram,3.0
openedApp,False,1749205718.995277,Asia/Seoul,breathingExercise,instagram,3.0
openedApp,False,1749205758.701401,Asia/Seoul,breathingExercise,instagram,3.0
openedApp,False,1749205865.95977,Asia/Seoul,breathingExercise,instagram,3.0
openedApp,False,1749206280.523727,Asia/Seoul,breathingExercise,instagram,3.0
openedApp,False,1749206762.8698292,Asia/Seoul,breathingExercise,5445E4B6-C74D-4851-90B8-F75D928541C8,3.0
closedApp,False,1749206774.122467,Asia/Seoul,,5445E4B6-C74D-4851-90B8-F75D928541C8,
closedApp,False,1749206795.017016,Asia/Seoul,,5445E4B6-C74D-4851-90B8-F75D928541C8,
openedApp,False,1749216035.636739,Asia/Seoul,breathingExercise,instagram,3.0
openedApp,False,1749217966.2787519,Asia/Seoul,breathingExercise,instagram,3.0
dismissedAppOpening,False,1749218617.0218868,Asia/Seoul,breathingExercise,instagram,3.0
openedApp,False,1749219697.161319,Asia/Seoul,breathingExercise,instagram,3.0
openedApp,False,1749220818.996089,Asia/Seoul,breathingExercise,instagram,3.0
dismissedAppOpening,False,1749253710.09093,Asia/Seoul,breathingExercise,instagram,3.0
openedApp,False,1749254278.0368419,Asia/Seoul,breathingExercise,5445E4B6-C74D-4851-90B8-F75D928541C8,3.0
closedApp,False,1749254380.941375,Asia/Seoul,,5445E4B6-C74D-4851-90B8-F75D928541C8,
openedApp,False,1749256194.92794,Asia/Seoul,breathingExercise,5445E4B6-C74D-4851-90B8-F75D928541C8,3.0
closedApp,False,1749256208.3307118,Asia/Seoul,,5445E4B6-C74D-4851-90B8-F75D928541C8,
openedApp,False,1749256252.212399,Asia/Seoul,breathingExercise,5445E4B6-C74D-4851-90B8-F75D928541C8,3.0
closedApp,False,1749256339.5340729,Asia/Seoul,,5445E4B6-C74D-4851-90B8-F75D928541C8,
dismissedAppOpening,False,1749256947.026359,Asia/Seoul,breathingExercise,instagram,3.0
openedApp,False,1749268896.908108,Asia/Seoul,breathingExercise,instagram,3.0
openedApp,False,1749271185.545734,Asia/Seoul,breathingExercise,instagram,3.0
