isReIntervention,timezone,timestamp,resolution,app,interventionDuration,interventionType
False,Europe/Paris,1748603317.4735708,openedApp,tikTok,,
False,Europe/Paris,1748603617.473572,closedApp,tikTok,,
False,Europe/Paris,1748603617.473572,dismissedAppOpening,tikTok,,
False,Europe/Paris,1748620565.074636,dismissedAppOpening,tikTok,3.0,breathingExercise
False,Europe/Paris,1748637469.781338,dismissedAppOpening,tikTok,3.0,breathingExercise
False,Europe/Paris,1748689559.514295,openedApp,tikTok,,
False,Europe/Paris,1748689859.514295,closedApp,tikTok,,
False,Europe/Paris,1748689859.514295,dismissedAppOpening,tikTok,,
False,Europe/Paris,1748689874.066434,dismissedAppOpening,tikTok,3.0,breathingExercise
False,Europe/Paris,1748690552.5509539,openedApp,instagram,3.0,breathingExercise
False,Europe/Paris,1748692282.0783339,openedApp,instagram,3.0,breathingExercise
False,Europe/Paris,1748693416.974112,openedApp,instagram,3.0,breathingExercise
False,Europe/Paris,1748697405.774938,openedApp,tikTok,3.0,breathingExercise
False,Europe/Paris,1748711430.25406,openedApp,instagram,3.0,breathingExercise
False,Europe/Paris,1748712418.098851,openedApp,tikTok,3.0,breathingExercise
False,Europe/Paris,1748713030.449914,openedApp,tikTok,3.0,breathingExercise
False,Europe/Paris,1748713648.849811,openedApp,tikTok,3.0,breathingExercise
False,Europe/Paris,1748717833.896379,openedApp,instagram,3.0,breathingExercise
False,Europe/Paris,1748718614.4158611,openedApp,instagram,3.0,breathingExercise
False,Europe/Paris,1748719820.62362,openedApp,instagram,3.0,breathingExercise
False,Europe/Paris,1748722424.0200648,openedApp,instagram,3.0,breathingExercise
False,Europe/Paris,1748726015.45267,openedApp,instagram,3.0,breathingExercise
False,Europe/Paris,1748774336.373303,openedApp,instagram,3.0,breathingExercise
False,Europe/Paris,1748785166.7537231,openedApp,tikTok,3.0,breathingExercise
False,Europe/Paris,1748786366.1388679,openedApp,instagram,3.0,breathingExercise
False,Europe/Paris,1748792079.238181,openedApp,tikTok,3.0,breathingExercise
False,Europe/Paris,1748805143.206783,openedApp,tikTok,3.0,breathingExercise
False,Europe/Paris,1748806395.322258,dismissedAppOpening,tikTok,3.0,breathingExercise
False,Europe/Paris,1748807172.710187,openedApp,tikTok,3.0,breathingExercise
False,Europe/Paris,1748808315.5796962,openedApp,tikTok,3.0,breathingExercise
False,Europe/Paris,1748808929.606878,openedApp,tikTok,3.0,breathingExercise
False,Europe/Paris,1748844863.0137339,openedApp,tikTok,3.0,breathingExercise
False,Europe/Paris,1748845681.723083,openedApp,instagram,3.0,breathingExercise
False,Europe/Paris,1748845947.374251,openedApp,tikTok,3.0,breathingExercise
False,Europe/Paris,1748847280.4336782,openedApp,tikTok,3.0,breathingExercise
False,Europe/Paris,1748847918.170507,openedApp,tikTok,3.0,breathingExercise
False,Europe/Paris,1748848846.89257,openedApp,instagram,3.0,breathingExercise
False,Europe/Paris,1748848862.944581,openedApp,tikTok,3.0,breathingExercise
False,Europe/Paris,1748853030.479724,dismissedAppOpening,tikTok,3.0,breathingExercise
False,Europe/Paris,1748854065.529262,openedApp,instagram,3.0,breathingExercise
False,Europe/Paris,1748879316.116745,openedApp,tikTok,3.0,breathingExercise
False,Europe/Paris,1748880316.601546,openedApp,tikTok,3.0,breathingExercise
False,Europe/Paris,1748882916.805598,openedApp,tikTok,3.0,breathingExercise
False,Europe/Paris,1748885218.7599401,openedApp,tikTok,3.0,breathingExercise
False,Europe/Paris,1748885237.4262772,openedApp,tikTok,3.0,breathingExercise
False,Europe/Paris,1748890594.02,openedApp,tikTok,3.0,breathingExercise
False,Europe/Paris,1748891116.929724,openedApp,tikTok,3.0,breathingExercise
False,Europe/Paris,1748891906.4266028,openedApp,tikTok,3.0,breathingExercise
False,Europe/Paris,1748892507.15573,openedApp,tikTok,3.0,breathingExercise
False,Europe/Paris,1748892969.658139,openedApp,tikTok,3.0,breathingExercise
False,Europe/Paris,1748893581.753938,openedApp,tikTok,3.0,breathingExercise
False,Europe/Paris,1748894259.7613401,openedApp,tikTok,3.0,breathingExercise
False,Europe/Paris,1748967015.098248,openedApp,instagram,3.0,breathingExercise
False,Europe/Paris,1748969732.2905068,openedApp,instagram,3.0,breathingExercise
False,Europe/Paris,1748971944.117392,openedApp,instagram,3.0,breathingExercise
False,Europe/Paris,1748973269.87109,openedApp,tikTok,3.0,breathingExercise
False,Europe/Paris,1748973916.569586,openedApp,tikTok,3.0,breathingExercise
False,Europe/Paris,1748977513.2684789,openedApp,tikTok,3.0,breathingExercise
False,Europe/Paris,1748979959.87467,openedApp,instagram,3.0,breathingExercise
