interventionType,app,timestamp,isReIntervention,interventionDuration,timezone,resolution,purpose
breathingExercise,tikTok,1748824239.633789,False,3,America/Sao_Paulo,dismissedAppOpening,
breathingExercise,instagram,1748827632.818102,False,3,America/Sao_Paulo,dismissedAppOpening,
breathingExercise,instagram,1748827647.336053,False,3,America/Sao_Paulo,openedApp,Pesquisar informações
breathingExercise,instagram,1748827718.754848,False,3,America/Sao_Paulo,dismissedAppOpening,
breathingExercise,instagram,1748857096.913844,False,3,America/Sao_Paulo,dismissedAppOpening,
breathingExercise,instagram,1748857950.632491,False,3,America/Sao_Paulo,openedApp,Pesquisar informações
breathingExercise,instagram,1748885360.383213,False,3,America/Sao_Paulo,dismissedAppOpening,
breathingExercise,instagram,1748885471.7236,False,3,America/Sao_Paulo,dismissedAppOpening,
breathingExercise,instagram,1748900442.420453,False,3,America/Sao_Paulo,dismissedAppOpening,
breathingExercise,instagram,1748902277.66672,False,3,America/Sao_Paulo,openedApp,Entretenimento
breathingExercise,instagram,1748902876.607471,False,3,America/Sao_Paulo,dismissedAppOpening,
breathingExercise,instagram,1748902887.515872,False,3,America/Sao_Paulo,openedApp,Ficar por dentro
breathingExercise,instagram,1748906245.4702392,False,3,America/Sao_Paulo,openedApp,Distração
breathingExercise,instagram,1748906293.706907,False,3,America/Sao_Paulo,dismissedAppOpening,
breathingExercise,instagram,1748906296.292196,False,3,America/Sao_Paulo,dismissedAppOpening,
breathingExercise,instagram,1748907930.570374,False,3,America/Sao_Paulo,dismissedAppOpening,
breathingExercise,instagram,1748908428.5070128,False,3,America/Sao_Paulo,dismissedAppOpening,
breathingExercise,instagram,1748909617.3925261,False,3,America/Sao_Paulo,openedApp,Pesquisar informações
breathingExercise,instagram,1748971113.821083,False,3,America/Sao_Paulo,openedApp,Ficar por dentro
breathingExercise,instagram,1748978420.468909,False,3,America/Sao_Paulo,dismissedAppOpening,
breathingExercise,instagram,1748979049.776128,False,3,America/Sao_Paulo,openedApp,Ficar por dentro
breathingExercise,instagram,1748982395.3338199,False,3,America/Sao_Paulo,dismissedAppOpening,
breathingExercise,instagram,1748983884.975968,False,3,America/Sao_Paulo,dismissedAppOpening,
breathingExercise,instagram,1748983898.266438,False,3,America/Sao_Paulo,openedApp,Ficar por dentro
breathingExercise,instagram,1748990927.091563,False,3,America/Sao_Paulo,dismissedAppOpening,
breathingExercise,instagram,1748991977.012264,False,3,America/Sao_Paulo,dismissedAppOpening,
breathingExercise,instagram,1748992752.443962,False,3,America/Sao_Paulo,openedApp,Distração
breathingExercise,instagram,1748995843.537494,False,3,America/Sao_Paulo,dismissedAppOpening,
breathingExercise,instagram,1748999191.3951,False,3,America/Sao_Paulo,dismissedAppOpening,
breathingExercise,instagram,1748999202.248359,False,3,America/Sao_Paulo,dismissedAppOpening,
breathingExercise,instagram,1748999215.6537318,False,3,America/Sao_Paulo,openedApp,Ficar por dentro
breathingExercise,instagram,1748999810.667201,False,3,America/Sao_Paulo,dismissedAppOpening,
breathingExercise,instagram,1749000930.6126041,False,3,America/Sao_Paulo,dismissedAppOpening,
breathingExercise,instagram,1749030445.8797588,False,3,America/Sao_Paulo,openedApp,Ficar por dentro
breathingExercise,instagram,1749031720.134499,False,3,America/Sao_Paulo,dismissedAppOpening,
breathingExercise,instagram,1749040457.0557508,False,3,America/Sao_Paulo,dismissedAppOpening,
