interventionDuration,resolution,interventionType,timestamp,timezone,isReIntervention,app,purpose
6,dismissedAppOpening,breathingExercise,1750793666.0983338,Europe/London,False,instagram,
6,openedApp,breathingExercise,1750793684.174439,Europe/London,False,tikTok,Bored
6,openedApp,breathingExercise,1750794407.911912,Europe/London,False,twitter,Stay In the Loop
6,openedApp,breathingExercise,1750794754.612809,Europe/London,False,twitter,Relax
6,dismissedAppOpening,breathingExercise,1750795355.344047,Europe/London,False,instagram,
6,openedApp,breathingExercise,1750795372.722001,Europe/London,False,instagram,Message
6,openedApp,breathingExercise,1750795871.151639,Europe/London,False,youtube,Search Info
6,dismissedAppOpening,breathingExercise,1750795919.3293939,Europe/London,False,instagram,
6,dismissedAppOpening,breathingExercise,1750795999.482335,Europe/London,False,youtube,
6,openedApp,breathingExercise,1750797743.673182,Europe/London,False,youtube,Bored
6,openedApp,breathingExercise,1750798470.7673001,Europe/London,False,instagram,Bored
6,openedApp,breathingExercise,1750798911.827136,Europe/London,False,tikTok,Bored
6,openedApp,breathingExercise,1750802065.2065501,Europe/London,False,twitter,Stay In the Loop
6,dismissedAppOpening,breathingExercise,1750829921.765223,Europe/London,False,twitter,
6,openedApp,breathingExercise,1750833579.616812,Europe/London,False,twitter,Bored
6,dismissedAppOpening,breathingExercise,1750834153.267323,Europe/London,False,twitter,
6,openedApp,breathingExercise,1750834171.895897,Europe/London,False,instagram,Message
6,openedApp,breathingExercise,1750834410.5832849,Europe/London,False,twitter,Message
6,openedApp,breathingExercise,1750834619.399349,Europe/London,False,twitter,Bored
6,openedApp,breathingExercise,1750835635.491269,Europe/London,False,tikTok,Bored
6,openedApp,breathingExercise,1750836709.1313062,Europe/London,False,tikTok,Bored
6,openedApp,breathingExercise,1750837769.642901,Europe/London,False,twitter,Bored
6,openedApp,breathingExercise,1750838593.7575312,Europe/London,False,instagram,Message
6,dismissedAppOpening,breathingExercise,1750838671.1778002,Europe/London,False,instagram,
6,dismissedAppOpening,breathingExercise,1750838733.897573,Europe/London,False,twitter,
6,dismissedAppOpening,breathingExercise,1750839019.783283,Europe/London,False,tikTok,
6,openedApp,breathingExercise,1750840444.132693,Europe/London,False,instagram,Bored
6,openedApp,breathingExercise,1750840983.9747438,Europe/London,False,instagram,Message
6,openedApp,breathingExercise,1750841144.850996,Europe/London,False,instagram,Stay In the Loop
6,openedApp,breathingExercise,1750841382.294467,Europe/London,False,instagram,Message
6,dismissedAppOpening,breathingExercise,1750841551.1671991,Europe/London,False,instagram,
6,openedApp,breathingExercise,1750841780.591106,Europe/London,False,instagram,Message
6,openedApp,breathingExercise,1750844838.647883,Europe/London,False,instagram,Message
6,openedApp,breathingExercise,1750844856.741187,Europe/London,False,twitter,Message
6,dismissedAppOpening,breathingExercise,1750845513.735763,Europe/London,False,twitter,
6,openedApp,breathingExercise,1750845542.256011,Europe/London,False,twitter,Message
6,dismissedAppOpening,breathingExercise,1750846003.391478,Europe/London,False,twitter,
6,openedApp,breathingExercise,1750846019.692806,Europe/London,False,tikTok,Bored
6,dismissedAppOpening,breathingExercise,1750846707.1952229,Europe/London,False,instagram,
6,openedApp,breathingExercise,1750846728.5557818,Europe/London,False,tikTok,Message
6,openedApp,breathingExercise,1750847206.147963,Europe/London,False,twitter,Relax
6,dismissedAppOpening,breathingExercise,1750847600.767307,Europe/London,False,instagram,
6,openedApp,breathingExercise,1750848620.5606499,Europe/London,False,twitter,Message
6,openedApp,breathingExercise,1750850051.987973,Europe/London,False,twitter,Bored
6,openedApp,breathingExercise,1750850628.479889,Europe/London,False,twitter,Bored
6,dismissedAppOpening,breathingExercise,1750852195.9869251,Europe/London,False,instagram,
6,openedApp,breathingExercise,1750852221.074119,Europe/London,False,tikTok,Bored
6,dismissedAppOpening,breathingExercise,1750852784.3778172,Europe/London,False,tikTok,
6,openedApp,breathingExercise,1750853184.409601,Europe/London,False,instagram,Message
6,dismissedAppOpening,breathingExercise,1750853546.923362,Europe/London,False,instagram,
6,openedApp,breathingExercise,1750853564.119838,Europe/London,False,twitter,Message
6,openedApp,breathingExercise,1750854094.774401,Europe/London,False,twitter,Message
6,openedApp,breathingExercise,1750854518.026866,Europe/London,False,instagram,Message
6,openedApp,breathingExercise,1750854622.561718,Europe/London,False,twitter,Message
6,dismissedAppOpening,breathingExercise,1750855592.4899712,Europe/London,False,twitter,
6,openedApp,breathingExercise,1750855608.816628,Europe/London,False,tikTok,Bored
6,dismissedAppOpening,breathingExercise,1750855947.323663,Europe/London,False,twitter,
