isReIntervention,interventionType,timezone,resolution,interventionDuration,app,timestamp,timeIntervalUntilReIntervention,purpose
False,breathingExercise,Europe/Berlin,dismissedAppOpening,6,snapchat,1750881480.872283,,
False,breathingExercise,Europe/Berlin,dismissedAppOpening,6,snapchat,1750881847.4456658,,
False,breathingExercise,Europe/Berlin,dismissedAppOpening,6,snapchat,1750881865.46279,,
False,breathingExercise,Europe/Berlin,openedApp,6,snapchat,1750881927.8415608,60.0,Nachricht / Schreiben
True,breathingExercise,Europe/Berlin,openedApp,6,snapchat,1750882019.8820992,180.0,Crush stalken
False,breathingExercise,Europe/Berlin,dismissedAppOpening,6,snapchat,1750882941.834691,,
False,breathingExercise,Europe/Berlin,dismissedAppOpening,6,snapchat,1750885805.308253,,
False,breathingExercise,Europe/Berlin,dismissedAppOpening,6,snapchat,1750913643.965983,,
False,breathingExercise,Europe/Berlin,dismissedAppOpening,6,snapchat,1750913729.134475,,
False,breathingExercise,Europe/Berlin,dismissedAppOpening,6,snapchat,1750913950.686826,,
False,breathingExercise,Europe/Berlin,openedApp,6,snapchat,1750913971.3375468,60.0,Nachricht / Schreiben
False,breathingExercise,Europe/Berlin,dismissedAppOpening,40,shortcuts,1750914382.5313082,,
False,breathingExercise,Europe/Berlin,dismissedAppOpening,6,snapchat,1750914433.0881839,,
False,breathingExercise,Europe/Berlin,openedApp,6,snapchat,1750922688.93069,60.0,Ablenkung
False,breathingExercise,Europe/Berlin,openedApp,6,snapchat,1750923665.16906,60.0,Nachricht / Schreiben
False,breathingExercise,Europe/Berlin,dismissedAppOpening,6,snapchat,1750923760.342822,,
False,breathingExercise,Europe/Berlin,openedApp,6,snapchat,1750925473.462399,60.0,Nachricht / Schreiben
False,breathingExercise,Europe/Berlin,openedApp,6,snapchat,1750928159.85782,60.0,Nachricht / Schreiben
False,breathingExercise,Europe/Berlin,dismissedAppOpening,6,snapchat,1750929802.963342,,
False,breathingExercise,Europe/Berlin,dismissedAppOpening,6,snapchat,1750929838.5804172,,
False,breathingExercise,Europe/Berlin,openedApp,6,snapchat,1750933276.040495,60.0,Nachricht / Schreiben
False,breathingExercise,Europe/Berlin,openedApp,6,snapchat,1750934244.4725351,60.0,Crush stalken
False,breathingExercise,Europe/Berlin,openedApp,6,snapchat,1750936230.9253368,60.0,Crush stalken
False,breathingExercise,Europe/Berlin,dismissedAppOpening,6,snapchat,1750937557.6957998,,
False,breathingExercise,Europe/Berlin,openedApp,6,snapchat,1750937613.05833,120.0,Nachricht / Schreiben
False,breathingExercise,Europe/Berlin,dismissedAppOpening,6,snapchat,1750937747.617501,,
False,breathingExercise,Europe/Berlin,openedApp,6,snapchat,1750938402.028894,60.0,Likes checken
False,breathingExercise,Europe/Berlin,openedApp,6,snapchat,1750938740.501051,60.0,Crush stalken
