timeIntervalUntilReIntervention,timezone,interventionType,interventionDuration,timestamp,resolution,isReIntervention,app
300.0,America/New_York,breathingExercise,6.0,1751287084.9314442,openedApp,False,instagram
,America/New_York,,,1751287184.1562119,closedApp,False,instagram
,America/New_York,,,1751287738.248523,closedApp,False,instagram
360.0,America/New_York,breathingExercise,6.0,1751289101.7014709,openedApp,False,instagram
,America/New_York,,,1751289472.9958649,closedApp,False,instagram
300.0,America/New_York,breathingExercise,6.0,1751366988.909202,openedApp,False,instagram
,America/New_York,,,1751367108.831574,closedApp,False,instagram
360.0,America/New_York,breathingExercise,6.0,1751374664.1988912,openedApp,False,instagram
,America/New_York,,,1751375032.949545,closedApp,False,instagram
300.0,America/New_York,breathingExercise,6.0,1751421256.7625751,openedApp,False,instagram
,America/New_York,,,1751421565.0738258,closedApp,False,instagram
300.0,America/New_York,breathingExercise,6.0,1751470836.0168319,openedApp,False,instagram
,America/New_York,,,1751470964.238878,closedApp,False,instagram
300.0,America/New_York,breathingExercise,6.0,1751541029.2402039,openedApp,False,instagram
,America/New_York,,,1751541336.4600239,closedApp,False,instagram
300.0,America/New_York,breathingExercise,6.0,1751566642.909536,openedApp,False,instagram
,America/New_York,,,1751566949.12901,closedApp,False,instagram
300.0,America/New_York,breathingExercise,6.0,1751664420.617727,openedApp,False,instagram
,America/New_York,,,1751664791.753477,closedApp,False,instagram
360.0,America/New_York,breathingExercise,6.0,1751719894.7270188,openedApp,False,instagram
,America/New_York,,,1751720265.5120602,closedApp,False,instagram
300.0,America/New_York,breathingExercise,6.0,1751802562.850121,openedApp,False,instagram
,America/New_York,,,1751802869.928644,closedApp,False,instagram
360.0,America/New_York,breathingExercise,6.0,1751836308.279774,openedApp,False,instagram
,America/New_York,,,1751836381.256199,closedApp,False,instagram
300.0,America/New_York,breathingExercise,6.0,1751936765.971287,openedApp,False,instagram
300.0,America/New_York,breathingExercise,6.0,1751940179.937015,openedApp,False,instagram
,America/New_York,,,1751937137.476131,closedApp,False,instagram
,America/New_York,,,1751940549.495473,closedApp,False,instagram
300.0,America/New_York,breathingExercise,6.0,1751976595.511466,openedApp,False,instagram
,America/New_York,,,1751976902.628134,closedApp,False,instagram
60.0,America/New_York,breathingExercise,6.0,1751990094.503131,openedApp,False,instagram
420.0,America/New_York,breathingExercise,6.0,1752012205.702939,openedApp,False,instagram
,America/New_York,,,1752012629.989555,closedApp,False,instagram
300.0,America/New_York,breathingExercise,6.0,1752063212.458047,openedApp,False,instagram
,America/New_York,,,1752063328.663348,closedApp,False,instagram
480.0,America/New_York,breathingExercise,6.0,1752069528.542937,openedApp,False,instagram
,America/New_York,,,1752069649.5313091,closedApp,False,instagram
300.0,America/New_York,breathingExercise,6.0,1752069687.516601,openedApp,False,instagram
,America/New_York,,,1752069814.538779,closedApp,False,instagram
360.0,America/New_York,breathingExercise,6.0,1752070019.993036,openedApp,False,instagram
