timezone,purpose,interventionType,app,timestamp,isReIntervention,resolution,interventionDuration
Europe/London,Stay In the Loop,breathingExercise,facebook,1752577865.47932,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,instagram,1752589116.7020311,False,openedApp,6
Europe/London,,breathingExercise,instagram,1752591080.900476,False,dismissedAppOpening,6
Europe/London,Relax,breathingExercise,instagram,1752597773.3536,False,openedApp,6
Europe/London,Entertainment,breathingExercise,instagram,1752598168.3939772,False,openedApp,6
Europe/London,,breathingExercise,facebook,1752601826.088841,False,dismissedAppOpening,6
Europe/London,Entertainment,breathingExercise,facebook,1752604074.348454,False,openedApp,6
Europe/London,,breathingExercise,facebook,1752604153.6361809,False,dismissedAppOpening,6
Europe/London,Stalk crush,breathingExercise,instagram,1752611829.974061,False,openedApp,6
Europe/London,,breathingExercise,facebook,1752611899.365961,False,dismissedAppOpening,6
Europe/London,Entertainment,breathingExercise,instagram,1752613573.151895,False,openedApp,6
Europe/London,,breathingExercise,instagram,1752652022.70405,False,dismissedAppOpening,6
Europe/London,Entertainment,breathingExercise,instagram,1752683627.0965052,False,openedApp,6
Europe/London,Entertainment,breathingExercise,instagram,1752684190.010981,False,openedApp,6
Europe/London,Entertainment,breathingExercise,instagram,1752687521.647474,False,openedApp,6
Europe/London,Entertainment,breathingExercise,instagram,1752687958.557101,False,openedApp,6
Europe/London,Entertainment,breathingExercise,facebook,1752690886.572335,False,openedApp,6
Europe/London,Entertainment,breathingExercise,instagram,1752698086.328539,False,openedApp,6
Europe/London,Entertainment,breathingExercise,instagram,1752702970.090002,False,openedApp,6
Europe/London,Entertainment,breathingExercise,facebook,1752705723.7569652,False,openedApp,6
Europe/London,Entertainment,breathingExercise,facebook,1752706098.967358,False,openedApp,6
Europe/London,,breathingExercise,facebook,1752708210.976575,False,dismissedAppOpening,6
Europe/London,Toilet,breathingExercise,instagram,1752708230.776259,False,openedApp,6
Europe/London,,breathingExercise,facebook,1752734910.668789,False,dismissedAppOpening,6
Europe/London,,breathingExercise,instagram,1752734972.8222408,False,dismissedAppOpening,6
Europe/London,,breathingExercise,instagram,1752735097.1794438,False,dismissedAppOpening,6
Europe/London,Entertainment,breathingExercise,instagram,1752737305.022553,False,openedApp,6
Europe/London,Search Info,breathingExercise,facebook,1752737781.829002,False,openedApp,6
Europe/London,Toilet,breathingExercise,instagram,1752738640.34241,False,openedApp,6
Europe/London,Relax,breathingExercise,facebook,1752743019.048636,False,openedApp,6
Europe/London,,breathingExercise,facebook,1752743133.6716142,False,dismissedAppOpening,6
Europe/London,Entertainment,breathingExercise,facebook,1752743188.565635,False,openedApp,6
Europe/London,,breathingExercise,facebook,1752751893.265522,False,dismissedAppOpening,6
Europe/London,Escape / Avoid,breathingExercise,instagram,1752753749.394465,False,openedApp,6
Europe/London,,breathingExercise,instagram,1752756614.442384,False,dismissedAppOpening,6
Europe/London,Entertainment,breathingExercise,instagram,1752762953.857784,False,openedApp,6
Europe/London,Toilet,breathingExercise,tikTok,1752770176.380543,False,openedApp,6
Europe/London,Escape / Avoid,breathingExercise,tikTok,1752776371.274382,False,openedApp,6
Europe/London,,breathingExercise,tikTok,1752777230.3395782,False,dismissedAppOpening,6
Europe/London,Search Info,breathingExercise,instagram,1752777398.574821,False,openedApp,6
Europe/London,Escape / Avoid,breathingExercise,instagram,1752787037.1177511,False,openedApp,6
Europe/London,,breathingExercise,instagram,1752787318.232955,False,dismissedAppOpening,6
Europe/London,Stay In the Loop,breathingExercise,facebook,1752789502.779738,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,facebook,1752789815.788776,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,facebook,1752791309.308089,False,openedApp,6
Europe/London,Entertainment,breathingExercise,tikTok,1752821979.2832332,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1752825276.917688,False,openedApp,6
Europe/London,Entertainment,breathingExercise,facebook,1752826768.444139,False,openedApp,6
Europe/London,,breathingExercise,instagram,1752829411.799299,False,dismissedAppOpening,6
Europe/London,,breathingExercise,facebook,1752829455.062217,False,dismissedAppOpening,6
Europe/London,Escape / Avoid,breathingExercise,instagram,1752835349.886446,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,facebook,1752842800.514092,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,instagram,1752848960.6201959,False,openedApp,6
Europe/London,Escape / Avoid,breathingExercise,instagram,1752850899.62167,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,instagram,1752884696.3585548,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,instagram,1752885072.7375212,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,instagram,1752885611.1825519,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,instagram,1752885851.438683,False,openedApp,6
Europe/London,,breathingExercise,instagram,1752887159.947328,False,dismissedAppOpening,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1752887195.002969,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,instagram,1752928179.9331431,False,openedApp,6
Europe/London,,breathingExercise,instagram,1752929593.4930282,False,dismissedAppOpening,6
Europe/London,Stay In the Loop,breathingExercise,facebook,1752935339.044448,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,facebook,1752951784.4583511,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,facebook,1752956874.725772,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,instagram,1752956916.246208,False,openedApp,6
Europe/London,,breathingExercise,instagram,1752957237.366022,False,dismissedAppOpening,6
Europe/London,,breathingExercise,facebook,1752969528.971834,False,dismissedAppOpening,6
Europe/London,Stay In the Loop,breathingExercise,instagram,1752969545.260076,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,instagram,1752970862.521336,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1752997012.48539,False,openedApp,6
Europe/London,,breathingExercise,instagram,1752997156.256731,False,dismissedAppOpening,6
Europe/London,Stay In the Loop,breathingExercise,instagram,1753005280.928983,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1753005995.965221,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1753017290.243544,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1753021234.234637,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1753021511.2701368,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,instagram,1753022526.281602,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,facebook,1753023799.284718,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,instagram,1753028764.311082,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,instagram,1753040772.600568,False,openedApp,6
Europe/London,,breathingExercise,instagram,1753041237.432397,False,dismissedAppOpening,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1753041258.879974,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1753042602.107152,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1753043840.332933,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1753045050.231252,False,openedApp,6
Europe/London,,breathingExercise,instagram,1753083556.388387,False,dismissedAppOpening,6
Europe/London,Stay In the Loop,breathingExercise,facebook,1753098996.12294,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,instagram,1753102795.3950958,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,instagram,1753106198.395218,False,openedApp,6
Europe/London,,breathingExercise,instagram,1753108356.051348,False,dismissedAppOpening,6
Europe/London,Stay In the Loop,breathingExercise,facebook,1753110161.325525,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1753116295.460043,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1753116748.940168,False,openedApp,6
Europe/London,,breathingExercise,instagram,1753118646.972858,False,dismissedAppOpening,6
Europe/London,Stay In the Loop,breathingExercise,tikTok,1753118665.509815,False,openedApp,6
Europe/London,,breathingExercise,instagram,1753126014.197116,False,dismissedAppOpening,6
Europe/London,Stay In the Loop,breathingExercise,instagram,1753129923.8464441,False,openedApp,6
Europe/London,,breathingExercise,tikTok,1753130014.0945191,False,dismissedAppOpening,6
Europe/London,Escape / Avoid,breathingExercise,tikTok,1753130035.46682,False,openedApp,6
Europe/London,Stay In the Loop,breathingExercise,facebook,1753131086.2321482,False,openedApp,6
Europe/London,,breathingExercise,instagram,1753131149.954136,False,dismissedAppOpening,6
