interventionType,interventionDuration,timezone,resolution,purpose,isReIntervention,timestamp,app
breathingExercise,6,Europe/London,openedApp,Search Info,False,1750835809.4016628,twitter
breathingExercise,6,Europe/London,openedApp,Search Info,False,1750835930.974403,twitter
breathingExercise,6,Europe/London,dismissedAppOpening,,False,1750837552.050668,gmail
breathingExercise,6,Europe/London,dismissedAppOpening,,False,1750840599.896367,gmail
breathingExercise,6,Europe/London,dismissedAppOpening,,False,1750842826.68593,gmail
breathingExercise,6,Europe/London,dismissedAppOpening,,False,1750844971.933625,gmail
breathingExercise,6,Europe/London,openedApp,Message,False,1750848464.141603,gmail
breathingExercise,6,Europe/London,dismissedAppOpening,,False,1750848541.938774,chrome
breathingExercise,6,Europe/London,openedApp,Message,False,1750848561.935295,twitter
breathingExercise,6,Europe/London,openedApp,Message,False,1750848835.4517322,twitter
breathingExercise,6,Europe/London,dismissedAppOpening,,False,1750849013.1889172,gmail
breathingExercise,6,Europe/London,dismissedAppOpening,,False,1750849063.682656,twitter
breathingExercise,6,Europe/London,dismissedAppOpening,,False,1750849282.137399,chrome
breathingExercise,6,Europe/London,dismissedAppOpening,,False,1750851267.207427,gmail
breathingExercise,6,Europe/London,dismissedAppOpening,,False,1750851275.000884,gmail
breathingExercise,6,Europe/London,dismissedAppOpening,,False,1750851285.7035809,chrome
breathingExercise,6,Europe/London,dismissedAppOpening,,False,1750857654.814111,gmail
breathingExercise,6,Europe/London,dismissedAppOpening,,False,1750857976.016321,gmail
breathingExercise,6,Europe/London,dismissedAppOpening,,False,1750858533.57756,gmail
breathingExercise,6,Europe/London,dismissedAppOpening,,False,1750860657.538338,gmail
breathingExercise,6,Europe/London,dismissedAppOpening,,False,1750860671.714601,gmail
breathingExercise,6,Europe/London,dismissedAppOpening,,False,1750860676.69165,gmail
breathingExercise,6,Europe/London,dismissedAppOpening,,False,1750861357.525436,gmail
breathingExercise,6,Europe/London,dismissedAppOpening,,False,1750863753.3003259,gmail
breathingExercise,6,Europe/London,dismissedAppOpening,,False,1750864699.057056,twitter
breathingExercise,6,Europe/London,dismissedAppOpening,,False,1750865195.2329922,gmail
breathingExercise,6,Europe/London,dismissedAppOpening,,False,1750878283.974797,gmail
breathingExercise,6,Europe/London,openedApp,Message,False,1750878301.80903,gmail
breathingExercise,6,Europe/London,dismissedAppOpening,,False,1750879890.8513222,gmail
breathingExercise,6,Europe/London,dismissedAppOpening,,False,1750880377.699689,gmail
breathingExercise,6,Europe/London,dismissedAppOpening,,False,1750880388.3850799,twitter
breathingExercise,6,Europe/London,dismissedAppOpening,,False,1750880393.2572541,chrome
breathingExercise,6,Europe/London,dismissedAppOpening,,False,1750885167.7363071,gmail
breathingExercise,6,Europe/London,openedApp,Message,False,1750885297.092849,twitter
breathingExercise,6,Europe/London,openedApp,Message,False,1750885604.261512,twitter
breathingExercise,6,Europe/London,dismissedAppOpening,,False,1750923457.644609,gmail
breathingExercise,6,Europe/London,dismissedAppOpening,,False,1750923465.2532911,gmail
breathingExercise,6,Europe/London,openedApp,Message,False,1750930550.68013,gmail
breathingExercise,6,Europe/London,dismissedAppOpening,,False,1750931286.2614322,twitter
