timezone,app,interventionType,timestamp,interventionDuration,isReIntervention,resolution,timeIntervalUntilReIntervention
America/New_York,E952BBB0-E07E-42AE-853C-1B0DBE6B9941,breathingExercise,1748568227.004955,6.0,False,openedApp,
America/New_York,E952BBB0-E07E-42AE-853C-1B0DBE6B9941,,1748568228.3604388,,False,closedApp,
America/New_York,E952BBB0-E07E-42AE-853C-1B0DBE6B9941,,1748568421.9590712,,False,closedApp,
America/New_York,E952BBB0-E07E-42AE-853C-1B0DBE6B9941,,1748568464.600635,,False,closedApp,
America/New_York,E952BBB0-E07E-42AE-853C-1B0DBE6B9941,,1748568509.502363,,False,closedApp,
America/New_York,E952BBB0-E07E-42AE-853C-1B0DBE6B9941,,1748568523.8361812,,False,closedApp,
America/New_York,E952BBB0-E07E-42AE-853C-1B0DBE6B9941,,1748568713.362265,,False,closedApp,
America/New_York,E952BBB0-E07E-42AE-853C-1B0DBE6B9941,,1748568736.791121,,False,closedApp,
America/New_York,E952BBB0-E07E-42AE-853C-1B0DBE6B9941,,1748610151.139876,,False,closedApp,
America/New_York,E952BBB0-E07E-42AE-853C-1B0DBE6B9941,,1748610176.661707,,False,closedApp,
America/New_York,E952BBB0-E07E-42AE-853C-1B0DBE6B9941,breathingExercise,1748610463.856391,6.0,False,openedApp,60.0
America/New_York,E952BBB0-E07E-42AE-853C-1B0DBE6B9941,,1748610482.1804209,,False,closedApp,
America/New_York,E952BBB0-E07E-42AE-853C-1B0DBE6B9941,breathingExercise,1748611867.857038,6.0,False,dismissedAppOpening,
America/New_York,E952BBB0-E07E-42AE-853C-1B0DBE6B9941,breathingExercise,1748648299.1169438,6.0,False,openedApp,180.0
America/New_York,E952BBB0-E07E-42AE-853C-1B0DBE6B9941,,1748648422.9811912,,False,closedApp,
America/New_York,E952BBB0-E07E-42AE-853C-1B0DBE6B9941,,1748648458.5526161,,False,closedApp,
America/New_York,E952BBB0-E07E-42AE-853C-1B0DBE6B9941,,1748648474.6506119,,False,closedApp,
America/New_York,E952BBB0-E07E-42AE-853C-1B0DBE6B9941,breathingExercise,1748650963.763313,6.0,False,openedApp,60.0
America/New_York,E952BBB0-E07E-42AE-853C-1B0DBE6B9941,breathingExercise,1748651101.6894221,6.0,False,dismissedAppOpening,
America/New_York,E952BBB0-E07E-42AE-853C-1B0DBE6B9941,breathingExercise,1748651116.873664,6.0,False,dismissedAppOpening,
America/New_York,E952BBB0-E07E-42AE-853C-1B0DBE6B9941,breathingExercise,1748651350.848479,6.0,False,dismissedAppOpening,
America/New_York,E952BBB0-E07E-42AE-853C-1B0DBE6B9941,breathingExercise,1748651397.551379,6.0,False,dismissedAppOpening,
America/New_York,E952BBB0-E07E-42AE-853C-1B0DBE6B9941,breathingExercise,1748651493.632443,6.0,False,openedApp,60.0
America/New_York,E952BBB0-E07E-42AE-853C-1B0DBE6B9941,breathingExercise,1748651616.3120341,6.0,False,dismissedAppOpening,
America/New_York,E952BBB0-E07E-42AE-853C-1B0DBE6B9941,,1748651516.2934542,,False,closedApp,
America/New_York,E952BBB0-E07E-42AE-853C-1B0DBE6B9941,breathingExercise,1748651733.939312,6.0,False,dismissedAppOpening,
America/New_York,E952BBB0-E07E-42AE-853C-1B0DBE6B9941,breathingExercise,1748651739.976268,6.0,False,dismissedAppOpening,
America/New_York,E952BBB0-E07E-42AE-853C-1B0DBE6B9941,breathingExercise,1748651772.520144,6.0,False,dismissedAppOpening,
America/New_York,E952BBB0-E07E-42AE-853C-1B0DBE6B9941,breathingExercise,1748651840.8944411,6.0,False,dismissedAppOpening,
America/New_York,E952BBB0-E07E-42AE-853C-1B0DBE6B9941,breathingExercise,1748651984.1159282,6.0,False,dismissedAppOpening,
America/New_York,E952BBB0-E07E-42AE-853C-1B0DBE6B9941,breathingExercise,1748652244.699686,6.0,False,dismissedAppOpening,
America/New_York,E952BBB0-E07E-42AE-853C-1B0DBE6B9941,breathingExercise,1748652264.1675591,6.0,False,dismissedAppOpening,
America/New_York,E952BBB0-E07E-42AE-853C-1B0DBE6B9941,breathingExercise,1748652285.636956,6.0,False,dismissedAppOpening,
America/New_York,E952BBB0-E07E-42AE-853C-1B0DBE6B9941,breathingExercise,1748652303.359508,6.0,False,dismissedAppOpening,
America/New_York,E952BBB0-E07E-42AE-853C-1B0DBE6B9941,breathingExercise,1748652315.884474,6.0,False,dismissedAppOpening,
America/New_York,E952BBB0-E07E-42AE-853C-1B0DBE6B9941,breathingExercise,1748652400.957483,6.0,False,dismissedAppOpening,
America/New_York,E952BBB0-E07E-42AE-853C-1B0DBE6B9941,breathingExercise,1748652403.450413,6.0,False,dismissedAppOpening,
America/New_York,E952BBB0-E07E-42AE-853C-1B0DBE6B9941,breathingExercise,1748652406.47784,6.0,False,dismissedAppOpening,
America/New_York,E952BBB0-E07E-42AE-853C-1B0DBE6B9941,breathingExercise,1748652408.0728478,6.0,False,dismissedAppOpening,
America/New_York,E952BBB0-E07E-42AE-853C-1B0DBE6B9941,breathingExercise,1748652508.599138,6.0,False,dismissedAppOpening,
America/New_York,E952BBB0-E07E-42AE-853C-1B0DBE6B9941,breathingExercise,1748652512.810117,6.0,False,dismissedAppOpening,
America/New_York,E952BBB0-E07E-42AE-853C-1B0DBE6B9941,breathingExercise,1748652694.475764,6.0,False,dismissedAppOpening,
America/New_York,E952BBB0-E07E-42AE-853C-1B0DBE6B9941,breathingExercise,1748652710.985982,6.0,False,openedApp,60.0
America/New_York,E952BBB0-E07E-42AE-853C-1B0DBE6B9941,breathingExercise,1748652977.3112478,6.0,False,dismissedAppOpening,
America/New_York,E952BBB0-E07E-42AE-853C-1B0DBE6B9941,breathingExercise,1748653136.6737761,6.0,False,dismissedAppOpening,
America/New_York,E952BBB0-E07E-42AE-853C-1B0DBE6B9941,breathingExercise,1748653138.305836,6.0,False,dismissedAppOpening,
America/New_York,E952BBB0-E07E-42AE-853C-1B0DBE6B9941,breathingExercise,1748653326.6336288,6.0,False,dismissedAppOpening,
America/New_York,E952BBB0-E07E-42AE-853C-1B0DBE6B9941,,1748652729.6425362,,False,closedApp,
America/New_York,E952BBB0-E07E-42AE-853C-1B0DBE6B9941,breathingExercise,1748653328.777092,6.0,False,dismissedAppOpening,
America/New_York,E952BBB0-E07E-42AE-853C-1B0DBE6B9941,breathingExercise,1748653331.309947,6.0,False,dismissedAppOpening,
America/New_York,E952BBB0-E07E-42AE-853C-1B0DBE6B9941,breathingExercise,1748653334.31067,6.0,False,dismissedAppOpening,
America/New_York,E952BBB0-E07E-42AE-853C-1B0DBE6B9941,breathingExercise,1748653463.522201,6.0,False,dismissedAppOpening,
America/New_York,E952BBB0-E07E-42AE-853C-1B0DBE6B9941,breathingExercise,1748653470.0712872,6.0,False,dismissedAppOpening,
America/New_York,E952BBB0-E07E-42AE-853C-1B0DBE6B9941,breathingExercise,1748653478.810965,6.0,False,dismissedAppOpening,
America/New_York,E952BBB0-E07E-42AE-853C-1B0DBE6B9941,breathingExercise,1748653481.43755,6.0,False,dismissedAppOpening,
America/New_York,E952BBB0-E07E-42AE-853C-1B0DBE6B9941,breathingExercise,1748653488.754702,6.0,False,dismissedAppOpening,
America/New_York,E952BBB0-E07E-42AE-853C-1B0DBE6B9941,breathingExercise,1748653490.528724,6.0,False,dismissedAppOpening,
