resolution,interventionDuration,timestamp,isReIntervention,interventionType,app,timezone,purpose,timeIntervalUntilReIntervention
dismissedAppOpening,6.0,1752646626.2860441,False,breathingExercise,instagram,Europe/Kiev,,
openedApp,6.0,1752646659.43466,False,breathingExercise,instagram,Europe/Kiev,Подивитися сторіз,
dismissedAppOpening,6.0,1752646807.765163,False,breathingExercise,youtube,Europe/Kiev,,
openedApp,6.0,1752648862.409089,False,breathingExercise,youtube,Europe/Kiev,Хочу підписатися на одтн канал,
dismissedAppOpening,6.0,1752650913.413085,False,breathingExercise,instagram,Europe/Kiev,,
openedApp,6.0,1752659194.4662008,False,breathingExercise,youtube,Europe/Kiev,Хочу вивсити баха,
openedApp,6.0,1752688057.448874,False,breathingExercise,instagram,Europe/Kiev,Хочу перевірити автоматизацію,
dismissedAppOpening,6.0,1752736155.80505,False,breathingExercise,instagram,Europe/Kiev,,
dismissedAppOpening,6.0,1752775487.9534988,False,breathingExercise,youtube,Europe/Kiev,,
dismissedAppOpening,6.0,1752931275.7833729,False,breathingExercise,instagram,Europe/Kiev,,
openedApp,6.0,1752931302.60216,False,breathingExercise,instagram,Europe/Kiev,хочу дещо покзааьт,60.0
openedApp,6.0,1752931391.636791,False,breathingExercise,instagram,Europe/Kiev,shsjsi,300.0
dismissedAppOpening,6.0,1752935182.2104511,False,breathingExercise,instagram,Europe/Kiev,,
openedApp,6.0,1752939448.104992,False,breathingExercise,instagram,Europe/Kiev,хочу замовити піцу,300.0
dismissedAppOpening,6.0,1752939491.336504,False,breathingExercise,instagram,Europe/Kiev,,
dismissedAppOpening,6.0,1752939505.181035,False,breathingExercise,instagram,Europe/Kiev,,
openedApp,6.0,1752942186.043052,False,breathingExercise,instagram,Europe/Kiev,hsjsks,300.0
dismissedAppOpening,6.0,1752955591.203994,False,breathingExercise,instagram,Europe/Kiev,,
dismissedAppOpening,6.0,1752993179.9123511,False,breathingExercise,instagram,Europe/Kiev,,
dismissedAppOpening,6.0,1752993198.6966062,False,breathingExercise,instagram,Europe/Kiev,,
openedApp,6.0,1752993228.276668,False,breathingExercise,instagram,Europe/Kiev,bh,300.0
dismissedAppOpening,6.0,1752994273.744127,False,breathingExercise,instagram,Europe/Kiev,,
dismissedAppOpening,6.0,1753084682.707304,False,breathingExercise,instagram,Europe/Kiev,,
