interventionDuration,interventionType,timestamp,timezone,app,isReIntervention,resolution,timeIntervalUntilReIntervention
6,breathingExercise,1750727008.389041,America/Chicago,tikTok,False,dismissedAppOpening,
6,breathingExercise,1750727011.639624,America/Chicago,tikTok,False,dismissedAppOpening,
6,breathingExercise,1750734731.958764,America/Chicago,instagram,False,openedApp,
6,breathingExercise,1750762231.194133,America/Chicago,instagram,False,openedApp,
6,breathingExercise,1750763004.689217,America/Chicago,tikTok,False,openedApp,
6,breathingExercise,1750763334.748538,America/Chicago,tikTok,False,dismissedAppOpening,
6,breathingExercise,1750763346.973411,America/Chicago,tikTok,False,dismissedAppOpening,
6,breathingExercise,1750763394.3399901,America/Chicago,tikTok,False,dismissedAppOpening,
6,breathingExercise,1750786861.478695,America/Chicago,instagram,False,openedApp,
6,breathingExercise,1750792258.1681252,America/Chicago,instagram,False,dismissedAppOpening,
6,breathingExercise,1750796556.767261,America/Chicago,instagram,False,openedApp,
6,breathingExercise,1750798442.3090792,America/Chicago,tikTok,False,dismissedAppOpening,
6,breathingExercise,1750799754.9314861,America/Chicago,tikTok,False,dismissedAppOpening,
6,breathingExercise,1750799796.3226671,America/Chicago,tikTok,False,openedApp,
6,breathingExercise,1750816957.359593,America/Chicago,tikTok,False,dismissedAppOpening,
6,breathingExercise,1750819000.919143,America/Chicago,instagram,False,openedApp,
6,breathingExercise,1750819853.015995,America/Chicago,instagram,False,dismissedAppOpening,
6,breathingExercise,1750820680.96908,America/Chicago,tikTok,False,dismissedAppOpening,
6,breathingExercise,1750821216.6179829,America/Chicago,tikTok,False,dismissedAppOpening,
6,breathingExercise,1750851846.853252,America/Chicago,instagram,False,openedApp,
6,breathingExercise,1750851965.5741029,America/Chicago,instagram,False,dismissedAppOpening,
6,breathingExercise,1750851999.209175,America/Chicago,tikTok,False,dismissedAppOpening,
6,breathingExercise,1750852078.041445,America/Chicago,tikTok,False,openedApp,
6,breathingExercise,1750852862.2568932,America/Chicago,instagram,False,dismissedAppOpening,
6,breathingExercise,1750852897.123784,America/Chicago,tikTok,False,dismissedAppOpening,
6,breathingExercise,1750852924.476079,America/Chicago,tikTok,False,openedApp,
6,breathingExercise,1750855557.83665,America/Chicago,tikTok,False,dismissedAppOpening,
6,breathingExercise,1750855561.254581,America/Chicago,tikTok,False,dismissedAppOpening,
6,breathingExercise,1750856599.697,America/Chicago,instagram,False,dismissedAppOpening,
6,breathingExercise,1750885014.344517,America/Chicago,instagram,False,dismissedAppOpening,
6,breathingExercise,1750885029.9919791,America/Chicago,instagram,False,openedApp,
6,breathingExercise,1750886713.512039,America/Chicago,tikTok,False,openedApp,
6,breathingExercise,1750893575.932351,America/Chicago,instagram,False,openedApp,
6,breathingExercise,1750893714.029282,America/Chicago,instagram,False,openedApp,
6,breathingExercise,1750895154.378773,America/Chicago,tikTok,False,openedApp,
6,breathingExercise,1750895572.974354,America/Chicago,tikTok,False,openedApp,
6,breathingExercise,1750895771.180135,America/Chicago,tikTok,False,dismissedAppOpening,
6,breathingExercise,1750895774.393935,America/Chicago,tikTok,False,dismissedAppOpening,
6,breathingExercise,1750896250.1617398,America/Chicago,tikTok,False,dismissedAppOpening,
6,breathingExercise,1750896573.6846352,America/Chicago,tikTok,False,dismissedAppOpening,
6,breathingExercise,1750896575.514282,America/Chicago,tikTok,False,dismissedAppOpening,
6,breathingExercise,1750897399.052757,America/Chicago,instagram,False,dismissedAppOpening,
6,breathingExercise,1750897404.677453,America/Chicago,instagram,False,dismissedAppOpening,
6,breathingExercise,1750897711.2678509,America/Chicago,tikTok,False,dismissedAppOpening,
6,breathingExercise,1750898518.635015,America/Chicago,tikTok,False,dismissedAppOpening,
6,breathingExercise,1750939074.024019,America/Chicago,tikTok,False,openedApp,300.0
6,breathingExercise,1750960564.240696,America/Chicago,instagram,False,openedApp,180.0
6,breathingExercise,1750961380.0237,America/Chicago,instagram,False,dismissedAppOpening,
6,breathingExercise,1750974257.2638578,America/Chicago,tikTok,False,openedApp,120.0
6,breathingExercise,1750977647.2198792,America/Chicago,tikTok,False,dismissedAppOpening,
6,breathingExercise,1750977684.7108068,America/Chicago,tikTok,False,openedApp,120.0
6,breathingExercise,1750977818.7222981,America/Chicago,tikTok,False,dismissedAppOpening,
6,breathingExercise,1750980955.756046,America/Chicago,instagram,False,openedApp,240.0
6,breathingExercise,1750981027.306559,America/Chicago,instagram,False,dismissedAppOpening,
6,breathingExercise,1750989771.099423,America/Chicago,tikTok,False,dismissedAppOpening,
6,breathingExercise,1750989793.070579,America/Chicago,tikTok,False,dismissedAppOpening,
6,breathingExercise,1750989971.628395,America/Chicago,tikTok,False,openedApp,180.0
6,breathingExercise,1750991426.159946,America/Chicago,tikTok,False,dismissedAppOpening,
6,breathingExercise,1751022070.92302,America/Chicago,tikTok,False,openedApp,240.0
