resolution,interventionType,interventionDuration,purpose,isReIntervention,timezone,app,timestamp,timeIntervalUntilReIntervention
openedApp,breathingExercise,6.0,check,False,Europe/London,facebook,1748940023.569413,
openedApp,breathingExercise,6.0,check,False,Europe/London,facebook,1748947314.873138,
dismissedAppOpening,breathingExercise,6.0,,False,Europe/London,facebook,1748947641.00212,
openedApp,breathingExercise,6.0,chai,False,Europe/London,facebook,1748947656.884922,
dismissedAppOpening,breathingExercise,6.0,,False,Europe/London,facebook,1748947750.806127,
openedApp,breathingExercise,6.0,check,False,Europe/Amsterdam,facebook,1749144363.751505,
openedApp,breathingExercise,6.0,Chevy,False,Europe/Amsterdam,bumble,1749195568.229272,
openedApp,breathingExercise,6.0,cherry,False,Europe/Amsterdam,bumble,1749195606.9933,
openedApp,breathingExercise,6.0,check,False,Europe/Amsterdam,bumble,1749195709.749335,
openedApp,breathingExercise,6.0,Chen,False,Europe/Amsterdam,bumble,1749196010.544332,
openedApp,breathingExercise,6.0,check,False,Europe/Amsterdam,facebook,1749249070.732113,
openedApp,breathingExercise,6.0,X-ray,False,Europe/Amsterdam,instagram,1749249146.622391,
closedApp,,,,False,Europe/Amsterdam,instagram,1749249234.643255,
openedApp,breathingExercise,6.0,ch,False,Europe/Amsterdam,instagram,1749249267.7312598,
closedApp,,,,False,Europe/Amsterdam,instagram,1749249510.8406959,
openedApp,breathingExercise,6.0,c,False,Europe/Amsterdam,instagram,1749249612.125063,
closedApp,,,,False,Europe/Amsterdam,instagram,1749249891.340601,
dismissedAppOpening,breathingExercise,6.0,,False,Europe/Amsterdam,facebook,1749390149.591806,
openedApp,breathingExercise,6.0,check,False,Europe/Amsterdam,instagram,1749392966.634468,
closedApp,,,,False,Europe/Amsterdam,instagram,1749393092.3302,
openedApp,breathingExercise,6.0,check,False,Europe/Amsterdam,facebook,1749408155.444285,
dismissedAppOpening,breathingExercise,6.0,,False,Europe/Amsterdam,facebook,1749408998.9741101,
closedApp,,,,False,Europe/Amsterdam,instagram,1749414955.01197,
openedApp,breathingExercise,6.0,check,False,Europe/Amsterdam,facebook,1749493099.128325,120.0
dismissedAppOpening,journaling,,,False,Europe/Amsterdam,instagram,1749507224.055423,
dismissedAppOpening,journaling,,,False,Europe/Amsterdam,instagram,1749507233.501895,
openedApp,breathingExercise,6.0,reply ,False,Europe/Amsterdam,instagram,1749547193.758018,60.0
openedApp,breathingExercise,6.0,Chevy,False,Europe/Amsterdam,instagram,1749560775.323395,60.0
dismissedAppOpening,breathingExercise,6.0,,False,Europe/Amsterdam,instagram,1749562164.265377,
dismissedAppOpening,breathingExercise,6.0,,False,Europe/Amsterdam,instagram,1749581003.4861841,
openedApp,breathingExercise,6.0,check,False,Europe/Amsterdam,instagram,1749583430.533562,60.0
dismissedAppOpening,breathingExercise,6.0,,False,Europe/Amsterdam,instagram,1749583449.1386518,
openedApp,breathingExercise,6.0,check,False,Europe/Amsterdam,instagram,1749583505.003592,60.0
dismissedAppOpening,breathingExercise,6.0,,False,Europe/Amsterdam,instagram,1749593547.907898,
openedApp,breathingExercise,6.0,Chevy,False,Europe/Amsterdam,instagram,1749593579.9890928,180.0
dismissedAppOpening,breathingExercise,6.0,,True,Europe/Amsterdam,facebook,1749593782.604521,
openedApp,breathingExercise,6.0,check,False,Europe/Amsterdam,instagram,1749593803.054143,180.0
openedApp,breathingExercise,6.0,Chevy,False,Europe/Amsterdam,instagram,1749621953.369869,60.0
openedApp,breathingExercise,6.0,check,False,Europe/Amsterdam,instagram,1749622086.097995,120.0
dismissedAppOpening,breathingExercise,6.0,,True,Europe/Amsterdam,facebook,1749622223.4839149,
dismissedAppOpening,breathingExercise,6.0,,False,Europe/Amsterdam,instagram,1749625344.412648,
openedApp,breathingExercise,6.0,check,False,Europe/Amsterdam,instagram,1749627225.4806309,120.0
openedApp,breathingExercise,6.0,check,False,Europe/Amsterdam,instagram,1749635792.98907,60.0
openedApp,breathingExercise,6.0,Cuervo,False,Europe/Amsterdam,instagram,1749647384.6233912,60.0
openedApp,breathingExercise,6.0,check,False,Europe/Amsterdam,instagram,1749659592.6184711,60.0
openedApp,breathingExercise,6.0,check,True,Europe/Amsterdam,instagram,1749659677.801283,300.0
openedApp,breathingExercise,6.0,check,True,Europe/Amsterdam,instagram,1749659995.96844,180.0
openedApp,breathingExercise,6.0,check,False,Europe/Amsterdam,instagram,1749663140.309617,300.0
dismissedAppOpening,breathingExercise,6.0,,False,Europe/Brussels,instagram,1749669766.496057,
dismissedAppOpening,breathingExercise,6.0,,False,Europe/Brussels,instagram,1749669851.475132,
dismissedAppOpening,breathingExercise,6.0,,False,Europe/London,facebook,1749681515.563005,
openedApp,breathingExercise,6.0,check,False,Europe/London,instagram,1749683277.645821,300.0
openedApp,breathingExercise,6.0,cheeky,False,Europe/London,instagram,1749684484.6344352,300.0
dismissedAppOpening,breathingExercise,6.0,,False,Europe/London,instagram,1749684581.683525,
dismissedAppOpening,breathingExercise,6.0,,False,Europe/London,instagram,1749684585.626363,
dismissedAppOpening,breathingExercise,6.0,,False,Europe/London,instagram,1749684941.729677,
openedApp,breathingExercise,6.0,check,False,Europe/London,instagram,1749712107.886294,120.0
openedApp,breathingExercise,6.0,check,True,Europe/London,facebook,1749712252.823937,300.0
openedApp,breathingExercise,6.0,check vid,False,Europe/London,instagram,1749712274.817133,300.0
openedApp,breathingExercise,6.0,check,False,Europe/London,instagram,1749715193.933206,120.0
dismissedAppOpening,breathingExercise,6.0,,False,Europe/London,instagram,1749718255.2681398,
dismissedAppOpening,breathingExercise,6.0,,False,Europe/London,instagram,1749719618.58745,
openedApp,breathingExercise,6.0,check,False,Europe/London,instagram,1749721646.80228,300.0
openedApp,breathingExercise,6.0,check,False,Europe/London,instagram,1749739936.886549,180.0
openedApp,breathingExercise,6.0,check,False,Europe/London,instagram,1749744069.1090589,120.0
openedApp,breathingExercise,6.0,Chevy,False,Europe/London,instagram,1749744596.6893559,240.0
dismissedAppOpening,breathingExercise,6.0,,False,Europe/London,instagram,1749744631.506752,
dismissedAppOpening,breathingExercise,6.0,,False,Europe/London,instagram,1749747531.540882,
openedApp,breathingExercise,6.0,Chen,False,Europe/London,instagram,1749753951.6135879,120.0
openedApp,breathingExercise,6.0,post,False,Europe/London,instagram,1749758208.848413,300.0
openedApp,breathingExercise,6.0,post ,True,Europe/London,instagram,1749758533.831777,180.0
openedApp,breathingExercise,6.0,reply ,False,Europe/London,instagram,1749760331.0285568,240.0
dismissedAppOpening,breathingExercise,6.0,,False,Europe/London,instagram,1749760528.3428001,
openedApp,breathingExercise,6.0,indulge,False,Europe/London,instagram,1749802246.447383,180.0
openedApp,breathingExercise,6.0,scroll ,False,Europe/London,instagram,1749802472.35564,180.0
openedApp,breathingExercise,6.0,check,False,Europe/London,instagram,1749806017.376885,300.0
