isReIntervention,app,timezone,resolution,timestamp,interventionType,interventionDuration
False,youtube,Europe/Warsaw,dismissedAppOpening,1748579888.434438,breathingExercise,6
False,youtube,Europe/Warsaw,dismissedAppOpening,1748587345.463712,breathingExercise,6
False,youtube,Europe/Warsaw,dismissedAppOpening,1748587350.917996,breathingExercise,6
False,youtube,Europe/Warsaw,dismissedAppOpening,1748592721.211605,breathingExercise,6
False,youtube,Europe/Warsaw,openedApp,1748672415.139505,breathingExercise,6
False,youtube,Europe/Warsaw,dismissedAppOpening,1748672969.947618,breathingExercise,6
False,youtube,Europe/Warsaw,openedApp,1748672983.9206738,breathingExercise,6
False,youtube,Europe/Warsaw,openedApp,1748673080.017335,breathingExercise,6
False,youtube,Europe/Warsaw,openedApp,1748674002.064754,breathingExercise,6
False,youtube,Europe/Warsaw,openedApp,1748674929.823608,breathingExercise,6
False,youtube,Europe/Warsaw,openedApp,1748675358.375423,breathingExercise,6
False,youtube,Europe/Warsaw,dismissedAppOpening,1748675724.901943,breathingExercise,6
False,youtube,Europe/Warsaw,openedApp,1748704385.882959,breathingExercise,6
False,youtube,Europe/Warsaw,openedApp,1748718563.089387,breathingExercise,6
False,youtube,Europe/Warsaw,dismissedAppOpening,1748726098.431437,breathingExercise,6
False,youtube,Europe/Warsaw,openedApp,1748726114.23526,breathingExercise,6
False,youtube,Europe/Warsaw,openedApp,1748760365.3998408,breathingExercise,6
False,youtube,Europe/Warsaw,openedApp,1748761800.754091,breathingExercise,6
False,youtube,Europe/Warsaw,openedApp,1748762361.764717,breathingExercise,6
False,youtube,Europe/Warsaw,openedApp,1748787583.47031,breathingExercise,6
False,youtube,Europe/Warsaw,dismissedAppOpening,1748839067.584814,breathingExercise,6
False,youtube,Europe/Warsaw,openedApp,1748839251.978661,breathingExercise,6
False,youtube,Europe/Warsaw,dismissedAppOpening,1748845555.432579,breathingExercise,6
False,youtube,Europe/Warsaw,dismissedAppOpening,1748878793.690843,breathingExercise,6
False,youtube,Europe/Warsaw,dismissedAppOpening,1748878797.4057631,breathingExercise,6
False,youtube,Europe/Warsaw,openedApp,1748887292.912102,breathingExercise,6
False,youtube,Europe/Warsaw,openedApp,1748888499.868309,breathingExercise,6
False,youtube,Europe/Warsaw,openedApp,1748969812.515753,breathingExercise,6
False,youtube,Europe/Warsaw,dismissedAppOpening,1749011243.99608,breathingExercise,6
False,youtube,Europe/Warsaw,dismissedAppOpening,1749060139.9669309,breathingExercise,6
False,youtube,Europe/Warsaw,openedApp,1749126306.369125,breathingExercise,6
False,youtube,Europe/Warsaw,openedApp,1749127311.781868,breathingExercise,6
False,youtube,Europe/Warsaw,openedApp,1749147255.226501,breathingExercise,6
False,youtube,Europe/Warsaw,openedApp,1749147642.20295,breathingExercise,6
False,youtube,Europe/Warsaw,openedApp,1749147901.5356688,breathingExercise,6
False,youtube,Europe/Warsaw,openedApp,1749208104.205762,breathingExercise,6
False,youtube,Europe/Warsaw,openedApp,1749275223.306248,breathingExercise,6
False,youtube,Europe/Warsaw,openedApp,1749275852.079804,breathingExercise,6
False,youtube,Europe/Warsaw,dismissedAppOpening,1749276583.6425161,breathingExercise,6
False,youtube,Europe/Warsaw,dismissedAppOpening,1749276693.556645,breathingExercise,6
False,youtube,Europe/Warsaw,openedApp,1749306687.780175,breathingExercise,6
False,youtube,Europe/Warsaw,openedApp,1749316787.783105,breathingExercise,6
False,youtube,Europe/Warsaw,dismissedAppOpening,1749363622.0580192,breathingExercise,6
False,youtube,Europe/Warsaw,openedApp,1749380916.136157,breathingExercise,6
False,youtube,Europe/Warsaw,openedApp,1749381424.185734,breathingExercise,6
False,youtube,Europe/Warsaw,openedApp,1749389464.936604,breathingExercise,6
False,youtube,Europe/Warsaw,openedApp,1749391013.9829988,breathingExercise,6
False,youtube,Europe/Warsaw,openedApp,1749444386.428132,breathingExercise,6
False,youtube,Europe/Warsaw,dismissedAppOpening,1749446347.589005,breathingExercise,6
False,youtube,Europe/Warsaw,dismissedAppOpening,1749490418.458558,breathingExercise,6
False,youtube,Europe/Warsaw,openedApp,1749490449.949119,breathingExercise,6
False,youtube,Europe/Warsaw,dismissedAppOpening,1749564978.7063441,breathingExercise,6
False,youtube,Europe/Warsaw,openedApp,1749567315.4458609,breathingExercise,6
False,youtube,Europe/Warsaw,openedApp,1749581031.461422,breathingExercise,6
False,youtube,Europe/Warsaw,openedApp,1749617493.466052,breathingExercise,6
False,youtube,Europe/Warsaw,openedApp,1749652724.0899749,breathingExercise,6
False,youtube,Europe/Warsaw,dismissedAppOpening,1749653420.6524339,breathingExercise,6
False,youtube,Europe/Warsaw,dismissedAppOpening,1749653444.213571,breathingExercise,6
False,youtube,Europe/Warsaw,dismissedAppOpening,1749653449.280195,breathingExercise,6
False,youtube,Europe/Warsaw,openedApp,1749653463.29315,breathingExercise,6
False,youtube,Europe/Warsaw,openedApp,1749654093.796174,breathingExercise,6
False,youtube,Europe/Warsaw,openedApp,1749654383.713388,breathingExercise,6
False,youtube,Europe/Warsaw,dismissedAppOpening,1749655103.9771528,breathingExercise,6
False,youtube,Europe/Warsaw,openedApp,1749655253.783948,breathingExercise,6
False,youtube,Europe/Warsaw,openedApp,1749655834.312424,breathingExercise,6
False,youtube,Europe/Warsaw,openedApp,1749656092.122011,breathingExercise,6
False,youtube,Europe/Warsaw,openedApp,1749656303.785598,breathingExercise,6
False,youtube,Europe/Warsaw,openedApp,1749656593.196988,breathingExercise,6
False,youtube,Europe/Warsaw,openedApp,1749656816.4454079,breathingExercise,6
False,youtube,Europe/Warsaw,openedApp,1749730622.728222,breathingExercise,6
False,youtube,Europe/Warsaw,openedApp,1749743997.403619,breathingExercise,6
False,youtube,Europe/Warsaw,dismissedAppOpening,1749744458.8116698,breathingExercise,6
False,youtube,Europe/Warsaw,openedApp,1749746882.465441,breathingExercise,6
False,youtube,Europe/Warsaw,openedApp,1749748305.790916,breathingExercise,6
False,youtube,Europe/Warsaw,openedApp,1749748858.677433,breathingExercise,6
False,youtube,Europe/Warsaw,openedApp,1749793050.821157,breathingExercise,6
False,youtube,Europe/Warsaw,openedApp,1749793879.5542002,breathingExercise,6
False,youtube,Europe/Warsaw,openedApp,1749798882.987252,breathingExercise,6
False,youtube,Europe/Warsaw,openedApp,1749800910.3761802,breathingExercise,6
False,youtube,Europe/Warsaw,openedApp,1749814450.3016691,breathingExercise,6
False,youtube,Europe/Warsaw,openedApp,1749828304.262192,breathingExercise,6
False,youtube,Europe/Warsaw,openedApp,1749974231.604031,breathingExercise,6
False,youtube,Europe/Warsaw,dismissedAppOpening,1749975577.664448,breathingExercise,6
False,youtube,Europe/Warsaw,dismissedAppOpening,1749975972.500951,breathingExercise,6
False,youtube,Europe/Warsaw,dismissedAppOpening,1749975976.617413,breathingExercise,6
