timezone,resolution,isReIntervention,timestamp,app,interventionType,interventionDuration
Europe/Amsterdam,dismissedAppOpening,False,1750706500.394782,facebook,breathingExercise,6
Europe/Amsterdam,dismissedAppOpening,False,1750706822.443821,facebook,breathingExercise,6
Europe/Amsterdam,dismissedAppOpening,False,1750744436.271635,facebook,breathingExercise,6
Europe/Brussels,openedApp,False,1750799719.0758061,facebook,breathingExercise,6
Europe/Brussels,dismissedAppOpening,False,1750801083.649211,facebook,breathingExercise,6
Europe/Brussels,dismissedAppOpening,False,1750827811.4304872,facebook,breathingExercise,6
Europe/Brussels,openedApp,False,1750827972.0954409,facebook,breathingExercise,6
Europe/Brussels,openedApp,False,1750828193.000329,facebook,breathingExercise,6
Europe/Brussels,dismissedAppOpening,False,1750828327.0723948,facebook,breathingExercise,6
Europe/Brussels,dismissedAppOpening,False,1750828712.538258,facebook,breathingExercise,6
Europe/Brussels,dismissedAppOpening,False,1750829014.501379,facebook,breathingExercise,6
Europe/Brussels,dismissedAppOpening,False,1750829619.212693,facebook,breathingExercise,6
Europe/Brussels,dismissedAppOpening,False,1750830056.419982,facebook,breathingExercise,6
Europe/Brussels,dismissedAppOpening,False,1750848702.3651872,facebook,breathingExercise,6
Europe/Brussels,dismissedAppOpening,False,1750849840.1816201,facebook,breathingExercise,6
Europe/Brussels,openedApp,False,1750883329.653739,facebook,breathingExercise,6
Europe/Brussels,openedApp,False,1750883514.447747,facebook,breathingExercise,6
Europe/Brussels,openedApp,False,1750883960.459662,facebook,breathingExercise,6
Europe/Brussels,openedApp,False,1750884536.130239,facebook,breathingExercise,6
Europe/Paris,openedApp,False,1750918022.21616,facebook,breathingExercise,6
Europe/Paris,openedApp,False,1750974699.7452369,facebook,breathingExercise,6
Europe/Paris,dismissedAppOpening,False,1750977623.3973532,facebook,breathingExercise,6
Europe/Brussels,openedApp,False,1751052058.7926269,facebook,breathingExercise,6
Europe/Brussels,openedApp,False,1751052699.8756208,facebook,breathingExercise,6
Europe/Brussels,openedApp,False,1751052945.110872,facebook,breathingExercise,6
Europe/Brussels,openedApp,False,1751056708.972651,facebook,breathingExercise,6
Europe/Brussels,openedApp,False,1751058567.6310039,facebook,breathingExercise,6
Europe/Brussels,dismissedAppOpening,False,1751109302.003347,facebook,breathingExercise,6
Europe/Brussels,openedApp,False,1751109319.424234,facebook,breathingExercise,6
Europe/Brussels,openedApp,False,1751112335.163692,facebook,breathingExercise,6
Europe/Brussels,openedApp,False,1751112699.902254,facebook,breathingExercise,6
Europe/Brussels,dismissedAppOpening,False,1751113008.373505,facebook,breathingExercise,6
Europe/Brussels,openedApp,False,1751138193.1307712,facebook,breathingExercise,6
Europe/Brussels,openedApp,False,1751200567.800012,facebook,breathingExercise,6
Europe/Brussels,openedApp,False,1751209181.365765,facebook,breathingExercise,6
Europe/Brussels,openedApp,False,1751232463.791844,facebook,breathingExercise,6
Europe/Brussels,openedApp,False,1751232501.9026651,facebook,breathingExercise,6
Europe/Brussels,openedApp,False,1751235260.055869,facebook,breathingExercise,6
Europe/Brussels,dismissedAppOpening,False,1751254769.999167,facebook,breathingExercise,6
Europe/Amsterdam,dismissedAppOpening,False,1751272882.13699,facebook,breathingExercise,6
Europe/Amsterdam,dismissedAppOpening,False,1751272883.9062471,facebook,breathingExercise,6
Europe/Brussels,dismissedAppOpening,False,1751657882.604497,facebook,breathingExercise,6
Europe/Brussels,openedApp,False,1751658296.913182,facebook,breathingExercise,6
Europe/Brussels,dismissedAppOpening,False,1751658652.050652,facebook,breathingExercise,6
Europe/Brussels,openedApp,False,1751659073.129623,facebook,breathingExercise,6
Europe/Brussels,openedApp,False,1751659524.540084,facebook,breathingExercise,6
Europe/Brussels,dismissedAppOpening,False,1751659855.7412071,facebook,breathingExercise,6
Europe/Brussels,openedApp,False,1751720539.151546,facebook,breathingExercise,6
Europe/Brussels,dismissedAppOpening,False,1751720571.5811238,facebook,breathingExercise,6
Europe/Brussels,dismissedAppOpening,False,1751720598.103179,facebook,breathingExercise,6
Europe/Brussels,dismissedAppOpening,False,1751720601.148415,facebook,breathingExercise,6
Europe/Brussels,dismissedAppOpening,False,1751720684.390913,facebook,breathingExercise,6
Europe/Brussels,openedApp,False,1751726518.5073938,facebook,breathingExercise,6
Europe/Brussels,dismissedAppOpening,False,1751726563.870719,facebook,breathingExercise,6
Europe/Brussels,openedApp,False,1751726579.994897,facebook,breathingExercise,6
Europe/Brussels,openedApp,False,1751726606.643765,facebook,breathingExercise,6
Europe/Brussels,dismissedAppOpening,False,1751736652.0452561,facebook,breathingExercise,6
Europe/Brussels,openedApp,False,1751786838.256373,facebook,breathingExercise,6
Europe/Brussels,openedApp,False,1751794714.097682,facebook,breathingExercise,6
Europe/Brussels,dismissedAppOpening,False,1751794856.600028,facebook,breathingExercise,6
Europe/Brussels,dismissedAppOpening,False,1751800258.240989,facebook,breathingExercise,6
Europe/Amsterdam,openedApp,False,1751902691.822597,facebook,breathingExercise,6
Europe/Amsterdam,openedApp,False,1751902863.240128,facebook,breathingExercise,6
Europe/Amsterdam,openedApp,False,1751908110.918507,facebook,breathingExercise,6
Europe/Amsterdam,dismissedAppOpening,False,1751908236.581672,facebook,breathingExercise,6
Europe/Amsterdam,openedApp,False,1751908256.8478742,facebook,breathingExercise,6
Europe/Brussels,openedApp,False,1752007305.314367,facebook,breathingExercise,6
Europe/Brussels,openedApp,False,1752055526.691986,facebook,breathingExercise,6
Europe/Brussels,openedApp,False,1752056183.085658,facebook,breathingExercise,6
Europe/Brussels,dismissedAppOpening,False,1752076388.584635,facebook,breathingExercise,6
Europe/Brussels,openedApp,False,1752076660.9496121,facebook,breathingExercise,6
Europe/Brussels,openedApp,False,1752078800.894336,facebook,breathingExercise,6
Europe/Brussels,openedApp,False,1752078965.787504,facebook,breathingExercise,6
Europe/Brussels,dismissedAppOpening,False,1752080290.93957,facebook,breathingExercise,6
Europe/Brussels,openedApp,False,1752178655.5468059,facebook,breathingExercise,6
Europe/Brussels,openedApp,False,1752178774.230918,facebook,breathingExercise,6
Europe/Brussels,openedApp,False,1752215858.826493,facebook,breathingExercise,6
Europe/Brussels,dismissedAppOpening,False,1752216052.40492,facebook,breathingExercise,6
Europe/Brussels,openedApp,False,1752299966.482658,facebook,breathingExercise,6
Europe/Brussels,openedApp,False,1752301274.0366201,facebook,breathingExercise,6
Europe/Brussels,openedApp,False,1752352129.2254,facebook,breathingExercise,6
Europe/Brussels,dismissedAppOpening,False,1752352658.938484,facebook,breathingExercise,6
Europe/Brussels,openedApp,False,1752354921.392929,facebook,breathingExercise,6
Europe/Brussels,openedApp,False,1752354961.396051,facebook,breathingExercise,6
Europe/Brussels,openedApp,False,1752355224.2795339,facebook,breathingExercise,6
Europe/Brussels,openedApp,False,1752355442.0669541,facebook,breathingExercise,6
Europe/Brussels,dismissedAppOpening,False,1752355562.666657,facebook,breathingExercise,6
Europe/Brussels,dismissedAppOpening,False,1752355593.037272,facebook,breathingExercise,6
Europe/Brussels,openedApp,False,1752355607.5999498,facebook,breathingExercise,6
Europe/Brussels,openedApp,False,1752391344.376795,facebook,breathingExercise,6
Europe/Brussels,openedApp,False,1752418215.6173658,facebook,breathingExercise,6
Europe/Brussels,openedApp,False,1752418458.5939631,facebook,breathingExercise,6
Europe/Amsterdam,openedApp,False,1752522690.575558,facebook,breathingExercise,6
Europe/Amsterdam,openedApp,False,1752557638.676121,facebook,breathingExercise,6
Europe/Amsterdam,dismissedAppOpening,False,1752557663.385878,facebook,breathingExercise,6
Europe/Brussels,openedApp,False,1752683941.044991,facebook,breathingExercise,6
Europe/Brussels,openedApp,False,1752727301.652824,facebook,breathingExercise,6
Europe/Brussels,openedApp,False,1752783586.017323,facebook,breathingExercise,6
Europe/Brussels,openedApp,False,1752817672.592005,facebook,breathingExercise,6
Europe/Brussels,openedApp,False,1752830600.737045,facebook,breathingExercise,6
Europe/Brussels,openedApp,False,1752830787.379633,facebook,breathingExercise,6
Europe/Brussels,openedApp,False,1752831374.2160301,facebook,breathingExercise,6
Europe/Brussels,dismissedAppOpening,False,1752831491.409323,facebook,breathingExercise,6
Europe/Brussels,dismissedAppOpening,False,1752844498.261495,facebook,breathingExercise,6
Europe/Brussels,openedApp,False,1752874265.19892,facebook,breathingExercise,6
Europe/Brussels,openedApp,False,1752906113.1248388,facebook,breathingExercise,6
Europe/Brussels,openedApp,False,1752906445.23963,facebook,breathingExercise,6
Europe/Brussels,dismissedAppOpening,False,1752906572.8965,facebook,breathingExercise,6
Europe/Brussels,openedApp,False,1752919932.522159,facebook,breathingExercise,6
Europe/Luxembourg,openedApp,False,1752956022.764834,facebook,breathingExercise,6
Europe/Luxembourg,openedApp,False,1752956221.841541,facebook,breathingExercise,6
Europe/Luxembourg,dismissedAppOpening,False,1752992513.4216042,facebook,breathingExercise,6
Europe/Luxembourg,openedApp,False,1752992528.451915,facebook,breathingExercise,6
Europe/Luxembourg,openedApp,False,1753002111.465448,facebook,breathingExercise,6
Europe/Berlin,openedApp,False,1753094049.784909,facebook,breathingExercise,6
Europe/Berlin,dismissedAppOpening,False,1753094199.5706248,facebook,breathingExercise,6
Europe/Luxembourg,openedApp,False,1753299092.583278,facebook,breathingExercise,6
