isReIntervention,app,timezone,interventionType,resolution,interventionDuration,timestamp
False,tikTok,Pacific/Honolulu,breathingExercise,dismissedAppOpening,6.0,1749190806.078721
False,tikTok,Pacific/Honolulu,breathingExercise,openedApp,6.0,1749197034.2317472
False,tikTok,Pacific/Honolulu,,closedApp,,1749197106.38018
False,tikTok,Pacific/Honolulu,,closedApp,,1749197233.4119592
False,tikTok,Pacific/Honolulu,,closedApp,,1749197350.503952
False,tikTok,Pacific/Honolulu,breathingExercise,openedApp,6.0,1749197402.6127992
False,tikTok,Pacific/Honolulu,breathingExercise,openedApp,6.0,1749284537.9456038
False,tikTok,Pacific/Honolulu,breathingExercise,openedApp,6.0,1749345476.457756
False,tikTok,Pacific/Honolulu,,closedApp,,1749197484.3339229
False,tikTok,Pacific/Honolulu,,closedApp,,1749197561.534882
False,tikTok,Pacific/Honolulu,,closedApp,,1749197667.490632
False,tikTok,Pacific/Honolulu,,closedApp,,1749197802.73065
False,tikTok,Pacific/Honolulu,,closedApp,,1749197936.6094909
False,tikTok,Pacific/Honolulu,,closedApp,,1749198165.173415
False,tikTok,Pacific/Honolulu,,closedApp,,1749284943.961361
False,tikTok,Pacific/Honolulu,,closedApp,,1749346540.497387
False,tikTok,Pacific/Honolulu,breathingExercise,dismissedAppOpening,6.0,1749346549.538816
False,tikTok,Pacific/Honolulu,breathingExercise,openedApp,6.0,1749346563.989574
False,tikTok,Pacific/Honolulu,breathingExercise,openedApp,6.0,1749372125.3314018
False,tikTok,Pacific/Honolulu,breathingExercise,dismissedAppOpening,6.0,1749456293.8824692
False,tikTok,Pacific/Honolulu,,closedApp,,1749346621.357512
False,tikTok,Pacific/Honolulu,,closedApp,,1749372744.164997
False,tikTok,Pacific/Honolulu,,closedApp,,1749374676.002676
False,tikTok,Pacific/Honolulu,,closedApp,,1749449816.0253692
False,tikTok,Pacific/Honolulu,breathingExercise,dismissedAppOpening,6.0,1749456435.607545
False,tikTok,Pacific/Honolulu,breathingExercise,dismissedAppOpening,6.0,1749456451.2296429
False,tikTok,Pacific/Honolulu,breathingExercise,openedApp,6.0,1749456468.498415
False,tikTok,Pacific/Honolulu,,closedApp,,1749457627.060915
False,tikTok,Pacific/Honolulu,breathingExercise,openedApp,6.0,1749510469.727525
False,tikTok,Pacific/Honolulu,breathingExercise,dismissedAppOpening,6.0,1749510507.533866
False,tikTok,Pacific/Honolulu,,closedApp,,1749510500.756075
False,tikTok,Pacific/Honolulu,breathingExercise,dismissedAppOpening,6.0,1749510515.526658
False,tikTok,Pacific/Honolulu,breathingExercise,dismissedAppOpening,6.0,1749510523.536449
False,tikTok,Pacific/Honolulu,breathingExercise,dismissedAppOpening,6.0,1749510528.870296
False,tikTok,Pacific/Honolulu,breathingExercise,openedApp,6.0,1749544863.557085
False,tikTok,Pacific/Honolulu,,closedApp,,1749545131.730546
False,tikTok,Pacific/Honolulu,breathingExercise,openedApp,6.0,1749586037.735474
False,tikTok,Pacific/Honolulu,,closedApp,,1749587239.705322
False,tikTok,Pacific/Honolulu,breathingExercise,openedApp,6.0,1749587271.998915
False,tikTok,Pacific/Honolulu,,closedApp,,1749587519.6200619
False,tikTok,Pacific/Honolulu,breathingExercise,openedApp,6.0,1749602521.899276
False,tikTok,Pacific/Honolulu,breathingExercise,openedApp,6.0,1749629067.148288
False,tikTok,Pacific/Honolulu,,closedApp,,1749603344.664587
False,tikTok,Pacific/Honolulu,,closedApp,,1749629839.7199001
False,tikTok,Pacific/Honolulu,,closedApp,,1749630828.400285
False,tikTok,Pacific/Honolulu,breathingExercise,openedApp,6.0,1749686575.859535
False,tikTok,Pacific/Honolulu,,closedApp,,1749686652.364492
False,tikTok,Pacific/Honolulu,,closedApp,,1749686775.4632468
False,tikTok,Pacific/Honolulu,,closedApp,,1749686904.564142
False,tikTok,Pacific/Honolulu,,closedApp,,1749687031.260964
False,tikTok,Pacific/Honolulu,,closedApp,,1749687107.7698278
False,tikTok,Pacific/Honolulu,,closedApp,,1749687219.339229
False,tikTok,Pacific/Honolulu,,closedApp,,1749687301.127092
False,tikTok,Pacific/Honolulu,,closedApp,,1749687408.0705009
False,tikTok,Pacific/Honolulu,,closedApp,,1749687531.5772882
False,tikTok,Pacific/Honolulu,,closedApp,,1749687658.740279
False,tikTok,Pacific/Honolulu,,closedApp,,1749687737.615576
False,tikTok,Pacific/Honolulu,,closedApp,,1749687814.978054
False,tikTok,Pacific/Honolulu,,closedApp,,1749687907.275095
False,tikTok,Pacific/Honolulu,,closedApp,,1749687985.840544
False,tikTok,Pacific/Honolulu,,closedApp,,1749688091.880965
False,tikTok,Pacific/Honolulu,,closedApp,,1749688214.1042051
False,tikTok,Pacific/Honolulu,,closedApp,,1749688291.054109
False,tikTok,Pacific/Honolulu,,closedApp,,1749688822.61734
False,tikTok,Pacific/Honolulu,breathingExercise,openedApp,6.0,1749698722.679734
False,tikTok,Pacific/Honolulu,breathingExercise,openedApp,6.0,1749698747.6674461
False,tikTok,Pacific/Honolulu,,closedApp,,1749698843.649564
False,tikTok,Pacific/Honolulu,,closedApp,,1749698971.955728
False,tikTok,Pacific/Honolulu,breathingExercise,openedApp,6.0,1749790942.476173
False,tikTok,Pacific/Honolulu,,closedApp,,1749791249.385645
False,tikTok,Pacific/Honolulu,,closedApp,,1749791332.672265
False,tikTok,Pacific/Honolulu,,closedApp,,1749791441.545758
False,tikTok,Pacific/Honolulu,,closedApp,,1749791515.819159
False,tikTok,Pacific/Honolulu,,closedApp,,1749791675.091591
False,tikTok,Pacific/Honolulu,breathingExercise,openedApp,6.0,1749792996.223299
False,tikTok,Pacific/Honolulu,breathingExercise,openedApp,6.0,1749892619.342465
False,tikTok,Pacific/Honolulu,,closedApp,,1749793222.228642
False,tikTok,Pacific/Honolulu,,closedApp,,1749793616.345387
False,tikTok,Pacific/Honolulu,,closedApp,,1749793693.128448
False,tikTok,Pacific/Honolulu,,closedApp,,1749793799.6631532
False,tikTok,Pacific/Honolulu,,closedApp,,1749793921.8654199
False,tikTok,Pacific/Honolulu,,closedApp,,1749794044.28123
False,tikTok,Pacific/Honolulu,,closedApp,,1749794166.234404
False,tikTok,Pacific/Honolulu,,closedApp,,1749794243.389184
False,tikTok,Pacific/Honolulu,,closedApp,,1749794349.719765
False,tikTok,Pacific/Honolulu,,closedApp,,1749794391.7722
False,tikTok,Pacific/Honolulu,,closedApp,,1749892786.039875
False,tikTok,Pacific/Honolulu,,closedApp,,1749892923.970529
False,tikTok,Pacific/Honolulu,,closedApp,,1749893007.3011642
False,tikTok,Pacific/Honolulu,breathingExercise,openedApp,6.0,1749893083.309166
False,tikTok,Pacific/Honolulu,,closedApp,,1749893118.550144
False,tikTok,Pacific/Honolulu,breathingExercise,dismissedAppOpening,6.0,1749893132.417454
False,tikTok,Pacific/Honolulu,breathingExercise,openedApp,6.0,1749893149.51304
False,tikTok,Pacific/Honolulu,,closedApp,,1749893239.737364
False,tikTok,Pacific/Honolulu,,closedApp,,1749893367.260015
False,tikTok,Pacific/Honolulu,,closedApp,,1749893468.7466378
False,tikTok,Pacific/Honolulu,breathingExercise,openedApp,6.0,1750040729.719664
False,tikTok,Pacific/Honolulu,,closedApp,,1750040827.959029
False,tikTok,Pacific/Honolulu,,closedApp,,1750040957.439373
False,tikTok,Pacific/Honolulu,,closedApp,,1750041034.9867039
False,tikTok,Pacific/Honolulu,,closedApp,,1750041141.6941118
False,tikTok,Pacific/Honolulu,,closedApp,,1750041221.801476
False,tikTok,Pacific/Honolulu,,closedApp,,1750041324.453285
False,tikTok,Pacific/Honolulu,,closedApp,,1750041414.093632
False,tikTok,Pacific/Honolulu,,closedApp,,1750041525.4998221
False,tikTok,Pacific/Honolulu,,closedApp,,1750041559.058919
False,tikTok,Pacific/Honolulu,breathingExercise,openedApp,6.0,1750041620.156312
False,tikTok,Pacific/Honolulu,breathingExercise,openedApp,6.0,1750062504.167901
False,tikTok,Pacific/Honolulu,,closedApp,,1750041643.251666
False,tikTok,Pacific/Honolulu,,closedApp,,1750062594.2874079
False,tikTok,Pacific/Honolulu,,closedApp,,1750062778.286827
False,tikTok,Pacific/Honolulu,,closedApp,,1750062855.300878
False,tikTok,Pacific/Honolulu,,closedApp,,1750062932.66797
False,tikTok,Pacific/Honolulu,,closedApp,,1750063022.3312612
False,tikTok,Pacific/Honolulu,,closedApp,,1750063100.319573
False,tikTok,Pacific/Honolulu,,closedApp,,1750063177.9408932
False,tikTok,Pacific/Honolulu,,closedApp,,1750063252.685452
False,tikTok,Pacific/Honolulu,breathingExercise,openedApp,6.0,1750063270.054102
False,tikTok,Pacific/Honolulu,,closedApp,,1750063328.459629
False,tikTok,Pacific/Honolulu,,closedApp,,1750063451.78189
False,tikTok,Pacific/Honolulu,,closedApp,,1750063538.707683
False,tikTok,Pacific/Honolulu,,closedApp,,1750063643.280577
False,tikTok,Pacific/Honolulu,,closedApp,,1750063726.764789
False,tikTok,Pacific/Honolulu,,closedApp,,1750063838.015912
False,tikTok,Pacific/Honolulu,,closedApp,,1750063967.988864
False,tikTok,Pacific/Honolulu,,closedApp,,1750064093.927937
False,tikTok,Pacific/Honolulu,,closedApp,,1750064219.2637749
False,tikTok,Pacific/Honolulu,,closedApp,,1750064449.666915
False,tikTok,Pacific/Honolulu,breathingExercise,openedApp,6.0,1750143652.221243
False,tikTok,Pacific/Honolulu,breathingExercise,openedApp,6.0,1750205538.3698711
False,tikTok,Pacific/Honolulu,,closedApp,,1750143721.863799
False,tikTok,Pacific/Honolulu,,closedApp,,1750146079.596789
False,tikTok,Pacific/Honolulu,,closedApp,,1750205554.3987741
False,tikTok,Pacific/Honolulu,,closedApp,,1750206412.465735
False,tikTok,Pacific/Honolulu,breathingExercise,openedApp,6.0,1750213181.05274
False,tikTok,Pacific/Honolulu,,closedApp,,1750213569.022964
False,tikTok,Pacific/Honolulu,,closedApp,,1750213691.6060128
False,tikTok,Pacific/Honolulu,,closedApp,,1750214037.928976
False,tikTok,Pacific/Honolulu,breathingExercise,dismissedAppOpening,6.0,1750290751.316931
False,tikTok,Pacific/Honolulu,breathingExercise,openedApp,6.0,1750290838.5509849
False,tikTok,Pacific/Honolulu,breathingExercise,dismissedAppOpening,6.0,1750320013.560308
False,tikTok,Pacific/Honolulu,,closedApp,,1750291028.850694
False,tikTok,Pacific/Honolulu,,closedApp,,1750291105.3177161
False,tikTok,Pacific/Honolulu,,closedApp,,1750291280.21505
False,tikTok,Pacific/Honolulu,,closedApp,,1750291354.576504
False,tikTok,Pacific/Honolulu,,closedApp,,1750291460.666494
False,tikTok,Pacific/Honolulu,,closedApp,,1750291570.100731
False,tikTok,Pacific/Honolulu,,closedApp,,1750291660.96082
